School_Label,ID_Race,CIPFamily,CIPFamilyTitle,Variable,Value,Percentage_Race_School
Louisiana State,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,9,0.163636364
Louisiana State,AA,14,ENGINEERING.,College Major,1,0.018181818
Louisiana State,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.037037037
Louisiana State,C,42,PSYCHOLOGY.,College Major,1,0.037037037
Louisiana State,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,6,0.222222222
Louisiana State,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,8,0.296296296
Louisiana State,C,14,ENGINEERING.,College Major,2,0.074074074
Louisiana State,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,7,0.259259259
Louisiana State,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.037037037
Louisiana State,C,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,1,0.037037037
Louisville,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,7,0.184210526
Louisville,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,5,0.131578947
Louisville,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.026315789
Louisville,AA,13,EDUCATION.,College Major,3,0.078947368
Louisville,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,11,0.289473684
Louisville,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,8,0.210526316
Louisville,AA,27,MATHEMATICS AND STATISTICS.,College Major,1,0.026315789
Louisville,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.052631579
Louisville,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,3,0.142857143
Louisville,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,8,0.380952381
Louisville,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,5,0.238095238
Louisville,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.095238095
Louisville,C,45,SOCIAL SCIENCES.,College Major,2,0.095238095
Louisville,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.047619048
Louisville,H,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.5
Louisville,H,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.5
Michigan,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,4,0.114285714
Michigan,AA,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",College Major,1,0.028571429
Michigan,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,22,0.628571429
Michigan,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,3,0.085714286
Michigan,AA,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,1,0.028571429
Michigan,AA,45,SOCIAL SCIENCES.,College Major,4,0.114285714
Michigan,C,14,ENGINEERING.,College Major,2,0.047619048
Michigan,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.023809524
Michigan,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,25,0.595238095
Michigan,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,7,0.166666667
Michigan,C,40,PHYSICAL SCIENCES.,College Major,1,0.023809524
Michigan,C,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,1,0.023809524
Michigan,C,45,SOCIAL SCIENCES.,College Major,3,0.071428571
Michigan,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.023809524
Michigan,C,54,HISTORY.,College Major,1,0.023809524
Nebraska,AA,42,PSYCHOLOGY.,College Major,1,0.03030303
Nebraska,AA,14,ENGINEERING.,College Major,1,0.03030303
Nebraska,AA,45,SOCIAL SCIENCES.,College Major,9,0.272727273
Nebraska,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,2,0.060606061
Nebraska,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,4,0.121212121
Nebraska,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,7,0.212121212
Nebraska,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.03030303
Nebraska,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.03030303
Nebraska,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,7,0.212121212
Nebraska,AS,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,1
Nebraska,C,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,2,0.030769231
Nebraska,C,3,NATURAL RESOURCES AND CONSERVATION.,College Major,2,0.030769231
Nebraska,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,3,0.046153846
Nebraska,C,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.015384615
Nebraska,C,42,PSYCHOLOGY.,College Major,1,0.015384615
Nebraska,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,4,0.061538462
Nebraska,C,13,EDUCATION.,College Major,5,0.076923077
Nebraska,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,12,0.184615385
Nebraska,C,14,ENGINEERING.,College Major,4,0.061538462
Nebraska,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,4,0.061538462
Nebraska,C,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.015384615
Nebraska,C,54,HISTORY.,College Major,2,0.030769231
Nebraska,C,45,SOCIAL SCIENCES.,College Major,3,0.046153846
Nebraska,C,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,2,0.030769231
Nebraska,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,19,0.292307692
Nebraska,H,42,PSYCHOLOGY.,College Major,1,0.333333333
Nebraska,H,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.333333333
Nebraska,H,45,SOCIAL SCIENCES.,College Major,1,0.333333333
Northern Illinois,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,5,0.096153846
Northern Illinois,AA,14,ENGINEERING.,College Major,4,0.076923077
Northern Illinois,AA,42,PSYCHOLOGY.,College Major,5,0.096153846
Northern Illinois,AA,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.019230769
Northern Illinois,AA,45,SOCIAL SCIENCES.,College Major,10,0.192307692
Northern Illinois,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,10,0.192307692
Northern Illinois,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.019230769
Northern Illinois,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,7,0.134615385
Northern Illinois,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.019230769
Northern Illinois,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,6,0.115384615
Northern Illinois,AA,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.019230769
Northern Illinois,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.019230769
Northern Illinois,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,4,0.095238095
Northern Illinois,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.023809524
Northern Illinois,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,7,0.166666667
Northern Illinois,C,14,ENGINEERING.,College Major,3,0.071428571
Northern Illinois,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.023809524
Northern Illinois,C,13,EDUCATION.,College Major,1,0.023809524
Northern Illinois,C,45,SOCIAL SCIENCES.,College Major,2,0.047619048
Northern Illinois,C,54,HISTORY.,College Major,2,0.047619048
Northern Illinois,C,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,College Major,1,0.023809524
Northern Illinois,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,20,0.476190476
Northern Illinois,H,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.5
Northern Illinois,H,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.5
Northwestern,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.027027027
Northwestern,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,9,0.243243243
Northwestern,AA,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,2,0.054054054
Northwestern,AA,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,1,0.027027027
Northwestern,AA,14,ENGINEERING.,College Major,1,0.027027027
Northwestern,AA,45,SOCIAL SCIENCES.,College Major,10,0.27027027
Northwestern,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,3,0.081081081
Northwestern,AA,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,2,0.054054054
Northwestern,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.027027027
Northwestern,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.027027027
