"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","game_started","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiptions","receiving_yards","yards_per_receiption","receiving_touchdowns","receiving_rushing_touchdowns","receiving_rushing_points","player","started","outcome","score","team_score","opponent_score"
"250",220,1998,5,"1998-10-12","37-027","MIA","@","JAX","L 21-28","*",30,49,0.38,323,2,1,85.7,6.59,6.49,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","21-28",21,28
"251",221,1998,6,"1998-10-18","37-033","MIA","","STL","W 14-0","*",14,26,0.35,114,2,1,74.8,4.38,4.19,3,-3,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","14-0",14,0
"252",222,1998,7,"1998-10-25","37-040","MIA","","NWE","W 12-9","*",23,42,0.354,279,0,3,45.6,6.64,3.43,1,-1,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","12-9",12,9
"253",223,1998,8,"1998-11-01","37-047","MIA","@","BUF","L 24-30","*",15,27,0.357,196,1,0,91,7.26,8,1,10,10,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","24-30",24,30
"254",224,1998,9,"1998-11-08","37-054","MIA","","IND","W 27-14","*",18,27,0.4,207,2,1,98.8,7.67,7.48,1,-2,-2,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","27-14",27,14
"255",225,1998,10,"1998-11-15","37-061","MIA","@","CAR","W 13-9","*",14,21,0.4,140,0,1,65.6,6.67,4.52,2,-3,-1.5,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","13-9",13,9
"256",226,1998,11,"1998-11-23","37-069","MIA","@","NWE","L 23-26","*",24,38,0.387,289,2,1,93,7.61,7.47,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","23-26",23,26
"257",227,1998,12,"1998-11-29","37-075","MIA","","NOR","W 30-10","*",22,40,0.355,255,3,1,89.1,6.38,6.75,3,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","30-10",30,10
"258",228,1998,13,"1998-12-06","37-082","MIA","@","OAK","W 27-17","*",22,33,0.4,170,1,0,89.2,5.15,5.76,4,-4,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","27-17",27,17
"259",229,1998,14,"1998-12-13","37-089","MIA","","NYJ","L 16-21","*",30,57,0.345,321,1,1,67.9,5.63,5.19,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","16-21",16,21
"260",230,1998,15,"1998-12-21","37-097","MIA","","DEN","W 31-21","*",23,38,0.377,355,4,1,115.6,9.34,10.26,2,-1,-0.5,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","31-21",31,21
"261",231,1998,16,"1998-12-27","37-103","MIA","@","ATL","L 16-38","*",21,36,0.368,320,1,2,73.8,8.89,6.94,1,3,3,1,0,0,NA,0,1,6,"Dan Marino",TRUE,"L","16-38",16,38
"264",232,1999,1,"1999-09-13","37-363","MIA","@","DEN","W 38-21","*",15,23,0.395,215,2,0,124.4,9.35,11.09,1,-1,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","38-21",38,21
"265",233,1999,2,"1999-09-19","38-004","MIA","","ARI","W 19-16","*",21,35,0.375,221,1,2,64.1,6.31,4.31,1,-2,-2,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","19-16",19,16
"266",234,1999,3,"1999-10-04","38-019","MIA","","BUF","L 18-23","*",22,44,0.333,251,1,2,56.2,5.7,4.11,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","18-23",18,23
"267",235,1999,4,"1999-10-10","38-025","MIA","@","IND","W 34-31","*",25,38,0.397,393,2,0,117.5,10.34,11.39,1,-1,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","34-31",34,31
"268",236,1999,5,"1999-10-17","38-032","MIA","@","NWE","W 31-30","*",1,3,0.25,8,0,1,2.8,2.67,-12.33,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","31-30",31,30
"269",237,1999,11,"1999-11-25","38-071","MIA","@","DAL","L 0-20","*",15,36,0.294,178,0,5,17.8,4.94,-1.31,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","0-20",0,20
"270",238,1999,12,"1999-12-05","38-081","MIA","","IND","L 34-37","*",24,38,0.387,313,3,1,104.4,8.24,8.63,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","34-37",34,37
"271",239,1999,13,"1999-12-12","38-088","MIA","@","NYJ","L 20-28","*",19,40,0.322,188,0,2,40.4,4.7,2.45,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","20-28",20,28
"272",240,1999,14,"1999-12-19","38-095","MIA","","SDG","W 12-9","*",22,36,0.379,241,0,0,80.9,6.69,6.69,2,-2,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","12-9",12,9
"273",241,1999,15,"1999-12-27","38-103","MIA","","NYJ","L 31-38","*",29,52,0.358,322,3,3,69.6,6.19,4.75,1,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","31-38",31,38
"274",242,1999,16,"2000-01-02","38-109","MIA","@","WAS","L 10-21","*",11,24,0.314,118,0,1,43.4,4.92,3.04,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","10-21",10,21
