"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiptions","receiving_yards","yards_per_receiption","receiving_touchdowns","receiving_rushing_touchdowns","receiving_rushing_points","punt_attempts","punting_yards","yards_per_punt","punts_blocked","player","started","outcome","score","team_score","opponent_score"
"105",93,2006,13,"2006-12-10","29-129","NWE","@","MIA","L 0-21",12,25,0.324,78,0,0,55.1,3.12,3.12,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"L","0-21",0,21
"106",94,2006,14,"2006-12-17","29-136","NWE","","HOU","W 40-7",16,23,0.41,109,2,0,108.8,4.74,6.48,2,2,1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","40-7",40,7
"107",95,2006,15,"2006-12-24","29-143","NWE","@","JAX","W 24-21",28,39,0.418,249,1,0,97.1,6.38,6.9,10,31,3.1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","24-21",24,21
"108",96,2006,16,"2006-12-31","29-150","NWE","@","TEN","W 40-23",15,24,0.385,225,1,0,107.1,9.38,10.21,1,-1,-1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","40-23",40,23
"111",97,2007,1,"2007-09-09","30-037","NWE","@","NYJ","W 38-14",22,28,0.44,297,3,0,146.6,10.61,12.75,1,4,4,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","38-14",38,14
"112",98,2007,2,"2007-09-16","30-044","NWE","","SDG","W 38-14",25,31,0.446,279,3,1,123,9,9.48,1,2,2,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","38-14",38,14
"113",99,2007,3,"2007-09-23","30-051","NWE","","BUF","W 38-7",23,29,0.442,311,4,0,150.9,10.72,13.48,1,2,2,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","38-7",38,7
"114",100,2007,4,"2007-10-01","30-059","NWE","@","CIN","W 34-13",25,32,0.439,231,3,1,115,7.22,7.69,2,-2,-1,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","34-13",34,13
"115",101,2007,5,"2007-10-07","30-065","NWE","","CLE","W 34-17",22,38,0.367,265,3,0,105.7,6.97,8.55,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","34-17",34,17
"116",102,2007,6,"2007-10-14","30-072","NWE","@","DAL","W 48-27",31,46,0.403,388,5,0,129.6,8.43,10.61,3,5,1.67,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","48-27",48,27
"117",103,2007,7,"2007-10-21","30-079","NWE","@","MIA","W 49-28",21,25,0.457,354,6,0,158.3,14.16,18.96,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","49-28",49,28
"118",104,2007,8,"2007-10-28","30-086","NWE","","WAS","W 52-7",29,38,0.433,306,3,0,125.5,8.05,9.63,4,14,3.5,2,0,0,NA,0,2,12,0,0,NA,0,"Tom Brady",TRUE,"W","52-7",52,7
"119",105,2007,9,"2007-11-04","30-093","NWE","@","IND","W 24-20",21,32,0.396,255,3,2,95.2,7.97,7.03,5,14,2.8,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","24-20",24,20
"120",106,2007,10,"2007-11-18","30-107","NWE","@","BUF","W 56-10",31,39,0.443,373,5,0,146.1,9.56,12.13,2,9,4.5,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","56-10",56,10
"121",107,2007,11,"2007-11-25","30-114","NWE","","PHI","W 31-28",34,54,0.386,380,1,0,90,7.04,7.41,3,16,5.33,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","31-28",31,28
"122",108,2007,12,"2007-12-03","30-122","NWE","@","BAL","W 27-24",18,38,0.321,257,2,1,76.3,6.76,6.63,2,14,7,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","27-24",27,24
"123",109,2007,13,"2007-12-09","30-128","NWE","","PIT","W 34-13",32,46,0.41,399,4,0,125.2,8.67,10.41,1,4,4,0,0,0,NA,0,0,0,0,0,NA,0,"Tom Brady",TRUE,"W","34-13",34,13
