ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Experience,Hometown/Prior_School,Player_URL,Photo_URL
FBALL,UF,2005-2006,45,Butch Rowley,Butch,Rowley,LS/LB,6/1/13,192,RFR,TR,Orlando/The First Academy/Utah,http://www.gatorzone.com/football/bios.php?sub=team&bio=rowley.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=rowley.html
FBALL,UF,2005-2006,46,Jarvis Herring,Jarvis,Herring,S,5/11/13,205,SR,3L,Live Oak/Suwannee,http://www.gatorzone.com/football/bios.php?sub=team&bio=herring.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=herring.html
FBALL,UF,2005-2006,47,Todd McCullough,Todd,McCullough,LB,6/5/13,233,SR,3L,Macclenny/The Bolles School,http://www.gatorzone.com/football/bios.php?sub=team&bio=mccullough.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=mccullough.html
FBALL,UF,2005-2006,48,Javier Estopinan,Javier,Estopinan,DL,6/1/13,280,SO,1L,Miami/South Miami,http://www.gatorzone.com/football/bios.php?sub=team&bio=estopinan.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=estopinan.html
FBALL,UF,2005-2006,49,Terrence Holmes,Terrence,Holmes,S,5/11/13,202,JR,2L,"Glassboro, N.J./Glassboro",http://www.gatorzone.com/football/bios.php?sub=team&bio=holmes.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=holmes.html
FBALL,UF,2005-2006,49,Shane Cimock,Shane,Cimock,LB,5/10/13,220,SR,SQ,Orlando/Bishop Moore,http://www.gatorzone.com/football/bios.php?sub=team&bio=cimock.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=cimock.html
FBALL,UF,2005-2006,50,Branden Daniel,Branden,Daniel,DT,6/3/13,290,RFR,SQ,Pompano Beach/Blanche Ely,http://www.gatorzone.com/football/bios.php?sub=team&bio=daniel.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=daniel.html
FBALL,UF,2005-2006,50,Jay Patella,Jay,Patella,LS,6/1/13,225,JR,SQ,Sarasota/Sarasota,http://www.gatorzone.com/football/bios.php?sub=team&bio=patella.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=patella.html
FBALL,UF,2005-2006,51,Bryan Royal,Bryan,Royal,DE,6/1/00,230,SR,2L,Winter Park/Winter Park,http://www.gatorzone.com/football/bios.php?sub=team&bio=royal.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=royal.html
FBALL,UF,2005-2006,52,Alvin Butler,Alvin,Butler,LB,6/1/00,227,SO,1L,"Sumter, S.C./Wilson Hall",http://www.gatorzone.com/football/bios.php?sub=team&bio=butler_a.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=butler_a.html
FBALL,UF,2005-2006,53,Joey Viscusi,Joey,Viscusi,LB,6/2/13,235,SO,SQ,Lakeland/Lakeland,http://www.gatorzone.com/football/bios.php?sub=team&bio=viscusi.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=viscusi.html
FBALL,UF,2005-2006,54,Doug Guziec,Doug,Guziec,LB,6/1/13,235,JR,SQ,"Lake Forest, Ill./Lake Forest",http://www.gatorzone.com/football/bios.php?sub=team&bio=guziec.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=guziec.html
FBALL,UF,2005-2006,55,Jon Demps,Jon,Demps,LB,6/4/13,219,FR,HS,Pensacola/Washington,http://www.gatorzone.com/football/bios.php?sub=team&bio=demps.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=demps.html
FBALL,UF,2005-2006,56,Pat Kelley,Pat,Kelley,LB,6/1/00,231,JR,SQ,"Hinsdale, Ill./Hinsdale Central",http://www.gatorzone.com/football/bios.php?sub=team&bio=kelley.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=kelley.html
FBALL,UF,2005-2006,57,Jeremy Mincey,Jeremy,Mincey,DE,6/4/13,265,SR,1L,"Statesboro, Ga./Statesboro/Butler (Kan.) JC",http://www.gatorzone.com/football/bios.php?sub=team&bio=mincey.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=mincey.html
FBALL,UF,2005-2006,58,Mike Williamson,Mike,Williamson,LS,6/1/00,190,FR,HS,Winter Park/The First Academy,http://www.gatorzone.com/football/bios.php?sub=team&bio=williamson.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=williamson.html
FBALL,UF,2005-2006,59,Julian Riley,Julian,Riley,DL,6/3/13,285,SO,SQ,St. Petersburg/Lakewood,http://www.gatorzone.com/football/bios.php?sub=team&bio=riley.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=riley.html
FBALL,UF,2005-2006,60,Zachary Aronson,Zachary,Aronson,LS,6/2/13,218,FR,HS,Coral Springs/Stoneman Douglas,http://www.gatorzone.com/football/bios.php?sub=team&bio=aronson.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=aronson.html
FBALL,UF,2005-2006,61,Vernon Shelton,Vernon,Shelton,DL,6/1/00,273,FR,HS,Gainesville/P.K. Yonge,http://www.gatorzone.com/football/bios.php?sub=team&bio=shelton.html,http://www.gatorzone.com/football/bios.php?year=2005&sub=team&bio=shelton.html
