ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Year,Height,Weight,Hometown/Last_School,Last_School,Player_URL
UGA,FBALL,2011-2012,9,Alec Ogletree,Alec,Ogletree,ILB,SO,6/3/13,236,"Newnan, Ga./Newnan HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/ogletree_alec00.html
UGA,FBALL,2011-2012,46,Alexander Ogletree,Alexander,Ogletree,FB,SO,5/10/13,224,"Newnan, Ga./Newnan HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/ogletree_alexander00.html
UGA,FBALL,2011-2012,23,Alex Parsons,Alex,Parsons,TB,RS SO,5/10/13,194,"Fayetteville, Ga./Fayette County/BYU",,http://www.georgiadogs.com/sports/m-footbl/mtt/parsons_alex00.html
UGA,FBALL,2011-2012,29,Jamal Payette,Jamal,Payette,WR,FR,6/3/13,183,"Cleveland, Ga./White County",,http://www.georgiadogs.com/sports/m-footbl/mtt/payette_jamal00.html
UGA,FBALL,2011-2012,18,Bacarri Rambo,Bacarri,Rambo,FS,JR,6/1/00,218,"Donalsonville, Ga./Seminole County",,http://www.georgiadogs.com/sports/m-footbl/mtt/rambo_bacarri00.html
UGA,FBALL,2011-2012,91,Geoff Rapp,Geoff,Rapp,DL,FR,6/3/13,230,"Kennesaw, Ga./North Cobb/Georgia Perimeter College",,http://www.georgiadogs.com/sports/m-footbl/mtt/rapp_geoff00.html
UGA,FBALL,2011-2012,55,Ben Reynolds,Ben,Reynolds,C,RS SO,6/2/13,255,"Bainbridge, Ga./Bainbridge",,http://www.georgiadogs.com/sports/m-footbl/mtt/reynolds_ben00.html
UGA,FBALL,2011-2012,45,Christian Robinson,Christian,Robinson,ILB,JR,6/2/13,226,"Norcross, Ga./Greater Atlanta Christian",,http://www.georgiadogs.com/sports/m-footbl/mtt/robinson_christian00.html
UGA,FBALL,2011-2012,87,Jay Rome,Jay,Rome,TE,FR,6/6/13,254,"Valdosta, Ga./Valdosta H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/rome_jay00.html
UGA,FBALL,2011-2012,42,Dustin Royston,Dustin,Royston,FB,RS SO,5/11/13,242,"Royston, Ga./Stephens County HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/royston_dustin00.html
UGA,FBALL,2011-2012,3,Blake Sailors,Blake,Sailors,CB,RS SO,5/11/13,186,"Athens, Ga./Oconee County HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/sailors_blake00.html
UGA,FBALL,2011-2012,22,Richard Samuel IV,Richard,Samuel IV,RB,JR,6/2/13,243,"Cartersville, Ga./Cass",,http://www.georgiadogs.com/sports/m-footbl/mtt/samueliv_richard00.html
UGA,FBALL,2011-2012,8,Chris Sanders,Chris,Sanders,DB,FR,6/1/13,180,"Tucker, Ga./Tucker H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/sanders_chris00.html
UGA,FBALL,2011-2012,86,Justin Scott-Wesley,Justin,Scott-Wesley,WR,FR,5/11/13,218,"Camila, Ga./Mitchell County H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/scottwesley_justin00.html
UGA,FBALL,2011-2012,84,Sanford Seay,Sanford,Seay,WR,FR,6/2/13,196,"Leesburg, Ga./Lee County H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/seay_sanford00.html
UGA,FBALL,2011-2012,1,Branden Smith,Branden,Smith,CB,JR,5/11/13,176,"Atlanta, Ga./Washington",,http://www.georgiadogs.com/sports/m-footbl/mtt/smith_branden00.html
UGA,FBALL,2011-2012,56,Garrison Smith,Garrison,Smith,DE,SO,6/3/13,294,"Atlanta, Ga./Douglass HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/smith_garrison00.html
UGA,FBALL,2011-2012,44,T.J. Stripling,T.J.,Stripling,OLB,SO,6/6/13,222,"Decatur, Ga./Southwest Dekalb HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/stripling_tj00.html
UGA,FBALL,2011-2012,77,Trinton Sturdivant,Trinton,Sturdivant,OT,SR,6/5/13,310,"Wadesboro, N.C./Anson",,http://www.georgiadogs.com/sports/m-footbl/mtt/sturdivant_trinton00.html
UGA,FBALL,2011-2012,38,Jeremy Sulek,Jeremy,Sulek,ILB,SR,6/1/13,209,"Dacula, Ga./Dacula HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/sulek_jeremy00.html
UGA,FBALL,2011-2012,5,Damian Swann,Damian,Swann,DB,FR,5/11/13,177,"Atlanta, Ga./Grady H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/swann_damian00.html
UGA,FBALL,2011-2012,6,Michael Tamburo,Michael,Tamburo,QB,RS SO,5/11/13,196,"Suwanee, Ga./North Gwinnett/Boise State",,http://www.georgiadogs.com/sports/m-footbl/mtt/tamburo_michael00.html
UGA,FBALL,2011-2012,59,Nathan Theus,Nathan,Theus,OL,FR,6/3/13,254,"Jacksonville, Fla./The Bolles School",,http://www.georgiadogs.com/sports/m-footbl/mtt/theus_nathan00.html
UGA,FBALL,2011-2012,30,Carlton Thomas,Carlton,Thomas,TB,JR,5/7/13,163,"Frostproof, Fla./Frostproof",,http://www.georgiadogs.com/sports/m-footbl/mtt/thomas_carlton00.html
UGA,FBALL,2011-2012,96,Mike Thornton,Mike,Thornton,N,RS FR,6/1/13,287,"Stone Mountain, Ga./Stephenson HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/thornton_mike00.html
UGA,FBALL,2011-2012,28,Israel Troupe,Israel,Troupe,SE,SR,6/1/13,222,"Tifton, Ga./Tift County",,http://www.georgiadogs.com/sports/m-footbl/mtt/troupe_israel00.html
UGA,FBALL,2011-2012,94,DeAngelo Tyson,DeAngelo,Tyson,DE,SR,6/2/13,306,"Statesboro, Ga./Statesboro HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/tyson_deangelo00.html
UGA,FBALL,2011-2012,36,Wes Van Dyk,Wes,Van Dyk,TB,SR,6/1/00,203,"Highland Park, Texas/Highland Park",,http://www.georgiadogs.com/sports/m-footbl/mtt/vandyk_wes00.html
UGA,FBALL,2011-2012,33,Chase Vasser,Chase,Vasser,OLB,RS SO,6/3/13,227,"Gainesville, Ga./Chestatee HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/vasser_chase00.html
UGA,FBALL,2011-2012,48,Kosta Vavlas,Kosta,Vavlas,ILB,RS FR,6/1/00,219,"Tarpon Springs, Fla./Tarpon Springs HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/vavlas_kosta00.html
UGA,FBALL,2011-2012,49,Jason Veal,Jason,Veal,ILB,SR,5/11/13,220,"Lilburn, Ga./Parkview HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/veal_jason00.html
UGA,FBALL,2011-2012,57,Blair Walsh,Blair,Walsh,PK,SR,5/10/13,192,"Boca Raton, Fla./Cardinal Gibbons",,http://www.georgiadogs.com/sports/m-footbl/mtt/walsh_blair00.html
UGA,FBALL,2011-2012,63,Xzavier Ward,Xzavier,Ward,OL,FR,6/7/13,264,"Moultrie, Ga./Colquitt County H.S.",,http://www.georgiadogs.com/sports/m-footbl/mtt/ward_xzavier00.html
UGA,FBALL,2011-2012,83,Cornelius Washington,Cornelius,Washington,OLB,JR,6/4/13,269,"Hephzibah, Ga./Burke County",,http://www.georgiadogs.com/sports/m-footbl/mtt/washington_cornelius00.html
UGA,FBALL,2011-2012,2,Parker Welch,Parker,Welch,QB,RS FR,6/3/13,204,"Jesup, Ga./Wayne County HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/welch_parker00.html
UGA,FBALL,2011-2012,18,Evan Wells,Evan,Wells,WR,FR,6/1/13,174,"Augusta, Ga./Augusta Christian",,http://www.georgiadogs.com/sports/m-footbl/mtt/wells_evan00.html
UGA,FBALL,2011-2012,81,Aron White,Aron,White,TE,SR,6/4/13,239,"Columbia, Mo./Rock Bridge HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/white_aron00.html
UGA,FBALL,2011-2012,67,Hugh Williams,Hugh,Williams,OT,RS FR,6/5/13,254,"Atlanta, Ga./Marist HS",,http://www.georgiadogs.com/sports/m-footbl/mtt/williams_hugh00.html
UGA,FBALL,2011-2012,36,Shawn Williams,Shawn,Williams,SS,JR,6/1/13,220,"Damascus, Ga./Early County",,http://www.georgiadogs.com/sports/m-footbl/mtt/williams_shawn00.html
UGA,FBALL,2011-2012,44,Drew Wilson,Drew,Wilson,FB,SO,6/2/13,206,"Tignall, Ga.//Lambuth Univ.",,http://www.georgiadogs.com/sports/m-footbl/mtt/wilson_drew00.html
