Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.W,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2009-2010,207388,Oklahoma State University-Main Campus,First major,Physical Sciences,'40',Bachelor's degree,20,17,3,1,0,1,0,0,0,0,0,0,0,0,0,19,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,207388,Oklahoma State University-Main Campus,First major,Transportation and Materials Moving,'49',Bachelor's degree,61,51,10,1,1,0,1,1,0,2,1,1,0,0,0,55,46,9,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0
2009-2010,209542,Oregon State University,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,225,111,114,4,4,0,4,1,3,2,0,2,5,2,3,184,91,93,4,1,3,0,0,0,0,0,0,25,12,13,1,1,0
2009-2010,209542,Oregon State University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,12,3,9,0,0,0,0,0,0,1,0,1,3,2,1,7,1,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2009-2010,209542,Oregon State University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,217,101,116,2,0,2,39,16,23,0,0,0,10,9,1,146,67,79,38,15,23,1,1,0,0,0,0,16,7,9,4,2,2
2009-2010,209542,Oregon State University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,14,9,5,1,1,0,0,0,0,1,0,1,0,0,0,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,209542,Oregon State University,First major,Psychology,'42',Bachelor's degree,114,32,82,0,0,0,8,0,8,2,0,2,6,2,4,84,29,55,7,0,7,1,0,1,0,0,0,11,1,10,3,0,3
2009-2010,209542,Oregon State University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,66,61,5,0,0,0,7,6,1,1,1,0,2,2,0,46,43,3,7,6,1,0,0,0,0,0,0,6,6,0,4,3,1
2009-2010,209542,Oregon State University,First major,Education,'13',Bachelor's degree,56,20,36,1,0,1,4,2,2,0,0,0,1,0,1,48,18,30,3,1,2,1,1,0,0,0,0,2,0,2,0,0,0
2009-2010,209542,Oregon State University,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,160,79,81,3,1,2,12,6,6,2,2,0,10,8,2,114,54,60,11,6,5,1,0,1,0,0,0,13,6,7,6,2,4
2009-2010,209542,Oregon State University,First major,Visual and Performing Arts,'50',Bachelor's degree,122,32,90,1,0,1,7,4,3,2,0,2,7,2,5,93,25,68,5,4,1,2,0,2,0,0,0,9,1,8,3,0,3
2009-2010,209542,Oregon State University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,503,322,181,4,1,3,57,32,25,3,1,2,16,8,8,365,236,129,53,31,22,4,1,3,2,1,1,48,39,9,8,4,4
2009-2010,209542,Oregon State University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,36,15,21,0,0,0,2,1,1,1,0,1,4,3,1,26,9,17,2,1,1,0,0,0,0,0,0,3,2,1,0,0,0
2009-2010,209542,Oregon State University,First major,History,'54',Bachelor's degree,58,43,15,1,0,1,2,1,1,0,0,0,0,0,0,49,38,11,2,1,1,0,0,0,0,0,0,6,4,2,0,0,0
2009-2010,209542,Oregon State University,First major,Natural Resources and Conservation,'03',Bachelor's degree,170,85,85,4,0,4,4,3,1,1,0,1,9,7,2,128,63,65,3,2,1,1,1,0,0,0,0,24,12,12,0,0,0
2009-2010,209542,Oregon State University,First major,Physical Sciences,'40',Bachelor's degree,59,41,18,0,0,0,3,2,1,0,0,0,1,1,0,46,31,15,3,2,1,0,0,0,0,0,0,9,7,2,0,0,0
2009-2010,209542,Oregon State University,First major,Engineering,'14',Bachelor's degree,513,433,80,5,3,2,35,29,6,2,1,1,16,16,0,396,331,65,31,25,6,4,4,0,3,3,0,45,43,2,11,7,4
2009-2010,209542,Oregon State University,First major,English Language and Literature/Letters,'23',Bachelor's degree,136,53,83,1,1,0,7,3,4,7,4,3,7,3,4,102,38,64,6,3,3,1,0,1,2,0,2,10,4,6,0,0,0
2009-2010,209542,Oregon State University,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,352,41,311,3,0,3,17,6,11,3,0,3,25,4,21,274,27,247,13,4,9,4,2,2,0,0,0,25,2,23,5,2,3
2009-2010,209542,Oregon State University,First major,Health Professions and Related Programs,'51',Bachelor's degree,94,24,70,3,1,2,8,3,5,1,0,1,7,1,6,64,17,47,8,3,5,0,0,0,0,0,0,10,2,8,1,0,1
2009-2010,209542,Oregon State University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,188,69,119,3,1,2,5,2,3,7,2,5,11,2,9,133,51,82,2,0,2,3,2,1,2,1,1,27,10,17,0,0,0
2009-2010,209542,Oregon State University,First major,Mathematics and Statistics,'27',Bachelor's degree,31,19,12,0,0,0,4,3,1,0,0,0,0,0,0,20,12,8,3,3,0,1,0,1,1,0,1,6,4,2,0,0,0
2009-2010,209542,Oregon State University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,158,67,91,0,0,0,43,20,23,1,1,0,5,2,3,96,38,58,39,18,21,4,2,2,0,0,0,8,5,3,5,1,4
2009-2010,209542,Oregon State University,First major,Social Sciences,'45',Bachelor's degree,169,96,73,0,0,0,15,8,7,4,4,0,6,2,4,127,71,56,14,7,7,1,1,0,2,2,0,12,9,3,3,0,3
2009-2010,186380,Rutgers University-New Brunswick,First major,Architecture and Related Services,'04',Bachelor's degree,39,29,10,0,0,0,1,1,0,0,0,0,1,1,0,37,27,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,186380,Rutgers University-New Brunswick,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,567,180,387,0,0,0,83,25,58,57,20,37,65,18,47,333,109,224,83,25,58,0,0,0,10,4,6,12,3,9,7,1,6
2009-2010,186380,Rutgers University-New Brunswick,First major,English Language and Literature/Letters,'23',Bachelor's degree,237,87,150,0,0,0,31,9,22,21,4,17,20,8,12,153,64,89,31,9,22,0,0,0,3,1,2,8,1,7,1,0,1
2009-2010,186380,Rutgers University-New Brunswick,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,220,148,72,0,0,0,13,10,3,27,15,12,30,15,15,142,102,40,13,10,3,0,0,0,3,2,1,5,4,1,0,0,0
2009-2010,186380,Rutgers University-New Brunswick,First major,Physical Sciences,'40',Bachelor's degree,82,64,18,0,0,0,16,9,7,2,1,1,5,3,2,54,46,8,16,9,7,0,0,0,1,1,0,3,3,0,1,1,0
2009-2010,186380,Rutgers University-New Brunswick,First major,Psychology,'42',Bachelor's degree,604,177,427,1,1,0,133,43,90,41,8,33,50,12,38,349,107,242,133,43,90,0,0,0,12,1,11,14,3,11,4,2,2
2009-2010,186380,Rutgers University-New Brunswick,First major,Social Sciences,'45',Bachelor's degree,1068,632,436,2,1,1,271,156,115,76,35,41,86,49,37,566,353,213,271,156,115,0,0,0,16,8,8,27,17,10,24,13,11
2009-2010,186380,Rutgers University-New Brunswick,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,589,273,316,1,1,0,290,129,161,46,21,25,28,14,14,183,89,94,290,129,161,0,0,0,7,2,5,20,9,11,14,8,6
2009-2010,186380,Rutgers University-New Brunswick,First major,History,'54',Bachelor's degree,254,152,102,2,2,0,21,13,8,11,2,9,28,14,14,179,113,66,21,13,8,0,0,0,6,3,3,7,5,2,0,0,0
2009-2010,186380,Rutgers University-New Brunswick,First major,Mathematics and Statistics,'27',Bachelor's degree,76,54,22,0,0,0,17,15,2,3,1,2,5,4,1,44,31,13,17,15,2,0,0,0,0,0,0,1,1,0,6,2,4
2009-2010,186380,Rutgers University-New Brunswick,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,195,106,89,1,1,0,40,22,18,19,6,13,12,7,5,111,64,47,40,22,18,0,0,0,7,3,4,4,2,2,1,1,0
2009-2010,186380,Rutgers University-New Brunswick,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,80,33,47,0,0,0,8,4,4,15,6,9,9,4,5,43,19,24,8,4,4,0,0,0,3,0,3,2,0,2,0,0,0
2009-2010,186380,Rutgers University-New Brunswick,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,433,235,198,1,0,1,160,79,81,29,11,18,20,12,8,194,119,75,160,79,81,0,0,0,4,1,3,13,5,8,12,8,4
2009-2010,186380,Rutgers University-New Brunswick,First major,Engineering,'14',Bachelor's degree,534,449,85,1,1,0,185,151,34,36,30,6,31,20,11,239,215,24,185,151,34,0,0,0,9,9,0,9,9,0,24,14,10
2009-2010,186380,Rutgers University-New Brunswick,First major,Health Professions and Related Programs,'51',Bachelor's degree,82,15,67,0,0,0,12,2,10,32,5,27,9,2,7,20,4,16,12,2,10,0,0,0,2,0,2,7,2,5,0,0,0
2009-2010,186380,Rutgers University-New Brunswick,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,76,17,59,0,0,0,22,5,17,3,1,2,4,0,4,45,10,35,22,5,17,0,0,0,1,1,0,1,0,1,0,0,0
2009-2010,186380,Rutgers University-New Brunswick,First major,Philosophy and Religious Studies,'38',Bachelor's degree,76,59,17,0,0,0,10,10,0,2,1,1,9,9,0,51,37,14,10,10,0,0,0,0,0,0,0,3,2,1,1,0,1
2009-2010,186380,Rutgers University-New Brunswick,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,36,3,33,0,0,0,2,0,2,9,0,9,2,0,2,20,3,17,2,0,2,0,0,0,3,0,3,0,0,0,0,0,0
2009-2010,186380,Rutgers University-New Brunswick,First major,Visual and Performing Arts,'50',Bachelor's degree,220,84,136,0,0,0,22,9,13,14,5,9,15,5,10,158,62,96,22,9,13,0,0,0,4,1,3,5,2,3,2,0,2
2009-2010,186380,Rutgers University-New Brunswick,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,97,35,62,0,0,0,10,5,5,2,2,0,7,2,5,76,26,50,10,5,5,0,0,0,1,0,1,1,0,1,0,0,0
2009-2010,186380,Rutgers University-New Brunswick,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,152,130,22,0,0,0,46,37,9,15,11,4,9,9,0,70,63,7,46,37,9,0,0,0,1,1,0,6,5,1,5,4,1
2009-2010,186380,Rutgers University-New Brunswick,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,115,29,86,0,0,0,24,7,17,5,0,5,27,4,23,53,16,37,24,7,17,0,0,0,2,0,2,4,2,2,0,0,0
2009-2010,186380,Rutgers University-New Brunswick,First major,Natural Resources and Conservation,'03',Bachelor's degree,73,31,42,1,0,1,5,2,3,1,0,1,6,1,5,57,26,31,5,2,3,0,0,0,2,1,1,1,1,0,0,0,0
2009-2010,122755,San Jose State University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,282,114,168,1,0,1,51,19,32,19,6,13,43,17,26,100,43,57,,,,,,,,,,58,27,31,10,2,8
2009-2010,122755,San Jose State University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,69,57,12,0,0,0,22,15,7,2,2,0,4,4,0,19,18,1,,,,,,,,,,14,12,2,8,6,2
2009-2010,122755,San Jose State University,First major,Education,'13',Bachelor's degree,157,5,152,0,0,0,31,2,29,3,0,3,28,1,27,70,2,68,,,,,,,,,,22,0,22,3,0,3
2009-2010,122755,San Jose State University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,4,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,,,,,,,,,,2,1,1,0,0,0
2009-2010,122755,San Jose State University,First major,Engineering,'14',Bachelor's degree,383,329,54,1,1,0,146,120,26,9,8,1,65,55,10,74,64,10,,,,,,,,,,70,65,5,18,16,2
2009-2010,122755,San Jose State University,First major,Mathematics and Statistics,'27',Bachelor's degree,29,16,13,0,0,0,7,4,3,1,0,1,3,2,1,17,9,8,,,,,,,,,,1,1,0,0,0,0
2009-2010,122755,San Jose State University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,50,15,35,0,0,0,10,3,7,2,0,2,12,2,10,13,3,10,,,,,,,,,,13,7,6,0,0,0
2009-2010,122755,San Jose State University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,115,53,62,1,1,0,51,26,25,4,2,2,18,8,10,20,8,12,,,,,,,,,,19,8,11,2,0,2
2009-2010,122755,San Jose State University,First major,Health Professions and Related Programs,'51',Bachelor's degree,429,82,347,2,0,2,170,45,125,18,4,14,46,9,37,113,13,100,,,,,,,,,,76,11,65,4,0,4
2009-2010,122755,San Jose State University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,67,13,54,0,0,0,7,3,4,1,0,1,12,2,10,32,3,29,,,,,,,,,,15,5,10,0,0,0
2009-2010,122755,San Jose State University,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,167,88,79,0,0,0,44,27,17,8,6,2,24,14,10,63,23,40,,,,,,,,,,22,14,8,6,4,2
2009-2010,122755,San Jose State University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,22,15,7,0,0,0,3,1,2,1,1,0,3,2,1,7,5,2,,,,,,,,,,8,6,2,0,0,0
2009-2010,122755,San Jose State University,First major,Physical Sciences,'40',Bachelor's degree,61,43,18,0,0,0,21,18,3,0,0,0,3,1,2,24,19,5,,,,,,,,,,10,3,7,3,2,1
2009-2010,122755,San Jose State University,First major,English Language and Literature/Letters,'23',Bachelor's degree,229,91,138,2,1,1,37,19,18,10,5,5,36,13,23,90,37,53,,,,,,,,,,52,16,36,2,0,2
2009-2010,122755,San Jose State University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,49,18,31,1,1,0,6,1,5,1,0,1,14,3,11,18,8,10,,,,,,,,,,8,5,3,1,0,1
2009-2010,122755,San Jose State University,First major,History,'54',Bachelor's degree,74,61,13,1,1,0,4,4,0,2,2,0,15,10,5,38,33,5,,,,,,,,,,14,11,3,0,0,0
2009-2010,122755,San Jose State University,First major,Psychology,'42',Bachelor's degree,281,82,199,1,1,0,68,25,43,13,6,7,60,10,50,88,27,61,,,,,,,,,,43,13,30,8,0,8
2009-2010,122755,San Jose State University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,92,14,78,0,0,0,19,3,16,3,0,3,39,4,35,18,5,13,,,,,,,,,,12,2,10,1,0,1
2009-2010,122755,San Jose State University,First major,Social Sciences,'45',Bachelor's degree,349,169,180,3,1,2,66,28,38,16,8,8,79,37,42,111,56,55,,,,,,,,,,68,34,34,6,5,1
2009-2010,122755,San Jose State University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,1479,808,671,1,1,0,628,351,277,44,29,15,205,107,98,328,185,143,,,,,,,,,,198,107,91,75,28,47
2009-2010,122755,San Jose State University,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,191,98,93,1,0,1,43,27,16,4,1,3,61,26,35,53,29,24,,,,,,,,,,28,14,14,1,1,0
2009-2010,122755,San Jose State University,First major,Natural Resources and Conservation,'03',Bachelor's degree,30,13,17,0,0,0,2,2,0,1,1,0,2,1,1,19,6,13,,,,,,,,,,5,3,2,1,0,1
2009-2010,122755,San Jose State University,First major,Transportation and Materials Moving,'49',Bachelor's degree,30,27,3,0,0,0,4,4,0,0,0,0,4,3,1,13,13,0,,,,,,,,,,7,5,2,2,2,0
2009-2010,122755,San Jose State University,First major,Visual and Performing Arts,'50',Bachelor's degree,422,167,255,3,1,2,95,41,54,8,1,7,54,26,28,134,47,87,,,,,,,,,,115,49,66,13,2,11
2009-2010,228246,Southern Methodist University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,12,10,2,,,,,,,,,,0,0,0,0,0,0
2009-2010,228246,Southern Methodist University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,201,33,168,1,0,1,6,2,4,6,5,1,9,1,8,176,24,152,,,,,,,,,,1,0,1,2,1,1
2009-2010,228246,Southern Methodist University,First major,Engineering Technologies and Engineering-related Fields,'15',Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0
2009-2010,228246,Southern Methodist University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,49,27,22,0,0,0,3,2,1,4,1,3,6,3,3,33,19,14,,,,,,,,,,0,0,0,3,2,1
2009-2010,228246,Southern Methodist University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,21,15,6,0,0,0,0,0,0,1,1,0,2,2,0,18,12,6,,,,,,,,,,0,0,0,0,0,0
2009-2010,228246,Southern Methodist University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,4,2,2,0,0,0,1,1,0,1,0,1,2,1,1,0,0,0,,,,,,,,,,0,0,0,0,0,0
2009-2010,228246,Southern Methodist University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,456,254,202,4,3,1,46,26,20,7,5,2,29,15,14,338,189,149,,,,,,,,,,1,1,0,31,15,16
2009-2010,228246,Southern Methodist University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,14,9,5,0,0,0,2,1,1,0,0,0,1,1,0,11,7,4,,,,,,,,,,0,0,0,0,0,0
2009-2010,228246,Southern Methodist University,First major,English Language and Literature/Letters,'23',Bachelor's degree,44,13,31,0,0,0,3,1,2,5,1,4,2,0,2,33,10,23,,,,,,,,,,0,0,0,1,1,0
2009-2010,228246,Southern Methodist University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,64,11,53,1,0,1,2,0,2,1,0,1,12,2,10,45,8,37,,,,,,,,,,0,0,0,3,1,2
2009-2010,228246,Southern Methodist University,First major,Psychology,'42',Bachelor's degree,117,19,98,1,0,1,8,0,8,4,1,3,11,2,9,87,16,71,,,,,,,,,,0,0,0,6,0,6
2009-2010,228246,Southern Methodist University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,66,19,47,1,0,1,20,4,16,3,0,3,4,2,2,37,13,24,,,,,,,,,,0,0,0,1,0,1
2009-2010,228246,Southern Methodist University,First major,Education,'13',Bachelor's degree,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,,,,,,,,,,0,0,0,0,0,0
2009-2010,228246,Southern Methodist University,First major,Engineering,'14',Bachelor's degree,91,62,29,1,1,0,4,2,2,0,0,0,12,10,2,69,46,23,,,,,,,,,,0,0,0,5,3,2
2009-2010,228246,Southern Methodist University,First major,Health Professions and Related Programs,'51',Bachelor's degree,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,0,0,0,0,0,0
2009-2010,228246,Southern Methodist University,First major,History,'54',Bachelor's degree,49,31,18,1,1,0,3,3,0,2,2,0,5,2,3,38,23,15,,,,,,,,,,0,0,0,0,0,0
2009-2010,228246,Southern Methodist University,First major,Mathematics and Statistics,'27',Bachelor's degree,61,34,27,0,0,0,6,4,2,1,1,0,5,4,1,44,23,21,,,,,,,,,,0,0,0,5,2,3
2009-2010,228246,Southern Methodist University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,31,11,20,0,0,0,2,2,0,0,0,0,4,2,2,24,6,18,,,,,,,,,,0,0,0,1,1,0
2009-2010,228246,Southern Methodist University,First major,Natural Resources and Conservation,'03',Bachelor's degree,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,,,,,,,,,,0,0,0,0,0,0
2009-2010,228246,Southern Methodist University,First major,Physical Sciences,'40',Bachelor's degree,20,10,10,0,0,0,4,2,2,1,1,0,4,2,2,11,5,6,,,,,,,,,,0,0,0,0,0,0
2009-2010,228246,Southern Methodist University,First major,Social Sciences,'45',Bachelor's degree,366,226,140,3,0,3,17,8,9,23,14,9,27,17,10,261,165,96,,,,,,,,,,2,0,2,33,22,11
2009-2010,228246,Southern Methodist University,First major,Visual and Performing Arts,'50',Bachelor's degree,136,50,86,0,0,0,5,3,2,14,6,8,10,2,8,100,38,62,,,,,,,,,,0,0,0,7,1,6
2009-2010,243744,Stanford University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,35,9,26,5,1,4,6,3,3,8,2,6,5,0,5,10,3,7,,,,,,,,,,1,0,1,0,0,0
2009-2010,243744,Stanford University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,85,78,7,0,0,0,20,17,3,3,3,0,8,8,0,39,35,4,,,,,,,,,,6,6,0,9,9,0
2009-2010,243744,Stanford University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,48,21,27,0,0,0,9,3,6,4,0,4,5,2,3,24,12,12,,,,,,,,,,5,3,2,1,1,0
2009-2010,243744,Stanford University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,24,15,9,0,0,0,5,2,3,3,2,1,0,0,0,9,7,2,,,,,,,,,,5,3,2,2,1,1
2009-2010,243744,Stanford University,First major,Visual and Performing Arts,'50',Bachelor's degree,37,10,27,2,0,2,0,0,0,6,1,5,6,0,6,21,9,12,,,,,,,,,,2,0,2,0,0,0
2009-2010,243744,Stanford University,First major,Social Sciences,'45',Bachelor's degree,358,193,165,8,4,4,64,33,31,29,16,13,41,15,26,156,92,64,,,,,,,,,,21,12,9,39,21,18
2009-2010,243744,Stanford University,First major,History,'54',Bachelor's degree,57,30,27,2,1,1,6,3,3,4,3,1,5,4,1,34,16,18,,,,,,,,,,5,3,2,1,0,1
2009-2010,243744,Stanford University,First major,Mathematics and Statistics,'27',Bachelor's degree,50,38,12,1,0,1,14,10,4,1,1,0,1,1,0,23,18,5,,,,,,,,,,1,1,0,9,7,2
2009-2010,243744,Stanford University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,272,83,189,6,1,5,77,24,53,43,13,30,39,11,28,90,28,62,,,,,,,,,,11,5,6,6,1,5
2009-2010,243744,Stanford University,First major,Psychology,'42',Bachelor's degree,71,16,55,4,1,3,9,1,8,12,2,10,10,3,7,31,7,24,,,,,,,,,,3,2,1,2,0,2
2009-2010,243744,Stanford University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,22,13,9,1,1,0,5,3,2,1,1,0,2,1,1,11,6,5,,,,,,,,,,2,1,1,0,0,0
2009-2010,243744,Stanford University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,122,57,65,1,0,1,51,26,25,9,6,3,13,5,8,39,15,24,,,,,,,,,,6,2,4,3,3,0
2009-2010,243744,Stanford University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,37,17,20,2,1,1,9,3,6,9,4,5,2,2,0,11,6,5,,,,,,,,,,3,1,2,1,0,1
2009-2010,243744,Stanford University,First major,Engineering,'14',Bachelor's degree,234,155,79,3,1,2,78,49,29,24,16,8,17,12,5,74,49,25,,,,,,,,,,17,12,5,21,16,5
2009-2010,243744,Stanford University,First major,Engineering Technologies and Engineering-related Fields,'15',Bachelor's degree,59,44,15,0,0,0,11,4,7,4,4,0,11,9,2,20,16,4,,,,,,,,,,2,2,0,11,9,2
2009-2010,243744,Stanford University,First major,English Language and Literature/Letters,'23',Bachelor's degree,67,26,41,2,1,1,13,5,8,4,3,1,9,6,3,33,10,23,,,,,,,,,,6,1,5,0,0,0
2009-2010,243744,Stanford University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,6,1,5,0,0,0,1,0,1,0,0,0,0,0,0,5,1,4,,,,,,,,,,0,0,0,0,0,0
2009-2010,243744,Stanford University,First major,Physical Sciences,'40',Bachelor's degree,87,39,48,2,0,2,15,8,7,1,0,1,10,5,5,47,22,25,,,,,,,,,,7,3,4,5,1,4
2009-2010,228723,Texas A & M University-College Station,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,5,1,4,0,0,0,0,0,0,0,0,0,1,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,228723,Texas A & M University-College Station,First major,Health Professions and Related Programs,'51',Bachelor's degree,245,27,218,0,0,0,13,4,9,3,1,2,32,4,28,194,18,176,13,4,9,0,0,0,1,0,1,1,0,1,1,0,1
2009-2010,228723,Texas A & M University-College Station,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,228723,Texas A & M University-College Station,First major,Mathematics and Statistics,'27',Bachelor's degree,55,29,26,0,0,0,1,0,1,0,0,0,7,6,1,45,22,23,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1
2009-2010,228723,Texas A & M University-College Station,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,415,207,208,2,0,2,3,2,1,13,6,7,44,28,16,348,168,180,3,2,1,0,0,0,2,1,1,3,2,1,0,0,0
2009-2010,228723,Texas A & M University-College Station,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,891,498,393,5,2,3,13,4,9,20,13,7,96,52,44,750,422,328,13,4,9,0,0,0,3,2,1,1,1,0,3,2,1
2009-2010,228723,Texas A & M University-College Station,First major,Architecture and Related Services,'04',Bachelor's degree,150,69,81,2,1,1,6,3,3,2,0,2,25,15,10,110,49,61,6,3,3,0,0,0,0,0,0,1,0,1,4,1,3
2009-2010,228723,Texas A & M University-College Station,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,670,286,384,4,2,2,98,46,52,16,3,13,98,38,60,442,193,249,98,46,52,0,0,0,3,1,2,3,1,2,6,2,4
2009-2010,228723,Texas A & M University-College Station,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,93,80,13,0,0,0,7,6,1,1,1,0,9,9,0,74,63,11,7,6,1,0,0,0,0,0,0,1,0,1,1,1,0
2009-2010,228723,Texas A & M University-College Station,First major,Engineering,'14',Bachelor's degree,1065,841,224,4,3,1,49,40,9,16,10,6,130,91,39,791,639,152,49,40,9,0,0,0,3,2,1,4,4,0,68,52,16
2009-2010,228723,Texas A & M University-College Station,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,166,29,137,1,0,1,9,2,7,3,1,2,33,8,25,117,18,99,9,2,7,0,0,0,0,0,0,0,0,0,3,0,3
2009-2010,228723,Texas A & M University-College Station,First major,History,'54',Bachelor's degree,187,127,60,2,1,1,2,2,0,3,3,0,23,18,5,156,102,54,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2009-2010,228723,Texas A & M University-College Station,First major,Philosophy and Religious Studies,'38',Bachelor's degree,32,25,7,0,0,0,0,0,0,0,0,0,4,3,1,27,22,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2009-2010,228723,Texas A & M University-College Station,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,1594,776,818,13,8,5,65,28,37,37,16,21,179,89,90,1280,627,653,65,28,37,0,0,0,3,2,1,5,4,1,12,2,10
2009-2010,228723,Texas A & M University-College Station,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,312,68,244,4,0,4,5,1,4,7,2,5,29,5,24,264,60,204,5,1,4,0,0,0,1,0,1,1,0,1,1,0,1
