Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.W,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2009-2010,198419,Duke University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,53,11,42,0,0,0,7,1,6,9,3,6,9,3,6,21,2,19,,,,,,,,,,2,1,1,5,1,4
2009-2010,198419,Duke University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,156,68,88,1,1,0,61,26,35,6,1,5,7,1,6,76,36,40,,,,,,,,,,1,1,0,4,2,2
2009-2010,198419,Duke University,First major,History,'54',Bachelor's degree,89,53,36,0,0,0,5,3,2,6,1,5,4,3,1,69,42,27,,,,,,,,,,3,3,0,2,1,1
2009-2010,198419,Duke University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,15,5,10,0,0,0,2,0,2,0,0,0,1,1,0,10,3,7,,,,,,,,,,1,1,0,1,0,1
2009-2010,198419,Duke University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,27,13,14,1,1,0,2,2,0,3,1,2,3,0,3,15,9,6,,,,,,,,,,1,0,1,2,0,2
2009-2010,198419,Duke University,First major,Visual and Performing Arts,'50',Bachelor's degree,41,16,25,0,0,0,1,0,1,6,2,4,2,0,2,28,13,15,,,,,,,,,,1,0,1,3,1,2
2009-2010,198419,Duke University,First major,Health Professions and Related Programs,'51',Bachelor's degree,68,12,56,1,0,1,3,1,2,5,0,5,4,1,3,52,9,43,,,,,,,,,,2,1,1,1,0,1
2009-2010,198419,Duke University,First major,Mathematics and Statistics,'27',Bachelor's degree,33,20,13,0,0,0,13,7,6,1,0,1,1,1,0,14,9,5,,,,,,,,,,0,0,0,4,3,1
2009-2010,198419,Duke University,First major,Social Sciences,'45',Bachelor's degree,410,225,185,1,0,1,86,51,35,40,20,20,32,11,21,209,122,87,,,,,,,,,,21,12,9,21,9,12
2009-2010,134097,Florida State University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,328,153,175,2,0,2,33,18,15,15,8,7,49,25,24,223,98,125,,,,,,,,,,3,3,0,3,1,2
2009-2010,134097,Florida State University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,1597,899,698,10,6,4,34,16,18,131,51,80,175,105,70,1207,697,510,,,,,,,,,,9,4,5,31,20,11
2009-2010,134097,Florida State University,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,463,20,443,3,0,3,9,1,8,67,8,59,51,3,48,324,8,316,,,,,,,,,,5,0,5,4,0,4
