Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.NON,T.NON.M,T.NON.F
1988-1999,134097,Florida State University,Computer and Information Sciences,'11.0000',Bachelor's degree,36,26,10,31,24,7,2,1,1,1,1,0,1,0,1,1,0,1,0,0,0
1988-1999,134097,Florida State University,Education,'13.0000',Bachelor's degree,473,103,370,436,89,347,17,6,11,15,6,9,2,1,1,1,0,1,2,1,1
1988-1999,134097,Florida State University,Engineering,'14.0000',Bachelor's degree,100,73,27,86,62,24,4,3,1,4,3,1,2,2,0,0,0,0,4,3,1
1988-1999,134097,Florida State University,English Language and Literature/Letters,'23.0000',Bachelor's degree,139,47,92,134,44,90,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0
1988-1999,134097,Florida State University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,29,9,20,23,7,16,2,0,2,4,2,2,0,0,0,0,0,0,0,0,0
1988-1999,134097,Florida State University,Health Sciences,'18.0000',Bachelor's degree,105,3,102,92,3,89,7,0,7,4,0,4,1,0,1,1,0,1,0,0,0
1988-1999,134097,Florida State University,Home Economics,'19.0000',Bachelor's degree,144,6,138,124,6,118,14,0,14,4,0,4,2,0,2,0,0,0,0,0,0
1988-1999,134097,Florida State University,Liberal/General Studies and Humanities,'24.0000',Bachelor's degree,13,7,6,10,5,5,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0
1988-1999,134097,Florida State University,Library Science,'25.0000',Bachelor's degree,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,134097,Florida State University,Mathematics,'27.0000',Bachelor's degree,18,8,10,18,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,134097,Florida State University,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,43,7,36,42,7,35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
