Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Major,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2000-2001,217882,Clemson University,Architecture and Related Programs,'04',Bachelor's degree,First major,161,123,38,150,116,34,5,3,2,1,0,1,1,1,0,1,1,0,2,1,1,1,1,0
2000-2001,217882,Clemson University,Biological Science/Life Sciences,'26',Bachelor's degree,First major,127,54,73,108,47,61,11,3,8,2,1,1,5,3,2,0,0,0,1,0,1,0,0,0
2000-2001,217882,Clemson University,Science Technologies,'41',Bachelor's degree,First major,30,19,11,23,16,7,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2000-2001,217882,Clemson University,Agricultural Sciences,'02',Bachelor's degree,First major,121,48,73,111,46,65,3,0,3,0,0,0,2,0,2,2,1,1,3,1,2,0,0,0
2000-2001,217882,Clemson University,Philosophy and Religion,'38',Bachelor's degree,First major,4,3,1,2,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,217882,Clemson University,Business Management and Administrative Services,'52',Bachelor's degree,First major,541,315,226,494,291,203,28,14,14,1,1,0,3,0,3,1,1,0,9,4,5,5,4,1
2000-2001,217882,Clemson University,Computer and Information Sciences,'11',Bachelor's degree,First major,73,58,15,54,47,7,8,4,4,2,1,1,3,2,1,0,0,0,4,3,1,2,1,1
2000-2001,217882,Clemson University,Conservation and Renewable Natural Resources,'03',Bachelor's degree,First major,45,43,2,45,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,217882,Clemson University,English Language and Literature/Letters,'23',Bachelor's degree,First major,154,41,113,141,38,103,12,2,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2000-2001,217882,Clemson University,Foreign Languages and Literatures,'16',Bachelor's degree,First major,56,15,41,45,12,33,3,1,2,5,2,3,1,0,1,0,0,0,1,0,1,1,0,1
2000-2001,217882,Clemson University,Mathematics,'27',Bachelor's degree,First major,9,4,5,7,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,217882,Clemson University,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,First major,106,63,43,103,62,41,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2000-2001,217882,Clemson University,Psychology,'42',Bachelor's degree,First major,121,27,94,105,22,83,6,2,4,2,0,2,3,2,1,0,0,0,3,0,3,2,1,1
2000-2001,217882,Clemson University,Visual and Performing Arts,'50',Bachelor's degree,First major,108,46,62,99,43,56,4,2,2,1,0,1,2,0,2,0,0,0,0,0,0,2,1,1
