Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2004-2005,142115,Boise State University,Bachelor's degree,First major,Social sciences.,'45',136,71,65,111,55,56,3,2,1,8,2,6,2,1,1,0,0,0,7,6,1,5,5,0
2004-2005,142115,Boise State University,Bachelor's degree,First major,Visual and performing arts.,'50',81,29,52,71,27,44,1,0,1,5,2,3,2,0,2,1,0,1,0,0,0,1,0,1
2004-2005,142115,Boise State University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',42,12,30,34,11,23,0,0,0,3,1,2,2,0,2,1,0,1,1,0,1,1,0,1
2004-2005,142115,Boise State University,Bachelor's degree,First major,Mathematics and statistics.,'27',8,4,4,7,3,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2004-2005,142115,Boise State University,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',32,15,17,30,15,15,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,Mathematics and statistics.,'27',25,12,13,18,9,9,2,1,1,1,0,1,1,1,0,0,0,0,1,0,1,2,1,1
2004-2005,217882,Clemson University,Bachelor's degree,First major,Philosophy and religious studies.,'38',11,8,3,10,8,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',155,87,68,140,80,60,7,3,4,1,0,1,0,0,0,0,0,0,7,4,3,0,0,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',633,398,235,546,355,191,38,16,22,11,6,5,7,2,5,0,0,0,30,19,11,1,0,1
2004-2005,217882,Clemson University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',84,70,14,57,47,10,13,10,3,3,2,1,4,4,0,0,0,0,6,6,0,1,1,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,Engineering.,'14',455,382,73,383,324,59,28,18,10,2,2,0,10,8,2,1,1,0,26,25,1,5,4,1
2004-2005,217882,Clemson University,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',95,53,42,84,46,38,8,4,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,Psychology.,'42',139,34,105,116,29,87,7,1,6,0,0,0,1,0,1,1,0,1,14,4,10,0,0,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,Visual and performing arts.,'50',131,50,81,107,39,68,11,7,4,2,0,2,3,1,2,0,0,0,6,1,5,2,2,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,Education.,'13',284,67,217,252,57,195,13,6,7,2,0,2,1,0,1,1,1,0,15,3,12,0,0,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',58,13,45,48,13,35,0,0,0,5,0,5,1,0,1,0,0,0,3,0,3,1,0,1
2004-2005,217882,Clemson University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',215,25,190,177,22,155,21,1,20,0,0,0,4,1,3,0,0,0,13,1,12,0,0,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,History,'54',44,28,16,42,28,14,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,Social sciences.,'45',180,98,82,147,82,65,15,5,10,0,0,0,3,3,0,0,0,0,13,8,5,2,0,2
2004-2005,217882,Clemson University,Bachelor's degree,First major,Architecture and related services.,'04',98,60,38,83,50,33,8,5,3,0,0,0,1,0,1,0,0,0,6,5,1,0,0,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',135,63,72,103,49,54,14,4,10,1,0,1,5,4,1,0,0,0,9,5,4,3,1,2
2004-2005,217882,Clemson University,Bachelor's degree,First major,English language and literature/letters.,'23',143,39,104,127,31,96,7,4,3,1,1,0,3,1,2,0,0,0,5,2,3,0,0,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,Natural resources and conservation.,'03',42,37,5,39,34,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,Physical sciences.,'40',43,27,16,33,20,13,5,3,2,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0
2004-2005,217882,Clemson University,Bachelor's degree,First major,Science technologies/technicians.,'41',35,23,12,27,19,8,5,2,3,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0
2004-2005,198419,Duke University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',141,60,81,71,37,34,8,2,6,12,4,8,29,8,21,0,0,0,15,5,10,6,4,2
2004-2005,198419,Duke University,Bachelor's degree,First major,Engineering.,'14',243,185,58,150,117,33,9,8,1,8,6,2,47,34,13,1,0,1,22,16,6,6,4,2
2004-2005,198419,Duke University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',28,10,18,19,9,10,2,0,2,5,0,5,2,1,1,0,0,0,0,0,0,0,0,0
2004-2005,198419,Duke University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',28,24,4,16,15,1,3,1,2,1,1,0,5,4,1,0,0,0,3,3,0,0,0,0
2004-2005,198419,Duke University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',47,5,42,39,4,35,4,0,4,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0
2004-2005,198419,Duke University,Bachelor's degree,First major,Psychology.,'42',149,43,106,76,19,57,31,7,24,18,9,9,12,4,8,0,0,0,8,3,5,4,1,3
2004-2005,198419,Duke University,Bachelor's degree,First major,Social sciences.,'45',412,248,164,239,152,87,49,24,25,36,20,16,47,25,22,2,0,2,27,21,6,12,6,6
2004-2005,198419,Duke University,Bachelor's degree,First major,Visual and performing arts.,'50',27,7,20,17,3,14,4,2,2,1,0,1,2,0,2,0,0,0,3,2,1,0,0,0
2004-2005,198419,Duke University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',31,6,25,13,2,11,10,3,7,2,0,2,4,1,3,0,0,0,1,0,1,1,0,1
2004-2005,198419,Duke University,Bachelor's degree,First major,English language and literature/letters.,'23',90,30,60,59,20,39,8,1,7,7,4,3,6,0,6,0,0,0,8,4,4,2,1,1
2004-2005,198419,Duke University,Bachelor's degree,First major,Mathematics and statistics.,'27',22,13,9,16,10,6,2,0,2,0,0,0,1,0,1,0,0,0,3,3,0,0,0,0
2004-2005,198419,Duke University,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',13,2,11,8,2,6,1,0,1,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0
2004-2005,198419,Duke University,Bachelor's degree,First major,Natural resources and conservation.,'03',19,3,16,14,2,12,2,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0
2004-2005,198419,Duke University,Bachelor's degree,First major,Philosophy and religious studies.,'38',26,13,13,21,11,10,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1
2004-2005,198419,Duke University,Bachelor's degree,First major,Physical sciences.,'40',44,26,18,19,13,6,6,3,3,2,1,1,8,3,5,1,1,0,7,4,3,1,1,0
2004-2005,198419,Duke University,Bachelor's degree,First major,Public administration and social service professions.,'44',128,53,75,76,36,40,20,4,16,10,2,8,11,5,6,0,0,0,10,5,5,1,1,0
2004-2005,134097,Florida State University,Bachelor's degree,First major,Education.,'13',494,126,368,389,97,292,50,15,35,37,9,28,11,4,7,1,0,1,5,1,4,1,0,1
2004-2005,134097,Florida State University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',1443,812,631,1055,630,425,154,53,101,153,81,72,46,23,23,4,3,1,9,8,1,22,14,8
2004-2005,134097,Florida State University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',209,92,117,141,61,80,22,8,14,34,17,17,9,5,4,0,0,0,2,1,1,1,0,1
2004-2005,134097,Florida State University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',286,202,84,187,135,52,45,26,19,29,25,4,14,8,6,1,1,0,3,2,1,7,5,2
2004-2005,134097,Florida State University,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',579,105,474,405,72,333,88,10,78,65,14,51,17,8,9,1,1,0,2,0,2,1,0,1
2004-2005,134097,Florida State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',45,18,27,30,11,19,3,0,3,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,134097,Florida State University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',298,27,271,227,18,209,39,6,33,18,2,16,9,1,8,2,0,2,2,0,2,1,0,1
2004-2005,134097,Florida State University,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',53,8,45,48,7,41,3,0,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2004-2005,134097,Florida State University,Bachelor's degree,First major,Psychology.,'42',367,85,282,256,59,197,43,8,35,60,18,42,4,0,4,1,0,1,2,0,2,1,0,1
2004-2005,134097,Florida State University,Bachelor's degree,First major,Public administration and social service professions.,'44',126,12,114,89,9,80,31,2,29,3,1,2,2,0,2,0,0,0,1,0,1,0,0,0
2004-2005,134097,Florida State University,Bachelor's degree,First major,History,'54',77,46,31,66,38,28,7,5,2,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0
2004-2005,134097,Florida State University,Bachelor's degree,First major,Security and protective services.,'43',383,202,181,263,153,110,63,18,45,40,21,19,15,9,6,0,0,0,2,1,1,0,0,0
2004-2005,134097,Florida State University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',18,7,11,13,6,7,2,1,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
2004-2005,134097,Florida State University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',316,91,225,232,69,163,25,6,19,46,14,32,7,1,6,2,0,2,0,0,0,4,1,3
2004-2005,134097,Florida State University,Bachelor's degree,First major,Engineering.,'14',221,175,46,130,109,21,46,30,16,32,25,7,2,2,0,0,0,0,2,2,0,9,7,2
2004-2005,134097,Florida State University,Bachelor's degree,First major,English language and literature/letters.,'23',327,107,220,229,79,150,33,4,29,50,18,32,12,5,7,0,0,0,2,1,1,1,0,1
2004-2005,134097,Florida State University,Bachelor's degree,First major,Philosophy and religious studies.,'38',40,26,14,31,21,10,2,1,1,6,4,2,1,0,1,0,0,0,0,0,0,0,0,0
2004-2005,134097,Florida State University,Bachelor's degree,First major,Visual and performing arts.,'50',432,129,303,342,96,246,25,7,18,44,16,28,12,4,8,2,1,1,3,2,1,4,3,1
2004-2005,134097,Florida State University,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',33,9,24,26,7,19,3,0,3,2,0,2,1,1,0,0,0,0,1,1,0,0,0,0
2004-2005,134097,Florida State University,Bachelor's degree,First major,Mathematics and statistics.,'27',19,9,10,16,8,8,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2004-2005,134097,Florida State University,Bachelor's degree,First major,Physical sciences.,'40',71,42,29,52,31,21,6,2,4,8,4,4,1,1,0,0,0,0,2,2,0,2,2,0
2004-2005,134097,Florida State University,Bachelor's degree,First major,Social sciences.,'45',1019,543,476,714,393,321,121,57,64,122,59,63,31,17,14,3,2,1,14,8,6,14,7,7
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',144,16,128,110,8,102,12,2,10,5,2,3,9,1,8,0,0,0,5,1,4,3,2,1
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',40,20,20,29,15,14,3,1,2,0,0,0,6,4,2,0,0,0,2,0,2,0,0,0
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',307,197,110,213,145,68,18,11,7,18,12,6,34,15,19,0,0,0,7,4,3,17,10,7
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Social sciences.,'45',565,296,269,392,212,180,27,14,13,31,16,15,49,20,29,0,0,0,35,23,12,31,11,20
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',71,27,44,43,18,25,2,0,2,4,1,3,13,5,8,0,0,0,2,0,2,7,3,4
2004-2005,131496,Georgetown University,Bachelor's degree,First major,English language and literature/letters.,'23',154,53,101,111,44,67,19,4,15,10,3,7,7,1,6,0,0,0,5,1,4,2,0,2
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Mathematics and statistics.,'27',24,14,10,17,8,9,2,2,0,0,0,0,3,3,0,0,0,0,2,1,1,0,0,0
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Physical sciences.,'40',24,16,8,18,12,6,1,1,0,2,2,0,0,0,0,0,0,0,2,1,1,1,0,1
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Psychology.,'42',84,23,61,58,11,47,3,2,1,6,1,5,16,9,7,0,0,0,1,0,1,0,0,0
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',19,12,7,17,12,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',11,10,1,7,6,1,1,1,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',117,41,76,84,32,52,6,1,5,12,3,9,5,1,4,1,0,1,7,3,4,2,1,1
2004-2005,131496,Georgetown University,Bachelor's degree,First major,History,'54',42,23,19,35,20,15,0,0,0,1,1,0,3,1,2,0,0,0,3,1,2,0,0,0
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',32,12,20,24,10,14,3,0,3,1,1,0,2,0,2,0,0,0,2,1,1,0,0,0
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Philosophy and religious studies.,'38',24,9,15,19,8,11,3,0,3,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
2004-2005,131496,Georgetown University,Bachelor's degree,First major,Visual and performing arts.,'50',21,4,17,17,3,14,1,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',166,69,97,150,62,88,1,0,1,1,0,1,4,4,0,2,0,2,5,2,3,3,1,2
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',628,325,303,575,297,278,12,6,6,13,9,4,7,3,4,3,0,3,13,6,7,5,4,1
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',108,93,15,95,83,12,4,3,1,1,1,0,2,2,0,1,1,0,3,2,1,2,1,1
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Engineering technologies/technicians.,'15',107,88,19,98,80,18,4,4,0,1,1,0,1,1,0,0,0,0,2,2,0,1,0,1
2004-2005,155399,Kansas State University,Bachelor's degree,First major,English language and literature/letters.,'23',51,12,39,44,10,34,1,0,1,1,1,0,0,0,0,0,0,0,5,1,4,0,0,0
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',20,3,17,13,0,13,0,0,0,2,1,1,0,0,0,0,0,0,5,2,3,0,0,0
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',123,67,56,113,60,53,4,2,2,2,2,0,0,0,0,0,0,0,2,2,0,2,1,1
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Physical sciences.,'40',29,17,12,27,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Transportation and materials moving.,'49',34,34,0,32,32,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',333,207,126,322,200,122,0,0,0,1,1,0,1,1,0,0,0,0,5,2,3,4,3,1
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Architecture and related services.,'04',128,67,61,117,61,56,0,0,0,3,3,0,2,1,1,0,0,0,4,1,3,2,1,1
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Engineering.,'14',322,270,52,288,238,50,7,6,1,3,3,0,10,10,0,6,6,0,2,2,0,6,5,1
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Philosophy and religious studies.,'38',6,4,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Education.,'13',397,95,302,368,86,282,6,1,5,5,3,2,3,2,1,0,0,0,15,3,12,0,0,0
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',267,29,238,244,26,218,5,1,4,6,0,6,2,0,2,1,0,1,9,2,7,0,0,0
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',4,1,3,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Mathematics and statistics.,'27',19,11,8,13,9,4,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,1,0,1
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Social sciences.,'45',348,192,156,285,150,135,29,19,10,6,4,2,4,3,1,7,4,3,15,10,5,2,2,0
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Visual and performing arts.,'50',113,34,79,93,23,70,8,7,1,0,0,0,2,2,0,0,0,0,9,2,7,1,0,1
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',117,34,83,106,28,78,1,0,1,2,1,1,1,1,0,0,0,0,7,4,3,0,0,0
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',107,11,96,97,11,86,1,0,1,4,0,4,0,0,0,1,0,1,2,0,2,2,0,2
2004-2005,155399,Kansas State University,Bachelor's degree,First major,History,'54',34,23,11,28,19,9,1,1,0,1,0,1,0,0,0,0,0,0,4,3,1,0,0,0
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Mechanic and repair technologies/technicians.,'47',9,9,0,8,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Psychology.,'42',115,27,88,100,24,76,8,2,6,0,0,0,3,1,2,0,0,0,3,0,3,1,0,1
2004-2005,155399,Kansas State University,Bachelor's degree,First major,Public administration and social service professions.,'44',24,0,24,23,0,23,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004-2005,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,History,'54',88,50,38,75,46,29,11,3,8,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2004-2005,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Physical sciences.,'40',44,22,22,30,16,14,7,1,6,2,1,1,2,1,1,0,0,0,1,1,0,2,2,0
2004-2005,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',198,46,152,167,38,129,16,6,10,4,0,4,1,0,1,0,0,0,6,2,4,4,0,4
2004-2005,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Engineering.,'14',413,317,96,300,237,63,37,23,14,8,6,2,21,15,6,0,0,0,3,2,1,44,34,10
2004-2005,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',41,0,41,36,0,36,3,0,3,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
2004-2005,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',412,225,187,337,186,151,51,25,26,4,2,2,7,5,2,0,0,0,6,3,3,7,4,3
2004-2005,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Mathematics and statistics.,'27',27,12,15,20,8,12,4,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
