Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2006-2007,134097,Florida State University,Bachelor's degree,First major,Mathematics and statistics.,'27',17,9,8,10,5,5,1,1,0,3,2,1,1,0,1,0,0,0,0,0,0,2,1,1
2006-2007,134097,Florida State University,Bachelor's degree,First major,Engineering.,'14',230,174,56,145,111,34,23,16,7,36,30,6,8,6,2,1,1,0,2,1,1,15,9,6
2006-2007,134097,Florida State University,Bachelor's degree,First major,English language and literature/letters.,'23',356,122,234,258,95,163,44,7,37,39,15,24,8,1,7,2,1,1,4,3,1,1,0,1
2006-2007,134097,Florida State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',68,29,39,43,19,24,5,1,4,16,7,9,2,1,1,0,0,0,1,0,1,1,1,0
2006-2007,134097,Florida State University,Bachelor's degree,First major,History,'54',100,70,30,80,56,24,7,5,2,8,7,1,3,2,1,1,0,1,1,0,1,0,0,0
2006-2007,134097,Florida State University,Bachelor's degree,First major,Philosophy and religious studies.,'38',59,34,25,48,26,22,1,1,0,6,5,1,3,1,2,1,1,0,0,0,0,0,0,0
2006-2007,134097,Florida State University,Bachelor's degree,First major,Psychology.,'42',375,96,279,260,69,191,52,9,43,42,12,30,12,3,9,1,0,1,4,2,2,4,1,3
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',65,24,41,38,15,23,0,0,0,2,2,0,13,5,8,0,0,0,5,1,4,7,1,6
2006-2007,131496,Georgetown University,Bachelor's degree,First major,English language and literature/letters.,'23',123,34,89,87,23,64,11,1,10,5,3,2,7,3,4,0,0,0,11,4,7,2,0,2
2006-2007,131496,Georgetown University,Bachelor's degree,First major,History,'54',50,29,21,43,26,17,2,1,1,2,2,0,2,0,2,0,0,0,0,0,0,1,0,1
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',124,11,113,89,6,83,10,2,8,3,0,3,11,1,10,0,0,0,7,1,6,4,1,3
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Mathematics and statistics.,'27',25,14,11,17,10,7,2,1,1,3,1,2,1,1,0,0,0,0,0,0,0,2,1,1
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Psychology.,'42',75,16,59,45,14,31,8,1,7,5,0,5,5,0,5,0,0,0,7,1,6,5,0,5
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Visual and performing arts.,'50',22,4,18,14,4,10,2,0,2,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',5,5,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',136,36,100,95,26,69,9,2,7,5,2,3,10,2,8,0,0,0,11,2,9,6,2,4
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',17,0,17,7,0,7,5,0,5,1,0,1,0,0,0,0,0,0,3,0,3,1,0,1
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Philosophy and religious studies.,'38',30,25,5,20,17,3,2,2,0,2,2,0,1,0,1,0,0,0,4,3,1,1,1,0
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Social sciences.,'45',570,276,294,362,204,158,34,12,22,28,9,19,53,17,36,0,0,0,36,14,22,57,20,37
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',20,8,12,18,8,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',340,203,137,226,143,83,22,14,8,10,7,3,44,17,27,0,0,0,11,7,4,27,15,12
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',58,21,37,31,12,19,3,0,3,1,0,1,13,6,7,0,0,0,5,1,4,5,2,3
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Physical sciences.,'40',14,8,6,11,8,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Architecture and related services.,'04',124,67,57,101,52,49,5,3,2,6,4,2,0,0,0,0,0,0,11,7,4,1,1,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',567,306,261,519,282,237,11,6,5,12,6,6,8,4,4,0,0,0,13,8,5,4,0,4
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',148,41,107,137,36,101,3,3,0,2,1,1,3,1,2,1,0,1,2,0,2,0,0,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Engineering.,'14',321,275,46,286,248,38,3,2,1,7,4,3,4,4,0,3,2,1,14,12,2,4,3,1
2006-2007,155399,Kansas State University,Bachelor's degree,First major,English language and literature/letters.,'23',31,11,20,28,10,18,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',365,217,148,350,208,142,1,0,1,2,1,1,0,0,0,2,2,0,9,5,4,1,1,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',5,0,5,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',185,69,116,163,64,99,2,0,2,2,1,1,5,1,4,1,0,1,8,2,6,4,1,3
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Engineering technologies/technicians.,'15',109,100,9,106,98,8,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',229,25,204,207,21,186,4,0,4,4,0,4,3,0,3,2,0,2,8,4,4,1,0,1
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',137,17,120,128,16,112,0,0,0,2,1,1,0,0,0,0,0,0,3,0,3,4,0,4
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',5,2,3,2,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Physical sciences.,'40',32,19,13,30,18,12,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Social sciences.,'45',351,226,125,288,188,100,23,15,8,11,8,3,5,4,1,4,2,2,16,8,8,4,1,3
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',68,57,11,58,48,10,1,1,0,1,1,0,3,3,0,0,0,0,3,3,0,2,1,1
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Mathematics and statistics.,'27',23,14,9,20,12,8,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Mechanic and repair technologies/technicians.,'47',6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',150,73,77,135,67,68,3,3,0,0,0,0,0,0,0,0,0,0,8,2,6,4,1,3
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Philosophy and religious studies.,'38',9,7,2,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Psychology.,'42',102,24,78,91,20,71,3,1,2,2,1,1,1,0,1,0,0,0,4,2,2,1,0,1
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Public administration and social service professions.,'44',35,4,31,35,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Visual and performing arts.,'50',106,30,76,96,28,68,0,0,0,2,0,2,2,0,2,0,0,0,6,2,4,0,0,0
2006-2007,155399,Kansas State University,Bachelor's degree,First major,Education.,'13',323,65,258,301,62,239,3,0,3,10,2,8,1,0,1,1,0,1,7,1,6,0,0,0
