"","Year","ID_School","Graduates"
"837","2007-2008","OK",3817
"838","2007-2008","OKSTATE",3819
"839","2007-2008","ORE",3636
"840","2007-2008","ORE.ST",3267
"841","2007-2008","OSU",8721
"842","2007-2008","RUT",5454
"843","2007-2008","SCAR",3823
"844","2007-2008","SJ.ST",4662
"845","2007-2008","SMU",1541
"846","2007-2008","STAN",1646
"847","2007-2008","TAM",8152
"848","2007-2008","UGA",6414
"849","2007-2008","UM",6258
"850","2007-2008","UNC",4131
"851","2007-2008","UOFM",2445
"852","2007-2008","USC",4528
"853","2007-2008","UT",8669
"854","2007-2008","UTA.ST",2844
"855","2007-2008","VANDY",1542
"856","2008-2009","AUB",3942
"857","2008-2009","BAMA",3713
"858","2008-2009","BOS.ST",1992
"859","2008-2009","CLEM",3198
"860","2008-2009","DUKE",1625
"861","2008-2009","FLA",9207
"862","2008-2009","FSU",7630
"863","2008-2009","GTOWN",1766
"864","2008-2009","KAN.ST",3224
"865","2008-2009","LOUIS",2482
"866","2008-2009","LSU",4734
"867","2008-2009","ND",2102
"868","2008-2009","NEB",3219
"869","2008-2009","NWST",2110
"870","2008-2009","OK",3862
"871","2008-2009","OKSTATE",3833
"872","2008-2009","ORE",3460
"873","2008-2009","ORE.ST",3300
"874","2008-2009","OSU",8993
"875","2008-2009","RUT",5752
"876","2008-2009","SCAR",4092
"877","2008-2009","SJ.ST",4730
"878","2008-2009","SMU",1628
"879","2008-2009","STAN",1680
"880","2008-2009","TAM",8377
"881","2008-2009","UGA",6316
"882","2008-2009","UM",6473
"883","2008-2009","UNC",4236
"884","2008-2009","UOFM",2575
"885","2008-2009","USC",4295
"886","2008-2009","UT",8747
"887","2008-2009","UTA.ST",2968
"888","2008-2009","VANDY",1568
"889","2009-2010","AUB",4041
"890","2009-2010","BAMA",4284
"891","2009-2010","BOS.ST",2097
"892","2009-2010","CLEM",3450
"893","2009-2010","DUKE",1623
"894","2009-2010","FLA",9301
"895","2009-2010","FSU",7926
"896","2009-2010","GTOWN",1834
"897","2009-2010","KAN.ST",3258
"898","2009-2010","LOUIS",2550
"899","2009-2010","LSU",4388
"900","2009-2010","ND",2126
"901","2009-2010","NEB",3312
"902","2009-2010","NWST",2219
"903","2009-2010","OK",3683
"904","2009-2010","OKSTATE",3787
"905","2009-2010","ORE",3735
"906","2009-2010","ORE.ST",3453
"907","2009-2010","OSU",9503
"908","2009-2010","RUT",5905
"909","2009-2010","SCAR",4135
"910","2009-2010","SJ.ST",5061
"911","2009-2010","SMU",1814
"912","2009-2010","STAN",1671
"913","2009-2010","TAM",8451
"914","2009-2010","UGA",6490
"915","2009-2010","UM",6457
"916","2009-2010","UNC",4396
"917","2009-2010","UOFM",2581
"918","2009-2010","USC",4259
"919","2009-2010","UT",8838
"920","2009-2010","UTA.ST",3040
"921","2009-2010","VANDY",1583
"922","2010-2011","AUB",4157
"923","2010-2011","BAMA",4463
"924","2010-2011","BOS.ST",2408
"925","2010-2011","CLEM",3318
"926","2010-2011","DUKE",1493
"927","2010-2011","FLA",8685
"928","2010-2011","FSU",7886
"929","2010-2011","GTOWN",1817
"930","2010-2011","KAN.ST",3344
"931","2010-2011","LOUIS",2618
"932","2010-2011","LSU",4440
"933","2010-2011","ND",2078
"934","2010-2011","NEB",3621
"935","2010-2011","NWST",2135
"936","2010-2011","OK",3729
"937","2010-2011","OKSTATE",3655
"938","2010-2011","ORE",3831
"939","2010-2011","ORE.ST",3478
"940","2010-2011","OSU",10291
"941","2010-2011","RUT",6179
"942","2010-2011","SCAR",4462
"943","2010-2011","SJ.ST",4916
"944","2010-2011","SMU",1625
"945","2010-2011","STAN",1670
"946","2010-2011","TAM",8748
"947","2010-2011","UGA",6845
"948","2010-2011","UM",6553
"949","2010-2011","UNC",4654
"950","2010-2011","UOFM",2383
"951","2010-2011","USC",4915
"952","2010-2011","UT",9054
"953","2010-2011","UTA.ST",3232
"954","2010-2011","VANDY",1735
"955","2011-2012","AUB",4286
"956","2011-2012","BAMA",4482
"957","2011-2012","BOS.ST",2587
"958","2011-2012","CLEM",3441
"959","2011-2012","DUKE",1799
"960","2011-2012","FLA",8601
"961","2011-2012","FSU",7860
"962","2011-2012","GTOWN",1871
"963","2011-2012","KAN.ST",3507
"964","2011-2012","LOUIS",2702
"965","2011-2012","LSU",4600
"966","2011-2012","ND",2078
"967","2011-2012","NEB",3719
"968","2011-2012","NWST",2184
"969","2011-2012","OK",3882
"970","2011-2012","OKSTATE",3781
"971","2011-2012","ORE",4272
"972","2011-2012","ORE.ST",3932
"973","2011-2012","OSU",10926
"974","2011-2012","RUT",6843
"975","2011-2012","SCAR",4556
"976","2011-2012","SJ.ST",4901
"977","2011-2012","SMU",1716
"978","2011-2012","STAN",1715
"979","2011-2012","TAM",9073
"980","2011-2012","UGA",6861
"981","2011-2012","UM",6490
"982","2011-2012","UNC",4445
"983","2011-2012","UOFM",2429
"984","2011-2012","USC",4539
"985","2011-2012","UT",8821
"986","2011-2012","UTA.ST",3371
"987","2011-2012","VANDY",1673
