"","Sport","Facet_Type","Facet_Value","Fangraph_URL","Date","Variable","Value","NA."
"53","Football","Entity","Canadian Football League","http://www.sportsfangraph.com/team/canadian-football-league",2012-12-06,"Rank",53,NA
"54","Football","Entity","Hawthorn Football Club","http://www.sportsfangraph.com/team/hawthorn",2012-12-06,"Rank",54,NA
"55","Football","Entity","St. Kilda Football Club","http://www.sportsfangraph.com/team/st-kilda",2012-12-06,"Rank",55,NA
"56","Football","Entity","Clemson University Footba...","http://www.sportsfangraph.com/team/clemson-university-football",2012-12-06,"Rank",56,NA
"57","Football","Entity","BC Lions","http://www.sportsfangraph.com/team/bc-lions",2012-12-06,"Rank",57,NA
"58","Football","Entity","Fremantle Football Club","http://www.sportsfangraph.com/team/freemantle",2012-12-06,"Rank",58,NA
"59","Football","Entity","Winnipeg Blue Bombers","http://www.sportsfangraph.com/team/winnipeg-blue-bombers",2012-12-06,"Rank",59,NA
"60","Football","Entity","University of Iowa Footba...","http://www.sportsfangraph.com/team/university-of-iowa-football",2012-12-06,"Rank",60,NA
"61","Football","Entity","University of Illinois Fo...","http://www.sportsfangraph.com/team/university-of-illinois-football",2012-12-06,"Rank",61,NA
"62","Football","Entity","North Melbourne Football ...","http://www.sportsfangraph.com/team/north-melbourne",2012-12-06,"Rank",62,NA
"63","Football","Entity","Geelong Football Club","http://www.sportsfangraph.com/team/geelong",2012-12-06,"Rank",63,NA
"64","Football","Entity","Brisbane Lions","http://www.sportsfangraph.com/team/brisbane-lions",2012-12-06,"Rank",64,NA
"65","Football","Entity","Mississippi State Univers...","http://www.sportsfangraph.com/team/mississippi-state-university-football",2012-12-06,"Rank",65,NA
"66","Football","Entity","Kansas University Footbal...","http://www.sportsfangraph.com/team/kansas-university-football",2012-12-06,"Rank",66,NA
"67","Football","Entity","Western Bulldogs","http://www.sportsfangraph.com/team/western-bulldogs",2012-12-06,"Rank",67,NA
"68","Football","Entity","Port Adelaide Football Cl...","http://www.sportsfangraph.com/team/port-adelaide",2012-12-06,"Rank",68,NA
"69","Football","Entity","Rutgers University Footba...","http://www.sportsfangraph.com/team/rutgers-university-football",2012-12-06,"Rank",69,NA
"70","Football","Entity","Gold Coast Football Club","http://www.sportsfangraph.com/team/gold-coast-suns",2012-12-06,"Rank",70,NA
