Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F
1983-1984,131496,Georgetown University,Bachelor's degrees,Physical Sciences,40',21,18,3
1983-1984,155399,Kansas State University,Bachelor's degrees,Computer and Information Sciences,11',60,35,25
1983-1984,155399,Kansas State University,Bachelor's degrees,Education,13',325,76,249
1983-1984,155399,Kansas State University,Bachelor's degrees,Engineering,14',423,388,35
1983-1984,155399,Kansas State University,Bachelor's degrees,Engineering and Engineering Related Technologies,15',68,66,2
1983-1984,155399,Kansas State University,Bachelor's degrees,Vocational Home Economics,20',23,2,21
1983-1984,155399,Kansas State University,Bachelor's degrees,Life Sciences,26',117,72,45
1983-1984,155399,Kansas State University,Bachelor's degrees,Philosophy and Religion,38',5,4,1
1983-1984,155399,Kansas State University,Bachelor's degrees,Architecture and Environmental Design,4',154,100,54
1983-1984,155399,Kansas State University,Bachelor's degrees,Home Economics,19',151,6,145
1983-1984,155399,Kansas State University,Bachelor's degrees,Agricultural Sciences,2',215,152,63
1983-1984,155399,Kansas State University,Bachelor's degrees,Public Affairs,44',43,10,33
1983-1984,155399,Kansas State University,Bachelor's degrees,Business (Administrative Support),7',11,0,11
1983-1984,155399,Kansas State University,Bachelor's degrees,Agricultural Business and Production,1',131,117,14
1983-1984,155399,Kansas State University,Bachelor's degrees,Foreign Languages,16',21,6,15
1983-1984,155399,Kansas State University,Bachelor's degrees,Allied Health,17',13,1,12
1983-1984,155399,Kansas State University,Bachelor's degrees,Mathematics,27',19,8,11
1983-1984,155399,Kansas State University,Bachelor's degrees,Multi/Interdisciplinary Studies,30',54,24,30
1983-1984,155399,Kansas State University,Bachelor's degrees,Psychology,42',34,13,21
1983-1984,155399,Kansas State University,Bachelor's degrees,Visual and Performing Arts,50',52,26,26
1983-1984,155399,Kansas State University,Bachelor's degrees,Business and Management,6',466,261,205
1983-1984,155399,Kansas State University,Bachelor's degrees,Communications,9',125,50,75
1983-1984,155399,Kansas State University,Bachelor's degrees,Health Sciences,18',34,16,18
1983-1984,155399,Kansas State University,Bachelor's degrees,Law (non-first professional),22',1,1,0
1983-1984,155399,Kansas State University,Bachelor's degrees,Letters,23',36,6,30
1983-1984,155399,Kansas State University,Bachelor's degrees,Renewable Natural Resources,3',20,13,7
1983-1984,155399,Kansas State University,Bachelor's degrees,Physical Sciences,40',56,41,15
1983-1984,155399,Kansas State University,Bachelor's degrees,Social Sciences,45',160,94,66
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Education,13',254,22,232
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Engineering,14',446,401,45
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Engineering and Engineering Related Technologies,15',93,81,12
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Health Sciences,18',89,61,28
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Multi/Interdisciplinary Studies,30',1,0,1
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Social Sciences,45',180,98,82
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Area and Ethnic Studies,5',2,1,1
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Business (Administrative Support),7',9,1,8
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Law (non-first professional),22',30,18,12
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Life Sciences,26',66,47,19
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Psychology,42',81,23,58
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Visual and Performing Arts,50',110,42,68
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Agricultural Business and Production,1',37,28,9
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Computer and Information Sciences,11',58,36,22
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Allied Health,17',29,1,28
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Letters,23',47,15,32
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Mathematics,27',12,9,3
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Physical Sciences,40',70,47,23
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Public Affairs,44',5,4,1
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Communications,9',190,73,117
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Foreign Languages,16',16,1,15
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Home Economics,19',136,3,133
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Agricultural Sciences,2',46,33,13
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Liberal/General Studies,24',320,166,154
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Renewable Natural Resources,3',22,19,3
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Philosophy and Religion,38',4,2,2
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Architecture and Environmental Design,4',129,70,59
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Protective Services,43',31,19,12
1983-1984,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degrees,Business and Management,6',721,395,326
1983-1984,147767,Northwestern University,Bachelor's degrees,Health Sciences,18',83,4,79
1983-1984,147767,Northwestern University,Bachelor's degrees,Home Economics,19',37,6,31
1983-1984,147767,Northwestern University,Bachelor's degrees,Letters,23',194,70,124
1983-1984,147767,Northwestern University,Bachelor's degrees,Area and Ethnic Studies,5',8,4,4
1983-1984,147767,Northwestern University,Bachelor's degrees,Business and Management,6',32,12,20
1983-1984,147767,Northwestern University,Bachelor's degrees,Education,13',30,8,22
1983-1984,147767,Northwestern University,Bachelor's degrees,Engineering,14',265,200,65
1983-1984,147767,Northwestern University,Bachelor's degrees,Visual and Performing Arts,50',149,64,85
1983-1984,147767,Northwestern University,Bachelor's degrees,Communications,9',201,82,119
1983-1984,147767,Northwestern University,Bachelor's degrees,Computer and Information Sciences,11',55,30,25
