Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Physical Sciences,40',108,81,27
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Protective Services,43',19,15,4
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Visual and Performing Arts,50',80,32,48
1983-1984,207500,University of Oklahoma Norman Campus,Bachelor's degrees,Business and Management,6',635,366,269
1983-1984,209551,University of Oregon,Bachelor's degrees,Computer and Information Sciences,11',81,64,17
1983-1984,209551,University of Oregon,Bachelor's degrees,Letters,23',129,46,83
1983-1984,209551,University of Oregon,Bachelor's degrees,Liberal/General Studies,24',4,0,4
1983-1984,209551,University of Oregon,Bachelor's degrees,Mathematics,27',35,23,12
1983-1984,209551,University of Oregon,Bachelor's degrees,Multi/Interdisciplinary Studies,30',52,28,24
1983-1984,209551,University of Oregon,Bachelor's degrees,Parks and Recreation,31',62,18,44
1983-1984,209551,University of Oregon,Bachelor's degrees,Architecture and Environmental Design,4',41,18,23
1983-1984,209551,University of Oregon,Bachelor's degrees,Psychology,42',146,57,89
1983-1984,209551,University of Oregon,Bachelor's degrees,Area and Ethnic Studies,5',5,3,2
1983-1984,209551,University of Oregon,Bachelor's degrees,Visual and Performing Arts,50',272,144,128
1983-1984,209551,University of Oregon,Bachelor's degrees,Home Economics,19',9,1,8
1983-1984,209551,University of Oregon,Bachelor's degrees,Life Sciences,26',56,38,18
1983-1984,209551,University of Oregon,Bachelor's degrees,Philosophy and Religion,38',9,5,4
1983-1984,209551,University of Oregon,Bachelor's degrees,Physical Sciences,40',59,49,10
1983-1984,209551,University of Oregon,Bachelor's degrees,Business and Management,6',512,321,191
1983-1984,209551,University of Oregon,Bachelor's degrees,Communications,9',271,112,159
1983-1984,209551,University of Oregon,Bachelor's degrees,Health Sciences,18',28,1,27
1983-1984,209551,University of Oregon,Bachelor's degrees,Education,13',181,51,130
1983-1984,209551,University of Oregon,Bachelor's degrees,Foreign Languages,16',57,16,41
1983-1984,209551,University of Oregon,Bachelor's degrees,Public Affairs,44',64,23,41
1983-1984,209551,University of Oregon,Bachelor's degrees,Social Sciences,45',374,218,156
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Education,13',333,66,267
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Engineering,14',255,227,28
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Life Sciences,26',118,67,51
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Physical Sciences,40',59,45,14
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Marketing and Distribution,8',168,92,76
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Computer and Information Sciences,11',69,38,31
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Letters,23',59,24,35
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Liberal/General Studies,24',246,145,101
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Mathematics,27',32,23,9
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Area and Ethnic Studies,5',2,1,1
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Visual and Performing Arts,50',89,28,61
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Business (Administrative Support),7',9,0,9
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Communications,9',284,138,146
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Foreign Languages,16',26,7,19
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Psychology,42',109,34,75
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Social Sciences,45',288,188,100
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Health Sciences,18',147,7,140
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Philosophy and Religion,38',15,9,6
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Protective Services,43',84,40,44
1983-1984,218663,University of South Carolina-Columbia,Bachelor's degrees,Business and Management,6',658,410,248
1983-1984,123961,University of Southern California,Bachelor's degrees,Home Economics,19',10,2,8
1983-1984,123961,University of Southern California,Bachelor's degrees,Philosophy and Religion,38',7,3,4
1983-1984,123961,University of Southern California,Bachelor's degrees,Psychology,42',107,41,66
1983-1984,123961,University of Southern California,Bachelor's degrees,Visual and Performing Arts,50',111,35,76
1983-1984,123961,University of Southern California,Bachelor's degrees,Communications,9',266,80,186
1983-1984,123961,University of Southern California,Bachelor's degrees,Communications Technologies,10',55,40,15
1983-1984,123961,University of Southern California,Bachelor's degrees,Foreign Languages,16',40,15,25
1983-1984,123961,University of Southern California,Bachelor's degrees,Multi/Interdisciplinary Studies,30',27,10,17
1983-1984,123961,University of Southern California,Bachelor's degrees,Physical Sciences,40',29,20,9
1983-1984,123961,University of Southern California,Bachelor's degrees,Public Affairs,44',90,47,43
1983-1984,123961,University of Southern California,Bachelor's degrees,Area and Ethnic Studies,5',12,5,7
1983-1984,123961,University of Southern California,Bachelor's degrees,Business and Management,6',961,596,365
1983-1984,123961,University of Southern California,Bachelor's degrees,Education,13',53,5,48
1983-1984,123961,University of Southern California,Bachelor's degrees,Engineering,14',426,374,52
1983-1984,123961,University of Southern California,Bachelor's degrees,Liberal/General Studies,24',9,4,5
1983-1984,123961,University of Southern California,Bachelor's degrees,Social Sciences,45',247,148,99
1983-1984,123961,University of Southern California,Bachelor's degrees,Computer and Information Sciences,11',72,44,28
1983-1984,123961,University of Southern California,Bachelor's degrees,Engineering and Engineering Related Technologies,15',8,7,1
1983-1984,123961,University of Southern California,Bachelor's degrees,Allied Health,17',62,0,62
1983-1984,123961,University of Southern California,Bachelor's degrees,Letters,23',64,24,40
1983-1984,123961,University of Southern California,Bachelor's degrees,Life Sciences,26',100,59,41
1983-1984,123961,University of Southern California,Bachelor's degrees,Mathematics,27',3,2,1
1983-1984,123961,University of Southern California,Bachelor's degrees,Architecture and Environmental Design,4',38,27,11
1983-1984,230728,Utah State University,Bachelor's degrees,Agricultural Business and Production,1',22,22,0
1983-1984,230728,Utah State University,Bachelor's degrees,Engineering,14',125,120,5
1983-1984,230728,Utah State University,Bachelor's degrees,Foreign Languages,16',17,12,5
1983-1984,230728,Utah State University,Bachelor's degrees,Allied Health,17',3,1,2
1983-1984,230728,Utah State University,Bachelor's degrees,Life Sciences,26',34,28,6
1983-1984,230728,Utah State University,Bachelor's degrees,Public Affairs,44',20,3,17
1983-1984,230728,Utah State University,Bachelor's degrees,Business and Management,6',264,208,56
1983-1984,230728,Utah State University,Bachelor's degrees,Agricultural Sciences,2',72,56,16
1983-1984,230728,Utah State University,Bachelor's degrees,Physical Sciences,40',46,41,5
1983-1984,230728,Utah State University,Bachelor's degrees,Computer and Information Sciences,11',49,30,19
1983-1984,230728,Utah State University,Bachelor's degrees,Engineering and Engineering Related Technologies,15',35,34,1
1983-1984,230728,Utah State University,Bachelor's degrees,Home Economics,19',52,4,48
1983-1984,230728,Utah State University,Bachelor's degrees,Letters,23',58,28,30
1983-1984,230728,Utah State University,Bachelor's degrees,Mechanics and Repairers,47',8,8,0
1983-1984,230728,Utah State University,Bachelor's degrees,Area and Ethnic Studies,5',4,4,0
1983-1984,230728,Utah State University,Bachelor's degrees,Visual and Performing Arts,50',63,27,36
1983-1984,230728,Utah State University,Bachelor's degrees,Education,13',344,89,255
1983-1984,230728,Utah State University,Bachelor's degrees,Health Sciences,18',26,11,15
1983-1984,230728,Utah State University,Bachelor's degrees,Law (non-first professional),22',9,8,1
1983-1984,230728,Utah State University,Bachelor's degrees,Liberal/General Studies,24',11,6,5
1983-1984,230728,Utah State University,Bachelor's degrees,Mathematics,27',7,2,5
1983-1984,230728,Utah State University,Bachelor's degrees,Renewable Natural Resources,3',54,37,17
1983-1984,230728,Utah State University,Bachelor's degrees,Philosophy and Religion,38',3,3,0
1983-1984,230728,Utah State University,Bachelor's degrees,Architecture and Environmental Design,4',25,17,8
1983-1984,230728,Utah State University,Bachelor's degrees,Psychology,42',27,12,15
1983-1984,230728,Utah State University,Bachelor's degrees,Social Sciences,45',75,57,18
1983-1984,230728,Utah State University,Bachelor's degrees,Communications,9',20,11,9
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Education,13',61,13,48
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Multi/Interdisciplinary Studies,30',13,6,7
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Psychology,42',50,17,33
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Computer and Information Sciences,11',9,5,4
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Engineering,14',209,151,58
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Foreign Languages,16',34,8,26
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Visual and Performing Arts,50',26,2,24
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Business and Management,6',18,14,4
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Life Sciences,26',77,42,35
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Social Sciences,45',302,174,128
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Health Sciences,18',126,3,123
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Letters,23',100,32,68
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Mathematics,27',46,24,22
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Philosophy and Religion,38',7,4,3
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Physical Sciences,40',36,26,10
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Area and Ethnic Studies,5',20,6,14
1983-1984,221999,Vanderbilt University,Bachelor's degrees,Communications,9',33,11,22
