CIP_Classificaiton,Award_Level,Year,unitid,Institution_Name,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS.PI,T.AS.PI.M,T.AS.PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F,cipcode
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,209542,Oregon State University,8,3,5,5,2,3,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,147767,Northwestern University,16,1,15,14,1,13,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,181464,University of Nebraska-Lincoln,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,209551,University of Oregon,14,5,9,7,4,3,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,5,0,5,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,152080,University of Notre Dame,34,15,19,33,15,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,134130,University of Florida,17,10,7,12,7,5,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,100751,The University of Alabama,9,4,5,8,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,228246,Southern Methodist University,10,2,8,8,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,228778,The University of Texas at Austin,75,38,37,56,30,26,1,0,1,12,5,7,4,2,2,0,0,0,0,0,0,2,1,1,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,135726,University of Miami,3,1,2,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,157289,University of Louisville,7,0,7,2,0,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,170976,University of Michigan-Ann Arbor,78,24,54,62,16,46,4,2,2,1,0,1,7,4,3,0,0,0,4,2,2,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,139959,University of Georgia,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,218663,University of South Carolina-Columbia,3,2,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,207500,University of Oklahoma Norman Campus,8,2,6,7,2,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,100858,Auburn University,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,199120,University of North Carolina at Chapel Hill,133,38,95,109,33,76,11,3,8,2,0,2,7,1,6,0,0,0,0,0,0,4,1,3,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,122755,San Jose State University,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,134097,Florida State University,13,6,7,6,3,3,0,0,0,2,1,1,3,0,3,0,0,0,0,0,0,2,2,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,221999,Vanderbilt University,31,14,17,26,12,14,1,0,1,2,2,0,1,0,1,0,0,0,1,0,1,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,186380,Rutgers University-New Brunswick,87,17,70,46,7,39,29,7,22,7,1,6,2,0,2,0,0,0,2,2,0,1,0,1,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,142115,Boise State University,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,230728,Utah State University,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,243744,Stanford University,50,19,31,34,15,19,5,2,3,3,0,3,7,2,5,0,0,0,0,0,0,1,0,1,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,123961,University of Southern California,13,8,5,6,5,1,0,0,0,0,0,0,5,1,4,0,0,0,1,1,0,1,1,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,131496,Georgetown University,23,11,12,21,11,10,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,198419,Duke University,48,15,33,34,13,21,5,1,4,8,1,7,1,0,1,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1994-1995,204796,Ohio State University-Main Campus,27,4,23,19,2,17,6,1,5,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,'05.0000'
Biological Science/Life Sciences,Bachelor's degree,1994-1995,122755,San Jose State University,82,35,47,37,14,23,2,0,2,8,5,3,23,9,14,0,0,0,11,7,4,1,0,1,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,100858,Auburn University,150,78,72,143,77,66,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,1,1,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,209551,University of Oregon,100,46,54,86,42,44,0,0,0,2,0,2,6,2,4,0,0,0,6,2,4,0,0,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,157289,University of Louisville,95,43,52,74,39,35,9,1,8,0,0,0,11,2,9,1,1,0,0,0,0,0,0,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,135726,University of Miami,182,98,84,112,65,47,11,4,7,22,12,10,25,11,14,0,0,0,1,1,0,11,5,6,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,175,93,82,147,85,62,7,2,5,5,1,4,9,3,6,1,0,1,4,2,2,2,0,2,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,142115,Boise State University,35,15,20,28,12,16,0,0,0,1,0,1,2,1,1,1,0,1,3,2,1,0,0,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,139959,University of Georgia,248,129,119,207,112,95,17,3,14,3,2,1,17,9,8,0,0,0,0,0,0,4,3,1,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,134097,Florida State University,236,108,128,183,89,94,19,4,15,21,6,15,12,9,3,0,0,0,0,0,0,1,0,1,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,147767,Northwestern University,102,50,52,65,31,34,1,1,0,0,0,0,35,17,18,0,0,0,0,0,0,1,1,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,134130,University of Florida,246,147,99,188,114,74,8,4,4,21,12,9,24,16,8,0,0,0,0,0,0,5,1,4,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,217882,Clemson University,121,60,61,103,54,49,12,4,8,0,0,0,3,0,3,0,0,0,3,2,1,0,0,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,198419,Duke University,215,109,106,150,71,79,12,6,6,8,3,5,44,28,16,0,0,0,0,0,0,1,1,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,243744,Stanford University,182,92,90,68,38,30,4,0,4,13,7,6,92,45,47,0,0,0,3,1,2,2,1,1,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,207500,University of Oklahoma Norman Campus,119,65,54,85,48,37,2,0,2,3,2,1,20,11,9,8,4,4,0,0,0,1,0,1,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,221999,Vanderbilt University,89,40,49,69,30,39,3,0,3,4,0,4,10,8,2,0,0,0,3,2,1,0,0,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,230728,Utah State University,38,25,13,36,23,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,131496,Georgetown University,58,30,28,38,19,19,1,1,0,2,2,0,7,2,5,0,0,0,2,2,0,8,4,4,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,186380,Rutgers University-New Brunswick,438,197,241,251,117,134,13,2,11,13,5,8,135,63,72,1,0,1,18,10,8,7,0,7,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,155399,Kansas State University,178,91,87,163,86,77,4,0,4,5,3,2,3,0,3,2,1,1,0,0,0,1,1,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,100751,The University of Alabama,73,45,28,63,40,23,4,0,4,1,0,1,2,2,0,1,1,0,1,1,0,1,1,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,218663,University of South Carolina-Columbia,178,79,99,136,64,72,26,5,21,3,2,1,12,7,5,0,0,0,0,0,0,1,1,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,123961,University of Southern California,162,78,84,82,43,39,5,0,5,19,12,7,49,17,32,0,0,0,3,3,0,4,3,1,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,209542,Oregon State University,182,88,94,137,63,74,1,1,0,4,2,2,20,12,8,4,3,1,9,5,4,7,2,5,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,228723,Texas A & M University-College Station,271,151,120,192,107,85,4,3,1,38,22,16,27,13,14,2,0,2,0,0,0,8,6,2,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,170976,University of Michigan-Ann Arbor,392,211,181,250,130,120,10,4,6,11,8,3,110,65,45,1,1,0,8,3,5,2,0,2,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,199120,University of North Carolina at Chapel Hill,354,143,211,274,115,159,23,6,17,6,2,4,48,20,28,3,0,3,0,0,0,0,0,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,228778,The University of Texas at Austin,430,232,198,230,131,99,5,3,2,67,36,31,113,57,56,0,0,0,0,0,0,15,5,10,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,228246,Southern Methodist University,53,29,24,41,21,20,0,0,0,5,4,1,6,3,3,0,0,0,0,0,0,1,1,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,207388,Oklahoma State University-Main Campus,109,56,53,95,51,44,0,0,0,2,0,2,2,1,1,7,2,5,0,0,0,3,2,1,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,204796,Ohio State University-Main Campus,238,130,108,181,100,81,7,4,3,13,10,3,26,14,12,0,0,0,5,1,4,6,1,5,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,152080,University of Notre Dame,133,71,62,104,60,44,1,0,1,5,3,2,21,7,14,1,0,1,0,0,0,1,1,0,NA
Biological Science/Life Sciences,Bachelor's degree,1994-1995,181464,University of Nebraska-Lincoln,167,86,81,159,83,76,2,0,2,3,2,1,2,0,2,0,0,0,0,0,0,1,1,0,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,170976,University of Michigan-Ann Arbor,297,167,130,217,132,85,25,6,19,10,7,3,23,10,13,4,2,2,0,0,0,18,10,8,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,204796,Ohio State University-Main Campus,745,465,280,591,383,208,28,10,18,7,5,2,30,19,11,1,0,1,12,7,5,76,41,35,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,199120,University of North Carolina at Chapel Hill,363,171,192,329,156,173,19,10,9,5,3,2,5,0,5,1,0,1,0,0,0,4,2,2,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,218663,University of South Carolina-Columbia,548,287,261,424,243,181,72,20,52,9,2,7,16,6,10,0,0,0,0,0,0,27,16,11,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,139959,University of Georgia,899,525,374,778,470,308,43,11,32,10,6,4,18,10,8,0,0,0,0,0,0,50,28,22,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,207388,Oklahoma State University-Main Campus,624,349,275,463,263,200,15,7,8,3,1,2,10,4,6,21,11,10,0,0,0,112,63,49,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,100751,The University of Alabama,737,457,280,639,412,227,63,25,38,0,0,0,4,2,2,1,1,0,2,1,1,28,16,12,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,152080,University of Notre Dame,526,370,156,449,317,132,24,15,9,26,20,6,14,9,5,0,0,0,0,0,0,13,9,4,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,228723,Texas A & M University-College Station,1295,723,572,1094,627,467,40,13,27,84,45,39,38,20,18,4,2,2,0,0,0,35,16,19,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,228778,The University of Texas at Austin,1196,679,517,821,492,329,23,7,16,153,79,74,131,61,70,3,1,2,0,0,0,65,39,26,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,147767,Northwestern University,57,20,37,48,14,34,8,6,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,134130,University of Florida,776,516,260,619,415,204,29,15,14,61,39,22,42,28,14,1,1,0,0,0,0,24,18,6,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,181464,University of Nebraska-Lincoln,605,331,274,468,277,191,4,4,0,3,1,2,12,4,8,0,0,0,0,0,0,118,45,73,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,228246,Southern Methodist University,314,175,139,255,145,110,9,4,5,20,10,10,17,7,10,1,1,0,0,0,0,12,8,4,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,207500,University of Oklahoma Norman Campus,366,213,153,269,165,104,21,8,13,6,4,2,22,13,9,12,4,8,0,0,0,36,19,17,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,209551,University of Oregon,455,238,217,240,135,105,1,1,0,6,6,0,36,19,17,7,2,5,13,8,5,152,67,85,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,155399,Kansas State University,507,262,245,457,235,222,8,2,6,11,6,5,10,6,4,3,1,2,0,0,0,18,12,6,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,134097,Florida State University,1003,599,404,838,514,324,68,22,46,46,33,13,29,14,15,1,1,0,0,0,0,21,15,6,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,122755,San Jose State University,967,463,504,392,213,179,32,13,19,93,40,53,301,120,181,10,3,7,88,54,34,51,20,31,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,123961,University of Southern California,1068,643,425,456,326,130,34,18,16,107,61,46,280,144,136,2,2,0,7,6,1,182,86,96,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,217882,Clemson University,489,286,203,436,264,172,35,13,22,3,3,0,7,2,5,0,0,0,5,3,2,3,1,2,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,135726,University of Miami,344,200,144,154,105,49,21,7,14,86,47,39,12,7,5,0,0,0,6,2,4,65,32,33,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,100858,Auburn University,716,432,284,665,409,256,38,15,23,7,5,2,5,3,2,0,0,0,0,0,0,1,0,1,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,528,286,242,433,243,190,23,7,16,8,4,4,26,13,13,0,0,0,2,1,1,36,18,18,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,186380,Rutgers University-New Brunswick,376,173,203,249,132,117,20,6,14,21,6,15,60,19,41,1,1,0,7,4,3,18,5,13,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,142115,Boise State University,250,143,107,221,121,100,1,1,0,6,4,2,7,5,2,1,0,1,10,8,2,4,4,0,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,230728,Utah State University,321,218,103,275,189,86,0,0,0,4,3,1,6,4,2,0,0,0,2,1,1,34,21,13,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,209542,Oregon State University,350,226,124,266,179,87,0,0,0,7,5,2,21,15,6,5,3,2,13,8,5,38,16,22,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,157289,University of Louisville,349,177,172,306,159,147,23,8,15,1,1,0,7,2,5,0,0,0,0,0,0,12,7,5,NA
Business Management and Administrative Services,Bachelor's degree,1994-1995,131496,Georgetown University,312,195,117,193,130,63,21,7,14,14,7,7,17,12,5,5,1,4,3,3,0,59,35,24,NA
Communications,Bachelor's degree,1994-1995,157289,University of Louisville,108,41,67,97,37,60,8,2,6,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,'09.0000'
Communications,Bachelor's degree,1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,108,40,68,95,39,56,4,0,4,4,1,3,0,0,0,0,0,0,1,0,1,4,0,4,'09.0000'
Communications,Bachelor's degree,1994-1995,170976,University of Michigan-Ann Arbor,175,64,111,132,48,84,17,3,14,8,5,3,5,1,4,2,1,1,8,5,3,3,1,2,'09.0000'
Communications,Bachelor's degree,1994-1995,207500,University of Oklahoma Norman Campus,172,65,107,148,56,92,12,5,7,4,1,3,1,0,1,5,2,3,0,0,0,2,1,1,'09.0000'
Communications,Bachelor's degree,1994-1995,147767,Northwestern University,226,98,128,186,87,99,22,7,15,2,1,1,13,2,11,1,0,1,0,0,0,2,1,1,'09.0000'
Communications,Bachelor's degree,1994-1995,218663,University of South Carolina-Columbia,173,89,84,152,82,70,15,5,10,0,0,0,3,1,2,0,0,0,0,0,0,3,1,2,'09.0000'
Communications,Bachelor's degree,1994-1995,100858,Auburn University,134,50,84,128,46,82,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,'09.0000'
Communications,Bachelor's degree,1994-1995,186380,Rutgers University-New Brunswick,302,112,190,229,90,139,22,7,15,20,8,12,18,1,17,0,0,0,7,3,4,6,3,3,'09.0000'
Communications,Bachelor's degree,1994-1995,207388,Oklahoma State University-Main Campus,100,43,57,88,40,48,4,1,3,3,0,3,1,0,1,3,2,1,0,0,0,1,0,1,'09.0000'
