Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1999-2000,198419,Duke University,Bachelor's degree,Area- Ethnic and Cultural Studies,'05',46,14,32,27,10,17,6,0,6,3,1,2,5,2,3,0,0,0,3,1,2,2,0,2
1999-2000,198419,Duke University,Bachelor's degree,Biological Science/Life Sciences,'26',170,71,99,116,48,68,4,2,2,7,1,6,25,12,13,1,0,1,8,3,5,9,5,4
1999-2000,198419,Duke University,Bachelor's degree,Business Management and Administrative Services,'52',1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,198419,Duke University,Bachelor's degree,Computer and Information Sciences,'11',61,48,13,45,36,9,0,0,0,3,3,0,5,3,2,1,1,0,5,4,1,2,1,1
1999-2000,198419,Duke University,Bachelor's degree,Conservation and Renewable Natural Resources,'03',35,13,22,25,10,15,0,0,0,1,0,1,5,1,4,0,0,0,4,2,2,0,0,0
1999-2000,198419,Duke University,Bachelor's degree,Engineering,'14',199,145,54,114,88,26,7,3,4,5,5,0,50,34,16,0,0,0,12,7,5,11,8,3
1999-2000,198419,Duke University,Bachelor's degree,English Language and Literature/Letters,'23',106,33,73,78,28,50,8,1,7,4,2,2,5,1,4,0,0,0,11,1,10,0,0,0
1999-2000,198419,Duke University,Bachelor's degree,Foreign Languages and Literatures,'16',35,14,21,25,11,14,1,0,1,1,0,1,1,0,1,0,0,0,5,2,3,2,1,1
1999-2000,198419,Duke University,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,'24',12,5,7,7,1,6,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,2,2,0
1999-2000,198419,Duke University,Bachelor's degree,Mathematics,'27',26,17,9,15,9,6,2,1,1,1,0,1,3,3,0,0,0,0,3,3,0,2,1,1
