CIP_Classificaiton,Award_Level,Year,unitid,Institution_Name,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS.PI,T.AS.PI.M,T.AS.PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F,cipcode
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,204796,Ohio State University-Main Campus,37,6,31,20,1,19,15,5,10,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,'05.0000'
Area- Ethnic and Cultural Studies,Bachelor's degree,1995-1996,131496,Georgetown University,15,7,8,13,7,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'05.0000'
Biological Science/Life Sciences,Bachelor's degree,1995-1996,157289,University of Louisville,97,50,47,80,43,37,6,2,4,0,0,0,11,5,6,0,0,0,0,0,0,0,0,0,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,186380,Rutgers University-New Brunswick,428,194,234,247,115,132,17,7,10,20,7,13,121,50,71,1,0,1,14,11,3,8,4,4,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,170976,University of Michigan-Ann Arbor,437,234,203,286,153,133,23,10,13,14,8,6,93,52,41,2,0,2,12,7,5,7,4,3,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,100858,Auburn University,163,68,95,144,60,84,8,3,5,2,2,0,7,2,5,1,0,1,0,0,0,1,1,0,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,155399,Kansas State University,187,92,95,172,85,87,4,1,3,3,1,2,4,3,1,3,1,2,0,0,0,1,1,0,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,152080,University of Notre Dame,113,46,67,94,37,57,3,1,2,7,3,4,7,3,4,0,0,0,0,0,0,2,2,0,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,142115,Boise State University,52,28,24,46,25,21,1,1,0,0,0,0,1,1,0,0,0,0,3,1,2,1,0,1,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,228778,The University of Texas at Austin,511,274,237,296,156,140,9,4,5,60,31,29,132,76,56,2,1,1,0,0,0,12,6,6,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,207388,Oklahoma State University-Main Campus,99,53,46,82,46,36,0,0,0,3,1,2,3,2,1,10,3,7,0,0,0,1,1,0,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,243744,Stanford University,169,77,92,63,29,34,5,3,2,4,4,0,93,39,54,0,0,0,1,1,0,3,1,2,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,217882,Clemson University,117,50,67,98,44,54,15,4,11,0,0,0,2,1,1,0,0,0,1,1,0,1,0,1,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,134097,Florida State University,223,109,114,180,90,90,14,5,9,16,11,5,10,1,9,1,1,0,0,0,0,2,1,1,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,122755,San Jose State University,108,43,65,44,18,26,3,1,2,10,6,4,39,14,25,0,0,0,9,2,7,3,2,1,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,134130,University of Florida,266,152,114,191,107,84,8,6,2,23,12,11,39,25,14,0,0,0,1,1,0,4,1,3,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,218663,University of South Carolina-Columbia,238,107,131,184,80,104,32,12,20,3,2,1,16,11,5,1,1,0,0,0,0,2,1,1,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,199120,University of North Carolina at Chapel Hill,398,180,218,317,148,169,43,13,30,3,2,1,25,12,13,3,1,2,0,0,0,7,4,3,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,228246,Southern Methodist University,62,30,32,42,24,18,2,0,2,6,4,2,12,2,10,0,0,0,0,0,0,0,0,0,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,204796,Ohio State University-Main Campus,246,136,110,200,112,88,12,4,8,3,1,2,25,16,9,1,1,0,1,0,1,4,2,2,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,198419,Duke University,239,121,118,165,81,84,16,5,11,11,9,2,42,23,19,0,0,0,0,0,0,5,3,2,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,199,113,86,163,96,67,12,3,9,7,4,3,11,7,4,1,1,0,1,0,1,4,2,2,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,100751,The University of Alabama,92,52,40,80,48,32,7,3,4,1,0,1,0,0,0,0,0,0,1,0,1,3,1,2,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,221999,Vanderbilt University,90,44,46,65,30,35,2,1,1,4,2,2,15,10,5,0,0,0,4,1,3,0,0,0,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,181464,University of Nebraska-Lincoln,139,71,68,125,61,64,2,2,0,2,0,2,7,6,1,0,0,0,2,2,0,1,0,1,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,209551,University of Oregon,106,49,57,81,39,42,0,0,0,5,2,3,12,6,6,1,0,1,3,2,1,4,0,4,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,228723,Texas A & M University-College Station,334,162,172,255,119,136,8,6,2,34,20,14,29,14,15,2,2,0,0,0,0,6,1,5,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,131496,Georgetown University,73,32,41,48,19,29,5,2,3,1,1,0,14,7,7,0,0,0,0,0,0,5,3,2,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,209542,Oregon State University,143,74,69,113,60,53,0,0,0,4,2,2,14,6,8,2,2,0,4,1,3,6,3,3,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,135726,University of Miami,175,95,80,98,59,39,6,1,5,39,21,18,20,7,13,0,0,0,1,1,0,11,6,5,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,123961,University of Southern California,162,78,84,82,43,39,5,0,5,19,12,7,49,17,32,0,0,0,3,3,0,4,3,1,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,207500,University of Oklahoma Norman Campus,138,68,70,106,53,53,6,1,5,5,1,4,13,8,5,6,4,2,0,0,0,2,1,1,NA
Biological Science/Life Sciences,Bachelor's degree,1995-1996,147767,Northwestern University,116,61,55,60,39,21,3,0,3,1,0,1,51,22,29,0,0,0,1,0,1,0,0,0,NA
