Year,unitid,Institution_Name,Award_Level,cipcode,CIP_Classificaiton,Total,T.M,T.F
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'40.0000',Physical Sciences,96,63,33
1987-1988,142115,Boise State University,Bachelor's degree,'40.0000',Physical Sciences,17,16,1
1987-1988,228246,Southern Methodist University,Bachelor's degree,'40.0000',Physical Sciences,21,14,7
1987-1988,122755,San Jose State University,Bachelor's degree,'40.0000',Physical Sciences,71,54,17
1987-1988,243744,Stanford University,Bachelor's degree,'40.0000',Physical Sciences,42,27,15
1987-1988,152080,University of Notre Dame,Bachelor's degree,'40.0000',Physical Sciences,29,22,7
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'40.0000',Physical Sciences,65,42,23
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'40.0000',Physical Sciences,123,89,34
1987-1988,155399,Kansas State University,Bachelor's degree,'40.0000',Physical Sciences,44,37,7
1987-1988,157289,University of Louisville,Bachelor's degree,'40.0000',Physical Sciences,29,18,11
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'40.0000',Physical Sciences,40,34,6
1987-1988,139959,University of Georgia,Bachelor's degree,'40.0000',Physical Sciences,30,25,5
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'40.0000',Physical Sciences,31,23,8
1987-1988,209542,Oregon State University,Bachelor's degree,'40.0000',Physical Sciences,51,42,9
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'40.0000',Physical Sciences,71,45,26
1987-1988,147767,Northwestern University,Bachelor's degree,'40.0000',Physical Sciences,17,11,6
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'40.0000',Physical Sciences,82,57,25
1987-1988,135726,University of Miami,Bachelor's degree,'40.0000',Physical Sciences,43,29,14
1987-1988,217882,Clemson University,Bachelor's degree,'40.0000',Physical Sciences,18,11,7
1987-1988,230728,Utah State University,Bachelor's degree,'40.0000',Physical Sciences,20,16,4
1987-1988,123961,University of Southern California,Bachelor's degree,'40.0000',Physical Sciences,21,16,5
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'40.0000',Physical Sciences,78,56,22
1987-1988,217882,Clemson University,Bachelor's degree,'48.0000',Precision Production Trades,21,11,10
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'43.0000',Protective Services,61,41,20
1987-1988,100751,The University of Alabama,Bachelor's degree,'43.0000',Protective Services,28,17,11
1987-1988,135726,University of Miami,Bachelor's degree,'43.0000',Protective Services,16,5,11
1987-1988,122755,San Jose State University,Bachelor's degree,'43.0000',Protective Services,67,44,23
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'43.0000',Protective Services,87,49,38
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'43.0000',Protective Services,51,20,31
1987-1988,139959,University of Georgia,Bachelor's degree,'43.0000',Protective Services,22,15,7
1987-1988,142115,Boise State University,Bachelor's degree,'43.0000',Protective Services,16,12,4
1987-1988,157289,University of Louisville,Bachelor's degree,'43.0000',Protective Services,43,31,12
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'43.0000',Protective Services,39,23,16
1987-1988,134130,University of Florida,Bachelor's degree,'43.0000',Protective Services,93,54,39
1987-1988,228246,Southern Methodist University,Bachelor's degree,'43.0000',Protective Services,5,0,5
1987-1988,100858,Auburn University,Bachelor's degree,'43.0000',Protective Services,42,28,14
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'43.0000',Protective Services,39,27,12
1987-1988,139959,University of Georgia,Bachelor's degree,'42.0000',Psychology,159,61,98
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'42.0000',Psychology,221,73,148
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'42.0000',Psychology,421,124,297
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'42.0000',Psychology,231,67,164
1987-1988,122755,San Jose State University,Bachelor's degree,'42.0000',Psychology,116,34,82
1987-1988,155399,Kansas State University,Bachelor's degree,'42.0000',Psychology,56,10,46
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'42.0000',Psychology,84,32,52
1987-1988,152080,University of Notre Dame,Bachelor's degree,'42.0000',Psychology,91,41,50
1987-1988,142115,Boise State University,Bachelor's degree,'42.0000',Psychology,17,6,11
1987-1988,147767,Northwestern University,Bachelor's degree,'42.0000',Psychology,87,34,53
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'42.0000',Psychology,72,21,51
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'42.0000',Psychology,205,55,150
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'42.0000',Psychology,165,47,118
1987-1988,100751,The University of Alabama,Bachelor's degree,'42.0000',Psychology,53,17,36
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'42.0000',Psychology,148,32,116
1987-1988,217882,Clemson University,Bachelor's degree,'42.0000',Psychology,41,10,31
1987-1988,157289,University of Louisville,Bachelor's degree,'42.0000',Psychology,82,28,54
1987-1988,243744,Stanford University,Bachelor's degree,'42.0000',Psychology,84,27,57
1987-1988,198419,Duke University,Bachelor's degree,'42.0000',Psychology,189,70,119
1987-1988,100858,Auburn University,Bachelor's degree,'42.0000',Psychology,70,23,47
1987-1988,228246,Southern Methodist University,Bachelor's degree,'42.0000',Psychology,74,21,53
1987-1988,135726,University of Miami,Bachelor's degree,'42.0000',Psychology,134,34,100
1987-1988,134130,University of Florida,Bachelor's degree,'42.0000',Psychology,244,95,149
1987-1988,209551,University of Oregon,Bachelor's degree,'42.0000',Psychology,171,56,115
1987-1988,221999,Vanderbilt University,Bachelor's degree,'42.0000',Psychology,125,31,94
1987-1988,230728,Utah State University,Bachelor's degree,'42.0000',Psychology,60,31,29
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'42.0000',Psychology,62,20,42
1987-1988,209542,Oregon State University,Bachelor's degree,'42.0000',Psychology,62,25,37
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'42.0000',Psychology,342,124,218
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'42.0000',Psychology,319,72,247
1987-1988,123961,University of Southern California,Bachelor's degree,'42.0000',Psychology,74,30,44
1987-1988,131496,Georgetown University,Bachelor's degree,'42.0000',Psychology,44,18,26
1987-1988,139959,University of Georgia,Bachelor's degree,'44.0000',Public Administration and Services,22,3,19
1987-1988,100858,Auburn University,Bachelor's degree,'44.0000',Public Administration and Services,48,12,36
1987-1988,122755,San Jose State University,Bachelor's degree,'44.0000',Public Administration and Services,26,4,22
1987-1988,147767,Northwestern University,Bachelor's degree,'44.0000',Public Administration and Services,81,33,48
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'44.0000',Public Administration and Services,1,1,0
1987-1988,142115,Boise State University,Bachelor's degree,'44.0000',Public Administration and Services,15,3,12
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'44.0000',Public Administration and Services,21,4,17
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'44.0000',Public Administration and Services,59,16,43
1987-1988,230728,Utah State University,Bachelor's degree,'44.0000',Public Administration and Services,18,5,13
1987-1988,123961,University of Southern California,Bachelor's degree,'44.0000',Public Administration and Services,68,41,27
1987-1988,100751,The University of Alabama,Bachelor's degree,'44.0000',Public Administration and Services,35,2,33
1987-1988,155399,Kansas State University,Bachelor's degree,'44.0000',Public Administration and Services,38,5,33
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'44.0000',Public Administration and Services,61,19,42
1987-1988,209551,University of Oregon,Bachelor's degree,'44.0000',Public Administration and Services,96,29,67
1987-1988,243744,Stanford University,Bachelor's degree,'44.0000',Public Administration and Services,7,4,3
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'44.0000',Public Administration and Services,73,7,66
1987-1988,198419,Duke University,Bachelor's degree,'44.0000',Public Administration and Services,110,53,57
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'44.0000',Public Administration and Services,9,3,6
1987-1988,100858,Auburn University,Bachelor's degree,'41.0000',Science Technologies,11,5,6
1987-1988,152080,University of Notre Dame,Bachelor's degree,'45.0000',Social Sciences and History,311,216,95
1987-1988,155399,Kansas State University,Bachelor's degree,'45.0000',Social Sciences and History,208,129,79
1987-1988,228246,Southern Methodist University,Bachelor's degree,'45.0000',Social Sciences and History,292,179,113
1987-1988,221999,Vanderbilt University,Bachelor's degree,'45.0000',Social Sciences and History,340,242,98
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'45.0000',Social Sciences and History,147,70,77
1987-1988,147767,Northwestern University,Bachelor's degree,'45.0000',Social Sciences and History,469,274,195
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'45.0000',Social Sciences and History,835,524,311
1987-1988,139959,University of Georgia,Bachelor's degree,'45.0000',Social Sciences and History,357,253,104
1987-1988,122755,San Jose State University,Bachelor's degree,'45.0000',Social Sciences and History,256,110,146
1987-1988,217882,Clemson University,Bachelor's degree,'45.0000',Social Sciences and History,121,67,54
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'45.0000',Social Sciences and History,138,85,53
1987-1988,230728,Utah State University,Bachelor's degree,'45.0000',Social Sciences and History,80,57,23
1987-1988,100858,Auburn University,Bachelor's degree,'45.0000',Social Sciences and History,148,99,49
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'45.0000',Social Sciences and History,916,517,399
1987-1988,209542,Oregon State University,Bachelor's degree,'45.0000',Social Sciences and History,216,134,82
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'45.0000',Social Sciences and History,533,337,196
1987-1988,131496,Georgetown University,Bachelor's degree,'45.0000',Social Sciences and History,605,334,271
1987-1988,209551,University of Oregon,Bachelor's degree,'45.0000',Social Sciences and History,382,237,145
1987-1988,135726,University of Miami,Bachelor's degree,'45.0000',Social Sciences and History,96,59,37
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'45.0000',Social Sciences and History,340,197,143
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'45.0000',Social Sciences and History,162,91,71
1987-1988,123961,University of Southern California,Bachelor's degree,'45.0000',Social Sciences and History,291,173,118
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'45.0000',Social Sciences and History,456,279,177
1987-1988,134130,University of Florida,Bachelor's degree,'45.0000',Social Sciences and History,515,331,184
1987-1988,100751,The University of Alabama,Bachelor's degree,'45.0000',Social Sciences and History,105,74,31
1987-1988,157289,University of Louisville,Bachelor's degree,'45.0000',Social Sciences and History,148,82,66
1987-1988,243744,Stanford University,Bachelor's degree,'45.0000',Social Sciences and History,617,354,263
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'45.0000',Social Sciences and History,170,107,63
1987-1988,198419,Duke University,Bachelor's degree,'45.0000',Social Sciences and History,570,345,225
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'45.0000',Social Sciences and History,432,242,190
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'45.0000',Social Sciences and History,1313,759,554
1987-1988,142115,Boise State University,Bachelor's degree,'45.0000',Social Sciences and History,87,53,34
1987-1988,100858,Auburn University,Bachelor's degree,NA,Theological Studies and Religious Vocations,1,0,1
1987-1988,152080,University of Notre Dame,Bachelor's degree,NA,Theological Studies and Religious Vocations,6,4,2
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,NA,Transporation and Material Moving Workers,77,70,7
1987-1988,142115,Boise State University,Bachelor's degree,NA,Transporation and Material Moving Workers,4,4,0
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'50.0000',Visual and Performing Arts,89,33,56
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'50.0000',Visual and Performing Arts,74,40,34
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'50.0000',Visual and Performing Arts,102,34,68
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'50.0000',Visual and Performing Arts,284,89,195
1987-1988,221999,Vanderbilt University,Bachelor's degree,'50.0000',Visual and Performing Arts,26,2,24
1987-1988,139959,University of Georgia,Bachelor's degree,'50.0000',Visual and Performing Arts,127,42,85
1987-1988,142115,Boise State University,Bachelor's degree,'50.0000',Visual and Performing Arts,47,15,32
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'50.0000',Visual and Performing Arts,32,11,21
1987-1988,131496,Georgetown University,Bachelor's degree,'50.0000',Visual and Performing Arts,13,2,11
1987-1988,198419,Duke University,Bachelor's degree,'50.0000',Visual and Performing Arts,45,11,34
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'50.0000',Visual and Performing Arts,208,68,140
1987-1988,155399,Kansas State University,Bachelor's degree,'50.0000',Visual and Performing Arts,45,14,31
1987-1988,228246,Southern Methodist University,Bachelor's degree,'50.0000',Visual and Performing Arts,120,31,89
1987-1988,152080,University of Notre Dame,Bachelor's degree,'50.0000',Visual and Performing Arts,53,26,27
1987-1988,100751,The University of Alabama,Bachelor's degree,'50.0000',Visual and Performing Arts,31,14,17
1987-1988,100858,Auburn University,Bachelor's degree,'50.0000',Visual and Performing Arts,113,59,54
1987-1988,157289,University of Louisville,Bachelor's degree,'50.0000',Visual and Performing Arts,75,23,52
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'50.0000',Visual and Performing Arts,5,3,2
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'50.0000',Visual and Performing Arts,28,9,19
1987-1988,122755,San Jose State University,Bachelor's degree,'50.0000',Visual and Performing Arts,167,77,90
1987-1988,147767,Northwestern University,Bachelor's degree,'50.0000',Visual and Performing Arts,141,59,82
1987-1988,209551,University of Oregon,Bachelor's degree,'50.0000',Visual and Performing Arts,125,43,82
1987-1988,123961,University of Southern California,Bachelor's degree,'50.0000',Visual and Performing Arts,128,60,68
1987-1988,243744,Stanford University,Bachelor's degree,'50.0000',Visual and Performing Arts,30,13,17
1987-1988,135726,University of Miami,Bachelor's degree,'50.0000',Visual and Performing Arts,188,107,81
1987-1988,230728,Utah State University,Bachelor's degree,'50.0000',Visual and Performing Arts,88,45,43
1987-1988,209542,Oregon State University,Bachelor's degree,'50.0000',Visual and Performing Arts,40,11,29
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'50.0000',Visual and Performing Arts,47,15,32
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'50.0000',Visual and Performing Arts,186,96,90
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'50.0000',Visual and Performing Arts,180,62,118
1987-1988,134130,University of Florida,Bachelor's degree,'50.0000',Visual and Performing Arts,92,33,59
1987-1988,100751,The University of Alabama,Bachelor's degree,'20.0000',Vocational Home Economics,1,0,1
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'20.0000',Vocational Home Economics,38,19,19
1987-1988,139959,University of Georgia,Bachelor's degree,'20.0000',Vocational Home Economics,22,0,22
1987-1988,155399,Kansas State University,Bachelor's degree,'20.0000',Vocational Home Economics,27,2,25
