Year,unitid,Institution_Name,Award_Level,cipcode,CIP_Classificaiton,Total,T.M,T.F
1987-1988,134130,University of Florida,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,6,3,3
1987-1988,147767,Northwestern University,Bachelor's degree,'05.0000',Area- Ethnic and Cultural Studies,7,3,4
1987-1988,157289,University of Louisville,Bachelor's degree,NA,Biological Science/Life Sciences,67,39,28
1987-1988,152080,University of Notre Dame,Bachelor's degree,NA,Biological Science/Life Sciences,53,26,27
1987-1988,221999,Vanderbilt University,Bachelor's degree,NA,Biological Science/Life Sciences,53,34,19
1987-1988,147767,Northwestern University,Bachelor's degree,NA,Biological Science/Life Sciences,75,34,41
1987-1988,100751,The University of Alabama,Bachelor's degree,NA,Biological Science/Life Sciences,45,23,22
1987-1988,100858,Auburn University,Bachelor's degree,NA,Biological Science/Life Sciences,62,31,31
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,NA,Biological Science/Life Sciences,66,41,25
1987-1988,155399,Kansas State University,Bachelor's degree,NA,Biological Science/Life Sciences,116,56,60
1987-1988,122755,San Jose State University,Bachelor's degree,NA,Biological Science/Life Sciences,85,32,53
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,NA,Biological Science/Life Sciences,97,59,38
1987-1988,135726,University of Miami,Bachelor's degree,NA,Biological Science/Life Sciences,71,39,32
1987-1988,131496,Georgetown University,Bachelor's degree,NA,Biological Science/Life Sciences,54,33,21
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,NA,Biological Science/Life Sciences,103,52,51
1987-1988,123961,University of Southern California,Bachelor's degree,NA,Biological Science/Life Sciences,93,48,45
1987-1988,230728,Utah State University,Bachelor's degree,NA,Biological Science/Life Sciences,17,9,8
1987-1988,243744,Stanford University,Bachelor's degree,NA,Biological Science/Life Sciences,166,94,72
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,NA,Biological Science/Life Sciences,202,112,90
1987-1988,134130,University of Florida,Bachelor's degree,NA,Biological Science/Life Sciences,201,101,100
1987-1988,217882,Clemson University,Bachelor's degree,NA,Biological Science/Life Sciences,79,43,36
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,NA,Biological Science/Life Sciences,350,170,180
1987-1988,209551,University of Oregon,Bachelor's degree,NA,Biological Science/Life Sciences,64,35,29
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,NA,Biological Science/Life Sciences,88,57,31
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,NA,Biological Science/Life Sciences,267,157,110
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,NA,Biological Science/Life Sciences,294,177,117
1987-1988,142115,Boise State University,Bachelor's degree,NA,Biological Science/Life Sciences,9,5,4
1987-1988,228246,Southern Methodist University,Bachelor's degree,NA,Biological Science/Life Sciences,28,14,14
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,NA,Biological Science/Life Sciences,109,66,43
1987-1988,139959,University of Georgia,Bachelor's degree,NA,Biological Science/Life Sciences,162,91,71
1987-1988,198419,Duke University,Bachelor's degree,NA,Biological Science/Life Sciences,124,57,67
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,NA,Biological Science/Life Sciences,160,80,80
1987-1988,209542,Oregon State University,Bachelor's degree,NA,Biological Science/Life Sciences,122,68,54
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,NA,Biological Science/Life Sciences,185,100,85
1987-1988,100858,Auburn University,Bachelor's degree,NA,Business (Administrative Support),11,0,11
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,NA,Business (Administrative Support),93,54,39
1987-1988,142115,Boise State University,Bachelor's degree,NA,Business (Administrative Support),7,0,7
