Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2002-2003,100858,Auburn University,Bachelor's degree,First major,Psychology.,'42',143,37,106,127,34,93,12,1,11,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Engineering.,'14',435,331,104,64,57,7,12,10,2,38,30,8,234,167,67,1,1,0,56,44,12,30,22,8
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',76,15,61,26,3,23,5,3,2,21,8,13,7,0,7,1,0,1,16,1,15,0,0,0
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',67,32,35,23,9,14,1,1,0,14,6,8,15,9,6,1,0,1,12,6,6,1,1,0
2002-2003,122755,San Jose State University,Bachelor's degree,First major,Psychology.,'42',196,55,141,72,19,53,7,1,6,47,15,32,36,13,23,2,1,1,25,6,19,7,0,7
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',28,10,18,15,7,8,1,0,1,3,0,3,7,2,5,0,0,0,2,1,1,0,0,0
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Education.,'13',45,8,37,21,2,19,2,0,2,9,4,5,11,2,9,0,0,0,1,0,1,1,0,1
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',212,27,185,72,7,65,22,0,22,53,10,43,56,7,49,3,1,2,4,1,3,2,1,1
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Natural resources and conservation.,'03',20,7,13,10,5,5,0,0,0,2,1,1,7,1,6,0,0,0,0,0,0,1,0,1
2002-2003,123961,University of Southern California,Bachelor's degree,First major,Physical sciences.,'40',17,9,8,10,6,4,1,0,1,1,0,1,4,2,2,0,0,0,0,0,0,1,1,0
2002-2003,134097,Florida State University,Bachelor's degree,First major,Education.,'13',505,159,346,415,128,287,49,18,31,33,11,22,4,0,4,2,1,1,2,1,1,0,0,0
2002-2003,134097,Florida State University,Bachelor's degree,First major,History,'54',71,51,20,59,43,16,4,1,3,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,134097,Florida State University,Bachelor's degree,First major,Philosophy and religious studies.,'38',39,22,17,31,19,12,4,2,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,134097,Florida State University,Bachelor's degree,First major,Psychology.,'42',351,64,287,250,46,204,51,11,40,39,6,33,8,0,8,0,0,0,1,0,1,2,1,1
2002-2003,134130,University of Florida,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',390,131,259,288,93,195,23,10,13,37,12,25,28,7,21,1,0,1,1,1,0,12,8,4
2002-2003,134130,University of Florida,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',143,39,104,103,29,74,6,3,3,22,3,19,9,2,7,1,1,0,0,0,0,2,1,1
2002-2003,134130,University of Florida,Bachelor's degree,First major,Natural resources and conservation.,'03',100,42,58,88,39,49,1,0,1,8,3,5,2,0,2,0,0,0,0,0,0,1,0,1
