Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1996-1997,198419,Duke University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),36,22,14,33,20,13,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1996-1997,198419,Duke University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,36,22,14,33,20,13,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1996-1997,198419,Duke University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,198419,Duke University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),4,4,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,198419,Duke University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,198419,Duke University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,2,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1996-1997,198419,Duke University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),4,1,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,198419,Duke University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,198419,Duke University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),24,24,0,14,14,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1996-1997,198419,Duke University,Football,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),24,24,0,14,14,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
