"","player","season","image_url","color","season_game","opponent","game_location","completions","attempts","passing_yards","passing_touchdowns","interceptions","rushing_touchdowns","qb_rating","team_points","opponent_points","completion_percentage","point_contribution_ratio","interceptions_per_attempt","yards_per_completion","yards_per_attempt","touchdowns_per_attempt","touchdowns_per_completion","player_point_to_opponent_point_ratio","label","detail"
"11","Dan Marino",1984,"http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png","#006666",3,"BUF","away",26,35,296,3,1,0,115.9,21,17,74.29,85.71,2.86,11.38,8.46,8.57,11.54,105.88,"Marino '84","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Marino '84</th></tr><tr><td><img src='http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png' height='125' width='100'></td><td align='left'>Season: 1984<br>Game Number: 3<br>QB Rating: 115.9<br>Passing Touchdowns: 3<br>Passing Yards: 296<br>Interceptions: 1</td></tr></table>"
"12","Dan Marino",1984,"http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png","#006666",4,"IND","home",14,29,257,2,0,0,102.2,44,7,48.28,27.27,0,18.36,8.86,6.9,14.29,171.43,"Marino '84","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Marino '84</th></tr><tr><td><img src='http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png' height='125' width='100'></td><td align='left'>Season: 1984<br>Game Number: 4<br>QB Rating: 102.2<br>Passing Touchdowns: 2<br>Passing Yards: 257<br>Interceptions: 0</td></tr></table>"
"13","Dan Marino",1984,"http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png","#006666",5,"STL","away",24,36,429,3,0,0,135.1,36,28,66.67,50,0,17.88,11.92,8.33,12.5,64.29,"Marino '84","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Marino '84</th></tr><tr><td><img src='http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png' height='125' width='100'></td><td align='left'>Season: 1984<br>Game Number: 5<br>QB Rating: 135.1<br>Passing Touchdowns: 3<br>Passing Yards: 429<br>Interceptions: 0</td></tr></table>"
"14","Dan Marino",1984,"http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png","#006666",6,"PIT","away",16,24,226,2,1,0,107.3,31,7,66.67,38.71,4.17,14.12,9.42,8.33,12.5,171.43,"Marino '84","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Marino '84</th></tr><tr><td><img src='http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png' height='125' width='100'></td><td align='left'>Season: 1984<br>Game Number: 6<br>QB Rating: 107.3<br>Passing Touchdowns: 2<br>Passing Yards: 226<br>Interceptions: 1</td></tr></table>"
"15","Dan Marino",1984,"http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png","#006666",7,"HOU","home",25,32,321,3,0,0,139.7,28,10,78.12,64.29,0,12.84,10.03,9.38,12,180,"Marino '84","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Marino '84</th></tr><tr><td><img src='http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png' height='125' width='100'></td><td align='left'>Season: 1984<br>Game Number: 7<br>QB Rating: 139.7<br>Passing Touchdowns: 3<br>Passing Yards: 321<br>Interceptions: 0</td></tr></table>"
"16","Dan Marino",1984,"http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png","#006666",8,"NWE","away",24,39,316,4,1,0,110.6,44,24,61.54,54.55,2.56,13.17,8.1,10.26,16.67,100,"Marino '84","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Marino '84</th></tr><tr><td><img src='http://thegothamgridiron.files.wordpress.com/2010/08/young-dan-marino.png' height='125' width='100'></td><td align='left'>Season: 1984<br>Game Number: 8<br>QB Rating: 110.6<br>Passing Touchdowns: 4<br>Passing Yards: 316<br>Interceptions: 1</td></tr></table>"
"17","Drew Brees",2011,"http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png","#D2B887",1,"GNB","away",32,49,419,3,0,0,112.5,34,42,65.31,52.94,0,13.09,8.55,6.12,9.38,42.86,"Brees '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Brees '11</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 1<br>QB Rating: 112.5<br>Passing Touchdowns: 3<br>Passing Yards: 419<br>Interceptions: 0</td></tr></table>"
"18","Drew Brees",2011,"http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png","#D2B887",2,"CHI","home",26,37,270,3,0,0,118.1,30,13,70.27,60,0,10.38,7.3,8.11,11.54,138.46,"Brees '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Brees '11</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 2<br>QB Rating: 118.1<br>Passing Touchdowns: 3<br>Passing Yards: 270<br>Interceptions: 0</td></tr></table>"
"19","Drew Brees",2011,"http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png","#D2B887",3,"HOU","home",31,44,370,3,2,0,99.6,40,33,70.45,45,4.55,11.94,8.41,6.82,9.68,54.55,"Brees '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Brees '11</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 3<br>QB Rating: 99.6<br>Passing Touchdowns: 3<br>Passing Yards: 370<br>Interceptions: 2</td></tr></table>"
"20","Drew Brees",2011,"http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png","#D2B887",4,"JAX","away",31,44,351,1,2,0,82.7,23,10,70.45,26.09,4.55,11.32,7.98,2.27,3.23,60,"Brees '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Brees '11</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 4<br>QB Rating: 82.7<br>Passing Touchdowns: 1<br>Passing Yards: 351<br>Interceptions: 2</td></tr></table>"
"21","Drew Brees",2011,"http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png","#D2B887",5,"CAR","away",32,45,359,2,1,0,100.1,30,27,71.11,40,2.22,11.22,7.98,4.44,6.25,44.44,"Brees '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Brees '11</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 5<br>QB Rating: 100.1<br>Passing Touchdowns: 2<br>Passing Yards: 359<br>Interceptions: 1</td></tr></table>"
"22","Drew Brees",2011,"http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png","#D2B887",6,"TAM","away",29,45,383,1,3,0,70.9,20,26,64.44,30,6.67,13.21,8.51,2.22,3.45,23.08,"Brees '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Brees '11</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 6<br>QB Rating: 70.9<br>Passing Touchdowns: 1<br>Passing Yards: 383<br>Interceptions: 3</td></tr></table>"
"23","Drew Brees",2011,"http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png","#D2B887",7,"IND","home",31,35,325,5,0,0,144.9,62,7,88.57,48.39,0,10.48,9.29,14.29,16.13,428.57,"Brees '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Brees '11</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 7<br>QB Rating: 144.9<br>Passing Touchdowns: 5<br>Passing Yards: 325<br>Interceptions: 0</td></tr></table>"
"24","Drew Brees",2011,"http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png","#D2B887",8,"STL","away",30,44,269,1,2,0,73,21,31,68.18,28.57,4.55,8.97,6.11,2.27,3.33,19.35,"Brees '11","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Brees '11</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/06/Drew-Brees.png' height='125' width='100'></td><td align='left'>Season: 2011<br>Game Number: 8<br>QB Rating: 73<br>Passing Touchdowns: 1<br>Passing Yards: 269<br>Interceptions: 2</td></tr></table>"
"25","Peyton Manning",2004,"http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png","#003B7B",1,"NWE","away",16,29,256,2,1,0,93.5,24,27,55.17,50,3.45,16,8.83,6.9,12.5,44.44,"Manning '04","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '04</th></tr><tr><td><img src='http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png' height='125' width='100'></td><td align='left'>Season: 2004<br>Game Number: 1<br>QB Rating: 93.5<br>Passing Touchdowns: 2<br>Passing Yards: 256<br>Interceptions: 1</td></tr></table>"
"26","Peyton Manning",2004,"http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png","#003B7B",2,"TEN","away",24,33,254,2,0,0,115,31,17,72.73,38.71,0,10.58,7.7,6.06,8.33,70.59,"Manning '04","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '04</th></tr><tr><td><img src='http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png' height='125' width='100'></td><td align='left'>Season: 2004<br>Game Number: 2<br>QB Rating: 115<br>Passing Touchdowns: 2<br>Passing Yards: 254<br>Interceptions: 0</td></tr></table>"
"27","Peyton Manning",2004,"http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png","#003B7B",3,"GNB","home",28,40,393,5,0,0,140.9,45,31,70,66.67,0,14.04,9.82,12.5,17.86,96.77,"Manning '04","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '04</th></tr><tr><td><img src='http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png' height='125' width='100'></td><td align='left'>Season: 2004<br>Game Number: 3<br>QB Rating: 140.9<br>Passing Touchdowns: 5<br>Passing Yards: 393<br>Interceptions: 0</td></tr></table>"
"28","Peyton Manning",2004,"http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png","#003B7B",4,"JAX","away",20,29,220,2,1,0,99.8,24,17,68.97,50,3.45,11,7.59,6.9,10,70.59,"Manning '04","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '04</th></tr><tr><td><img src='http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png' height='125' width='100'></td><td align='left'>Season: 2004<br>Game Number: 4<br>QB Rating: 99.8<br>Passing Touchdowns: 2<br>Passing Yards: 220<br>Interceptions: 1</td></tr></table>"
"29","Peyton Manning",2004,"http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png","#003B7B",5,"OAK","home",16,26,198,3,1,0,107.5,35,14,61.54,51.43,3.85,12.38,7.62,11.54,18.75,128.57,"Manning '04","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '04</th></tr><tr><td><img src='http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png' height='125' width='100'></td><td align='left'>Season: 2004<br>Game Number: 5<br>QB Rating: 107.5<br>Passing Touchdowns: 3<br>Passing Yards: 198<br>Interceptions: 1</td></tr></table>"
"30","Peyton Manning",2004,"http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png","#003B7B",6,"JAX","home",27,39,368,3,0,0,124.7,24,27,69.23,75,0,13.63,9.44,7.69,11.11,66.67,"Manning '04","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '04</th></tr><tr><td><img src='http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png' height='125' width='100'></td><td align='left'>Season: 2004<br>Game Number: 6<br>QB Rating: 124.7<br>Passing Touchdowns: 3<br>Passing Yards: 368<br>Interceptions: 0</td></tr></table>"
"31","Peyton Manning",2004,"http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png","#003B7B",7,"KAN","away",25,44,472,5,1,0,122.5,35,45,56.82,85.71,2.27,18.88,10.73,11.36,20,66.67,"Manning '04","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '04</th></tr><tr><td><img src='http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png' height='125' width='100'></td><td align='left'>Season: 2004<br>Game Number: 7<br>QB Rating: 122.5<br>Passing Touchdowns: 5<br>Passing Yards: 472<br>Interceptions: 1</td></tr></table>"
"32","Peyton Manning",2004,"http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png","#003B7B",8,"MIN","home",23,29,268,4,0,0,144.8,31,28,79.31,77.42,0,11.65,9.24,13.79,17.39,85.71,"Manning '04","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '04</th></tr><tr><td><img src='http://www.coltsdigital.me/community/uploads/gallery/album_3/gallery_1_3_109440.png' height='125' width='100'></td><td align='left'>Season: 2004<br>Game Number: 8<br>QB Rating: 144.8<br>Passing Touchdowns: 4<br>Passing Yards: 268<br>Interceptions: 0</td></tr></table>"
"33","Peyton Manning",2013,"http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png","#FB4F14",1,"BAL","home",27,42,462,7,0,0,141.1,49,27,64.29,85.71,0,17.11,11,16.67,25.93,155.56,"Manning '13","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '13</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png' height='125' width='100'></td><td align='left'>Season: 2013<br>Game Number: 1<br>QB Rating: 141.1<br>Passing Touchdowns: 7<br>Passing Yards: 462<br>Interceptions: 0</td></tr></table>"
"34","Peyton Manning",2013,"http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png","#FB4F14",2,"NYG","away",30,43,307,2,0,0,105.5,41,23,69.77,29.27,0,10.23,7.14,4.65,6.67,52.17,"Manning '13","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '13</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png' height='125' width='100'></td><td align='left'>Season: 2013<br>Game Number: 2<br>QB Rating: 105.5<br>Passing Touchdowns: 2<br>Passing Yards: 307<br>Interceptions: 0</td></tr></table>"
"35","Peyton Manning",2013,"http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png","#FB4F14",3,"OAK","home",32,37,374,3,0,0,135.8,37,21,86.49,48.65,0,11.69,10.11,8.11,9.38,85.71,"Manning '13","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '13</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png' height='125' width='100'></td><td align='left'>Season: 2013<br>Game Number: 3<br>QB Rating: 135.8<br>Passing Touchdowns: 3<br>Passing Yards: 374<br>Interceptions: 0</td></tr></table>"
"36","Peyton Manning",2013,"http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png","#FB4F14",4,"PHI","home",28,34,327,4,0,0,146,52,20,82.35,46.15,0,11.68,9.62,11.76,14.29,120,"Manning '13","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '13</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png' height='125' width='100'></td><td align='left'>Season: 2013<br>Game Number: 4<br>QB Rating: 146<br>Passing Touchdowns: 4<br>Passing Yards: 327<br>Interceptions: 0</td></tr></table>"
"37","Peyton Manning",2013,"http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png","#FB4F14",5,"DAL","away",33,42,414,4,1,1,129.6,51,48,78.57,58.82,2.38,12.55,9.86,9.52,12.12,62.5,"Manning '13","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '13</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png' height='125' width='100'></td><td align='left'>Season: 2013<br>Game Number: 5<br>QB Rating: 129.6<br>Passing Touchdowns: 4<br>Passing Yards: 414<br>Interceptions: 1</td></tr></table>"
"38","Peyton Manning",2013,"http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png","#FB4F14",6,"JAX","home",28,42,295,2,1,0,92.9,35,19,66.67,34.29,2.38,10.54,7.02,4.76,7.14,63.16,"Manning '13","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '13</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png' height='125' width='100'></td><td align='left'>Season: 2013<br>Game Number: 6<br>QB Rating: 92.9<br>Passing Touchdowns: 2<br>Passing Yards: 295<br>Interceptions: 1</td></tr></table>"
"39","Peyton Manning",2013,"http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png","#FB4F14",7,"IND","away",29,49,386,3,1,0,96.1,33,39,59.18,54.55,2.04,13.31,7.88,6.12,10.34,46.15,"Manning '13","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '13</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png' height='125' width='100'></td><td align='left'>Season: 2013<br>Game Number: 7<br>QB Rating: 96.1<br>Passing Touchdowns: 3<br>Passing Yards: 386<br>Interceptions: 1</td></tr></table>"
"40","Peyton Manning",2013,"http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png","#FB4F14",8,"WAS","home",30,44,354,4,3,0,94.3,45,21,68.18,53.33,6.82,11.8,8.05,9.09,13.33,114.29,"Manning '13","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Manning '13</th></tr><tr><td><img src='http://vlsportysexycool.com/wp-content/uploads/2012/03/Peyton-Manning-Broncos.png' height='125' width='100'></td><td align='left'>Season: 2013<br>Game Number: 8<br>QB Rating: 94.3<br>Passing Touchdowns: 4<br>Passing Yards: 354<br>Interceptions: 3</td></tr></table>"
"41","Tom Brady",2007,"http://3.bp.blogspot.com/-V_1dP__CU00/UjM6e5f6_XI/AAAAAAAAKTY/hth-u46579o/s1600/Brady_03.PNG","#0D254C",1,"NYJ","away",22,28,297,3,0,0,146.6,38,14,78.57,47.37,0,13.5,10.61,10.71,13.64,128.57,"Brady '07","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Brady '07</th></tr><tr><td><img src='http://3.bp.blogspot.com/-V_1dP__CU00/UjM6e5f6_XI/AAAAAAAAKTY/hth-u46579o/s1600/Brady_03.PNG' height='125' width='100'></td><td align='left'>Season: 2007<br>Game Number: 1<br>QB Rating: 146.6<br>Passing Touchdowns: 3<br>Passing Yards: 297<br>Interceptions: 0</td></tr></table>"
"42","Tom Brady",2007,"http://3.bp.blogspot.com/-V_1dP__CU00/UjM6e5f6_XI/AAAAAAAAKTY/hth-u46579o/s1600/Brady_03.PNG","#0D254C",2,"SDG","home",25,31,279,3,1,0,123,38,14,80.65,47.37,3.23,11.16,9,9.68,12,128.57,"Brady '07","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Brady '07</th></tr><tr><td><img src='http://3.bp.blogspot.com/-V_1dP__CU00/UjM6e5f6_XI/AAAAAAAAKTY/hth-u46579o/s1600/Brady_03.PNG' height='125' width='100'></td><td align='left'>Season: 2007<br>Game Number: 2<br>QB Rating: 123<br>Passing Touchdowns: 3<br>Passing Yards: 279<br>Interceptions: 1</td></tr></table>"
