Game_ID_2012,Team_Game_ID,Date,Location,TeamCode,Opponent,Result,Overtime,Team,Opponent,Wins,Losses,Streak,Season_Type,Season,Notes
105,9,"Wed, May 16, 2012",@,BOS,Philadelphia 76ers,W,,107,91,6,3,W 1,Playoffs,2011-2012,
106,12,"Wed, May 23, 2012",@,BOS,Philadelphia 76ers,L,,75,82,7,5,L 1,Playoffs,2011-2012,
107,15,"Wed, May 30, 2012",@,BOS,Miami Heat,L,OT,111,115,8,7,L 2,Playoffs,2011-2012,
256,58,"Fri, Apr 13, 2012",@,CHA,Miami Heat,L,,82,105,7,51,L 15,Regular Season,2011-2012,
260,62,"Fri, Apr 20, 2012",,CHA,Memphis Grizzlies,L,,80,85,7,55,L 19,Regular Season,2011-2012,
251,53,"Fri, Apr 6, 2012",@,CHA,Milwaukee Bucks,L,,90,95,7,46,L 10,Regular Season,2011-2012,
201,3,"Fri, Dec 30, 2011",,CHA,Orlando Magic,L,,79,100,1,2,L 2,Regular Season,2011-2012,
224,26,"Fri, Feb 10, 2012",,CHA,Chicago Bulls,L,,64,95,3,23,L 13,Regular Season,2011-2012,
228,30,"Fri, Feb 17, 2012",@,CHA,Toronto Raptors,W,,98,91,4,26,W 1,Regular Season,2011-2012,
210,12,"Fri, Jan 13, 2012",,CHA,Detroit Pistons,L,,81,98,2,10,L 6,Regular Season,2011-2012,
218,20,"Fri, Jan 27, 2012",@,CHA,Philadelphia 76ers,L,,72,89,3,17,L 7,Regular Season,2011-2012,
205,7,"Fri, Jan 6, 2012",,CHA,Atlanta Hawks,L,OT,96,102,2,5,L 1,Regular Season,2011-2012,
232,34,"Fri, Mar 2, 2012",@,CHA,San Antonio Spurs,L,,72,102,4,30,L 4,Regular Season,2011-2012,
243,45,"Fri, Mar 23, 2012",,CHA,Milwaukee Bucks,L,,92,112,7,38,L 2,Regular Season,2011-2012,
247,49,"Fri, Mar 30, 2012",,CHA,Denver Nuggets,L,,88,99,7,42,L 6,Regular Season,2011-2012,
236,38,"Fri, Mar 9, 2012",,CHA,New Jersey Nets,L,,74,83,5,33,L 2,Regular Season,2011-2012,
