Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2008-2009,217882,Clemson University,First major,Natural resources and conservation.,'03',Bachelor's degree,32,21,11,0,0,0,0,0,0,1,0,1,0,0,0,29,21,8,,,,,,,,,,2,0,2,0,0,0
2008-2009,217882,Clemson University,First major,Architecture and related services.,'04',Bachelor's degree,92,53,39,1,1,0,4,2,2,3,2,1,1,0,1,78,44,34,,,,,,,,,,5,4,1,0,0,0
2008-2009,217882,Clemson University,First major,Computer and information sciences and support services.,'11',Bachelor's degree,36,35,1,0,0,0,2,2,0,3,3,0,1,1,0,26,25,1,,,,,,,,,,4,4,0,0,0,0
2008-2009,217882,Clemson University,First major,Education.,'13',Bachelor's degree,199,47,152,0,0,0,1,0,1,10,6,4,2,0,2,177,38,139,,,,,,,,,,9,3,6,0,0,0
2008-2009,217882,Clemson University,First major,Engineering.,'14',Bachelor's degree,454,366,88,2,2,0,19,14,5,23,13,10,5,5,0,357,293,64,,,,,,,,,,41,34,7,7,5,2
2008-2009,217882,Clemson University,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,270,38,232,1,1,0,2,0,2,18,3,15,5,2,3,227,32,195,,,,,,,,,,17,0,17,0,0,0
2008-2009,217882,Clemson University,First major,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,114,66,48,0,0,0,1,1,0,9,5,4,3,1,2,92,54,38,,,,,,,,,,9,5,4,0,0,0
2008-2009,217882,Clemson University,First major,Philosophy and religious studies.,'38',Bachelor's degree,18,13,5,0,0,0,0,0,0,0,0,0,0,0,0,15,10,5,,,,,,,,,,3,3,0,0,0,0
2008-2009,217882,Clemson University,First major,Visual and performing arts.,'50',Bachelor's degree,120,47,73,0,0,0,1,0,1,6,3,3,1,0,1,108,41,67,,,,,,,,,,4,3,1,0,0,0
2008-2009,217882,Clemson University,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,710,460,250,1,0,1,4,4,0,18,13,5,7,6,1,631,401,230,,,,,,,,,,48,36,12,1,0,1
