Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2008-2009,209542,Oregon State University,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,34,10,24,1,0,1,2,0,2,0,0,0,3,1,2,22,8,14,,,,,,,,,,6,1,5,0,0,0
2008-2009,209542,Oregon State University,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,135,57,78,3,1,2,42,11,31,1,1,0,4,1,3,79,39,40,,,,,,,,,,5,4,1,1,0,1
2008-2009,209542,Oregon State University,First major,Psychology.,'42',Bachelor's degree,106,35,71,1,0,1,8,3,5,1,0,1,5,3,2,83,27,56,,,,,,,,,,5,1,4,3,1,2
2008-2009,209542,Oregon State University,First major,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,192,89,103,4,1,3,13,9,4,4,4,0,8,4,4,143,61,82,,,,,,,,,,15,7,8,5,3,2
2008-2009,209542,Oregon State University,First major,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,202,83,119,5,2,3,2,0,2,0,0,0,2,0,2,179,75,104,,,,,,,,,,14,6,8,0,0,0
2008-2009,209542,Oregon State University,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,6,2,4,0,0,0,0,0,0,0,0,0,1,1,0,5,1,4,,,,,,,,,,0,0,0,0,0,0
2008-2009,209542,Oregon State University,First major,Education.,'13',Bachelor's degree,64,19,45,0,0,0,1,1,0,0,0,0,2,0,2,58,16,42,,,,,,,,,,3,2,1,0,0,0
2008-2009,209542,Oregon State University,First major,Engineering.,'14',Bachelor's degree,480,415,65,2,0,2,48,37,11,2,2,0,10,9,1,360,317,43,,,,,,,,,,47,43,4,11,7,4
2008-2009,209542,Oregon State University,First major,Family and consumer sciences/human sciences.,'19',Bachelor's degree,338,38,300,7,0,7,22,5,17,6,1,5,13,1,12,258,29,229,,,,,,,,,,32,2,30,0,0,0
2008-2009,209542,Oregon State University,First major,Mathematics and statistics.,'27',Bachelor's degree,23,13,10,0,0,0,4,2,2,0,0,0,0,0,0,16,8,8,,,,,,,,,,3,3,0,0,0,0
2008-2009,209542,Oregon State University,First major,Philosophy and religious studies.,'38',Bachelor's degree,17,11,6,0,0,0,0,0,0,1,0,1,0,0,0,14,9,5,,,,,,,,,,2,2,0,0,0,0
2008-2009,209542,Oregon State University,First major,Physical sciences.,'40',Bachelor's degree,55,35,20,2,2,0,2,1,1,0,0,0,0,0,0,43,27,16,,,,,,,,,,7,5,2,1,0,1
2008-2009,209542,Oregon State University,First major,Biological and biomedical sciences.,'26',Bachelor's degree,218,91,127,2,0,2,38,19,19,3,1,2,9,3,6,147,57,90,,,,,,,,,,17,10,7,2,1,1
2008-2009,209542,Oregon State University,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,516,343,173,3,3,0,38,24,14,3,1,2,13,4,9,405,275,130,,,,,,,,,,40,31,9,14,5,9
2008-2009,209542,Oregon State University,First major,Computer and information sciences and support services.,'11',Bachelor's degree,60,58,2,0,0,0,7,7,0,1,1,0,3,3,0,42,40,2,,,,,,,,,,5,5,0,2,2,0
2008-2009,209542,Oregon State University,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,74,20,54,1,0,1,10,1,9,2,0,2,3,1,2,50,13,37,,,,,,,,,,7,4,3,1,1,0
2008-2009,209542,Oregon State University,First major,History,'54',Bachelor's degree,52,39,13,0,0,0,4,3,1,1,1,0,2,1,1,42,33,9,,,,,,,,,,3,1,2,0,0,0
2008-2009,209542,Oregon State University,First major,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,156,70,86,2,0,2,8,3,5,2,2,0,5,4,1,114,49,65,,,,,,,,,,25,12,13,0,0,0
2008-2009,209542,Oregon State University,First major,Natural resources and conservation.,'03',Bachelor's degree,183,105,78,6,3,3,5,2,3,1,1,0,6,4,2,135,80,55,,,,,,,,,,28,14,14,2,1,1
2008-2009,209542,Oregon State University,First major,Social sciences.,'45',Bachelor's degree,132,65,67,1,1,0,6,2,4,5,2,3,3,3,0,106,53,53,,,,,,,,,,9,3,6,2,1,1
2008-2009,209542,Oregon State University,First major,Visual and performing arts.,'50',Bachelor's degree,127,42,85,1,0,1,6,3,3,1,0,1,7,3,4,104,33,71,,,,,,,,,,5,2,3,3,1,2
2008-2009,186380,Rutgers University-New Brunswick,First major,Natural resources and conservation.,'03',Bachelor's degree,74,36,38,1,1,0,4,1,3,1,0,1,3,2,1,64,31,33,4,1,3,0,0,0,0,0,0,1,1,0,0,0,0
2008-2009,186380,Rutgers University-New Brunswick,First major,Psychology.,'42',Bachelor's degree,601,175,426,1,0,1,117,33,84,52,14,38,53,15,38,347,105,242,117,33,84,0,0,0,5,2,3,21,6,15,5,0,5
2008-2009,186380,Rutgers University-New Brunswick,First major,Social sciences.,'45',Bachelor's degree,967,548,419,2,2,0,241,132,109,79,35,44,84,37,47,498,305,193,241,132,109,0,0,0,7,6,1,36,17,19,20,14,6
2008-2009,186380,Rutgers University-New Brunswick,First major,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,95,28,67,0,0,0,12,5,7,3,0,3,9,3,6,70,20,50,12,5,7,0,0,0,0,0,0,1,0,1,0,0,0
2008-2009,186380,Rutgers University-New Brunswick,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,419,228,191,0,0,0,131,65,66,26,9,17,30,15,15,207,129,78,131,65,66,0,0,0,6,1,5,13,7,6,6,2,4
2008-2009,186380,Rutgers University-New Brunswick,First major,Engineering.,'14',Bachelor's degree,459,382,77,2,1,1,154,117,37,13,12,1,34,24,10,230,205,25,154,117,37,0,0,0,4,3,1,10,9,1,12,11,1
2008-2009,186380,Rutgers University-New Brunswick,First major,English language and literature/letters.,'23',Bachelor's degree,251,74,177,0,0,0,27,5,22,18,2,16,23,7,16,161,52,109,27,5,22,0,0,0,7,1,6,15,7,8,0,0,0
2008-2009,186380,Rutgers University-New Brunswick,First major,History,'54',Bachelor's degree,254,155,99,1,1,0,32,15,17,9,3,6,13,4,9,192,127,65,32,15,17,0,0,0,1,0,1,6,5,1,0,0,0
2008-2009,186380,Rutgers University-New Brunswick,First major,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,201,110,91,1,0,1,42,24,18,14,7,7,14,4,10,125,73,52,42,24,18,0,0,0,1,0,1,4,2,2,0,0,0
2008-2009,186380,Rutgers University-New Brunswick,First major,Philosophy and religious studies.,'38',Bachelor's degree,76,50,26,0,0,0,13,6,7,4,1,3,7,7,0,46,31,15,13,6,7,0,0,0,0,0,0,5,4,1,1,1,0
2008-2009,186380,Rutgers University-New Brunswick,First major,Public administration and social service professions.,'44',Bachelor's degree,33,3,30,0,0,0,4,0,4,5,1,4,4,0,4,20,2,18,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2008-2009,186380,Rutgers University-New Brunswick,First major,Biological and biomedical sciences.,'26',Bachelor's degree,591,239,352,0,0,0,258,98,160,37,17,20,35,11,24,210,93,117,258,98,160,0,0,0,7,3,4,25,11,14,19,6,13
2008-2009,186380,Rutgers University-New Brunswick,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,77,10,67,0,0,0,16,2,14,16,1,15,11,2,9,29,5,24,16,2,14,0,0,0,2,0,2,2,0,2,1,0,1
2008-2009,186380,Rutgers University-New Brunswick,First major,Physical sciences.,'40',Bachelor's degree,90,59,31,1,1,0,17,12,5,2,2,0,4,4,0,61,35,26,17,12,5,0,0,0,2,2,0,2,2,0,1,1,0
2008-2009,186380,Rutgers University-New Brunswick,First major,Architecture and related services.,'04',Bachelor's degree,34,21,13,0,0,0,5,2,3,0,0,0,1,1,0,26,16,10,5,2,3,0,0,0,1,1,0,1,1,0,0,0,0
2008-2009,186380,Rutgers University-New Brunswick,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,101,35,66,1,0,1,9,5,4,17,6,11,8,1,7,57,20,37,9,5,4,0,0,0,4,1,3,4,2,2,1,0,1
2008-2009,186380,Rutgers University-New Brunswick,First major,Communication- journalism- and related programs.,'09',Bachelor's degree,554,186,368,1,0,1,76,15,61,55,18,37,47,14,33,348,129,219,76,15,61,0,0,0,3,0,3,19,6,13,5,4,1
2008-2009,186380,Rutgers University-New Brunswick,First major,Computer and information sciences and support services.,'11',Bachelor's degree,137,113,24,0,0,0,31,24,7,12,10,2,12,11,1,73,62,11,31,24,7,0,0,0,1,0,1,5,3,2,3,3,0
2008-2009,186380,Rutgers University-New Brunswick,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,104,27,77,1,0,1,12,5,7,7,0,7,25,4,21,51,15,36,12,5,7,0,0,0,2,1,1,5,2,3,1,0,1
2008-2009,186380,Rutgers University-New Brunswick,First major,Mathematics and statistics.,'27',Bachelor's degree,92,61,31,0,0,0,26,18,8,3,2,1,4,2,2,51,34,17,26,18,8,0,0,0,2,2,0,0,0,0,6,3,3
2008-2009,186380,Rutgers University-New Brunswick,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,51,6,45,0,0,0,13,0,13,2,0,2,3,1,2,32,5,27,13,0,13,0,0,0,0,0,0,1,0,1,0,0,0
2008-2009,186380,Rutgers University-New Brunswick,First major,Security and protective services.,'43',Bachelor's degree,250,167,83,0,0,0,30,24,6,25,13,12,34,15,19,153,112,41,30,24,6,0,0,0,1,0,1,7,3,4,0,0,0
2008-2009,186380,Rutgers University-New Brunswick,First major,Visual and performing arts.,'50',Bachelor's degree,241,78,163,0,0,0,27,6,21,12,5,7,10,4,6,170,59,111,27,6,21,0,0,0,2,1,1,15,3,12,5,0,5
2008-2009,122755,San Jose State University,First major,Biological and biomedical sciences.,'26',Bachelor's degree,110,37,73,1,0,1,49,17,32,5,2,3,8,1,7,24,6,18,,,,,,,,,,17,8,9,6,3,3
2008-2009,122755,San Jose State University,First major,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,81,13,68,0,0,0,7,2,5,2,2,0,16,3,13,44,5,39,,,,,,,,,,11,1,10,1,0,1
2008-2009,122755,San Jose State University,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,62,14,48,0,0,0,11,4,7,6,1,5,14,2,12,23,4,19,,,,,,,,,,8,3,5,0,0,0
2008-2009,122755,San Jose State University,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,1426,789,637,5,2,3,612,326,286,46,26,20,198,106,92,356,217,139,,,,,,,,,,140,75,65,69,37,32
2008-2009,122755,San Jose State University,First major,Computer and information sciences and support services.,'11',Bachelor's degree,87,74,13,0,0,0,41,34,7,3,3,0,4,3,1,21,19,2,,,,,,,,,,10,10,0,8,5,3
2008-2009,122755,San Jose State University,First major,English language and literature/letters.,'23',Bachelor's degree,173,64,109,2,0,2,28,13,15,11,5,6,28,10,18,70,22,48,,,,,,,,,,32,14,18,2,0,2
2008-2009,122755,San Jose State University,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,415,55,360,2,1,1,187,35,152,15,0,15,53,5,48,100,6,94,,,,,,,,,,51,7,44,7,1,6
2008-2009,122755,San Jose State University,First major,Natural resources and conservation.,'03',Bachelor's degree,44,23,21,1,1,0,12,5,7,3,3,0,7,3,4,17,8,9,,,,,,,,,,4,3,1,0,0,0
2008-2009,122755,San Jose State University,First major,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,147,63,84,0,0,0,33,19,14,10,2,8,17,9,8,59,22,37,,,,,,,,,,22,9,13,6,2,4
2008-2009,122755,San Jose State University,First major,Visual and performing arts.,'50',Bachelor's degree,383,156,227,1,1,0,120,55,65,7,1,6,48,20,28,116,41,75,,,,,,,,,,74,29,45,17,9,8
2008-2009,122755,San Jose State University,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,,,,,,,,,,0,0,0,0,0,0
2008-2009,122755,San Jose State University,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,34,16,18,2,0,2,9,5,4,0,0,0,10,4,6,9,4,5,,,,,,,,,,4,3,1,0,0,0
2008-2009,122755,San Jose State University,First major,Mathematics and statistics.,'27',Bachelor's degree,25,12,13,0,0,0,11,6,5,1,1,0,2,0,2,5,3,2,,,,,,,,,,4,2,2,2,0,2
2008-2009,122755,San Jose State University,First major,Public administration and social service professions.,'44',Bachelor's degree,78,13,65,0,0,0,22,5,17,3,0,3,28,5,23,19,3,16,,,,,,,,,,5,0,5,1,0,1
2008-2009,122755,San Jose State University,First major,Security and protective services.,'43',Bachelor's degree,194,89,105,2,1,1,42,28,14,9,4,5,81,32,49,40,16,24,,,,,,,,,,20,8,12,0,0,0
2008-2009,122755,San Jose State University,First major,Communication- journalism- and related programs.,'09',Bachelor's degree,251,113,138,1,0,1,57,26,31,14,9,5,37,16,21,99,43,56,,,,,,,,,,36,17,19,7,2,5
2008-2009,122755,San Jose State University,First major,Education.,'13',Bachelor's degree,122,8,114,2,0,2,32,3,29,2,0,2,23,1,22,43,2,41,,,,,,,,,,19,2,17,1,0,1
2008-2009,122755,San Jose State University,First major,Engineering.,'14',Bachelor's degree,402,337,65,3,3,0,180,153,27,13,10,3,52,38,14,80,67,13,,,,,,,,,,36,34,2,38,32,6
2008-2009,122755,San Jose State University,First major,History,'54',Bachelor's degree,60,35,25,0,0,0,6,5,1,2,0,2,7,5,2,34,19,15,,,,,,,,,,10,5,5,1,1,0
2008-2009,122755,San Jose State University,First major,Philosophy and religious studies.,'38',Bachelor's degree,16,9,7,1,0,1,0,0,0,0,0,0,0,0,0,11,8,3,,,,,,,,,,4,1,3,0,0,0
2008-2009,122755,San Jose State University,First major,Physical sciences.,'40',Bachelor's degree,44,20,24,1,0,1,21,8,13,0,0,0,3,1,2,12,6,6,,,,,,,,,,3,2,1,4,3,1
2008-2009,122755,San Jose State University,First major,Psychology.,'42',Bachelor's degree,232,59,173,1,1,0,61,14,47,8,3,5,55,16,39,73,16,57,,,,,,,,,,30,7,23,4,2,2
2008-2009,122755,San Jose State University,First major,Social sciences.,'45',Bachelor's degree,302,144,158,2,1,1,53,31,22,29,17,12,72,31,41,87,38,49,,,,,,,,,,52,23,29,7,3,4
2008-2009,122755,San Jose State University,First major,Transportation and materials moving.,'49',Bachelor's degree,40,34,6,0,0,0,12,11,1,2,2,0,6,6,0,17,14,3,,,,,,,,,,2,0,2,1,1,0
2008-2009,228246,Southern Methodist University,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,55,17,38,1,1,0,1,0,1,2,0,2,11,2,9,37,11,26,,,,,,,,,,0,0,0,3,3,0
2008-2009,228246,Southern Methodist University,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0
2008-2009,228246,Southern Methodist University,First major,Psychology.,'42',Bachelor's degree,93,21,72,1,0,1,9,0,9,5,2,3,9,4,5,65,14,51,,,,,,,,,,0,0,0,4,1,3
2008-2009,228246,Southern Methodist University,First major,Social sciences.,'45',Bachelor's degree,285,186,99,2,0,2,13,10,3,19,12,7,35,19,16,204,136,68,,,,,,,,,,0,0,0,12,9,3
2008-2009,228246,Southern Methodist University,First major,Visual and performing arts.,'50',Bachelor's degree,122,39,83,1,1,0,3,0,3,8,1,7,11,4,7,98,33,65,,,,,,,,,,0,0,0,1,0,1
2008-2009,228246,Southern Methodist University,First major,English language and literature/letters.,'23',Bachelor's degree,69,23,46,0,0,0,1,0,1,4,1,3,3,1,2,58,20,38,,,,,,,,,,0,0,0,3,1,2
2008-2009,228246,Southern Methodist University,First major,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,40,25,15,0,0,0,0,0,0,1,1,0,5,3,2,31,20,11,,,,,,,,,,0,0,0,3,1,2
2008-2009,228246,Southern Methodist University,First major,Natural resources and conservation.,'03',Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0
2008-2009,228246,Southern Methodist University,First major,Philosophy and religious studies.,'38',Bachelor's degree,22,11,11,0,0,0,2,2,0,0,0,0,3,3,0,17,6,11,,,,,,,,,,0,0,0,0,0,0
2008-2009,228246,Southern Methodist University,First major,Biological and biomedical sciences.,'26',Bachelor's degree,47,18,29,0,0,0,7,5,2,2,1,1,1,0,1,37,12,25,,,,,,,,,,0,0,0,0,0,0
2008-2009,228246,Southern Methodist University,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,439,243,196,3,1,2,36,18,18,13,7,6,27,20,7,325,177,148,,,,,,,,,,0,0,0,35,20,15
2008-2009,228246,Southern Methodist University,First major,Communication- journalism- and related programs.,'09',Bachelor's degree,220,38,182,3,1,2,9,2,7,9,0,9,15,3,12,177,30,147,,,,,,,,,,0,0,0,7,2,5
2008-2009,228246,Southern Methodist University,First major,Computer and information sciences and support services.,'11',Bachelor's degree,6,5,1,0,0,0,1,1,0,0,0,0,1,0,1,3,3,0,,,,,,,,,,0,0,0,1,1,0
2008-2009,228246,Southern Methodist University,First major,Engineering technologies/technicians.,'15',Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0
2008-2009,228246,Southern Methodist University,First major,Mathematics and statistics.,'27',Bachelor's degree,45,30,15,0,0,0,3,3,0,0,0,0,4,2,2,37,25,12,,,,,,,,,,0,0,0,1,0,1
2008-2009,228246,Southern Methodist University,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,28,4,24,0,0,0,2,0,2,2,1,1,5,1,4,19,2,17,,,,,,,,,,0,0,0,0,0,0
2008-2009,228246,Southern Methodist University,First major,Physical sciences.,'40',Bachelor's degree,14,4,10,0,0,0,2,0,2,1,0,1,0,0,0,11,4,7,,,,,,,,,,0,0,0,0,0,0
2008-2009,228246,Southern Methodist University,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,8,4,4,0,0,0,0,0,0,0,0,0,2,1,1,3,2,1,,,,,,,,,,0,0,0,3,1,2
2008-2009,228246,Southern Methodist University,First major,Education.,'13',Bachelor's degree,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,,,,,,,,,,0,0,0,0,0,0
2008-2009,228246,Southern Methodist University,First major,Engineering.,'14',Bachelor's degree,85,56,29,1,1,0,4,1,3,3,1,2,7,6,1,67,45,22,,,,,,,,,,0,0,0,3,2,1
2008-2009,228246,Southern Methodist University,First major,History,'54',Bachelor's degree,32,14,18,0,0,0,0,0,0,1,1,0,0,0,0,31,13,18,,,,,,,,,,0,0,0,0,0,0
2008-2009,228246,Southern Methodist University,First major,Public administration and social service professions.,'44',Bachelor's degree,14,10,4,0,0,0,2,0,2,1,1,0,0,0,0,11,9,2,,,,,,,,,,0,0,0,0,0,0
2008-2009,243744,Stanford University,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,44,12,32,3,0,3,8,3,5,5,2,3,4,2,2,19,4,15,,,,,,,,,,3,1,2,2,0,2
2008-2009,243744,Stanford University,First major,Computer and information sciences and support services.,'11',Bachelor's degree,64,61,3,0,0,0,28,26,2,5,5,0,3,3,0,16,16,0,,,,,,,,,,2,2,0,10,9,1
2008-2009,243744,Stanford University,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,37,14,23,1,0,1,8,0,8,2,2,0,3,1,2,22,11,11,,,,,,,,,,1,0,1,0,0,0
2008-2009,243744,Stanford University,First major,Visual and performing arts.,'50',Bachelor's degree,45,16,29,1,0,1,7,2,5,5,3,2,6,3,3,24,8,16,,,,,,,,,,1,0,1,1,0,1
2008-2009,243744,Stanford University,First major,Biological and biomedical sciences.,'26',Bachelor's degree,120,61,59,1,0,1,52,26,26,6,4,2,13,6,7,33,17,16,,,,,,,,,,8,4,4,7,4,3
2008-2009,243744,Stanford University,First major,Communication- journalism- and related programs.,'09',Bachelor's degree,40,17,23,0,0,0,8,3,5,9,5,4,5,2,3,16,6,10,,,,,,,,,,0,0,0,2,1,1
2008-2009,243744,Stanford University,First major,English language and literature/letters.,'23',Bachelor's degree,70,26,44,1,1,0,15,5,10,2,2,0,5,2,3,37,14,23,,,,,,,,,,4,2,2,6,0,6
2008-2009,243744,Stanford University,First major,Philosophy and religious studies.,'38',Bachelor's degree,26,14,12,1,1,0,6,1,5,2,1,1,2,1,1,12,8,4,,,,,,,,,,2,2,0,1,0,1
2008-2009,243744,Stanford University,First major,Physical sciences.,'40',Bachelor's degree,66,41,25,0,0,0,12,6,6,2,1,1,6,5,1,39,22,17,,,,,,,,,,7,7,0,0,0,0
2008-2009,243744,Stanford University,First major,Psychology.,'42',Bachelor's degree,67,11,56,3,0,3,6,1,5,13,1,12,4,1,3,30,5,25,,,,,,,,,,8,3,5,3,0,3
2008-2009,243744,Stanford University,First major,Engineering technologies/technicians.,'15',Bachelor's degree,50,33,17,0,0,0,13,6,7,7,4,3,7,6,1,15,12,3,,,,,,,,,,1,1,0,7,4,3
2008-2009,243744,Stanford University,First major,Engineering.,'14',Bachelor's degree,242,156,86,2,2,0,75,41,34,9,6,3,32,21,11,100,65,35,,,,,,,,,,7,6,1,17,15,2
2008-2009,243744,Stanford University,First major,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,8,3,5,0,0,0,3,1,2,2,0,2,1,0,1,1,1,0,,,,,,,,,,0,0,0,1,1,0
2008-2009,243744,Stanford University,First major,Mathematics and statistics.,'27',Bachelor's degree,61,44,17,0,0,0,15,12,3,3,3,0,4,3,1,23,13,10,,,,,,,,,,7,6,1,9,7,2
2008-2009,243744,Stanford University,First major,Public administration and social service professions.,'44',Bachelor's degree,20,12,8,0,0,0,3,1,2,2,0,2,4,3,1,8,7,1,,,,,,,,,,2,1,1,1,0,1
2008-2009,243744,Stanford University,First major,History,'54',Bachelor's degree,55,33,22,0,0,0,6,4,2,1,1,0,5,3,2,33,19,14,,,,,,,,,,8,6,2,2,0,2
2008-2009,243744,Stanford University,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,289,117,172,11,6,5,59,26,33,42,17,25,23,8,15,134,53,81,,,,,,,,,,14,4,10,6,3,3
2008-2009,243744,Stanford University,First major,Social sciences.,'45',Bachelor's degree,376,171,205,12,4,8,73,29,44,48,22,26,42,13,29,145,75,70,,,,,,,,,,22,9,13,34,19,15
2008-2009,228723,Texas A & M University-College Station,First major,Architecture and related services.,'04',Bachelor's degree,181,101,80,1,1,0,8,3,5,4,2,2,20,14,6,146,80,66,,,,,,,,,,0,0,0,2,1,1
2008-2009,228723,Texas A & M University-College Station,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,0,0,0,0,0,0
2008-2009,228723,Texas A & M University-College Station,First major,Biological and biomedical sciences.,'26',Bachelor's degree,727,276,451,2,2,0,87,35,52,17,9,8,94,33,61,518,192,326,,,,,,,,,,0,0,0,9,5,4
2008-2009,228723,Texas A & M University-College Station,First major,Engineering technologies/technicians.,'15',Bachelor's degree,290,258,32,1,1,0,7,7,0,4,4,0,25,22,3,250,222,28,,,,,,,,,,2,2,0,1,0,1
2008-2009,228723,Texas A & M University-College Station,First major,Engineering.,'14',Bachelor's degree,1068,867,201,0,0,0,40,33,7,22,14,8,121,97,24,751,624,127,,,,,,,,,,2,2,0,132,97,35
2008-2009,228723,Texas A & M University-College Station,First major,Mathematics and statistics.,'27',Bachelor's degree,63,29,34,0,0,0,2,0,2,1,0,1,9,4,5,51,25,26,,,,,,,,,,0,0,0,0,0,0
2008-2009,228723,Texas A & M University-College Station,First major,Social sciences.,'45',Bachelor's degree,594,332,262,2,1,1,27,16,11,26,7,19,102,50,52,429,253,176,,,,,,,,,,2,1,1,6,4,2
2008-2009,228723,Texas A & M University-College Station,First major,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,1002,582,420,9,5,4,7,5,2,28,21,7,91,44,47,858,500,358,,,,,,,,,,2,2,0,7,5,2
2008-2009,228723,Texas A & M University-College Station,First major,Computer and information sciences and support services.,'11',Bachelor's degree,91,84,7,0,0,0,4,3,1,0,0,0,7,6,1,79,74,5,,,,,,,,,,0,0,0,1,1,0
2008-2009,228723,Texas A & M University-College Station,First major,Natural resources and conservation.,'03',Bachelor's degree,193,112,81,1,0,1,7,5,2,9,2,7,24,13,11,151,92,59,,,,,,,,,,1,0,1,0,0,0
2008-2009,228723,Texas A & M University-College Station,First major,Physical sciences.,'40',Bachelor's degree,173,105,68,3,1,2,6,3,3,4,1,3,24,13,11,134,87,47,,,,,,,,,,0,0,0,2,0,2
2008-2009,228723,Texas A & M University-College Station,First major,Visual and performing arts.,'50',Bachelor's degree,13,5,8,0,0,0,0,0,0,0,0,0,2,1,1,11,4,7,,,,,,,,,,0,0,0,0,0,0
2008-2009,228723,Texas A & M University-College Station,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,1494,731,763,5,3,2,65,36,29,37,18,19,149,74,75,1232,597,635,,,,,,,,,,1,1,0,5,2,3
2008-2009,228723,Texas A & M University-College Station,First major,Communication- journalism- and related programs.,'09',Bachelor's degree,34,15,19,1,0,1,1,0,1,1,0,1,4,1,3,27,14,13,,,,,,,,,,0,0,0,0,0,0
2008-2009,228723,Texas A & M University-College Station,First major,English language and literature/letters.,'23',Bachelor's degree,477,97,380,2,1,1,8,4,4,12,3,9,46,11,35,408,78,330,,,,,,,,,,1,0,1,0,0,0
2008-2009,228723,Texas A & M University-College Station,First major,Family and consumer sciences/human sciences.,'19',Bachelor's degree,157,22,135,1,0,1,10,2,8,4,1,3,21,4,17,120,15,105,,,,,,,,,,0,0,0,1,0,1
2008-2009,228723,Texas A & M University-College Station,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,44,16,28,0,0,0,1,0,1,1,1,0,17,7,10,24,8,16,,,,,,,,,,0,0,0,1,0,1
2008-2009,228723,Texas A & M University-College Station,First major,Philosophy and religious studies.,'38',Bachelor's degree,24,14,10,0,0,0,0,0,0,0,0,0,2,2,0,22,12,10,,,,,,,,,,0,0,0,0,0,0
2008-2009,228723,Texas A & M University-College Station,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,145,16,129,2,0,2,1,0,1,4,0,4,22,8,14,114,8,106,,,,,,,,,,0,0,0,2,0,2
2008-2009,228723,Texas A & M University-College Station,First major,History,'54',Bachelor's degree,181,97,84,2,0,2,3,2,1,3,1,2,16,10,6,155,83,72,,,,,,,,,,2,1,1,0,0,0
2008-2009,228723,Texas A & M University-College Station,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,665,118,547,3,2,1,16,6,10,15,8,7,65,13,52,558,87,471,,,,,,,,,,2,0,2,6,2,4
2008-2009,228723,Texas A & M University-College Station,First major,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,435,228,207,1,1,0,6,3,3,12,8,4,30,19,11,385,197,188,,,,,,,,,,1,0,1,0,0,0
2008-2009,228723,Texas A & M University-College Station,First major,Psychology.,'42',Bachelor's degree,324,79,245,0,0,0,15,5,10,11,1,10,54,12,42,243,61,182,,,,,,,,,,1,0,1,0,0,0
2008-2009,100751,The University of Alabama,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,13,4,9,0,0,0,0,0,0,1,0,1,0,0,0,12,4,8,,,,,,,,,,0,0,0,0,0,0
