Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS,T.AS.M,T.AS.W,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.PI,T.PI.M,T.PI.F,T.C,T.C.M,T.C.F,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F
2010-2011,155399,Kansas State University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,107,54,53,2,1,1,3,2,1,2,0,2,10,5,5,0,0,0,84,44,40,4,2,2,0,0,0,2,0,2,3,2,1
2010-2011,155399,Kansas State University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,149,52,97,1,1,0,0,0,0,1,1,0,5,1,4,0,0,0,136,49,87,1,0,1,1,0,1,4,0,4,0,0,0
2010-2011,155399,Kansas State University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,58,51,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,53,46,7,1,1,0,1,1,0,2,2,0,1,1,0
2010-2011,155399,Kansas State University,First major,Education,'13',Bachelor's degree,309,57,252,0,0,0,0,0,0,3,0,3,14,0,14,0,0,0,289,57,232,2,0,2,0,0,0,1,0,1,0,0,0
2010-2011,155399,Kansas State University,First major,Mathematics and Statistics,'27',Bachelor's degree,22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,6,0,0,0,1,1,0,3,2,1,0,0,0
2010-2011,157289,University of Louisville,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,133,68,65,1,0,1,12,6,6,6,1,5,4,1,3,1,1,0,104,57,47,2,2,0,0,0,0,3,0,3,13,7,6
2010-2011,157289,University of Louisville,First major,Psychology,'42',Bachelor's degree,193,46,147,0,0,0,8,2,6,31,5,26,6,0,6,0,0,0,141,39,102,4,0,4,0,0,0,3,0,3,8,2,6
2010-2011,157289,University of Louisville,First major,Social Sciences,'45',Bachelor's degree,178,85,93,0,0,0,4,2,2,13,3,10,3,1,2,1,0,1,152,77,75,3,1,2,2,1,1,0,0,0,5,2,3
2010-2011,157289,University of Louisville,First major,Visual and Performing Arts,'50',Bachelor's degree,136,37,99,1,0,1,4,1,3,9,3,6,1,0,1,0,0,0,113,31,82,6,2,4,1,0,1,1,0,1,4,1,3
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Engineering,'14',Bachelor's degree,401,330,71,2,2,0,22,17,5,30,26,4,13,12,1,0,0,0,297,240,57,0,0,0,11,9,2,26,24,2,22,17,5
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,56,16,40,0,0,0,4,1,3,3,1,2,8,0,8,0,0,0,40,14,26,0,0,0,1,0,1,0,0,0,4,1,3
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,63,36,27,0,0,0,2,2,0,10,7,3,1,1,0,0,0,0,46,23,23,2,2,0,1,1,0,1,0,1,2,2,0
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Social Sciences,'45',Bachelor's degree,330,156,174,2,1,1,8,3,5,62,20,42,11,3,8,0,0,0,240,124,116,2,1,1,2,1,1,3,3,0,8,3,5
2010-2011,147767,Northwestern University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,22,13,9,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,12,7,5,0,0,0,3,2,1,1,0,1,6,4,2
2010-2011,147767,Northwestern University,First major,Psychology,'42',Bachelor's degree,182,58,124,0,0,0,42,17,25,8,3,5,17,6,11,0,0,0,96,24,72,5,4,1,12,4,8,2,0,2,42,17,25
2010-2011,147767,Northwestern University,First major,Visual and Performing Arts,'50',Bachelor's degree,209,81,128,0,0,0,15,7,8,9,0,9,13,4,9,0,0,0,153,65,88,5,1,4,11,3,8,3,1,2,15,7,8
2010-2011,152080,University of Notre Dame,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,126,51,75,0,0,0,11,5,6,1,1,0,13,4,9,0,0,0,97,38,59,1,0,1,1,1,0,2,2,0,11,5,6
2010-2011,152080,University of Notre Dame,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,36,14,22,0,0,0,1,0,1,3,1,2,6,0,6,0,0,0,25,12,13,0,0,0,1,1,0,0,0,0,1,0,1
2010-2011,152080,University of Notre Dame,First major,Philosophy and Religious Studies,'38',Bachelor's degree,18,11,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,16,11,5,0,0,0,0,0,0,0,0,0,1,0,1
2010-2011,152080,University of Notre Dame,First major,Social Sciences,'45',Bachelor's degree,298,163,135,3,3,0,10,4,6,18,10,8,26,14,12,0,0,0,228,125,103,7,3,4,2,1,1,4,3,1,10,4,6
2010-2011,155399,Kansas State University,First major,Architecture and Related Services,'04',Bachelor's degree,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,155399,Kansas State University,First major,English Language and Literature/Letters,'23',Bachelor's degree,38,17,21,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,36,15,21,0,0,0,0,0,0,0,0,0,1,1,0
2010-2011,155399,Kansas State University,First major,Physical Sciences,'40',Bachelor's degree,22,16,6,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,17,14,3,1,0,1,0,0,0,1,1,0,1,0,1
2010-2011,155399,Kansas State University,First major,Psychology,'42',Bachelor's degree,62,17,45,0,0,0,1,0,1,0,0,0,6,3,3,0,0,0,53,14,39,0,0,0,0,0,0,2,0,2,1,0,1
2010-2011,157289,University of Louisville,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,125,70,55,0,0,0,0,0,0,22,14,8,5,3,2,0,0,0,94,52,42,3,1,2,0,0,0,1,0,1,0,0,0
2010-2011,157289,University of Louisville,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,208,109,99,0,0,0,6,2,4,29,10,19,5,2,3,0,0,0,154,89,65,4,2,2,1,1,0,9,3,6,6,2,4
2010-2011,157289,University of Louisville,First major,Philosophy and Religious Studies,'38',Bachelor's degree,15,12,3,0,0,0,1,1,0,2,1,1,4,3,1,0,0,0,7,6,1,0,0,0,1,1,0,0,0,0,1,1,0
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,827,465,362,2,2,0,28,11,17,41,10,31,27,12,15,0,0,0,689,406,283,3,1,2,19,10,9,18,13,5,28,11,17
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,38,34,4,0,0,0,5,4,1,3,2,1,2,0,2,0,0,0,27,27,0,0,0,0,0,0,0,1,1,0,5,4,1
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,English Language and Literature/Letters,'23',Bachelor's degree,147,51,96,0,0,0,3,0,3,13,1,12,5,3,2,0,0,0,123,47,76,1,0,1,2,0,2,0,0,0,3,0,3
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,History,'54',Bachelor's degree,134,80,54,0,0,0,1,1,0,8,3,5,7,3,4,0,0,0,116,73,43,0,0,0,2,0,2,0,0,0,1,1,0
2010-2011,142115,Boise State University,First major,Visual and Performing Arts,'50',Bachelor's degree,110,39,71,2,1,1,5,2,3,2,0,2,3,2,1,0,0,0,95,33,62,1,1,0,2,0,2,0,0,0,5,2,3
2010-2011,147767,Northwestern University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,121,58,63,1,0,1,53,30,23,1,0,1,9,2,7,0,0,0,53,23,30,1,1,0,2,2,0,1,0,1,53,30,23
2010-2011,147767,Northwestern University,First major,Health Professions and Related Programs,'51',Bachelor's degree,37,3,34,0,0,0,16,2,14,3,0,3,3,0,3,0,0,0,12,1,11,1,0,1,0,0,0,2,0,2,16,2,14
2010-2011,147767,Northwestern University,First major,History,'54',Bachelor's degree,68,35,33,0,0,0,6,4,2,3,1,2,7,5,2,0,0,0,41,20,21,0,0,0,10,5,5,1,0,1,6,4,2
2010-2011,147767,Northwestern University,First major,Legal Professions and Studies,'22',Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,147767,Northwestern University,First major,Natural Resources and Conservation,'03',Bachelor's degree,11,3,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,3,6,1,0,1,0,0,0,0,0,0,0,0,0
2010-2011,147767,Northwestern University,First major,Physical Sciences,'40',Bachelor's degree,30,22,8,0,0,0,6,5,1,1,0,1,1,1,0,0,0,0,18,14,4,1,0,1,1,1,0,2,1,1,6,5,1
2010-2011,152080,University of Notre Dame,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,38,6,32,0,0,0,0,0,0,2,0,2,4,0,4,0,0,0,30,6,24,2,0,2,0,0,0,0,0,0,0,0,0
2010-2011,152080,University of Notre Dame,First major,Engineering,'14',Bachelor's degree,249,177,72,1,0,1,10,9,1,3,1,2,20,12,8,0,0,0,204,147,57,4,3,1,1,0,1,6,5,1,10,9,1
2010-2011,152080,University of Notre Dame,First major,English Language and Literature/Letters,'23',Bachelor's degree,78,21,57,0,0,0,1,1,0,3,0,3,6,1,5,0,0,0,66,19,47,1,0,1,0,0,0,1,0,1,1,1,0
2010-2011,152080,University of Notre Dame,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,55,24,31,0,0,0,3,1,2,4,1,3,11,4,7,0,0,0,33,17,16,4,1,3,0,0,0,0,0,0,3,1,2
2010-2011,152080,University of Notre Dame,First major,History,'54',Bachelor's degree,64,35,29,0,0,0,2,0,2,2,1,1,7,2,5,0,0,0,52,32,20,1,0,1,0,0,0,0,0,0,2,0,2
2010-2011,152080,University of Notre Dame,First major,Visual and Performing Arts,'50',Bachelor's degree,89,37,52,0,0,0,4,1,3,8,3,5,9,5,4,0,0,0,63,26,37,5,2,3,0,0,0,0,0,0,4,1,3
2010-2011,155399,Kansas State University,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,405,226,179,2,1,1,2,0,2,6,4,2,9,5,4,0,0,0,376,209,167,3,2,1,1,1,0,6,4,2,2,0,2
2010-2011,155399,Kansas State University,First major,Engineering Technologies and Engineering-related Fields,'15',Bachelor's degree,145,133,12,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,137,125,12,3,3,0,1,1,0,0,0,0,0,0,0
2010-2011,155399,Kansas State University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,26,10,16,0,0,0,1,0,1,0,0,0,3,1,2,0,0,0,20,9,11,1,0,1,1,0,1,0,0,0,1,0,1
2010-2011,155399,Kansas State University,First major,Health Professions and Related Programs,'51',Bachelor's degree,139,23,116,2,1,1,0,0,0,4,1,3,1,0,1,0,0,0,126,21,105,3,0,3,2,0,2,1,0,1,0,0,0
2010-2011,155399,Kansas State University,First major,History,'54',Bachelor's degree,43,32,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,41,30,11,1,1,0,0,0,0,0,0,0,0,0,0
2010-2011,155399,Kansas State University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,28,4,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,27,4,23,0,0,0,0,0,0,0,0,0,1,0,1
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Visual and Performing Arts,'50',Bachelor's degree,155,59,96,0,0,0,4,2,2,7,3,4,6,0,6,0,0,0,125,50,75,1,0,1,8,2,6,4,2,2,4,2,2
2010-2011,170976,University of Michigan-Ann Arbor,First major,Mathematics and Statistics,'27',Bachelor's degree,154,95,59,0,0,0,20,12,8,2,1,1,3,3,0,0,0,0,69,45,24,2,2,0,7,3,4,51,29,22,20,12,8
2010-2011,170976,University of Michigan-Ann Arbor,First major,Social Sciences,'45',Bachelor's degree,989,541,448,1,1,0,116,60,56,68,22,46,46,26,20,0,0,0,572,324,248,32,14,18,63,33,30,91,61,30,116,60,56
2010-2011,181464,University of Nebraska-Lincoln,First major,Architecture and Related Services,'04',Bachelor's degree,89,47,42,0,0,0,3,1,2,0,0,0,4,3,1,0,0,0,78,41,37,0,0,0,3,2,1,1,0,1,3,1,2
2010-2011,181464,University of Nebraska-Lincoln,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,250,93,157,1,0,1,3,2,1,12,5,7,13,5,8,0,0,0,205,73,132,3,2,1,11,5,6,2,1,1,3,2,1
2010-2011,181464,University of Nebraska-Lincoln,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,33,31,2,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,22,21,1,1,0,1,3,3,0,4,4,0,2,2,0
2010-2011,181464,University of Nebraska-Lincoln,First major,History,'54',Bachelor's degree,65,47,18,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,59,43,16,0,0,0,3,2,1,0,0,0,0,0,0
2010-2011,186380,Rutgers University-New Brunswick,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,218,133,85,0,0,0,45,22,23,18,9,9,17,9,8,1,0,1,132,90,42,0,0,0,2,1,1,3,2,1,46,22,24
2010-2011,186380,Rutgers University-New Brunswick,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,49,7,42,2,0,2,1,0,1,10,0,10,9,2,7,0,0,0,26,4,22,1,1,0,0,0,0,0,0,0,1,0,1
2010-2011,198419,Duke University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,151,69,82,0,0,0,55,31,24,7,1,6,7,4,3,0,0,0,58,27,31,2,2,0,7,1,6,15,3,12,55,31,24
2010-2011,198419,Duke University,First major,Natural Resources and Conservation,'03',Bachelor's degree,20,3,17,0,0,0,5,0,5,0,0,0,2,0,2,0,0,0,12,3,9,1,0,1,0,0,0,0,0,0,5,0,5
2010-2011,198419,Duke University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,172,76,96,1,0,1,30,9,21,14,4,10,6,4,2,0,0,0,103,54,49,4,1,3,7,1,6,7,3,4,30,9,21
2010-2011,198419,Duke University,First major,Social Sciences,'45',Bachelor's degree,375,201,174,1,1,0,90,49,41,25,8,17,22,11,11,1,0,1,197,116,81,10,5,5,11,2,9,18,9,9,91,49,42
2010-2011,199120,University of North Carolina at Chapel Hill,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,6,1,5,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,199120,University of North Carolina at Chapel Hill,First major,Natural Resources and Conservation,'03',Bachelor's degree,79,38,41,0,0,0,4,2,2,2,0,2,4,2,2,0,0,0,66,32,34,1,1,0,2,1,1,0,0,0,4,2,2
2010-2011,199120,University of North Carolina at Chapel Hill,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,76,30,46,0,0,0,3,1,2,15,5,10,3,0,3,2,1,1,50,22,28,1,0,1,2,1,1,0,0,0,5,2,3
2010-2011,199120,University of North Carolina at Chapel Hill,First major,Social Sciences,'45',Bachelor's degree,647,348,299,6,2,4,20,12,8,66,21,45,55,24,31,12,7,5,433,252,181,6,3,3,26,12,14,23,15,8,32,19,13
2010-2011,204796,Ohio State University-Main Campus,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,448,287,161,1,1,0,9,6,3,16,9,7,7,5,2,0,0,0,397,259,138,2,0,2,11,6,5,5,1,4,9,6,3
2010-2011,147767,Northwestern University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,11,4,7,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,7,4,3,0,0,0,1,0,1,0,0,0,1,0,1
2010-2011,147767,Northwestern University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,21,17,4,0,0,0,4,3,1,1,0,1,1,0,1,0,0,0,10,10,0,0,0,0,2,1,1,3,3,0,4,3,1
2010-2011,147767,Northwestern University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,30,19,11,0,0,0,1,1,0,0,0,0,4,3,1,0,0,0,19,9,10,2,2,0,3,3,0,1,1,0,1,1,0
2010-2011,147767,Northwestern University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,66,20,46,0,0,0,8,2,6,12,4,8,4,1,3,0,0,0,37,11,26,1,0,1,3,2,1,1,0,1,8,2,6
2010-2011,152080,University of Notre Dame,First major,Architecture and Related Services,'04',Bachelor's degree,48,20,28,1,1,0,5,0,5,2,1,1,8,2,6,0,0,0,28,16,12,0,0,0,0,0,0,4,0,4,5,0,5
2010-2011,152080,University of Notre Dame,First major,Education,'13',Bachelor's degree,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,152080,University of Notre Dame,First major,Health Professions and Related Programs,'51',Bachelor's degree,106,50,56,3,1,2,14,7,7,2,1,1,9,3,6,0,0,0,72,34,38,3,2,1,2,1,1,1,1,0,14,7,7
2010-2011,152080,University of Notre Dame,First major,Natural Resources and Conservation,'03',Bachelor's degree,12,5,7,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,9,2,7,0,0,0,0,0,0,0,0,0,2,2,0
2010-2011,152080,University of Notre Dame,First major,Psychology,'42',Bachelor's degree,109,34,75,0,0,0,5,1,4,7,3,4,18,5,13,0,0,0,74,24,50,3,1,2,1,0,1,1,0,1,5,1,4
2010-2011,152080,University of Notre Dame,First major,Theology and Religious Vocations,'39',Bachelor's degree,40,18,22,1,1,0,2,1,1,2,1,1,2,2,0,0,0,0,33,13,20,0,0,0,0,0,0,0,0,0,2,1,1
2010-2011,155399,Kansas State University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,10,4,6,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,6,3,3,1,0,1,0,0,0,0,0,0,1,1,0
2010-2011,155399,Kansas State University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,526,298,228,2,2,0,7,5,2,8,6,2,25,14,11,1,1,0,460,259,201,4,1,3,4,3,1,15,7,8,8,6,2
2010-2011,155399,Kansas State University,First major,Engineering,'14',Bachelor's degree,317,266,51,1,1,0,3,2,1,4,4,0,9,8,1,0,0,0,285,237,48,7,6,1,0,0,0,8,8,0,3,2,1
2010-2011,155399,Kansas State University,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,285,20,265,2,0,2,0,0,0,7,0,7,8,1,7,0,0,0,258,19,239,7,0,7,0,0,0,3,0,3,0,0,0
2010-2011,155399,Kansas State University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,155399,Kansas State University,First major,Mechanic and Repair Technologies/Technicians,'47',Bachelor's degree,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2010-2011,155399,Kansas State University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,48,15,33,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,42,13,29,3,0,3,0,0,0,0,0,0,0,0,0
2010-2011,155399,Kansas State University,First major,Natural Resources and Conservation,'03',Bachelor's degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,204796,Ohio State University-Main Campus,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,1709,1025,684,3,2,1,116,64,52,62,31,31,24,9,15,0,0,0,1281,787,494,5,3,2,19,11,8,199,118,81,116,64,52
2010-2011,204796,Ohio State University-Main Campus,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,577,252,325,2,0,2,14,2,12,52,19,33,14,8,6,0,0,0,473,216,257,5,2,3,5,1,4,12,4,8,14,2,12
2010-2011,204796,Ohio State University-Main Campus,First major,Education,'13',Bachelor's degree,247,87,160,0,0,0,6,1,5,6,1,5,5,0,5,0,0,0,227,84,143,0,0,0,2,1,1,1,0,1,6,1,5
2010-2011,204796,Ohio State University-Main Campus,First major,Philosophy and Religious Studies,'38',Bachelor's degree,51,37,14,1,1,0,2,1,1,4,4,0,3,1,2,0,0,0,39,28,11,0,0,0,2,2,0,0,0,0,2,1,1
2010-2011,204796,Ohio State University-Main Campus,First major,Psychology,'42',Bachelor's degree,641,201,440,4,0,4,28,6,22,64,14,50,21,8,13,0,0,0,497,163,334,7,4,3,9,4,5,11,2,9,28,6,22
2010-2011,204796,Ohio State University-Main Campus,First major,Social Sciences,'45',Bachelor's degree,1311,755,556,5,3,2,70,44,26,104,50,54,53,29,24,0,0,0,998,583,415,14,6,8,33,24,9,34,16,18,70,44,26
2010-2011,204796,Ohio State University-Main Campus,First major,Transportation and Materials Moving,'49',Bachelor's degree,41,36,5,0,0,0,0,0,0,3,2,1,4,3,1,0,0,0,30,28,2,0,0,0,2,1,1,2,2,0,0,0,0
2010-2011,207388,Oklahoma State University-Main Campus,First major,Engineering,'14',Bachelor's degree,299,253,46,12,10,2,11,10,1,12,7,5,14,11,3,0,0,0,209,181,28,12,8,4,7,6,1,22,20,2,11,10,1
2010-2011,207388,Oklahoma State University-Main Campus,First major,Natural Resources and Conservation,'03',Bachelor's degree,13,9,4,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,8,5,3,2,2,0,0,0,0,0,0,0,1,0,1
2010-2011,207388,Oklahoma State University-Main Campus,First major,Philosophy and Religious Studies,'38',Bachelor's degree,11,10,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,207500,University of Oklahoma Norman Campus,First major,Architecture and Related Services,'04',Bachelor's degree,35,20,15,1,1,0,2,1,1,2,2,0,1,0,1,0,0,0,19,11,8,2,1,1,7,4,3,1,0,1,2,1,1
2010-2011,207500,University of Oklahoma Norman Campus,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,22,8,14,9,6,3,0,0,0,6,1,5,0,0,0,0,0,0,5,0,5,2,1,1,0,0,0,0,0,0,0,0,0
2010-2011,207500,University of Oklahoma Norman Campus,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,360,107,253,32,9,23,5,3,2,25,11,14,3,1,2,0,0,0,263,76,187,3,0,3,28,7,21,1,0,1,5,3,2
2010-2011,207500,University of Oklahoma Norman Campus,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,68,23,45,5,3,2,4,0,4,2,0,2,0,0,0,0,0,0,43,16,27,2,0,2,11,4,7,1,0,1,4,0,4
2010-2011,207500,University of Oklahoma Norman Campus,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,29,12,17,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,20,8,12,0,0,0,6,3,3,0,0,0,1,0,1
2010-2011,207500,University of Oklahoma Norman Campus,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,236,78,158,17,7,10,6,1,5,12,4,8,5,3,2,0,0,0,157,48,109,1,0,1,37,14,23,1,1,0,6,1,5
2010-2011,207500,University of Oklahoma Norman Campus,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,497,229,268,35,11,24,34,9,25,43,24,19,5,2,3,1,0,1,304,140,164,6,3,3,67,40,27,2,0,2,35,9,26
2010-2011,207500,University of Oklahoma Norman Campus,First major,Natural Resources and Conservation,'03',Bachelor's degree,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,155399,Kansas State University,First major,Transportation and Materials Moving,'49',Bachelor's degree,19,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,3,2,2,0,1,1,0,1,1,0,0,0,0
2010-2011,155399,Kansas State University,First major,Visual and Performing Arts,'50',Bachelor's degree,97,23,74,1,0,1,1,0,1,1,0,1,5,1,4,0,0,0,85,21,64,2,0,2,0,0,0,2,1,1,1,0,1
2010-2011,157289,University of Louisville,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,480,282,198,0,0,0,9,4,5,36,19,17,10,8,2,0,0,0,402,239,163,5,2,3,0,0,0,18,10,8,9,4,5
2010-2011,157289,University of Louisville,First major,Engineering,'14',Bachelor's degree,245,209,36,0,0,0,7,4,3,12,7,5,3,2,1,0,0,0,212,188,24,5,3,2,0,0,0,6,5,1,7,4,3
2010-2011,157289,University of Louisville,First major,English Language and Literature/Letters,'23',Bachelor's degree,95,43,52,0,0,0,2,0,2,10,3,7,1,0,1,0,0,0,80,39,41,1,0,1,1,1,0,0,0,0,2,0,2
2010-2011,157289,University of Louisville,First major,Health Professions and Related Programs,'51',Bachelor's degree,198,25,173,0,0,0,4,0,4,9,1,8,5,1,4,0,0,0,177,23,154,2,0,2,0,0,0,1,0,1,4,0,4
2010-2011,157289,University of Louisville,First major,History,'54',Bachelor's degree,53,33,20,1,0,1,1,1,0,2,2,0,2,1,1,0,0,0,46,28,18,0,0,0,1,1,0,0,0,0,1,1,0
2010-2011,157289,University of Louisville,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,36,9,27,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,31,9,22,2,0,2,0,0,0,0,0,0,0,0,0
2010-2011,157289,University of Louisville,First major,Mathematics and Statistics,'27',Bachelor's degree,18,14,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,17,14,3,0,0,0,0,0,0,0,0,0,1,0,1
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Architecture and Related Services,'04',Bachelor's degree,91,40,51,0,0,0,3,0,3,2,0,2,2,0,2,0,0,0,83,39,44,0,0,0,1,1,0,0,0,0,3,0,3
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Education,'13',Bachelor's degree,432,111,321,2,0,2,13,5,8,35,11,24,7,3,4,0,0,0,366,89,277,1,1,0,8,2,6,0,0,0,13,5,8
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Health Professions and Related Programs,'51',Bachelor's degree,74,2,72,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,67,2,65,1,0,1,1,0,1,1,0,1,0,0,0
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Natural Resources and Conservation,'03',Bachelor's degree,35,22,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,34,22,12,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Physical Sciences,'40',Bachelor's degree,58,38,20,0,0,0,2,2,0,5,4,1,2,0,2,0,0,0,47,30,17,0,0,0,1,1,0,1,1,0,2,2,0
2010-2011,159391,Louisiana State University and Agricultural & Mechanical College,First major,Psychology,'42',Bachelor's degree,186,52,134,1,0,1,4,2,2,20,4,16,9,4,5,0,0,0,147,40,107,0,0,0,1,1,0,4,1,3,4,2,2
