Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS,T.AS.M,T.AS.W,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.PI,T.PI.M,T.PI.F,T.C,T.C.M,T.C.F,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F
2010-2011,131496,Georgetown University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,345,202,143,0,0,0,45,23,22,19,10,9,13,8,5,0,0,0,232,145,87,6,1,5,5,3,2,25,12,13,45,23,22
2010-2011,131496,Georgetown University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,6,4,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,131496,Georgetown University,First major,Health Professions and Related Programs,'51',Bachelor's degree,185,21,164,0,0,0,13,2,11,5,1,4,4,1,3,0,0,0,151,15,136,6,1,5,4,1,3,2,0,2,13,2,11
2010-2011,131496,Georgetown University,First major,History,'54',Bachelor's degree,44,28,16,0,0,0,3,2,1,2,1,1,5,3,2,0,0,0,31,21,10,3,1,2,0,0,0,0,0,0,3,2,1
2010-2011,131496,Georgetown University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,34,22,12,0,0,0,5,3,2,3,2,1,2,1,1,0,0,0,23,15,8,0,0,0,1,1,0,0,0,0,5,3,2
2010-2011,131496,Georgetown University,First major,Psychology,'42',Bachelor's degree,66,13,53,1,0,1,2,0,2,6,2,4,4,1,3,0,0,0,46,10,36,4,0,4,2,0,2,1,0,1,2,0,2
2010-2011,134097,Florida State University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,358,150,208,5,3,2,32,15,17,33,15,18,57,18,39,0,0,0,224,97,127,0,0,0,3,0,3,4,2,2,32,15,17
2010-2011,134097,Florida State University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,147,130,17,0,0,0,8,8,0,24,19,5,17,14,3,0,0,0,95,86,9,0,0,0,0,0,0,3,3,0,8,8,0
2010-2011,134097,Florida State University,First major,Education,'13',Bachelor's degree,324,64,260,2,2,0,4,1,3,19,9,10,15,4,11,0,0,0,282,47,235,0,0,0,2,1,1,0,0,0,4,1,3
2010-2011,134097,Florida State University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,84,26,58,0,0,0,4,0,4,7,2,5,12,3,9,0,0,0,58,19,39,0,0,0,2,2,0,1,0,1,4,0,4
2010-2011,134097,Florida State University,First major,History,'54',Bachelor's degree,105,71,34,1,1,0,1,0,1,4,2,2,17,13,4,0,0,0,81,54,27,0,0,0,1,1,0,0,0,0,1,0,1
2010-2011,134097,Florida State University,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,387,197,190,5,0,5,7,3,4,77,30,47,42,22,20,0,0,0,253,139,114,0,0,0,2,2,0,1,1,0,7,3,4
2010-2011,134097,Florida State University,First major,Psychology,'42',Bachelor's degree,388,88,300,3,0,3,11,4,7,34,4,30,63,20,43,0,0,0,273,59,214,0,0,0,2,1,1,2,0,2,11,4,7
2010-2011,134130,University of Florida,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,540,213,327,4,1,3,43,12,31,37,10,27,83,32,51,0,0,0,337,142,195,3,0,3,18,10,8,15,6,9,43,12,31
2010-2011,134130,University of Florida,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,19,19,0,0,0,0,1,1,0,2,2,0,2,2,0,0,0,0,13,13,0,0,0,0,1,1,0,0,0,0,1,1,0
2010-2011,123961,University of Southern California,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,39,32,7,0,0,0,13,8,5,1,1,0,2,2,0,1,1,0,13,13,0,1,1,0,0,0,0,8,6,2,14,9,5
2010-2011,123961,University of Southern California,First major,Health Professions and Related Programs,'51',Bachelor's degree,135,18,117,0,0,0,33,5,28,8,1,7,29,5,24,1,0,1,49,4,45,5,0,5,6,1,5,4,2,2,34,5,29
2010-2011,123961,University of Southern California,First major,History,'54',Bachelor's degree,56,30,26,1,1,0,3,1,2,0,0,0,12,7,5,0,0,0,32,18,14,1,1,0,4,2,2,3,0,3,3,1,2
2010-2011,123961,University of Southern California,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,30,8,22,0,0,0,11,4,7,2,0,2,4,1,3,0,0,0,10,1,9,1,0,1,2,2,0,0,0,0,11,4,7
2010-2011,123961,University of Southern California,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,49,24,25,0,0,0,10,4,6,2,1,1,11,4,7,0,0,0,20,11,9,3,2,1,3,2,1,0,0,0,10,4,6
2010-2011,123961,University of Southern California,First major,Psychology,'42',Bachelor's degree,198,56,142,0,0,0,32,10,22,14,3,11,38,11,27,2,0,2,85,22,63,9,4,5,4,3,1,14,3,11,34,10,24
2010-2011,131496,Georgetown University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,25,10,15,0,0,0,1,0,1,7,4,3,3,0,3,0,0,0,13,6,7,0,0,0,1,0,1,0,0,0,1,0,1
2010-2011,134097,Florida State University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,1690,934,756,15,7,8,75,47,28,109,42,67,216,119,97,0,0,0,1236,704,532,0,0,0,9,7,2,30,8,22,75,47,28
2010-2011,134097,Florida State University,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,432,24,408,3,0,3,11,0,11,62,7,55,54,3,51,0,0,0,299,13,286,0,0,0,1,1,0,2,0,2,11,0,11
2010-2011,134097,Florida State University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,63,19,44,2,0,2,0,0,0,10,4,6,8,0,8,0,0,0,43,15,28,0,0,0,0,0,0,0,0,0,0,0,0
