Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1989-1990,142115,Boise State University,Bachelor's degree,Allied Health,14,6,8,11,4,7,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Business (Administrative Support),3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Business and Management,267,141,126,255,134,121,3,3,0,5,3,2,3,1,2,1,0,1,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Communications,37,15,22,36,15,21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Computer and Information Sciences,26,18,8,23,17,6,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Education,150,37,113,148,36,112,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
1989-1990,142115,Boise State University,Bachelor's degree,Engineering,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Health Sciences,57,7,50,56,7,49,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Letters,28,11,17,28,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Life Sciences,11,3,8,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Mathematics,14,10,4,13,9,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Multi/Interdisciplinary Studies,22,19,3,19,16,3,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Parks and Recreation,19,11,8,16,8,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0
1989-1990,142115,Boise State University,Bachelor's degree,Physical Sciences,9,8,1,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Protective Services,24,13,11,21,12,9,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Psychology,21,4,17,21,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Public Affairs,27,8,19,25,8,17,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Social Sciences,114,59,55,102,53,49,1,0,1,6,3,3,4,3,1,1,0,1,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Transportation and Material Moving,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,142115,Boise State University,Bachelor's degree,Visual and Performing Arts,58,25,33,55,24,31,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0
1989-1990,217882,Clemson University,Bachelor's degree,Agribusiness and Agricultural Production,32,27,5,31,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1989-1990,217882,Clemson University,Bachelor's degree,Agricultural Sciences,37,18,19,31,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1989-1990,217882,Clemson University,Bachelor's degree,Architecture and Environmental Design,99,72,27,94,69,25,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1989-1990,217882,Clemson University,Bachelor's degree,Business and Management,473,283,190,437,263,174,33,17,16,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0
1989-1990,217882,Clemson University,Bachelor's degree,Computer and Information Sciences,50,28,22,45,27,18,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1
1989-1990,217882,Clemson University,Bachelor's degree,Education,234,43,191,220,37,183,12,6,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1989-1990,217882,Clemson University,Bachelor's degree,Engineering,422,347,75,394,325,69,12,8,4,7,6,1,2,2,0,0,0,0,0,0,0,7,6,1
1989-1990,217882,Clemson University,Bachelor's degree,Engineering and Engineering Related Tech,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,217882,Clemson University,Bachelor's degree,Foreign Languages,45,5,40,44,5,39,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1989-1990,217882,Clemson University,Bachelor's degree,Health Sciences,68,1,67,64,1,63,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,217882,Clemson University,Bachelor's degree,Letters,57,12,45,55,11,44,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,217882,Clemson University,Bachelor's degree,Life Sciences,83,49,34,74,44,30,6,3,3,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0
1989-1990,217882,Clemson University,Bachelor's degree,Marketing and Distribution,99,46,53,97,45,52,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1989-1990,217882,Clemson University,Bachelor's degree,Mathematics,32,15,17,27,14,13,4,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1989-1990,217882,Clemson University,Bachelor's degree,Parks and Recreation,75,29,46,73,28,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1989-1990,217882,Clemson University,Bachelor's degree,Physical Sciences,19,15,4,19,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,217882,Clemson University,Bachelor's degree,Psychology,52,8,44,48,8,40,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1989-1990,217882,Clemson University,Bachelor's degree,Renewable Natural Resources,17,16,1,17,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,217882,Clemson University,Bachelor's degree,Social Sciences,129,65,64,121,63,58,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,217882,Clemson University,Bachelor's degree,Visual and Performing Arts,39,14,25,39,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,198419,Duke University,Bachelor's degree,Allied Health,39,11,28,36,9,27,2,1,1,0,0,0,1,1,,0,0,0,0,0,0,0,0,0
1989-1990,198419,Duke University,Bachelor's degree,Computer and Information Sciences,28,25,3,25,22,3,1,1,,0,0,0,2,2,,0,0,0,0,0,0,0,0,0
1989-1990,198419,Duke University,Bachelor's degree,Engineering,261,208,53,230,185,45,5,2,3,2,2,,12,9,3,0,0,0,0,0,0,12,10,2
1989-1990,198419,Duke University,Bachelor's degree,Foreign Languages,31,6,25,29,6,23,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,1
1989-1990,198419,Duke University,Bachelor's degree,Letters,116,37,79,106,34,72,3,1,2,3,1,2,3,1,2,0,0,0,0,0,0,1,,1
1989-1990,198419,Duke University,Bachelor's degree,Life Sciences,111,57,54,90,47,43,4,2,2,2,2,,15,6,9,0,0,0,0,0,0,0,0,0
1989-1990,198419,Duke University,Bachelor's degree,Mathematics,22,13,9,18,11,7,2,1,1,1,,1,0,0,0,0,0,0,0,0,0,1,1,
1989-1990,198419,Duke University,Bachelor's degree,Multi/Interdisciplinary Studies,96,35,61,84,29,55,3,1,2,3,2,1,4,3,1,0,0,0,0,0,0,2,,2
1989-1990,198419,Duke University,Bachelor's degree,Philosophy and Religion,16,14,2,15,13,2,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0
1989-1990,198419,Duke University,Bachelor's degree,Physical Sciences,48,33,15,41,26,15,2,2,,0,0,0,5,5,,0,0,0,0,0,0,0,0,0
1989-1990,198419,Duke University,Bachelor's degree,Psychology,145,43,102,127,39,88,8,2,6,2,1,1,6,1,5,1,,1,0,0,0,1,,1
1989-1990,198419,Duke University,Bachelor's degree,Public Affairs,86,53,33,76,45,31,4,3,1,2,2,,3,3,,1,,1,0,0,0,0,0,0
1989-1990,198419,Duke University,Bachelor's degree,Social Sciences,555,343,212,492,306,186,33,16,17,12,7,5,12,9,3,1,,1,0,0,0,5,5,
1989-1990,198419,Duke University,Bachelor's degree,Theology,15,9,6,13,7,6,1,1,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,198419,Duke University,Bachelor's degree,Visual and Performing Arts,43,14,29,40,12,28,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,2,1,1
1989-1990,134097,Florida State University,Bachelor's degree,Allied Health,25,2,23,22,1,21,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,134097,Florida State University,Bachelor's degree,Architecture and Environmental Design,72,11,61,63,9,54,2,0,2,5,1,4,2,1,1,0,0,0,0,0,0,0,0,0
1989-1990,134097,Florida State University,Bachelor's degree,Area and Ethnic Studies,8,3,5,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,134097,Florida State University,Bachelor's degree,Business and Management,1205,730,475,1085,661,424,48,18,30,47,38,9,10,4,6,0,0,0,0,0,0,15,9,6
1989-1990,134097,Florida State University,Bachelor's degree,Communications,329,106,223,292,97,195,21,4,17,13,4,9,1,0,1,0,0,0,0,0,0,2,1,1
1989-1990,134097,Florida State University,Bachelor's degree,Computer and Information Sciences,42,32,10,32,27,5,2,1,1,2,1,1,2,1,1,0,0,0,0,0,0,4,2,2
1989-1990,134097,Florida State University,Bachelor's degree,Education,616,99,517,586,91,495,14,1,13,11,6,5,3,0,3,1,0,1,0,0,0,1,1,0
1989-1990,134097,Florida State University,Bachelor's degree,Engineering,88,72,16,72,60,12,7,5,2,6,4,2,1,1,0,0,0,0,0,0,0,2,2,0
1989-1990,134097,Florida State University,Bachelor's degree,Foreign Languages,44,16,28,39,14,25,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0
1989-1990,134097,Florida State University,Bachelor's degree,Health Sciences,106,7,99,98,7,91,5,0,5,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1
1989-1990,134097,Florida State University,Bachelor's degree,Home Economics,194,11,183,174,9,165,13,1,12,6,0,6,1,1,0,0,0,0,0,0,0,0,0,0
1989-1990,134097,Florida State University,Bachelor's degree,Letters,159,41,118,149,40,109,8,1,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,134097,Florida State University,Bachelor's degree,Liberal/General Studies,16,6,10,14,5,9,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1989-1990,134097,Florida State University,Bachelor's degree,Library and Archival Sciences,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,134097,Florida State University,Bachelor's degree,Life Sciences,100,51,49,87,48,39,6,2,4,3,1,2,3,0,3,1,0,1,0,0,0,0,0,0
1989-1990,134097,Florida State University,Bachelor's degree,Mathematics,15,7,8,12,6,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1989-1990,134097,Florida State University,Bachelor's degree,Parks and Recreation,52,13,39,48,12,36,1,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1989-1990,134097,Florida State University,Bachelor's degree,Philosophy and Religion,10,5,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,134097,Florida State University,Bachelor's degree,Physical Sciences,29,23,6,25,19,6,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,1,0
1989-1990,134097,Florida State University,Bachelor's degree,Protective Services,211,132,79,181,117,64,17,9,8,12,5,7,0,0,0,0,0,0,0,0,0,1,1,0
1989-1990,134097,Florida State University,Bachelor's degree,Psychology,197,51,146,175,42,133,11,3,8,9,4,5,2,2,0,0,0,0,0,0,0,0,0,0
1989-1990,134097,Florida State University,Bachelor's degree,Public Affairs,50,7,43,44,7,37,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1989-1990,134097,Florida State University,Bachelor's degree,Social Sciences,673,425,248,604,378,226,27,11,16,28,24,4,7,6,1,1,1,0,0,0,0,6,5,1
1989-1990,134097,Florida State University,Bachelor's degree,Visual and Performing Arts,153,55,98,139,49,90,6,2,4,5,3,2,2,0,2,1,1,0,0,0,0,0,0,0
1989-1990,131496,Georgetown University,Bachelor's degree,Area and Ethnic Studies,46,23,23,34,19,15,3,1,2,2,1,1,3,,3,1,,1,0,0,0,3,2,1
1989-1990,131496,Georgetown University,Bachelor's degree,Business and Management,247,154,93,183,117,66,16,7,9,10,8,2,11,6,5,1,,1,0,0,0,26,16,10
1989-1990,131496,Georgetown University,Bachelor's degree,Computer and Information Sciences,3,3,,2,2,,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0
1989-1990,131496,Georgetown University,Bachelor's degree,Foreign Languages,118,32,86,99,28,71,2,,2,8,3,5,5,1,4,0,0,0,0,0,0,4,,4
1989-1990,131496,Georgetown University,Bachelor's degree,Health Sciences,59,,59,52,,52,1,,1,0,0,0,1,,1,1,,1,0,0,0,4,,4
1989-1990,131496,Georgetown University,Bachelor's degree,Letters,159,64,95,138,56,82,4,1,3,4,1,3,5,3,2,1,,1,0,0,0,7,3,4
1989-1990,131496,Georgetown University,Bachelor's degree,Liberal/General Studies,13,3,10,0,0,0,2,1,1,3,1,2,0,0,0,1,,1,7,1,6,0,0,0
1989-1990,131496,Georgetown University,Bachelor's degree,Life Sciences,43,23,20,23,11,12,3,,3,3,1,2,13,10,3,0,0,0,0,0,0,1,1,
1989-1990,131496,Georgetown University,Bachelor's degree,Mathematics,5,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,131496,Georgetown University,Bachelor's degree,Multi/Interdisciplinary Studies,3,1,2,2,1,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0
1989-1990,131496,Georgetown University,Bachelor's degree,Philosophy and Religion,32,25,7,22,18,4,0,0,0,4,3,1,4,3,1,0,0,0,0,0,0,2,1,1
1989-1990,131496,Georgetown University,Bachelor's degree,Physical Sciences,17,14,3,13,12,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
1989-1990,131496,Georgetown University,Bachelor's degree,Psychology,67,21,46,49,17,32,9,3,6,4,,4,0,0,0,0,0,0,0,0,0,5,1,4
1989-1990,131496,Georgetown University,Bachelor's degree,Social Sciences,591,316,275,448,251,197,38,17,21,27,14,13,30,9,21,1,1,,0,0,0,47,24,23
1989-1990,131496,Georgetown University,Bachelor's degree,Visual and Performing Arts,14,3,11,10,2,8,1,,1,2,1,1,1,,1,0,0,0,0,0,0,0,0,0
1989-1990,155399,Kansas State University,Bachelor's degree,Agribusiness and Agricultural Production,89,77,12,81,69,12,1,1,,1,1,,0,0,0,0,0,0,0,0,0,6,6,
1989-1990,155399,Kansas State University,Bachelor's degree,Agricultural Sciences,154,119,35,132,101,31,1,1,0,7,4,3,0,0,0,0,0,0,0,0,0,14,13,1
1989-1990,155399,Kansas State University,Bachelor's degree,Allied Health,8,0,8,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1989-1990,155399,Kansas State University,Bachelor's degree,Architecture and Environmental Design,125,80,45,114,73,41,2,1,1,5,4,1,1,,1,0,0,0,0,0,0,3,2,1
1989-1990,155399,Kansas State University,Bachelor's degree,Business and Management,526,286,240,499,270,229,6,3,3,7,5,2,5,4,1,0,0,0,0,0,0,9,4,5
1989-1990,155399,Kansas State University,Bachelor's degree,Communications,130,38,92,124,38,86,3,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
1989-1990,155399,Kansas State University,Bachelor's degree,Computer and Information Sciences,39,32,7,32,28,4,2,0,2,1,1,0,2,2,0,0,0,0,0,0,0,2,1,1
1989-1990,155399,Kansas State University,Bachelor's degree,Education,311,76,235,307,74,233,2,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1989-1990,155399,Kansas State University,Bachelor's degree,Engineering,290,250,40,256,220,36,6,4,2,4,3,1,9,9,0,0,0,0,0,0,0,15,14,1
1989-1990,155399,Kansas State University,Bachelor's degree,Engineering and Engineering Related Tech,39,38,1,0,0,0,2,2,0,36,35,1,0,0,0,0,0,0,0,0,0,1,1,0
1989-1990,155399,Kansas State University,Bachelor's degree,Foreign Languages,15,4,11,14,4,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,155399,Kansas State University,Bachelor's degree,Health Sciences,18,6,12,16,5,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1989-1990,155399,Kansas State University,Bachelor's degree,Home Economics,141,19,122,135,19,116,2,0,2,0,0,0,3,0,3,0,0,0,0,0,0,1,0,1
1989-1990,155399,Kansas State University,Bachelor's degree,Letters,17,8,9,15,6,9,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1989-1990,155399,Kansas State University,Bachelor's degree,Life Sciences,116,64,52,102,52,50,3,2,1,7,7,0,2,2,0,0,0,0,0,0,0,2,1,1
1989-1990,155399,Kansas State University,Bachelor's degree,Mathematics,18,9,9,15,7,8,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1989-1990,155399,Kansas State University,Bachelor's degree,Multi/Interdisciplinary Studies,34,21,13,34,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,155399,Kansas State University,Bachelor's degree,Parks and Recreation,22,9,13,22,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,155399,Kansas State University,Bachelor's degree,Philosophy and Religion,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,155399,Kansas State University,Bachelor's degree,Physical Sciences,22,17,5,19,16,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
1989-1990,155399,Kansas State University,Bachelor's degree,Psychology,53,17,36,52,17,35,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,155399,Kansas State University,Bachelor's degree,Public Affairs,20,0,20,18,0,18,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1989-1990,155399,Kansas State University,Bachelor's degree,Social Sciences,234,151,83,199,127,72,20,12,8,5,4,1,4,3,1,3,2,1,0,0,0,3,3,0
1989-1990,155399,Kansas State University,Bachelor's degree,Visual and Performing Arts,50,23,27,48,21,27,1,1,,0,0,0,1,1,,0,0,0,0,0,0,0,0,0
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agribusiness and Agricultural Production,39,31,8,33,27,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agricultural Sciences,24,16,8,17,12,5,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Architecture and Environmental Design,121,69,52,95,54,41,1,0,1,2,1,1,2,2,0,0,0,0,0,0,0,21,12,9
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Area and Ethnic Studies,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Business and Management,584,323,261,515,294,221,24,6,18,9,8,1,10,6,4,1,0,1,0,0,0,25,9,16
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Communications,184,70,114,171,66,105,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Computer and Information Sciences,43,32,11,35,27,8,2,0,2,0,0,0,4,3,1,0,0,0,0,0,0,2,2,0
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Education,330,50,280,320,47,273,6,3,3,1,0,1,0,0,0,2,0,2,0,0,0,1,0,1
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Engineering,255,222,33,183,158,25,10,8,2,5,5,0,20,18,2,1,1,0,0,0,0,36,32,4
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Engineering and Engineering Related Tech,39,37,2,36,34,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Foreign Languages,35,6,29,27,5,22,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5,0,5
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Health Sciences,19,9,10,11,6,5,3,1,2,1,1,0,3,1,2,0,0,0,0,0,0,1,0,1
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Home Economics,96,2,94,84,2,82,10,0,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Law,14,10,4,13,9,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Letters,144,40,104,132,39,93,5,0,5,3,1,2,0,0,0,0,0,0,0,0,0,4,0,4
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Liberal/General Studies,356,217,139,331,205,126,14,6,8,6,3,3,2,1,1,1,1,0,0,0,0,2,1,1
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Life Sciences,103,61,42,80,50,30,12,6,6,4,3,1,6,2,4,0,0,0,0,0,0,1,0,1
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Mathematics,26,15,11,17,10,7,3,2,1,1,1,0,2,1,1,0,0,0,0,0,0,3,1,2
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Multi/Interdisciplinary Studies,5,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Philosophy and Religion,13,7,6,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Physical Sciences,32,25,7,26,21,5,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,2,1,1
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Protective Services,50,32,18,38,24,14,11,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Psychology,189,59,130,173,50,123,10,4,6,1,1,0,3,2,1,1,1,0,0,0,0,1,1,0
