Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS,T.AS.M,T.AS.W,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.PI,T.PI.M,T.PI.F,T.C,T.C.M,T.C.F,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F
2011-2012,100858,Auburn University,Bachelor's degree,Health Professions and Related Programs,'51',First major,173,30,143,0,0,0,4,1,3,14,2,12,3,0,3,0,0,0,150,25,125,0,0,0,0,0,0,2,2,0,4,1,3
2011-2012,100858,Auburn University,Bachelor's degree,Visual and Performing Arts,'50',First major,172,58,114,0,0,0,4,1,3,6,3,3,4,1,3,0,0,0,157,53,104,0,0,0,0,0,0,1,0,1,4,1,3
2011-2012,100858,Auburn University,Bachelor's degree,Communication- Journalism- and Related Programs,'09',First major,221,58,163,0,0,0,1,1,0,15,4,11,5,1,4,0,0,0,198,52,146,0,0,0,2,0,2,0,0,0,1,1,0
2011-2012,100858,Auburn University,Bachelor's degree,Computer and Information Sciences and Support Services,'11',First major,27,25,2,0,0,0,1,1,0,2,2,0,1,1,0,0,0,0,21,19,2,0,0,0,1,1,0,1,1,0,1,1,0
2011-2012,100858,Auburn University,Bachelor's degree,Engineering,'14',First major,699,593,106,2,1,1,12,11,1,48,36,12,13,11,2,0,0,0,600,512,88,0,0,0,7,7,0,17,15,2,12,11,1
2011-2012,100858,Auburn University,Bachelor's degree,English Language and Literature/Letters,'23',First major,85,23,62,0,0,0,1,1,0,7,2,5,3,0,3,0,0,0,74,20,54,0,0,0,0,0,0,0,0,0,1,1,0
2011-2012,100858,Auburn University,Bachelor's degree,History,'54',First major,75,50,25,0,0,0,2,1,1,3,2,1,1,0,1,0,0,0,67,45,22,0,0,0,2,2,0,0,0,0,2,1,1
2011-2012,100858,Auburn University,Bachelor's degree,Multi/Interdisciplinary Studies,'30',First major,72,20,52,0,0,0,1,1,0,12,5,7,0,0,0,0,0,0,57,13,44,0,0,0,2,1,1,0,0,0,1,1,0
2011-2012,100858,Auburn University,Bachelor's degree,Natural Resources and Conservation,'03',First major,73,61,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,59,12,0,0,0,1,1,0,0,0,0,0,0,0
2011-2012,100858,Auburn University,Bachelor's degree,Philosophy and Religious Studies,'38',First major,11,10,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,100858,Auburn University,Bachelor's degree,Physical Sciences,'40',First major,36,22,14,1,0,1,4,3,1,3,2,1,0,0,0,0,0,0,28,17,11,0,0,0,0,0,0,0,0,0,4,3,1
2011-2012,100858,Auburn University,Bachelor's degree,Psychology,'42',First major,149,35,114,2,0,2,1,1,0,23,9,14,2,0,2,0,0,0,119,25,94,0,0,0,0,0,0,2,0,2,1,1,0
2011-2012,142115,Boise State University,Bachelor's degree,Engineering,'14',First major,125,103,22,1,1,0,3,2,1,1,1,0,2,2,0,0,0,0,103,86,17,1,0,1,3,3,0,11,8,3,3,2,1
2011-2012,142115,Boise State University,Bachelor's degree,English Language and Literature/Letters,'23',First major,89,33,56,1,0,1,3,0,3,3,1,2,7,1,6,0,0,0,70,28,42,0,0,0,5,3,2,0,0,0,3,0,3
2011-2012,142115,Boise State University,Bachelor's degree,Foreign Languages- Literatures- and Linguistics,'16',First major,33,14,19,0,0,0,0,0,0,0,0,0,11,4,7,0,0,0,21,9,12,1,1,0,0,0,0,0,0,0,0,0,0
2011-2012,142115,Boise State University,Bachelor's degree,History,'54',First major,39,27,12,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,33,22,11,1,1,0,2,1,1,0,0,0,2,2,0
2011-2012,142115,Boise State University,Bachelor's degree,Area- Ethnic- Cultural- Gender- and Group Studies,'05',First major,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,142115,Boise State University,Bachelor's degree,Business- Management- Marketing- and Related Support Services,'52',First major,517,301,216,5,2,3,18,7,11,7,7,0,30,17,13,1,0,1,418,242,176,1,1,0,18,11,7,19,14,5,19,7,12
2011-2012,142115,Boise State University,Bachelor's degree,Communication- Journalism- and Related Programs,'09',First major,177,83,94,0,0,0,0,0,0,11,8,3,8,2,6,0,0,0,150,71,79,1,0,1,0,0,0,7,2,5,0,0,0
2011-2012,142115,Boise State University,Bachelor's degree,Education,'13',First major,275,69,206,1,1,0,7,0,7,0,0,0,11,1,10,2,0,2,244,63,181,1,0,1,9,4,5,0,0,0,9,0,9
2011-2012,142115,Boise State University,Bachelor's degree,Health Professions and Related Programs,'51',First major,402,100,302,3,2,1,8,1,7,5,2,3,22,3,19,2,0,2,343,88,255,0,0,0,13,3,10,6,1,5,10,1,9
2011-2012,142115,Boise State University,Bachelor's degree,Multi/Interdisciplinary Studies,'30',First major,49,34,15,1,1,0,2,0,2,0,0,0,4,1,3,0,0,0,41,31,10,0,0,0,1,1,0,0,0,0,2,0,2
2011-2012,142115,Boise State University,Bachelor's degree,Liberal Arts and Sciences- General Studies and Humanities,'24',First major,52,25,27,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,47,23,24,0,0,0,2,1,1,0,0,0,0,0,0
2011-2012,142115,Boise State University,Bachelor's degree,Mathematics and Statistics,'27',First major,13,12,1,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,1,1,0
2011-2012,142115,Boise State University,Bachelor's degree,Natural Resources and Conservation,'03',First major,14,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,9,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,142115,Boise State University,Bachelor's degree,Psychology,'42',First major,131,40,91,2,0,2,1,0,1,3,2,1,9,4,5,0,0,0,108,30,78,0,0,0,5,3,2,3,1,2,1,0,1
2011-2012,142115,Boise State University,Bachelor's degree,Social Sciences,'45',First major,179,87,92,0,0,0,5,3,2,6,6,0,10,2,8,1,0,1,145,67,78,1,1,0,8,5,3,3,3,0,6,3,3
2011-2012,142115,Boise State University,Bachelor's degree,Visual and Performing Arts,'50',First major,117,49,68,0,0,0,7,3,4,1,0,1,3,1,2,0,0,0,100,42,58,0,0,0,4,2,2,2,1,1,7,3,4
2011-2012,142115,Boise State University,Bachelor's degree,Biological and Biomedical Sciences,'26',First major,75,33,42,0,0,0,3,0,3,1,0,1,4,0,4,0,0,0,66,32,34,0,0,0,1,1,0,0,0,0,3,0,3
2011-2012,142115,Boise State University,Bachelor's degree,Computer and Information Sciences and Support Services,'11',First major,52,42,10,2,1,1,3,2,1,0,0,0,1,0,1,0,0,0,41,35,6,0,0,0,1,1,0,4,3,1,3,2,1
2011-2012,142115,Boise State University,Bachelor's degree,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',First major,117,56,61,0,0,0,1,1,0,3,3,0,5,1,4,0,0,0,105,49,56,0,0,0,3,2,1,0,0,0,1,1,0
2011-2012,142115,Boise State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,'31',First major,28,9,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,9,18,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,142115,Boise State University,Bachelor's degree,Philosophy and Religious Studies,'38',First major,11,9,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,6,2,1,1,0,1,1,0,0,0,0,0,0,0
2011-2012,142115,Boise State University,Bachelor's degree,Physical Sciences,'40',First major,27,17,10,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,23,15,8,0,0,0,1,1,0,0,0,0,1,1,0
2011-2012,142115,Boise State University,Bachelor's degree,Public Administration and Social Service Professions,'44',First major,63,6,57,2,1,1,1,1,0,2,0,2,6,0,6,0,0,0,51,4,47,0,0,0,1,0,1,0,0,0,1,1,0
2011-2012,217882,Clemson University,Bachelor's degree,Agriculture- Agriculture Operations and Related Sciences,'01',First major,238,103,135,0,0,0,2,0,2,6,1,5,3,0,3,0,0,0,208,96,112,3,0,3,16,6,10,0,0,0,2,0,2
2011-2012,217882,Clemson University,Bachelor's degree,Computer and Information Sciences and Support Services,'11',First major,44,41,3,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,35,34,1,1,1,0,2,2,0,3,2,1,0,0,0
2011-2012,217882,Clemson University,Bachelor's degree,Physical Sciences,'40',First major,55,41,14,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,49,37,12,0,0,0,3,3,0,0,0,0,1,0,1
2011-2012,217882,Clemson University,Bachelor's degree,Social Sciences,'45',First major,256,156,100,0,0,0,0,0,0,21,13,8,5,3,2,0,0,0,203,129,74,2,1,1,20,7,13,5,3,2,0,0,0
2011-2012,217882,Clemson University,Bachelor's degree,Visual and Performing Arts,'50',First major,93,34,59,0,0,0,0,0,0,5,2,3,2,0,2,0,0,0,82,28,54,1,1,0,3,3,0,0,0,0,0,0,0
2011-2012,217882,Clemson University,Bachelor's degree,Engineering Technologies and Engineering-related Fields,'15',First major,40,29,11,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,35,26,9,0,0,0,2,1,1,0,0,0,0,0,0
2011-2012,217882,Clemson University,Bachelor's degree,English Language and Literature/Letters,'23',First major,133,33,100,1,0,1,0,0,0,4,2,2,1,0,1,0,0,0,116,27,89,1,0,1,9,4,5,1,0,1,0,0,0
2011-2012,217882,Clemson University,Bachelor's degree,Psychology,'42',First major,183,42,141,0,0,0,5,1,4,17,5,12,6,1,5,0,0,0,146,33,113,0,0,0,9,2,7,0,0,0,5,1,4
2011-2012,217882,Clemson University,Bachelor's degree,Biological and Biomedical Sciences,'26',First major,271,104,167,2,1,1,12,4,8,19,5,14,7,3,4,0,0,0,207,80,127,5,3,2,16,7,9,3,1,2,12,4,8
2011-2012,217882,Clemson University,Bachelor's degree,Architecture and Related Services,'04',First major,82,46,36,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,75,43,32,2,1,1,4,2,2,0,0,0,0,0,0
2011-2012,217882,Clemson University,Bachelor's degree,Business- Management- Marketing- and Related Support Services,'52',First major,655,425,230,3,2,1,11,6,5,26,11,15,15,11,4,0,0,0,555,368,187,6,2,4,36,24,12,3,1,2,11,6,5
2011-2012,217882,Clemson University,Bachelor's degree,History,'54',First major,65,36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,33,29,0,0,0,3,3,0,0,0,0,0,0,0
2011-2012,217882,Clemson University,Bachelor's degree,Mathematics and Statistics,'27',First major,33,21,12,1,1,0,1,0,1,2,1,1,0,0,0,0,0,0,27,17,10,0,0,0,2,2,0,0,0,0,1,0,1
2011-2012,217882,Clemson University,Bachelor's degree,Natural Resources and Conservation,'03',First major,46,28,18,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,41,28,13,1,0,1,1,0,1,0,0,0,0,0,0
2011-2012,217882,Clemson University,Bachelor's degree,Philosophy and Religious Studies,'38',First major,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0
2011-2012,217882,Clemson University,Bachelor's degree,Education,'13',First major,230,47,183,1,0,1,0,0,0,13,4,9,3,1,2,0,0,0,202,38,164,1,1,0,10,3,7,0,0,0,0,0,0
2011-2012,217882,Clemson University,Bachelor's degree,Engineering,'14',First major,566,460,106,1,1,0,11,10,1,33,24,9,11,9,2,0,0,0,470,381,89,2,2,0,33,28,5,5,5,0,11,10,1
2011-2012,217882,Clemson University,Bachelor's degree,Foreign Languages- Literatures- and Linguistics,'16',First major,68,24,44,0,0,0,1,1,0,5,1,4,5,2,3,0,0,0,52,18,34,1,0,1,4,2,2,0,0,0,1,1,0
2011-2012,217882,Clemson University,Bachelor's degree,Health Professions and Related Programs,'51',First major,256,31,225,0,0,0,2,1,1,14,2,12,3,1,2,0,0,0,226,24,202,0,0,0,11,3,8,0,0,0,2,1,1
2011-2012,217882,Clemson University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,'31',First major,118,63,55,0,0,0,1,0,1,8,6,2,0,0,0,0,0,0,98,48,50,0,0,0,11,9,2,0,0,0,1,0,1
2011-2012,198419,Duke University,Bachelor's degree,Engineering,'14',First major,278,194,84,0,0,0,90,69,21,7,4,3,10,8,2,0,0,0,129,87,42,6,4,2,21,12,9,15,10,5,90,69,21
2011-2012,198419,Duke University,Bachelor's degree,Health Professions and Related Programs,'51',First major,144,14,130,1,1,0,6,0,6,4,0,4,4,1,3,0,0,0,121,12,109,3,0,3,2,0,2,3,0,3,6,0,6
2011-2012,198419,Duke University,Bachelor's degree,Social Sciences,'45',First major,375,203,172,0,0,0,92,49,43,36,17,19,20,8,12,0,0,0,180,106,74,13,7,6,18,6,12,16,10,6,92,49,43
2011-2012,198419,Duke University,Bachelor's degree,Computer and Information Sciences and Support Services,'11',First major,26,21,5,2,2,0,4,2,2,0,0,0,0,0,0,0,0,0,17,14,3,1,1,0,2,2,0,0,0,0,4,2,2
2011-2012,198419,Duke University,Bachelor's degree,Multi/Interdisciplinary Studies,'30',First major,29,8,21,0,0,0,9,2,7,4,2,2,1,0,1,0,0,0,14,4,10,0,0,0,1,0,1,0,0,0,9,2,7
2011-2012,198419,Duke University,Bachelor's degree,Public Administration and Social Service Professions,'44',First major,137,63,74,0,0,0,24,8,16,19,8,11,11,8,3,0,0,0,78,38,40,0,0,0,4,1,3,1,0,1,24,8,16
2011-2012,198419,Duke University,Bachelor's degree,Visual and Performing Arts,'50',First major,34,12,22,0,0,0,3,1,2,4,2,2,2,0,2,0,0,0,21,6,15,0,0,0,1,1,0,3,2,1,3,1,2
2011-2012,198419,Duke University,Bachelor's degree,English Language and Literature/Letters,'23',First major,77,22,55,0,0,0,12,2,10,4,1,3,7,2,5,0,0,0,44,14,30,4,2,2,4,1,3,2,0,2,12,2,10
2011-2012,198419,Duke University,Bachelor's degree,Philosophy and Religious Studies,'38',First major,25,15,10,0,0,0,5,3,2,3,0,3,2,2,0,0,0,0,14,9,5,1,1,0,0,0,0,0,0,0,5,3,2
2011-2012,198419,Duke University,Bachelor's degree,Psychology,'42',First major,159,40,119,1,0,1,25,7,18,24,5,19,11,2,9,0,0,0,81,22,59,5,1,4,9,1,8,3,2,1,25,7,18
2011-2012,198419,Duke University,Bachelor's degree,Area- Ethnic- Cultural- Gender- and Group Studies,'05',First major,45,5,40,0,0,0,6,0,6,11,0,11,6,1,5,0,0,0,18,2,16,1,1,0,1,0,1,2,1,1,6,0,6
2011-2012,198419,Duke University,Bachelor's degree,Biological and Biomedical Sciences,'26',First major,225,103,122,1,0,1,91,47,44,12,8,4,14,3,11,0,0,0,84,37,47,3,0,3,9,5,4,11,3,8,91,47,44
2011-2012,198419,Duke University,Bachelor's degree,Foreign Languages- Literatures- and Linguistics,'16',First major,34,9,25,0,0,0,1,0,1,10,1,9,2,1,1,0,0,0,19,7,12,1,0,1,1,0,1,0,0,0,1,0,1
2011-2012,198419,Duke University,Bachelor's degree,History,'54',First major,78,51,27,1,1,0,4,1,3,4,2,2,4,3,1,0,0,0,59,41,18,0,0,0,4,2,2,2,1,1,4,1,3
2011-2012,198419,Duke University,Bachelor's degree,Mathematics and Statistics,'27',First major,47,34,13,0,0,0,15,11,4,0,0,0,1,1,0,0,0,0,27,19,8,0,0,0,2,2,0,2,1,1,15,11,4
2011-2012,198419,Duke University,Bachelor's degree,Natural Resources and Conservation,'03',First major,19,8,11,0,0,0,3,1,2,1,1,0,1,0,1,0,0,0,13,5,8,0,0,0,0,0,0,1,1,0,3,1,2
2011-2012,198419,Duke University,Bachelor's degree,Physical Sciences,'40',First major,67,47,20,1,0,1,24,19,5,4,3,1,5,2,3,0,0,0,27,20,7,1,0,1,1,1,0,4,2,2,24,19,5
2011-2012,134097,Florida State University,Bachelor's degree,Biological and Biomedical Sciences,'26',First major,353,170,183,3,2,1,36,17,19,30,9,21,60,33,27,0,0,0,216,106,110,0,0,0,6,2,4,2,1,1,36,17,19
2011-2012,134097,Florida State University,Bachelor's degree,Liberal Arts and Sciences- General Studies and Humanities,'24',First major,50,16,34,1,0,1,2,1,1,5,1,4,5,1,4,0,0,0,37,13,24,0,0,0,0,0,0,0,0,0,2,1,1
2011-2012,134097,Florida State University,Bachelor's degree,Multi/Interdisciplinary Studies,'30',First major,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,134097,Florida State University,Bachelor's degree,Philosophy and Religious Studies,'38',First major,69,44,25,0,0,0,2,2,0,4,0,4,13,10,3,0,0,0,47,30,17,1,1,0,2,1,1,0,0,0,2,2,0
2011-2012,134097,Florida State University,Bachelor's degree,Visual and Performing Arts,'50',First major,397,126,271,1,0,1,12,4,8,24,10,14,48,13,35,0,0,0,299,98,201,4,0,4,6,1,5,3,0,3,12,4,8
2011-2012,134097,Florida State University,Bachelor's degree,Area- Ethnic- Cultural- Gender- and Group Studies,'05',First major,25,9,16,0,0,0,1,0,1,7,1,6,4,3,1,0,0,0,13,5,8,0,0,0,0,0,0,0,0,0,1,0,1
2011-2012,134097,Florida State University,Bachelor's degree,Health Professions and Related Programs,'51',First major,303,27,276,1,1,0,9,0,9,22,0,22,30,4,26,0,0,0,232,22,210,5,0,5,1,0,1,3,0,3,9,0,9
2011-2012,134097,Florida State University,Bachelor's degree,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',First major,482,262,220,2,2,0,9,7,2,96,35,61,56,29,27,0,0,0,309,182,127,4,1,3,6,6,0,0,0,0,9,7,2
2011-2012,134097,Florida State University,Bachelor's degree,Mathematics and Statistics,'27',First major,42,26,16,0,0,0,8,6,2,4,3,1,3,3,0,0,0,0,26,13,13,0,0,0,1,1,0,0,0,0,8,6,2
2011-2012,134097,Florida State University,Bachelor's degree,Physical Sciences,'40',First major,104,60,44,1,1,0,4,3,1,9,6,3,12,7,5,0,0,0,74,39,35,0,0,0,0,0,0,4,4,0,4,3,1
2011-2012,134097,Florida State University,Bachelor's degree,Communication- Journalism- and Related Programs,'09',First major,294,81,213,2,0,2,6,1,5,16,5,11,43,7,36,0,0,0,213,66,147,3,1,2,8,1,7,3,0,3,6,1,5
2011-2012,134097,Florida State University,Bachelor's degree,Computer and Information Sciences and Support Services,'11',First major,157,129,28,1,0,1,10,9,1,20,15,5,20,17,3,0,0,0,102,85,17,2,2,0,1,1,0,1,0,1,10,9,1
2011-2012,134097,Florida State University,Bachelor's degree,Foreign Languages- Literatures- and Linguistics,'16',First major,86,33,53,0,0,0,0,0,0,7,3,4,20,7,13,0,0,0,59,23,36,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,134097,Florida State University,Bachelor's degree,History,'54',First major,127,79,48,2,1,1,5,3,2,6,2,4,14,11,3,0,0,0,94,59,35,3,1,2,1,1,0,2,1,1,5,3,2
2011-2012,134097,Florida State University,Bachelor's degree,Public Administration and Social Service Professions,'44',First major,112,16,96,2,0,2,1,0,1,18,2,16,4,1,3,0,0,0,85,13,72,1,0,1,1,0,1,0,0,0,1,0,1
2011-2012,134097,Florida State University,Bachelor's degree,Business- Management- Marketing- and Related Support Services,'52',First major,1581,936,645,8,1,7,37,18,19,121,54,67,188,99,89,0,0,0,1169,729,440,5,2,3,23,13,10,30,20,10,37,18,19
2011-2012,134097,Florida State University,Bachelor's degree,Education,'13',First major,271,50,221,1,0,1,3,2,1,12,3,9,24,5,19,0,0,0,227,40,187,0,0,0,4,0,4,0,0,0,3,2,1
2011-2012,134097,Florida State University,Bachelor's degree,Engineering,'14',First major,305,245,60,4,4,0,13,9,4,20,13,7,48,36,12,0,0,0,200,165,35,2,2,0,4,4,0,14,12,2,13,9,4
2011-2012,134097,Florida State University,Bachelor's degree,English Language and Literature/Letters,'23',First major,412,141,271,3,2,1,10,2,8,50,13,37,58,25,33,0,0,0,278,96,182,7,2,5,5,1,4,1,0,1,10,2,8
2011-2012,134097,Florida State University,Bachelor's degree,Family and Consumer Sciences/Human Sciences,'19',First major,433,24,409,1,0,1,12,2,10,65,8,57,39,1,38,0,0,0,305,13,292,4,0,4,3,0,3,4,0,4,12,2,10
2011-2012,134097,Florida State University,Bachelor's degree,Natural Resources and Conservation,'03',First major,17,11,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,8,6,0,0,0,2,2,0,0,0,0,0,0,0
2011-2012,134097,Florida State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,'31',First major,347,169,178,4,2,2,13,7,6,29,15,14,51,21,30,0,0,0,238,119,119,1,0,1,3,2,1,8,3,5,13,7,6
2011-2012,134097,Florida State University,Bachelor's degree,Psychology,'42',First major,416,112,304,2,0,2,9,2,7,40,8,32,72,26,46,0,0,0,281,75,206,7,0,7,3,0,3,2,1,1,9,2,7
2011-2012,134097,Florida State University,Bachelor's degree,Social Sciences,'45',First major,1476,791,685,17,10,7,39,18,21,183,73,110,206,116,90,0,0,0,979,547,432,11,3,8,14,8,6,27,16,11,39,18,21
2011-2012,131496,Georgetown University,Bachelor's degree,Area- Ethnic- Cultural- Gender- and Group Studies,'05',First major,33,10,23,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,31,8,23,1,1,0,0,0,0,0,0,0,0,0,0
2011-2012,131496,Georgetown University,Bachelor's degree,Business- Management- Marketing- and Related Support Services,'52',First major,345,210,135,1,1,0,44,26,18,13,10,3,15,11,4,0,0,0,233,146,87,3,1,2,5,1,4,31,14,17,44,26,18
2011-2012,131496,Georgetown University,Bachelor's degree,Health Professions and Related Programs,'51',First major,168,23,145,0,0,0,21,5,16,11,3,8,8,1,7,0,0,0,119,14,105,4,0,4,3,0,3,2,0,2,21,5,16
2011-2012,131496,Georgetown University,Bachelor's degree,Liberal Arts and Sciences- General Studies and Humanities,'24',First major,28,13,15,0,0,0,4,1,3,6,1,5,6,3,3,0,0,0,10,8,2,1,0,1,1,0,1,0,0,0,4,1,3
2011-2012,131496,Georgetown University,Bachelor's degree,Mathematics and Statistics,'27',First major,29,18,11,0,0,0,3,3,0,1,0,1,2,2,0,0,0,0,22,12,10,0,0,0,0,0,0,1,1,0,3,3,0
2011-2012,131496,Georgetown University,Bachelor's degree,Social Sciences,'45',First major,661,342,319,1,1,0,66,30,36,40,14,26,42,23,19,0,0,0,401,222,179,20,10,10,22,13,9,69,29,40,66,30,36
2011-2012,131496,Georgetown University,Bachelor's degree,Visual and Performing Arts,'50',First major,37,8,29,0,0,0,1,0,1,2,1,1,4,1,3,0,0,0,29,6,23,0,0,0,0,0,0,1,0,1,1,0,1
2011-2012,131496,Georgetown University,Bachelor's degree,Biological and Biomedical Sciences,'26',First major,70,34,36,0,0,0,14,8,6,0,0,0,6,2,4,0,0,0,46,23,23,3,0,3,1,1,0,0,0,0,14,8,6
2011-2012,131496,Georgetown University,Bachelor's degree,Computer and Information Sciences and Support Services,'11',First major,17,14,3,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,12,10,2,0,0,0,2,2,0,0,0,0,1,1,0
2011-2012,131496,Georgetown University,Bachelor's degree,English Language and Literature/Letters,'23',First major,111,30,81,0,0,0,3,0,3,9,2,7,7,5,2,0,0,0,83,21,62,1,0,1,6,2,4,2,0,2,3,0,3
2011-2012,131496,Georgetown University,Bachelor's degree,History,'54',First major,47,24,23,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,35,22,13,1,0,1,5,0,5,3,0,3,1,0,1
2011-2012,131496,Georgetown University,Bachelor's degree,Multi/Interdisciplinary Studies,'30',First major,87,35,52,0,0,0,7,3,4,3,1,2,4,1,3,0,0,0,68,29,39,3,0,3,0,0,0,2,1,1,7,3,4
2011-2012,131496,Georgetown University,Bachelor's degree,Philosophy and Religious Studies,'38',First major,29,18,11,0,0,0,3,1,2,2,2,0,3,2,1,0,0,0,19,13,6,0,0,0,0,0,0,2,0,2,3,1,2
2011-2012,131496,Georgetown University,Bachelor's degree,Foreign Languages- Literatures- and Linguistics,'16',First major,105,34,71,0,0,0,2,0,2,3,0,3,3,0,3,0,0,0,89,29,60,2,1,1,3,3,0,3,1,2,2,0,2
2011-2012,131496,Georgetown University,Bachelor's degree,Physical Sciences,'40',First major,20,10,10,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,16,9,7,1,0,1,0,0,0,0,0,0,3,1,2
2011-2012,131496,Georgetown University,Bachelor's degree,Psychology,'42',First major,84,19,65,0,0,0,11,3,8,7,1,6,6,1,5,0,0,0,52,11,41,4,2,2,2,0,2,2,1,1,11,3,8
2011-2012,155399,Kansas State University,Bachelor's degree,Agriculture- Agriculture Operations and Related Sciences,'01',First major,407,224,183,0,0,0,2,0,2,3,1,2,7,2,5,0,0,0,379,216,163,2,1,1,9,3,6,5,1,4,2,0,2
