Year,unitid,Institution_Name,CIP_Classificaiton,Award_Level,Total,T.M,T.F
1987-1988,218663,University of South Carolina-Columbia,Philosophy and Religion,Bachelor's degree,13,8,5
1987-1988,218663,University of South Carolina-Columbia,Physical Sciences,Bachelor's degree,37,32,5
1987-1988,218663,University of South Carolina-Columbia,Protective Services,Bachelor's degree,87,49,38
1987-1988,218663,University of South Carolina-Columbia,Visual and Performing Arts,Bachelor's degree,102,34,68
1987-1988,218663,University of South Carolina-Columbia,Biological Science/Life Sciences,Bachelor's degree,103,52,51
1987-1988,218663,University of South Carolina-Columbia,Business and Management,Bachelor's degree,613,339,274
1987-1988,218663,University of South Carolina-Columbia,Engineering,Bachelor's degree,204,167,37
1987-1988,218663,University of South Carolina-Columbia,Foreign Languages and Literatures,Bachelor's degree,17,6,11
1987-1988,218663,University of South Carolina-Columbia,Business (Administrative Support),Bachelor's degree,37,1,36
1987-1988,218663,University of South Carolina-Columbia,Computer and Information Sciences,Bachelor's degree,48,37,11
1987-1988,218663,University of South Carolina-Columbia,Education,Bachelor's degree,47,25,22
1987-1988,218663,University of South Carolina-Columbia,Marketing Operations/Marketing and Distribution,Bachelor's degree,193,95,98
1987-1988,218663,University of South Carolina-Columbia,Psychology,Bachelor's degree,165,47,118
1987-1988,218663,University of South Carolina-Columbia,Social Sciences and History,Bachelor's degree,340,197,143
1987-1988,123961,University of Southern California,Allied Health,Bachelor's degree,22,1,21
1987-1988,123961,University of Southern California,Communications Technologies,Bachelor's degree,42,27,15
1987-1988,123961,University of Southern California,Engineering-Related Technologies,Bachelor's degree,7,6,1
1987-1988,123961,University of Southern California,Philosophy and Religion,Bachelor's degree,14,12,2
1987-1988,123961,University of Southern California,Public Administration and Services,Bachelor's degree,68,41,27
1987-1988,123961,University of Southern California,Social Sciences and History,Bachelor's degree,291,173,118
1987-1988,123961,University of Southern California,Visual and Performing Arts,Bachelor's degree,128,60,68
1987-1988,123961,University of Southern California,Business and Management,Bachelor's degree,919,590,329
1987-1988,123961,University of Southern California,Health Sciences,Bachelor's degree,78,2,76
1987-1988,123961,University of Southern California,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,1,1,0
1987-1988,123961,University of Southern California,Multi/Interdisciplinary Studies,Bachelor's degree,73,33,40
1987-1988,123961,University of Southern California,Psychology,Bachelor's degree,74,30,44
1987-1988,123961,University of Southern California,Architecture and Related Programs,Bachelor's degree,46,34,12
1987-1988,123961,University of Southern California,Area- Ethnic and Cultural Studies,Bachelor's degree,16,7,9
1987-1988,123961,University of Southern California,Biological Science/Life Sciences,Bachelor's degree,93,48,45
1987-1988,123961,University of Southern California,Education,Bachelor's degree,45,6,39
1987-1988,123961,University of Southern California,Engineering,Bachelor's degree,420,347,73
1987-1988,123961,University of Southern California,Foreign Languages and Literatures,Bachelor's degree,34,10,24
1987-1988,123961,University of Southern California,Mathematics,Bachelor's degree,15,7,8
1987-1988,123961,University of Southern California,Physical Sciences,Bachelor's degree,21,16,5
1987-1988,123961,University of Southern California,Communications,Bachelor's degree,236,81,155
1987-1988,123961,University of Southern California,Computer and Information Sciences,Bachelor's degree,66,42,24
1987-1988,123961,University of Southern California,English Language and Literature/Letters,Bachelor's degree,53,22,31
1987-1988,123961,University of Southern California,Home Economics- General,Bachelor's degree,12,2,10
1987-1988,230728,Utah State University,Agricultural Sciences,Bachelor's degree,31,21,10
1987-1988,230728,Utah State University,Allied Health,Bachelor's degree,9,2,7
1987-1988,230728,Utah State University,Architecture and Related Programs,Bachelor's degree,28,17,11
1987-1988,230728,Utah State University,Computer and Information Sciences,Bachelor's degree,89,58,31
1987-1988,230728,Utah State University,Foreign Languages and Literatures,Bachelor's degree,21,13,8
1987-1988,230728,Utah State University,Health Sciences,Bachelor's degree,31,15,16
1987-1988,230728,Utah State University,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,7,2,5
1987-1988,230728,Utah State University,Philosophy and Religion,Bachelor's degree,6,6,0
1987-1988,230728,Utah State University,Visual and Performing Arts,Bachelor's degree,88,45,43
1987-1988,230728,Utah State University,Agricultural Business and Production,Bachelor's degree,20,20,0
1987-1988,230728,Utah State University,Engineering,Bachelor's degree,103,95,8
1987-1988,230728,Utah State University,Psychology,Bachelor's degree,60,31,29
1987-1988,230728,Utah State University,Public Administration and Services,Bachelor's degree,18,5,13
1987-1988,230728,Utah State University,Area- Ethnic and Cultural Studies,Bachelor's degree,5,4,1
1987-1988,230728,Utah State University,Business and Management,Bachelor's degree,264,197,67
1987-1988,230728,Utah State University,English Language and Literature/Letters,Bachelor's degree,54,15,39
1987-1988,230728,Utah State University,Home Economics- General,Bachelor's degree,61,11,50
1987-1988,230728,Utah State University,Law and Legal Studies,Bachelor's degree,11,8,3
1987-1988,230728,Utah State University,Social Sciences and History,Bachelor's degree,80,57,23
1987-1988,230728,Utah State University,Biological Science/Life Sciences,Bachelor's degree,17,9,8
1987-1988,230728,Utah State University,Communications,Bachelor's degree,22,8,14
1987-1988,230728,Utah State University,Conservation and Renewable Natural Resources,Bachelor's degree,43,31,12
1987-1988,230728,Utah State University,Education,Bachelor's degree,317,88,229
1987-1988,230728,Utah State University,Engineering-Related Technologies,Bachelor's degree,32,31,1
1987-1988,230728,Utah State University,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,19,12,7
1987-1988,230728,Utah State University,Mathematics,Bachelor's degree,10,9,1
1987-1988,230728,Utah State University,Mechanics and Repairers,Bachelor's degree,10,10,0
1987-1988,230728,Utah State University,Physical Sciences,Bachelor's degree,20,16,4
1987-1988,221999,Vanderbilt University,English Language and Literature/Letters,Bachelor's degree,105,39,66
1987-1988,221999,Vanderbilt University,Health Sciences,Bachelor's degree,60,1,59
1987-1988,221999,Vanderbilt University,Psychology,Bachelor's degree,125,31,94
1987-1988,221999,Vanderbilt University,Biological Science/Life Sciences,Bachelor's degree,53,34,19
1987-1988,221999,Vanderbilt University,Computer and Information Sciences,Bachelor's degree,14,12,2
1987-1988,221999,Vanderbilt University,Engineering,Bachelor's degree,202,166,36
1987-1988,221999,Vanderbilt University,Foreign Languages and Literatures,Bachelor's degree,28,9,19
1987-1988,221999,Vanderbilt University,Mathematics,Bachelor's degree,91,36,55
1987-1988,221999,Vanderbilt University,Philosophy and Religion,Bachelor's degree,9,6,3
1987-1988,221999,Vanderbilt University,Education,Bachelor's degree,53,12,41
1987-1988,221999,Vanderbilt University,Multi/Interdisciplinary Studies,Bachelor's degree,47,10,37
1987-1988,221999,Vanderbilt University,Social Sciences and History,Bachelor's degree,340,242,98
1987-1988,221999,Vanderbilt University,Visual and Performing Arts,Bachelor's degree,26,2,24
1987-1988,221999,Vanderbilt University,Area- Ethnic and Cultural Studies,Bachelor's degree,14,5,9
1987-1988,221999,Vanderbilt University,Physical Sciences,Bachelor's degree,20,15,5
