Year,unitid,Institution_Name,CIP_Classificaiton,Award_Level,Total,T.M,T.F
1987-1988,186380,Rutgers University-New Brunswick,Social Sciences and History,Bachelor's degree,1313,759,554
1987-1988,186380,Rutgers University-New Brunswick,Visual and Performing Arts,Bachelor's degree,180,62,118
1987-1988,186380,Rutgers University-New Brunswick,Allied Health,Bachelor's degree,20,3,17
1987-1988,186380,Rutgers University-New Brunswick,Area- Ethnic and Cultural Studies,Bachelor's degree,26,9,17
1987-1988,186380,Rutgers University-New Brunswick,Biological Science/Life Sciences,Bachelor's degree,350,170,180
1987-1988,186380,Rutgers University-New Brunswick,English Language and Literature/Letters,Bachelor's degree,342,126,216
1987-1988,186380,Rutgers University-New Brunswick,Home Economics- General,Bachelor's degree,53,2,51
1987-1988,186380,Rutgers University-New Brunswick,Protective Services,Bachelor's degree,39,23,16
1987-1988,186380,Rutgers University-New Brunswick,Agricultural Sciences,Bachelor's degree,102,30,72
1987-1988,186380,Rutgers University-New Brunswick,Architecture and Related Programs,Bachelor's degree,52,34,18
1987-1988,186380,Rutgers University-New Brunswick,Education,Bachelor's degree,99,30,69
1987-1988,186380,Rutgers University-New Brunswick,Health Sciences,Bachelor's degree,148,41,107
1987-1988,186380,Rutgers University-New Brunswick,Mathematics,Bachelor's degree,87,42,45
1987-1988,186380,Rutgers University-New Brunswick,Psychology,Bachelor's degree,319,72,247
1987-1988,186380,Rutgers University-New Brunswick,Public Administration and Services,Bachelor's degree,21,4,17
1987-1988,186380,Rutgers University-New Brunswick,Business and Management,Bachelor's degree,434,180,254
1987-1988,186380,Rutgers University-New Brunswick,Communications,Bachelor's degree,284,87,197
1987-1988,186380,Rutgers University-New Brunswick,Multi/Interdisciplinary Studies,Bachelor's degree,96,12,84
1987-1988,122755,San Jose State University,Biological Science/Life Sciences,Bachelor's degree,85,32,53
1987-1988,122755,San Jose State University,Engineering,Bachelor's degree,353,277,76
1987-1988,122755,San Jose State University,Public Administration and Services,Bachelor's degree,26,4,22
1987-1988,122755,San Jose State University,Visual and Performing Arts,Bachelor's degree,167,77,90
1987-1988,122755,San Jose State University,Communications,Bachelor's degree,258,92,166
1987-1988,122755,San Jose State University,Education,Bachelor's degree,44,18,26
1987-1988,122755,San Jose State University,English Language and Literature/Letters,Bachelor's degree,65,14,51
1987-1988,122755,San Jose State University,Liberal Arts and Studies- General Sciences and Humanities,Bachelor's degree,102,7,95
1987-1988,122755,San Jose State University,Mathematics,Bachelor's degree,82,52,30
1987-1988,122755,San Jose State University,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,16,3,13
1987-1988,122755,San Jose State University,Philosophy and Religion,Bachelor's degree,8,6,2
1987-1988,122755,San Jose State University,Architecture and Related Programs,Bachelor's degree,41,7,34
1987-1988,122755,San Jose State University,Engineering-Related Technologies,Bachelor's degree,267,232,35
1987-1988,122755,San Jose State University,Home Economics- General,Bachelor's degree,24,0,24
