Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1995-1996,217882,Clemson University,Bachelor's degree,Visual and Performing Arts,42,23,19,42,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,217882,Clemson University,Bachelor's degree,English Language and Literature/Letters,88,23,65,76,20,56,7,2,5,3,1,2,1,0,1,0,0,0,1,0,1,0,0,0
1995-1996,217882,Clemson University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,77,34,43,74,33,41,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
1995-1996,217882,Clemson University,Bachelor's degree,Conservation and Renewable Natural Resources,42,39,3,41,38,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1995-1996,217882,Clemson University,Bachelor's degree,Computer and Information Sciences,48,39,9,38,34,4,6,3,3,0,0,0,2,2,0,0,0,0,1,0,1,1,0,1
1995-1996,217882,Clemson University,Bachelor's degree,Education,348,82,266,324,70,254,14,7,7,2,0,2,1,0,1,1,1,0,2,1,1,4,3,1
1995-1996,217882,Clemson University,Bachelor's degree,Psychology,99,12,87,91,12,79,5,0,5,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1
1995-1996,217882,Clemson University,Bachelor's degree,Foreign Languages and Literatures,48,16,32,41,15,26,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5,1,4
1995-1996,217882,Clemson University,Bachelor's degree,Physical Sciences,43,26,17,36,22,14,4,2,2,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
1995-1996,217882,Clemson University,Bachelor's degree,Agricultural Business and Production,50,35,15,47,33,14,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
1995-1996,217882,Clemson University,Bachelor's degree,Engineering,473,394,79,404,344,60,42,31,11,4,1,3,9,6,3,1,1,0,10,8,2,3,3,0
1995-1996,198419,Duke University,Bachelor's degree,Health Professions and Related Sciences,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,198419,Duke University,Bachelor's degree,Social Sciences and History,402,235,167,315,188,127,46,21,25,12,9,3,18,9,9,0,0,0,0,0,0,11,8,3
1995-1996,198419,Duke University,Bachelor's degree,Conservation and Renewable Natural Resources,29,16,13,27,16,11,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1995-1996,198419,Duke University,Bachelor's degree,Philosophy and Religion,23,15,8,16,9,7,1,1,0,1,1,0,4,4,0,0,0,0,0,0,0,1,0,1
1995-1996,198419,Duke University,Bachelor's degree,Area- Ethnic and Cultural Studies,58,21,37,38,13,25,4,2,2,4,1,3,11,4,7,0,0,0,0,0,0,1,1,0
1995-1996,198419,Duke University,Bachelor's degree,Psychology,147,57,90,108,42,66,18,5,13,6,3,3,15,7,8,0,0,0,0,0,0,0,0,0
1995-1996,198419,Duke University,Bachelor's degree,Mathematics,26,14,12,22,11,11,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0
1995-1996,198419,Duke University,Bachelor's degree,Multi/Interdisciplinary Studies,16,10,6,14,9,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1995-1996,198419,Duke University,Bachelor's degree,English Language and Literature/Letters,154,55,99,128,52,76,10,1,9,3,0,3,11,1,10,0,0,0,0,0,0,2,1,1
1995-1996,198419,Duke University,Bachelor's degree,Foreign Languages and Literatures,32,11,21,23,7,16,3,2,1,4,2,2,1,0,1,0,0,0,0,0,0,1,0,1
1995-1996,198419,Duke University,Bachelor's degree,Visual and Performing Arts,39,11,28,37,10,27,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1995-1996,198419,Duke University,Bachelor's degree,Physical Sciences,57,43,14,42,30,12,3,2,1,0,0,0,10,9,1,0,0,0,0,0,0,2,2,0
1995-1996,198419,Duke University,Bachelor's degree,Public Administration and Services,111,62,49,90,54,36,10,5,5,5,2,3,5,1,4,1,0,1,0,0,0,0,0,0
1995-1996,198419,Duke University,Bachelor's degree,Computer and Information Sciences,18,16,2,14,12,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
1995-1996,198419,Duke University,Bachelor's degree,Engineering,205,153,52,147,109,38,14,9,5,7,6,1,34,26,8,0,0,0,0,0,0,3,3,0
1995-1996,198419,Duke University,Bachelor's degree,Biological Science/Life Sciences,239,121,118,165,81,84,16,5,11,11,9,2,42,23,19,0,0,0,0,0,0,5,3,2
1995-1996,134097,Florida State University,Bachelor's degree,Public Administration and Services,140,21,119,108,12,96,22,5,17,7,2,5,2,1,1,1,1,0,0,0,0,0,0,0
1995-1996,134097,Florida State University,Bachelor's degree,Visual and Performing Arts,313,110,203,270,93,177,10,3,7,26,11,15,6,2,4,0,0,0,0,0,0,1,1,0
1995-1996,134097,Florida State University,Bachelor's degree,English Language and Literature/Letters,263,99,164,229,92,137,20,2,18,12,5,7,1,0,1,0,0,0,0,0,0,1,0,1
1995-1996,134097,Florida State University,Bachelor's degree,Home Economics- General,362,61,301,299,53,246,28,2,26,23,5,18,8,0,8,2,1,1,0,0,0,2,0,2
1995-1996,134097,Florida State University,Bachelor's degree,Mathematics,26,15,11,19,11,8,2,1,1,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0
1995-1996,134097,Florida State University,Bachelor's degree,Social Sciences and History,784,450,334,658,393,265,55,19,36,50,28,22,14,5,9,4,3,1,0,0,0,3,2,1
1995-1996,134097,Florida State University,Bachelor's degree,Philosophy and Religion,31,18,13,27,16,11,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1995-1996,134097,Florida State University,Bachelor's degree,Psychology,296,76,220,241,64,177,26,3,23,25,9,16,4,0,4,0,0,0,0,0,0,0,0,0
1995-1996,134097,Florida State University,Bachelor's degree,Area- Ethnic and Cultural Studies,16,11,5,12,9,3,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,134097,Florida State University,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,23,6,17,20,4,16,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,134097,Florida State University,Bachelor's degree,Foreign Languages and Literatures,52,20,32,39,14,25,1,0,1,9,6,3,0,0,0,1,0,1,0,0,0,2,0,2
1995-1996,134097,Florida State University,Bachelor's degree,Protective Services,444,274,170,347,227,120,64,26,38,29,20,9,4,1,3,0,0,0,0,0,0,0,0,0
1995-1996,134097,Florida State University,Bachelor's degree,Education,481,107,374,419,93,326,34,6,28,25,6,19,2,1,1,0,0,0,0,0,0,1,1,0
1995-1996,134097,Florida State University,Bachelor's degree,Biological Science/Life Sciences,223,109,114,180,90,90,14,5,9,16,11,5,10,1,9,1,1,0,0,0,0,2,1,1
1995-1996,134097,Florida State University,Bachelor's degree,Health Professions and Related Sciences,241,32,209,201,28,173,20,2,18,15,2,13,4,0,4,1,0,1,0,0,0,0,0,0
1995-1996,134097,Florida State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,63,13,50,61,13,48,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,134097,Florida State University,Bachelor's degree,Computer and Information Sciences,45,36,9,33,29,4,5,2,3,3,2,1,2,2,0,0,0,0,0,0,0,2,1,1
1995-1996,134097,Florida State University,Bachelor's degree,Business Management and Administrative Services,966,546,420,804,474,330,78,29,49,45,26,19,19,6,13,1,1,0,0,0,0,19,10,9
1995-1996,134097,Florida State University,Bachelor's degree,Engineering,199,165,34,149,124,25,16,11,5,11,10,1,11,9,2,1,1,0,0,0,0,11,10,1
1995-1996,134097,Florida State University,Bachelor's degree,Communications,220,58,162,187,47,140,10,3,7,15,5,10,4,2,2,2,0,2,0,0,0,2,1,1
1995-1996,134097,Florida State University,Bachelor's degree,Physical Sciences,91,68,23,81,63,18,5,2,3,1,0,1,3,3,0,0,0,0,0,0,0,1,0,1
1995-1996,131496,Georgetown University,Bachelor's degree,Mathematics,9,6,3,6,5,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1995-1996,131496,Georgetown University,Bachelor's degree,Area- Ethnic and Cultural Studies,15,7,8,13,7,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,131496,Georgetown University,Bachelor's degree,Business Management and Administrative Services,303,192,111,176,122,54,17,8,9,21,14,7,36,16,20,0,0,0,0,0,0,53,32,21
1995-1996,131496,Georgetown University,Bachelor's degree,Social Sciences and History,632,329,303,424,233,191,25,9,16,46,21,25,45,24,21,2,0,2,4,3,1,86,39,47
1995-1996,131496,Georgetown University,Bachelor's degree,Physical Sciences,11,5,6,7,5,2,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
1995-1996,131496,Georgetown University,Bachelor's degree,Philosophy and Religion,25,17,8,18,13,5,0,0,0,0,0,0,5,3,2,0,0,0,1,1,0,1,0,1
1995-1996,131496,Georgetown University,Bachelor's degree,Psychology,112,29,83,78,13,65,10,5,5,8,4,4,8,4,4,0,0,0,2,2,0,6,1,5
1995-1996,131496,Georgetown University,Bachelor's degree,Visual and Performing Arts,17,3,14,15,3,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
1995-1996,131496,Georgetown University,Bachelor's degree,Foreign Languages and Literatures,147,39,108,112,31,81,6,2,4,4,1,3,9,1,8,1,1,0,1,0,1,14,3,11
1995-1996,131496,Georgetown University,Bachelor's degree,English Language and Literature/Letters,130,51,79,101,43,58,8,2,6,10,2,8,7,3,4,1,0,1,0,0,0,3,1,2
1995-1996,131496,Georgetown University,Bachelor's degree,Health Professions and Related Sciences,90,5,85,76,4,72,5,1,4,2,0,2,4,0,4,0,0,0,0,0,0,3,0,3
1995-1996,131496,Georgetown University,Bachelor's degree,Computer and Information Sciences,7,6,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1995-1996,131496,Georgetown University,Bachelor's degree,Biological Science/Life Sciences,73,32,41,48,19,29,5,2,3,1,1,0,14,7,7,0,0,0,0,0,0,5,3,2
1995-1996,131496,Georgetown University,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,22,7,15,17,6,11,4,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1995-1996,155399,Kansas State University,Bachelor's degree,Foreign Languages and Literatures,18,4,14,18,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,155399,Kansas State University,Bachelor's degree,Philosophy and Religion,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,155399,Kansas State University,Bachelor's degree,Business Management and Administrative Services,465,259,206,416,232,184,13,5,8,15,11,4,9,3,6,1,1,0,0,0,0,11,7,4
1995-1996,155399,Kansas State University,Bachelor's degree,Health Professions and Related Sciences,57,22,35,56,22,34,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1995-1996,155399,Kansas State University,Bachelor's degree,Home Economics- General,145,8,137,131,7,124,6,1,5,3,0,3,3,0,3,1,0,1,0,0,0,1,0,1
1995-1996,155399,Kansas State University,Bachelor's degree,Engineering,324,279,45,284,243,41,5,4,1,1,1,0,10,9,1,0,0,0,0,0,0,24,22,2
1995-1996,155399,Kansas State University,Bachelor's degree,Public Administration and Services,40,2,38,36,2,34,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1995-1996,155399,Kansas State University,Bachelor's degree,Visual and Performing Arts,98,31,67,87,29,58,3,2,1,3,0,3,2,0,2,0,0,0,0,0,0,3,0,3
1995-1996,155399,Kansas State University,Bachelor's degree,Agricultural Sciences,213,148,65,209,145,64,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,2,0
1995-1996,155399,Kansas State University,Bachelor's degree,Agricultural Business and Production,121,106,15,115,101,14,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,3,1
1995-1996,155399,Kansas State University,Bachelor's degree,Biological Science/Life Sciences,187,92,95,172,85,87,4,1,3,3,1,2,4,3,1,3,1,2,0,0,0,1,1,0
1995-1996,155399,Kansas State University,Bachelor's degree,Architecture and Related Programs,97,66,31,88,61,27,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,7,4,3
1995-1996,155399,Kansas State University,Bachelor's degree,Communications,131,54,77,123,50,73,4,2,2,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0
1995-1996,155399,Kansas State University,Bachelor's degree,Mathematics,11,5,6,10,4,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1995-1996,155399,Kansas State University,Bachelor's degree,Education,405,116,289,393,112,281,2,1,1,8,2,6,0,0,0,1,0,1,0,0,0,1,1,0
1995-1996,155399,Kansas State University,Bachelor's degree,Physical Sciences,48,32,16,44,29,15,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
1995-1996,155399,Kansas State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,86,47,39,81,44,37,3,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1995-1996,155399,Kansas State University,Bachelor's degree,English Language and Literature/Letters,24,5,19,21,5,16,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,155399,Kansas State University,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,155399,Kansas State University,Bachelor's degree,Social Sciences and History,266,157,109,229,139,90,25,14,11,3,1,2,5,1,4,1,1,0,0,0,0,3,1,2
1995-1996,155399,Kansas State University,Bachelor's degree,Computer and Information Sciences,15,11,4,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1995-1996,155399,Kansas State University,Bachelor's degree,Engineering-Related Technologies,45,43,2,45,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,155399,Kansas State University,Bachelor's degree,Psychology,93,26,67,85,25,60,3,1,2,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agricultural Sciences,41,31,10,37,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Marketing Operations/Marketing and Distribution,15,0,15,10,0,10,1,0,1,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Physical Sciences,31,22,9,22,15,7,2,2,0,2,1,1,2,2,0,0,0,0,1,1,0,2,1,1
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Home Economics- General,59,2,57,55,2,53,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Engineering,380,322,58,275,236,39,23,14,9,6,6,0,22,19,3,3,3,0,3,3,0,48,41,7
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Protective Services,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,235,121,114,201,104,97,22,9,13,4,3,1,2,1,1,1,0,1,2,2,0,3,2,1
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agricultural Business and Production,25,22,3,21,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Health Professions and Related Sciences,47,8,39,44,7,37,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Philosophy and Religion,7,4,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Social Sciences and History,340,174,166,284,149,135,31,11,20,7,3,4,2,0,2,0,0,0,6,4,2,10,7,3
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Visual and Performing Arts,87,35,52,78,30,48,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,3,2,1
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Area- Ethnic and Cultural Studies,5,3,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Education,303,73,230,277,67,210,15,3,12,5,1,4,3,1,2,0,0,0,1,0,1,2,1,1
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Mathematics,29,17,12,22,12,10,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Business Management and Administrative Services,488,268,220,400,226,174,40,19,21,6,4,2,14,6,8,1,0,1,1,1,0,26,12,14
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Conservation and Renewable Natural Resources,77,49,28,75,47,28,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Engineering-Related Technologies,38,32,6,32,28,4,4,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Law and Legal Studies,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Public Administration and Services,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Communications,91,38,53,75,31,44,6,2,4,2,2,0,2,0,2,0,0,0,0,0,0,6,3,3
1995-1996,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,English Language and Literature/Letters,146,45,101,121,37,84,15,4,11,5,2,3,2,0,2,0,0,0,1,1,0,2,1,1
