"","Year","ID_School","White.Males","Black.Males","Hispanic.Males","Other.Males"
"121","1999-2000","SCAR",3,6,0,0
"122","1999-2000","VANDY",3,14,1,0
"123","1999-2000","SMU",8,4,0,0
"124","1999-2000","TAM",3,4,0,1
"125","1999-2000","UT",5,3,0,0
"126","1999-2000","UTA.ST",2,1,1,0
"127","1999-2000","STAN",7,6,0,0
"128","2000-2001","BAMA",1,3,0,0
"129","2000-2001","AUB",1,4,0,0
"130","2000-2001","SJ.ST",1,1,0,1
"131","2000-2001","USC",1,5,0,1
"132","2000-2001","FSU",3,7,0,0
"133","2000-2001","FLA",4,3,0,0
"134","2000-2001","UOFM",4,5,0,0
"135","2000-2001","UGA",6,3,0,0
"136","2000-2001","BOS.ST",8,1,0,0
"137","2000-2001","NWST",7,9,0,1
"138","2000-2001","ND",7,13,0,0
"139","2000-2001","KAN.ST",4,3,1,0
"140","2000-2001","LOUIS",4,4,0,0
"141","2000-2001","LSU",4,8,0,0
"142","2000-2001","UM",7,4,0,0
"143","2000-2001","NEB",9,3,1,1
"144","2000-2001","RUT",5,7,0,0
"145","2000-2001","DUKE",11,7,0,0
"146","2000-2001","UNC",7,5,0,0
"147","2000-2001","OSU",5,3,0,0
"148","2000-2001","OKSTATE",5,5,0,1
"149","2000-2001","OK",0,1,0,0
"150","2000-2001","ORE.ST",2,2,0,1
"151","2000-2001","ORE",8,6,0,1
"152","2000-2001","CLEM",4,2,0,0
"153","2000-2001","SCAR",1,8,1,0
"154","2000-2001","VANDY",6,12,0,0
"155","2000-2001","SMU",4,9,0,1
"156","2000-2001","TAM",7,5,0,1
"157","2000-2001","UT",3,5,0,0
"158","2000-2001","UTA.ST",2,1,0,0
"159","2000-2001","STAN",9,7,1,0
"160","2001-2002","BAMA",2,3,0,0
"161","2001-2002","AUB",5,10,0,0
"162","2001-2002","SJ.ST",1,1,0,0
"163","2001-2002","USC",4,4,1,0
"164","2001-2002","FSU",8,5,0,0
"165","2001-2002","FLA",1,7,0,1
"166","2001-2002","UOFM",0,5,0,0
"167","2001-2002","UGA",6,4,0,0
"168","2001-2002","BOS.ST",5,2,1,1
"169","2001-2002","NWST",7,5,0,1
"170","2001-2002","ND",9,12,0,1
"171","2001-2002","KAN.ST",4,7,0,0
"172","2001-2002","LOUIS",3,3,0,0
"173","2001-2002","LSU",2,4,0,0
"174","2001-2002","UM",6,2,0,2
"175","2001-2002","NEB",4,3,0,2
"176","2001-2002","RUT",2,3,0,1
"177","2001-2002","DUKE",12,7,0,0
"178","2001-2002","UNC",2,4,0,0
"179","2001-2002","OSU",7,3,1,0
"180","2001-2002","OKSTATE",1,5,0,0
"181","2001-2002","OK",6,5,0,0
"182","2001-2002","ORE.ST",1,4,0,2
"183","2001-2002","ORE",3,1,0,1
"184","2001-2002","CLEM",6,8,0,0
"185","2001-2002","SCAR",4,3,0,0
"186","2001-2002","VANDY",14,6,0,1
"187","2001-2002","SMU",5,6,1,0
