,team,season,player,position,age,salary_millions,salary_2013_millions,sources,notes_other,table_name,player_bref_url,disputed_salary,tm,pst_team
103,Baltimore Orioles,2008,Adam Jones,Centerfielder,22,0.39,0.423,,,salaries,http://www.baseball-reference.com/players/j/jonesad01.shtml,FALSE,BAL,Orioles
104,Baltimore Orioles,2009,Nick Markakis,Rightfielder,25,3.35,3.645,,,salaries,http://www.baseball-reference.com/players/m/markani01.shtml,FALSE,BAL,Orioles
105,Baltimore Orioles,2009,Adam Jones,Centerfielder,23,0.435,0.473,,,salaries,http://www.baseball-reference.com/players/j/jonesad01.shtml,FALSE,BAL,Orioles
106,Baltimore Orioles,2000,Scott Erickson,Pitcher,32,6.621,8.975,2001 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/e/ericksc01.shtml,FALSE,BAL,Orioles
107,Baltimore Orioles,1997,Mike Mussina,Pitcher,28,6.825,9.925,1997 AP survey,,salaries,http://www.baseball-reference.com/players/m/mussimi01.shtml,FALSE,BAL,Orioles
108,Baltimore Orioles,2000,Albert Belle,Leftfielder,33,12.869,17.444,2001 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/b/belleal01.shtml,FALSE,BAL,Orioles
109,Baltimore Orioles,2001,Scott Erickson,Pitcher,33,6.68,8.807,2001 Joint Exhibit 1; 4/6/01 USAT,,salaries,http://www.baseball-reference.com/players/e/ericksc01.shtml,FALSE,BAL,Orioles
110,Baltimore Orioles,1977,Rick Dempsey,Catcher,27,0.04,0.154,"TSN salary survey, 4/23/77",,salaries,http://www.baseball-reference.com/players/d/dempsri01.shtml,FALSE,BAL,Orioles
111,Baltimore Orioles,1992,Rick Dempsey,Catcher,42,0.45,0.749,4/2/92 USA Today,,salaries,http://www.baseball-reference.com/players/d/dempsri01.shtml,FALSE,BAL,Orioles
112,Baltimore Orioles,1996,Brady Anderson,Outfielder,32,3.613,5.378,1997 Joint Exhibit 1,"Incls $83,333 signing bonus, $30K earned bonus",salaries,http://www.baseball-reference.com/players/a/anderbr01.shtml,FALSE,BAL,Orioles
113,Baltimore Orioles,1993,Brady Anderson,Outfielder,29,1.855,2.998,1994 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/a/anderbr01.shtml,FALSE,BAL,Orioles
114,Baltimore Orioles,1995,Brady Anderson,Outfielder,31,3.333,5.107,1996 Joint Exhibit 1,"Includes $83,333 signing bonus",salaries,http://www.baseball-reference.com/players/a/anderbr01.shtml,FALSE,BAL,Orioles
115,Baltimore Orioles,1986,Rick Dempsey,Catcher,36,0.442,0.941,1986 USA Today survey,,salaries,http://www.baseball-reference.com/players/d/dempsri01.shtml,FALSE,BAL,Orioles
116,Baltimore Orioles,1994,Lee Smith,Pitcher,36,2.025,3.189,1996 Joint Exhibit 1,"Includes $525,000 earned bonus",salaries,http://www.baseball-reference.com/players/s/smithle02.shtml,FALSE,BAL,Orioles
117,Baltimore Orioles,1985,Tippy Martinez,Pitcher,35,0.44,0.955,1985 USA Today survey,,salaries,http://www.baseball-reference.com/players/m/martiti01.shtml,FALSE,BAL,Orioles
118,Baltimore Orioles,2010,Adam Jones,Centerfielder,24,0.465,0.498,,,salaries,http://www.baseball-reference.com/players/j/jonesad01.shtml,FALSE,BAL,Orioles
119,Baltimore Orioles,2003,Albert Belle,Leftfielder,36,13,16.497,,,salaries,http://www.baseball-reference.com/players/b/belleal01.shtml,TRUE,BAL,Orioles
120,Baltimore Orioles,1993,Mike Mussina,Pitcher,24,0.45,0.727,1996 Joint Exhibit 1,"Includes $25,000 earned bonus",salaries,http://www.baseball-reference.com/players/m/mussimi01.shtml,FALSE,BAL,Orioles
121,Baltimore Orioles,2011,Adam Jones,Centerfielder,25,3.25,3.373,,,salaries,http://www.baseball-reference.com/players/j/jonesad01.shtml,FALSE,BAL,Orioles
122,Baltimore Orioles,1996,Bobby Bonilla,"Third Baseman, Rightfielder, First Baseman",33,5.1,7.591,1996 Joint Exhibit 1,"Inc. $300,000 signing bonus, $300K/yr endorsements",salaries,http://www.baseball-reference.com/players/b/bonilbo01.shtml,FALSE,BAL,Orioles
123,Baltimore Orioles,1999,Scott Erickson,Pitcher,31,6.08,8.52,,,salaries,http://www.baseball-reference.com/players/e/ericksc01.shtml,TRUE,BAL,Orioles
124,Baltimore Orioles,1982,Don Stanhouse,Pitcher,31,0.42,1.016,1980 TSN Guide,$340K/season and $400K bonus; most by Dodgers,salaries,http://www.baseball-reference.com/players/s/stanhdo01.shtml,FALSE,BAL,Orioles
125,Baltimore Orioles,2011,Derrek Lee,First Baseman,35,7.25,7.523,,,salaries,http://www.baseball-reference.com/players/l/leede02.shtml,FALSE,BAL,Orioles
126,Baltimore Orioles,1986,Tippy Martinez,Pitcher,36,0.487,1.037,1986 USA Today survey,,salaries,http://www.baseball-reference.com/players/m/martiti01.shtml,FALSE,BAL,Orioles
127,Baltimore Orioles,2002,Scott Erickson,Pitcher,34,5.143,6.675,2001 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/e/ericksc01.shtml,FALSE,BAL,Orioles
128,Baltimore Orioles,2004,B.J. Ryan,Pitcher,28,1.275,1.576,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/r/ryanb.01.shtml,FALSE,BAL,Orioles
129,Baltimore Orioles,1998,Scott Erickson,Pitcher,30,3.7,5.299,11/23/98 USA Today,"Includes $100,000 earned bonus",salaries,http://www.baseball-reference.com/players/e/ericksc01.shtml,FALSE,BAL,Orioles
130,Baltimore Orioles,2008,Nick Markakis,Rightfielder,24,0.455,0.493,,,salaries,http://www.baseball-reference.com/players/m/markani01.shtml,FALSE,BAL,Orioles
131,Baltimore Orioles,2005,Miguel Tejada,"Shortstop, Third Baseman",31,11,13.148,,,salaries,http://www.baseball-reference.com/players/t/tejadmi01.shtml,FALSE,BAL,Orioles
132,Baltimore Orioles,2010,Miguel Tejada,"Shortstop, Third Baseman",36,6,6.423,,,salaries,http://www.baseball-reference.com/players/t/tejadmi01.shtml,FALSE,BAL,Orioles
133,Baltimore Orioles,2012,Nick Markakis,Rightfielder,28,12,12.202,contracts,,salaries,http://www.baseball-reference.com/players/m/markani01.shtml,FALSE,BAL,Orioles
134,Baltimore Orioles,2003,B.J. Ryan,Pitcher,27,0.762,0.968,4/3/03 AP,,salaries,http://www.baseball-reference.com/players/r/ryanb.01.shtml,FALSE,BAL,Orioles
135,Baltimore Orioles,2004,Miguel Tejada,"Shortstop, Third Baseman",30,5,6.18,,,salaries,http://www.baseball-reference.com/players/t/tejadmi01.shtml,TRUE,BAL,Orioles
136,Baltimore Orioles,2012,Adam Jones,Centerfielder,26,6.15,6.253,contracts,,salaries,http://www.baseball-reference.com/players/j/jonesad01.shtml,FALSE,BAL,Orioles
137,Baltimore Orioles,2005,B.J. Ryan,Pitcher,29,2.6,3.108,,,salaries,http://www.baseball-reference.com/players/r/ryanb.01.shtml,FALSE,BAL,Orioles
138,Baltimore Orioles,1991,Brady Anderson,Outfielder,27,0.165,0.283,1994 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/a/anderbr01.shtml,FALSE,BAL,Orioles
139,Baltimore Orioles,1997,Scott Erickson,Pitcher,29,3.3,4.799,1997 postseason AP survey,"Includes $100,000 earned bonus",salaries,http://www.baseball-reference.com/players/e/ericksc01.shtml,FALSE,BAL,Orioles
140,Baltimore Orioles,1987,Tippy Martinez,Pitcher,37,0.35,0.719,Proofing corrections,,salaries,http://www.baseball-reference.com/players/m/martiti01.shtml,FALSE,BAL,Orioles
141,Baltimore Orioles,2000,B.J. Ryan,Pitcher,24,0.204,0.277,2001 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/r/ryanb.01.shtml,FALSE,BAL,Orioles
142,Baltimore Orioles,2000,Charles Johnson,Catcher,28,4.6,6.236,2001 Joint Exhibit 1,,salaries,http://www.baseball-reference.com/players/j/johnsch04.shtml,FALSE,BAL,Orioles
