,player,tm,season,age,lg,ip,g,gs,r,ra9,ra9opp,ra9def,ra9role,ppfp,ra9avg,raa,waa,gmli,waaadj,war,rar,waawl,wl162,salary,awards,table_name,disputed_salary,salary_2013,team,pst_team,position
280,Greg Minton,SEA,1979,27,NL,79.2,46,0,25,2.82,4.19,-0.43,-0.33,95.6,4.1,10,1.2,0.9,-0.2,1.7,18,0.525,0.507,NA,,pitching value,FALSE,NA,Seattle Mariners,Mariners,Pitcher
281,Greg Minton,SEA,1987,35,NL,23.1,15,0,9,3.47,4.56,0.1,-0.35,100.9,4.15,2,0.2,1.3,0,0.4,4,0.511,0.501,0.75,,pitching value,FALSE,1.541,Seattle Mariners,Mariners,Pitcher
282,Greg Minton,SEA,1980,28,NL,91.1,68,0,28,2.76,4.08,-0.22,-0.32,98.2,3.91,11,1.3,1.8,0.4,2.6,19,0.519,0.508,NA,,pitching value,FALSE,NA,Seattle Mariners,Mariners,Pitcher
285,Greg Minton,SEA,1978,26,NL,15.2,11,0,14,8.04,4.12,-0.22,-0.33,99.3,3.97,-7,-0.8,0.4,0.2,-0.4,-6,0.43,0.495,NA,,pitching value,FALSE,NA,Seattle Mariners,Mariners,Pitcher
286,Greg Minton,SEA,1982,30,NL,123,78,0,29,2.12,4.07,-0.41,-0.32,99.5,4.15,26,3,2,1.2,5.4,38,0.539,0.519,0.343,"AS,CYA-6,MVP-8",pitching value,FALSE,0.83,Seattle Mariners,Mariners,Pitcher
287,Greg Minton,SEA,1986,34,NL,68.2,48,0,35,4.59,4.14,0.43,-0.32,96.4,3.27,-10,-1.1,1.4,-0.3,-0.8,-4,0.476,0.493,0.765,,pitching value,FALSE,1.629,Seattle Mariners,Mariners,Pitcher
288,Greg Minton,SEA,1975,23,NL,17,4,2,14,7.41,4.59,-0.34,0.04,101,5.03,-5,-0.5,0.6,0,-0.3,-3,0.384,0.497,NA,,pitching value,FALSE,NA,Seattle Mariners,Mariners,Pitcher
289,Greg Minton,SEA,1984,32,NL,124.1,74,1,60,4.34,4.06,-0.71,-0.3,98.8,4.42,0,0,1.8,-0.2,0.9,12,0.499,0.5,0.75,,pitching value,FALSE,1.685,Seattle Mariners,Mariners,Pitcher
290,Greg Minton,SEA,1985,33,NL,96.2,68,0,42,3.91,4.08,-0.29,-0.32,98.5,3.99,0,0,1.2,-0.2,0.7,9,0.5,0.5,0.865,,pitching value,FALSE,1.877,Seattle Mariners,Mariners,Pitcher
340,John Curtis,SEA,1978,30,NL,63,46,0,31,4.43,4.03,-0.19,-0.33,102.3,3.98,-4,-0.4,1.1,-0.1,0,2,0.491,0.497,NA,,pitching value,FALSE,NA,Seattle Mariners,Mariners,Pitcher
341,John Curtis,SEA,1979,31,NL,120.2,27,18,62,4.62,4.26,-0.43,0.11,96,4.6,-2,-0.2,0.8,-0.1,0.8,10,0.493,0.499,NA,,pitching value,FALSE,NA,Seattle Mariners,Mariners,Pitcher
353,John Curtis,SEA,1977,29,NL,77,43,9,48,5.61,4.39,-0.17,-0.13,102.8,4.56,-10,-1,0.9,-0.1,-0.4,-2,0.477,0.494,NA,,pitching value,FALSE,NA,Seattle Mariners,Mariners,Pitcher
451,Madison Bumgarner,SEA,2012,22,NL,208.1,32,32,87,3.76,4.26,-0.05,0.16,89.8,4.01,4,0.4,NA,-0.1,2.1,23,0.514,0.503,0.56,,pitching value,FALSE,0.569,Seattle Mariners,Mariners,Pitcher
452,Madison Bumgarner,SEA,2009,19,NL,10,4,1,2,1.8,4.43,0.05,-0.06,98.9,4.27,3,0.3,0.4,-0.1,0.3,4,0.575,0.502,NA,,pitching value,FALSE,NA,Seattle Mariners,Mariners,Pitcher
453,Madison Bumgarner,SEA,2010,20,NL,111,18,18,40,3.24,4.41,0.21,0.17,104.2,4.55,16,1.8,NA,-0.1,2.7,25,0.599,0.511,NA,,pitching value,FALSE,NA,Seattle Mariners,Mariners,Pitcher
454,Madison Bumgarner,SEA,2011,21,NL,204.2,33,33,82,3.61,4.15,0.02,0.15,92.8,3.98,7,0.8,NA,-0.1,2.4,24,0.524,0.505,0.45,CYA-11,pitching value,FALSE,0.467,Seattle Mariners,Mariners,Pitcher
455,Matt Cain,SEA,2009,24,NL,217.2,33,33,73,3.02,4.47,0.06,0.17,102.4,4.7,40,4.6,NA,-0.2,6.3,59,0.638,0.528,2.9,AS,pitching value,FALSE,3.155,Seattle Mariners,Mariners,Pitcher
456,Matt Cain,SEA,2006,21,NL,190.2,32,31,93,4.39,4.82,0.19,0.18,99.8,4.81,9,0.9,0,-0.1,2.5,26,0.53,0.506,0.328,RoY-5,pitching value,FALSE,0.38,Seattle Mariners,Mariners,Pitcher
457,Matt Cain,SEA,2010,25,NL,223.1,33,33,84,3.39,4.37,0.19,0.17,101.3,4.41,25,2.8,NA,-0.2,4.5,44,0.584,0.517,4.583,CYA-12,pitching value,FALSE,4.906,Seattle Mariners,Mariners,Pitcher
458,Matt Cain,SEA,2005,20,NL,46.1,7,7,12,2.33,4.26,-0.15,0.16,104.8,4.78,13,1.5,NA,0,1.8,17,0.708,0.509,NA,,pitching value,FALSE,NA,Seattle Mariners,Mariners,Pitcher
459,Matt Cain,SEA,2007,22,NL,200,32,32,84,3.78,4.84,0.07,0.2,101.3,5.03,29,3,NA,-0.1,4.6,46,0.595,0.519,0.65,,pitching value,FALSE,0.732,Seattle Mariners,Mariners,Pitcher
460,Matt Cain,SEA,2012,27,NL,219.1,32,32,73,3,4.22,-0.05,0.16,87.1,3.85,19,2.2,NA,-0.1,3.9,39,0.567,0.513,15,"AS,CYA-6",pitching value,FALSE,15.252,Seattle Mariners,Mariners,Pitcher
461,Matt Cain,SEA,2008,23,NL,217.2,34,34,95,3.93,4.57,-0.12,0.18,102.4,5,27,2.9,NA,-0.1,4.6,45,0.586,0.518,0.95,,pitching value,FALSE,1.03,Seattle Mariners,Mariners,Pitcher
462,Matt Cain,SEA,2011,26,NL,221.2,33,33,82,3.33,4.17,0.02,0.16,94.6,4.07,17,1.9,NA,-0.1,3.7,36,0.558,0.512,7.333,"AS,CYA-8",pitching value,FALSE,7.61,Seattle Mariners,Mariners,Pitcher
177,Cliff Lee,SFG,2010,31,AL,103.2,13,13,31,2.69,4.72,0.06,0.17,94.9,4.58,21,2.5,NA,-0.1,3.4,32,0.689,0.515,9,"AS,CYA-7",pitching value,FALSE,9.635,San Francisco Giants,Giants,Pitcher
244,Felix Hernandez,SFG,2012,26,AL,232,33,33,84,3.26,4.64,0.11,0.18,88.1,4.14,23,2.5,NA,-0.2,4.7,46,0.576,0.515,18.5,"AS,CYA-4,MVP-22",pitching value,FALSE,18.811,San Francisco Giants,Giants,Pitcher
246,Felix Hernandez,SFG,2011,25,AL,233.2,33,33,99,3.81,4.55,0.06,0.16,93.9,4.38,14,1.5,NA,-0.2,3.7,39,0.546,0.509,11.7,AS,pitching value,FALSE,12.141,San Francisco Giants,Giants,Pitcher
248,Felix Hernandez,SFG,2010,24,AL,249.2,34,34,80,2.88,4.53,0.06,0.16,95.9,4.44,41,4.7,NA,-0.1,7.1,69,0.639,0.529,7.2,"CYA-1,MVP-16",pitching value,FALSE,7.708,San Francisco Giants,Giants,Pitcher
250,Felix Hernandez,SFG,2006,20,AL,191,31,31,105,4.95,5,0.29,0.19,97.7,4.79,-6,-0.5,NA,-0.1,1.3,18,0.482,0.497,0.34,,pitching value,FALSE,0.394,San Francisco Giants,Giants,Pitcher
252,Felix Hernandez,SFG,2008,22,AL,200.2,31,31,85,3.81,4.87,0.09,0.19,97.4,4.84,19,2,NA,-0.1,3.9,45,0.566,0.513,0.54,,pitching value,FALSE,0.585,San Francisco Giants,Giants,Pitcher
254,Felix Hernandez,SFG,2005,19,AL,84.1,12,12,26,2.77,4.72,-0.02,0.17,96.2,4.72,18,1.9,NA,0,2.8,27,0.662,0.512,NA,,pitching value,FALSE,NA,San Francisco Giants,Giants,Pitcher
256,Felix Hernandez,SFG,2009,23,AL,238.2,34,34,81,3.05,4.91,0.43,0.19,95.6,4.46,35,3.8,NA,-0.2,6,64,0.61,0.523,3.8,"AS,CYA-2,MVP-26",pitching value,FALSE,4.135,San Francisco Giants,Giants,Pitcher
258,Felix Hernandez,SFG,2007,21,AL,190.1,30,30,88,4.16,4.93,-0.31,0.19,95.9,5.2,20,2.1,NA,-0.1,3.9,43,0.57,0.513,0.42,,pitching value,FALSE,0.473,San Francisco Giants,Giants,Pitcher
261,Gil Meche,SFG,2006,27,AL,186.2,32,32,106,5.11,4.96,0.29,0.19,97.8,4.76,-10,-0.9,NA,-0.1,0.9,14,0.471,0.494,3.7,,pitching value,FALSE,4.284,San Francisco Giants,Giants,Pitcher
263,Gil Meche,SFG,2004,25,AL,127.2,23,23,73,5.15,5.22,0.12,0.2,95.8,5.07,-3,-0.3,NA,-0.1,1,14,0.488,0.498,1.95,,pitching value,FALSE,2.41,San Francisco Giants,Giants,Pitcher
264,Gil Meche,SFG,1999,20,AL,85.2,16,15,48,5.04,5.13,-0.33,0.19,103.5,5.85,8,0.7,0.7,-0.1,1.5,18,0.545,0.504,0.2,,pitching value,FALSE,0.28,San Francisco Giants,Giants,Pitcher
265,Gil Meche,SFG,2000,21,AL,85.2,15,15,37,3.89,5.36,0.17,0.21,94.2,5.08,11,1,NA,-0.1,1.9,22,0.57,0.506,0.252,,pitching value,FALSE,0.342,San Francisco Giants,Giants,Pitcher
267,Gil Meche,SFG,2003,24,AL,186.1,32,32,97,4.69,4.88,0.22,0.18,95.8,4.64,-1,-0.1,NA,-0.1,1.7,20,0.498,0.5,0.325,,pitching value,FALSE,0.412,San Francisco Giants,Giants,Pitcher
268,Gil Meche,SFG,2005,26,AL,143.1,29,26,92,5.78,4.85,-0.03,0.17,94.7,4.78,-17,-1.6,0.5,-0.1,-0.2,0,0.443,0.49,2.535,,pitching value,FALSE,3.03,San Francisco Giants,Giants,Pitcher
412,Kevin Millwood,SFG,2012,37,AL,161,28,28,86,4.81,4.52,0.13,0.17,94.9,4.33,-9,-0.9,NA,-0.1,0.6,8,0.468,0.494,1,,pitching value,FALSE,1.017,San Francisco Giants,Giants,Pitcher
572,Steve Trout,SFG,1989,31,AL,30,19,3,27,8.1,4.63,0.04,-0.15,101.4,4.5,-12,-1.2,1.8,-0.3,-1.3,-9,0.435,0.492,0.105,,pitching value,FALSE,0.198,San Francisco Giants,Giants,Pitcher
577,Steve Trout,SFG,1988,30,AL,56.1,15,13,53,8.47,4.47,-0.1,0.13,105.8,4.97,-22,-2.1,0.1,0,-1.5,-17,0.363,0.487,0.99,,pitching value,FALSE,1.954,San Francisco Giants,Giants,Pitcher
134,Chan Ho Park,SDP,2005,32,NL,45.2,10,9,33,6.5,4.47,-0.25,0.13,89.2,4.33,-11,-1,2.9,-0.1,-0.7,-7,0.396,0.494,NA,,pitching value,FALSE,NA,San Diego Padres,Padres,Pitcher
137,Chan Ho Park,SDP,2006,33,NL,136.2,24,21,81,5.33,4.79,0.29,0.17,91.6,4.27,-16,-1.5,0.6,-0.1,-0.4,-4,0.439,0.491,15.505,,pitching value,FALSE,17.955,San Diego Padres,Padres,Pitcher
292,Jake Peavy,SDP,2003,22,NL,194.2,32,32,94,4.35,4.63,0,0.18,93.7,4.51,3,0.3,NA,-0.1,1.8,20,0.508,0.502,0.305,,pitching value,FALSE,0.387,San Diego Padres,Padres,Pitcher
293,Jake Peavy,SDP,2006,25,NL,202.1,32,32,93,4.14,4.82,0.24,0.19,90.1,4.3,4,0.4,NA,-0.1,2,22,0.513,0.503,2.5,,pitching value,FALSE,2.895,San Diego Padres,Padres,Pitcher
294,Jake Peavy,SDP,2002,21,NL,97.2,17,17,54,4.98,4.61,-0.44,0.18,96.7,5.05,0,0,NA,-0.1,0.8,9,0.502,0.5,NA,,pitching value,FALSE,NA,San Diego Padres,Padres,Pitcher
296,Jake Peavy,SDP,2007,26,NL,223.1,34,34,67,2.7,4.6,-0.03,0.19,89.8,4.32,41,4.5,NA,-0.1,6.2,60,0.631,0.527,4.75,"AS,CYA-1,MVP-7",pitching value,FALSE,5.348,San Diego Padres,Padres,Pitcher
298,Jake Peavy,SDP,2005,24,NL,203,30,30,70,3.1,4.4,-0.2,0.16,90.6,4.32,27,3,NA,-0.1,4.6,45,0.6,0.519,0.75,AS,pitching value,FALSE,0.896,San Diego Padres,Padres,Pitcher
299,Jake Peavy,SDP,2009,28,NL,81.2,13,13,38,4.19,4.33,-0.07,0.17,88.8,4.06,-1,-0.1,NA,-0.1,0.5,6,0.49,0.499,11,,pitching value,FALSE,11.969,San Diego Padres,Padres,Pitcher
300,Jake Peavy,SDP,2008,27,NL,173.2,27,27,57,2.95,4.47,-0.01,0.18,88.9,4.14,24,2.6,NA,-0.1,3.9,38,0.596,0.516,6.5,,pitching value,FALSE,7.048,San Diego Padres,Padres,Pitcher
301,Jake Peavy,SDP,2004,23,NL,166.1,27,27,49,2.65,4.66,-0.05,0.18,91.4,4.48,33,3.6,NA,-0.1,4.9,48,0.633,0.522,0.35,,pitching value,FALSE,0.433,San Diego Padres,Padres,Pitcher
345,John Curtis,SDP,1982,34,NL,116.1,26,18,62,4.8,4.08,0.34,0.1,96.6,3.7,-15,-1.6,1.2,-0.1,-0.6,-4,0.437,0.49,0.34,,pitching value,FALSE,0.822,San Diego Padres,Padres,Pitcher
351,John Curtis,SDP,1980,32,NL,187,30,27,84,4.04,4.05,0.03,0.11,93.3,3.86,-4,-0.5,1.5,-0.1,1.1,12,0.484,0.497,0.415,,pitching value,FALSE,1.176,San Diego Padres,Padres,Pitcher
352,John Curtis,SDP,1981,33,NL,66.2,28,8,41,5.54,3.95,-0.2,-0.03,96.4,3.96,-13,-1.4,1,-0.1,-0.8,-6,0.45,0.491,0.34,,pitching value,FALSE,0.873,San Diego Padres,Padres,Pitcher
519,Rick Wise,SDP,1981,35,NL,98,18,18,44,4.04,3.88,-0.22,0.14,91.9,3.9,-3,-0.3,NA,-0.1,0.5,6,0.482,0.498,0.4,,pitching value,FALSE,1.027,San Diego Padres,Padres,Pitcher
521,Rick Wise,SDP,1980,34,NL,154.1,27,27,69,4.02,4.06,0.03,0.14,94.7,3.95,-2,-0.2,NA,-0.1,1.2,12,0.493,0.499,0.35,,pitching value,FALSE,0.992,San Diego Padres,Padres,Pitcher
531,Rick Wise,SDP,1982,36,NL,2,1,0,2,9,4.28,0.47,-0.33,94,3.27,-1,-0.1,0.1,0.1,-0.1,-1,0.372,0.499,0.4,,pitching value,FALSE,0.968,San Diego Padres,Padres,Pitcher
13,A.J. Burnett,PIT,2012,35,NL,202.1,31,31,86,3.83,4.2,-0.05,0.16,94.2,4.16,6,0.6,NA,-0.1,2.2,24,0.52,0.504,16.5,,pitching value,FALSE,16.777,Pittsburgh Pirates,Pirates,Pitcher
130,Chan Ho Park,PIT,2010,37,NL,28.1,26,0,14,4.45,4.42,-0.49,-0.33,99.4,4.55,0,0,0.6,-0.1,0.2,3,0.501,0.5,NA,,pitching value,FALSE,NA,Pittsburgh Pirates,Pirates,Pitcher
215,Denny Neagle,PIT,1994,25,NL,137,24,24,80,5.26,4.73,0.2,0.17,101.9,4.79,-8,-0.8,NA,-0.1,0.2,5,0.466,0.495,0.22,,pitching value,FALSE,0.346,Pittsburgh Pirates,Pirates,Pitcher
218,Denny Neagle,PIT,1996,27,NL,182.2,27,27,67,3.3,4.62,-0.27,0.17,105,5.31,42,4.7,NA,-0.1,6.1,57,0.673,0.529,2.3,CYA-8,pitching value,FALSE,3.423,Pittsburgh Pirates,Pirates,Pitcher
221,Denny Neagle,PIT,1993,24,NL,81.1,50,7,49,5.42,4.58,-0.08,-0.14,99,4.48,-10,-1,1.2,-0.1,-0.5,-2,0.479,0.494,0.14,,pitching value,FALSE,0.226,Pittsburgh Pirates,Pirates,Pitcher
227,Denny Neagle,PIT,1995,26,NL,209.2,31,31,91,3.91,4.72,-0.28,0.18,101.6,5.26,29,3.1,NA,-0.1,4.7,50,0.601,0.519,0.74,AS,pitching value,FALSE,1.134,Pittsburgh Pirates,Pirates,Pitcher
229,Denny Neagle,PIT,1992,23,NL,86.1,55,6,46,4.8,3.87,0,-0.17,97.9,3.63,-12,-1.3,1.4,-0.3,-0.9,-5,0.476,0.492,0.11,,pitching value,FALSE,0.183,Pittsburgh Pirates,Pirates,Pitcher
419,Larry McWilliams,PIT,1985,31,NL,126.1,30,19,70,4.99,4.19,-0.22,0.06,98.9,4.42,-9,-1,1.5,-0.1,0.1,3,0.467,0.494,0.797,,pitching value,FALSE,1.729,Pittsburgh Pirates,Pirates,Pitcher
422,Larry McWilliams,PIT,1986,32,NL,122.1,49,15,75,5.52,4.23,0.18,-0.02,103.8,4.17,-19,-2,1.1,-0.2,-1,-8,0.459,0.488,1.08,,pitching value,FALSE,2.3,Pittsburgh Pirates,Pirates,Pitcher
424,Larry McWilliams,PIT,1982,28,NL,121.2,19,18,49,3.62,4.08,-0.01,0.12,103.5,4.37,9,1,0.4,-0.1,2,20,0.553,0.506,NA,,pitching value,FALSE,NA,Pittsburgh Pirates,Pirates,Pitcher
425,Larry McWilliams,PIT,1984,30,NL,227.1,34,32,86,3.4,4.1,0.17,0.14,101.3,4.12,15,1.8,3.6,-0.1,3.8,37,0.553,0.511,NA,,pitching value,FALSE,NA,Pittsburgh Pirates,Pirates,Pitcher
426,Larry McWilliams,PIT,1983,29,NL,238,35,35,99,3.74,4.14,-0.07,0.14,101.6,4.43,17,2,NA,-0.1,4.1,38,0.557,0.512,NA,CYA-5,pitching value,FALSE,NA,Pittsburgh Pirates,Pirates,Pitcher
595,Terry Forster,PIT,1977,25,NL,87.1,33,6,47,4.84,4.39,0.29,-0.13,102.2,4.06,-8,-0.8,1.2,-0.2,-0.2,0,0.474,0.495,0.05,,pitching value,FALSE,0.193,Pittsburgh Pirates,Pirates,Pitcher
143,Chan Ho Park,PHI,2009,36,NL,83.1,45,7,43,4.64,4.53,0.1,-0.13,100.8,4.33,-3,-0.3,1.3,-0.2,0.3,4,0.493,0.498,2.5,,pitching value,FALSE,2.72,Philadelphia Phillies,Phillies,Pitcher
167,Cliff Lee,PHI,2012,33,NL,211,30,30,79,3.37,4.3,0,0.16,100.5,4.49,25,2.8,NA,-0.1,4.5,43,0.594,0.517,21.5,,pitching value,FALSE,21.862,Philadelphia Phillies,Phillies,Pitcher
168,Cliff Lee,PHI,2011,32,NL,232.2,32,32,66,2.55,4.22,-0.32,0.16,100.6,4.73,55,6.8,NA,-0.1,8.6,75,0.712,0.542,11,"AS,CYA-3,MVP-15",pitching value,FALSE,11.415,Philadelphia Phillies,Phillies,Pitcher
178,Cliff Lee,PHI,2009,30,NL,79.2,12,12,35,3.95,4.38,0.1,0.17,100.5,4.47,4,0.5,NA,-0.1,1.1,11,0.54,0.503,NA,,pitching value,FALSE,NA,Philadelphia Phillies,Phillies,Pitcher
180,Cole Hamels,PHI,2006,22,NL,132.1,23,23,66,4.49,4.93,-0.1,0.19,101.6,5.31,12,1.3,NA,-0.1,2.3,24,0.555,0.508,NA,,pitching value,FALSE,NA,Philadelphia Phillies,Phillies,Pitcher
181,Cole Hamels,PHI,2009,25,NL,193.2,32,32,95,4.41,4.5,0.1,0.18,100.4,4.59,3,0.4,NA,-0.1,1.9,20,0.511,0.502,4.35,,pitching value,FALSE,4.733,Philadelphia Phillies,Phillies,Pitcher
182,Cole Hamels,PHI,2007,23,NL,183.1,28,28,72,3.53,4.68,0.22,0.19,101.2,4.71,25,2.6,NA,-0.1,4.1,40,0.594,0.516,0.4,"AS,CYA-6",pitching value,FALSE,0.45,Philadelphia Phillies,Phillies,Pitcher
183,Cole Hamels,PHI,2008,24,NL,227.1,33,33,89,3.52,4.61,0.43,0.18,101.4,4.43,24,2.6,NA,-0.2,4.3,43,0.578,0.516,0.5,,pitching value,FALSE,0.542,Philadelphia Phillies,Phillies,Pitcher
184,Cole Hamels,PHI,2012,28,NL,215.1,31,31,80,3.34,4.24,0,0.16,101.9,4.48,25,2.9,NA,-0.1,4.6,45,0.594,0.518,15,"AS,CYA-8",pitching value,FALSE,15.252,Philadelphia Phillies,Phillies,Pitcher
185,Cole Hamels,PHI,2011,27,NL,216,32,31,68,2.83,4.08,-0.33,0.15,100.5,4.58,40,4.9,1,-0.1,6.6,59,0.653,0.53,9.5,"AS,CYA-5",pitching value,FALSE,9.858,Philadelphia Phillies,Phillies,Pitcher
186,Cole Hamels,PHI,2010,26,NL,208.2,33,33,74,3.19,4.43,-0.03,0.17,100.2,4.64,33,3.7,NA,-0.2,5.4,51,0.613,0.523,6.65,,pitching value,FALSE,7.119,Philadelphia Phillies,Phillies,Pitcher
401,Kevin Millwood,PHI,2003,28,NL,222,35,35,103,4.18,4.65,0.12,0.18,94.3,4.43,5,0.6,NA,-0.2,2.3,26,0.516,0.503,9.9,,pitching value,FALSE,12.563,Philadelphia Phillies,Phillies,Pitcher
410,Kevin Millwood,PHI,2004,29,NL,141,25,25,81,5.17,4.62,0.1,0.18,105.1,4.94,-5,-0.5,NA,-0.1,0.6,9,0.482,0.497,11,,pitching value,FALSE,13.595,Philadelphia Phillies,Phillies,Pitcher
415,Larry McWilliams,PHI,1989,35,NL,120.2,40,16,67,5,3.91,-0.54,0.02,100.2,4.48,-7,-0.8,0.7,-0.1,0.2,2,0.48,0.495,0.068,,pitching value,FALSE,0.128,Philadelphia Phillies,Phillies,Pitcher
516,Rick Wise,PHI,1968,22,NL,182.1,30,30,100,4.94,3.43,-0.4,0.05,102.3,3.97,-22,-2.6,NA,-0.1,-1,-7,0.414,0.484,NA,,pitching value,FALSE,NA,Philadelphia Phillies,Phillies,Pitcher
518,Rick Wise,PHI,1969,23,NL,220,33,31,100,4.09,4.11,-0.43,0.06,99.9,4.6,10,1.2,0.5,-0.1,3.1,31,0.535,0.507,NA,,pitching value,FALSE,NA,Philadelphia Phillies,Phillies,Pitcher
525,Rick Wise,PHI,1970,24,NL,220.1,35,34,115,4.7,4.57,-0.49,0.07,99.4,5.09,7,0.7,0.6,-0.1,2.7,30,0.521,0.504,NA,,pitching value,FALSE,NA,Philadelphia Phillies,Phillies,Pitcher
528,Rick Wise,PHI,1966,20,NL,99.1,22,13,50,4.53,4.01,-0.02,0.03,97.8,3.97,-7,-0.8,0.3,0,0.2,3,0.465,0.495,NA,,pitching value,FALSE,NA,Philadelphia Phillies,Phillies,Pitcher
529,Rick Wise,PHI,1967,21,NL,181.1,36,25,69,3.42,3.91,-0.23,0.04,98.9,4.14,12,1.5,0.6,-0.2,3.1,30,0.541,0.509,NA,,pitching value,FALSE,NA,Philadelphia Phillies,Phillies,Pitcher
530,Rick Wise,PHI,1971,25,NL,272.1,38,37,110,3.64,3.91,0.05,0.06,102.6,4.02,9,1,0.3,-0.2,3.4,34,0.528,0.506,NA,AS,pitching value,FALSE,NA,Philadelphia Phillies,Phillies,Pitcher
532,Rick Wise,PHI,1964,18,NL,69,25,8,41,5.35,4.11,-0.09,-0.06,100.2,4.15,-10,-1.1,0.4,0.1,-0.3,-3,0.457,0.493,NA,,pitching value,FALSE,NA,Philadelphia Phillies,Phillies,Pitcher
539,Roy Oswalt,PHI,2010,32,NL,82.2,13,12,18,1.96,4.29,-0.03,0.16,97.7,4.38,22,2.6,1,-0.1,3.2,29,0.7,0.516,NA,CYA-6,pitching value,FALSE,NA,Philadelphia Phillies,Phillies,Pitcher
547,Roy Oswalt,PHI,2011,33,NL,139,23,23,60,3.88,4.09,-0.4,0.15,98.4,4.57,10,1.1,NA,-0.1,2.2,21,0.547,0.507,16,,pitching value,FALSE,16.604,Philadelphia Phillies,Phillies,Pitcher
72,Barry Zito,OAK,2001,23,AL,214.1,35,35,92,3.86,4.99,0.11,0.19,97.4,4.94,24,2.4,NA,-0.1,4.5,50,0.569,0.515,0.24,MVP-21,pitching value,FALSE,0.316,Oakland Athletics,Athletics,Pitcher
73,Barry Zito,OAK,2006,28,AL,221,34,34,99,4.03,5.01,0.01,0.19,97.4,5.06,22,2.3,NA,-0.1,4.4,50,0.567,0.514,7.9,AS,pitching value,FALSE,9.148,Oakland Athletics,Athletics,Pitcher
74,Barry Zito,OAK,2002,24,AL,229.1,35,35,79,3.1,4.87,-0.03,0.18,97.8,4.97,47,5,NA,-0.2,7.2,73,0.643,0.531,0.295,"AS,CYA-1,MVP-13",pitching value,FALSE,0.383,Oakland Athletics,Athletics,Pitcher
76,Barry Zito,OAK,2004,26,AL,213,34,34,116,4.9,5.14,-0.12,0.2,98.2,5.35,8,0.8,NA,-0.1,2.8,35,0.522,0.505,3,,pitching value,FALSE,3.708,Oakland Athletics,Athletics,Pitcher
80,Barry Zito,OAK,2003,25,AL,231.2,35,35,98,3.81,4.87,0.02,0.18,98.4,4.95,30,3.1,NA,-0.1,5.3,56,0.588,0.519,1,AS,pitching value,FALSE,1.269,Oakland Athletics,Athletics,Pitcher
81,Barry Zito,OAK,2005,27,AL,228.1,35,35,106,4.18,4.76,0.24,0.18,99.1,4.66,10,1.1,NA,-0.1,3.3,37,0.53,0.507,5.6,,pitching value,FALSE,6.693,Oakland Athletics,Athletics,Pitcher
84,Barry Zito,OAK,2000,22,AL,92.2,14,14,30,2.91,5.28,-0.24,0.21,93.2,5.34,24,2.5,NA,-0.1,3.4,36,0.677,0.515,0.2,RoY-6,pitching value,FALSE,0.271,Oakland Athletics,Athletics,Pitcher
270,Gio Gonzalez,OAK,2010,24,AL,200.2,33,33,75,3.36,4.43,0.34,0.16,100.4,4.27,19,2,NA,-0.1,4,41,0.562,0.513,0.405,,pitching value,FALSE,0.434,Oakland Athletics,Athletics,Pitcher
272,Gio Gonzalez,OAK,2009,23,AL,98.2,20,17,68,6.2,4.85,-0.17,0.14,97.9,5.05,-13,-1.3,1,-0.1,-0.3,-2,0.437,0.492,0.405,,pitching value,FALSE,0.441,Oakland Athletics,Athletics,Pitcher
273,Gio Gonzalez,OAK,2008,22,AL,34,10,7,34,9,4.62,0.26,0.09,95.8,4.26,-19,-1.6,0.2,0.1,-1.2,-14,0.34,0.49,NA,,pitching value,FALSE,NA,Oakland Athletics,Athletics,Pitcher
274,Gio Gonzalez,OAK,2011,25,AL,202,32,32,81,3.61,4.46,-0.09,0.16,97.9,4.61,22,2.4,NA,-0.1,4.3,43,0.576,0.515,0.42,AS,pitching value,FALSE,0.436,Oakland Athletics,Athletics,Pitcher
611,Trevor Cahill,OAK,2009,21,AL,178.2,32,32,99,4.99,4.76,-0.2,0.19,99,5.1,1,0.1,NA,-0.1,1.8,22,0.502,0.5,0.4,,pitching value,FALSE,0.435,Oakland Athletics,Athletics,Pitcher
612,Trevor Cahill,OAK,2011,23,AL,207.2,34,34,102,4.42,4.49,-0.1,0.16,99.6,4.73,7,0.7,NA,-0.1,2.7,28,0.521,0.504,0.44,,pitching value,FALSE,0.457,Oakland Athletics,Athletics,Pitcher
614,Trevor Cahill,OAK,2010,22,AL,196.2,30,30,73,3.34,4.45,0.35,0.16,100.6,4.28,19,2.1,NA,-0.1,4,41,0.569,0.513,0.41,"AS,CYA-9",pitching value,FALSE,0.439,Oakland Athletics,Athletics,Pitcher
9,A.J. Burnett,NYY,2010,33,AL,186.2,33,33,118,5.69,4.43,0.29,0.16,103.8,4.47,-27,-2.6,NA,-0.1,-0.8,-6,0.42,0.484,16.5,,pitching value,FALSE,17.663,New York Yankees,Yankees,Pitcher
11,A.J. Burnett,NYY,2011,34,AL,190.1,33,32,115,5.44,4.48,0.02,0.16,107.9,4.98,-10,-1.1,0.1,-0.1,0.8,10,0.468,0.494,16.5,,pitching value,FALSE,17.122,New York Yankees,Yankees,Pitcher
15,A.J. Burnett,NYY,2009,32,AL,207,33,33,99,4.3,4.91,-0.14,0.19,103.3,5.41,24,2.5,NA,-0.2,4.4,48,0.575,0.515,16.5,,pitching value,FALSE,17.954,New York Yankees,Yankees,Pitcher
