id_sport,id_division,id_conference,team_name,,variable,value,Column
,,,,,facility_financing,The New England Patriots Paid For The $325 Million Stadium.,
,,,,,naming_rights,Global Gillette Receives Naming Rights For $240 Million Until The Year 2013. The Average Annual Value Is Expected To Be $8 Million.,
,,,,,team_name,Miami (oh) Redhawks,
,,,,,school_name,Miami University,
,,,,,stadium_name,Yager Stadium,
,,,,,principal_owner,Miami University,
,,,,,stadium_date_built,1983,
,,,,,facility_cost,$13.5 Million,
,,,,,facility_financing,The Stadium Was 100% Privately Financed Through Benefactors And Other Private Donors.,
,,,,,naming_rights,"The Stadium Is Named For Alumnus Fred C. Yager, Who Was The Lead Benefactor In The Project To Build The Stadium.",
,,,,,team_name,Northern Illinois Huskies,
,,,,,school_name,Northern Illinois University,
,,,,,stadium_name,Brigham Field At Huskie Stadium,
,,,,,principal_owner,Northern Illinois University,
,,,,,team_stadium_update,"For The 2013 Season, Niu Is Adding A $3.3 Million Led Jumbotron.",
,,,,,naming_rights,"The Stadium And Field Have Had Several Name Changes During The Stadiumâ€™s Existence. The University Owns The Naming Rights And The Stadium Itself Is Named For The Northern Illinois Mascot. The Playing Surface Is Named In Honor Of Robert J. Brigham, A Former Player, Coach, And Athletic Director At The School.",
,,,,,team_name,Ohio Bobcats,
,,,,,school_name,Ohio University,
,,,,,stadium_name,Peden Stadium,
,,,,,principal_owner,Ohio University,
,,,,,facility_cost,"$185,000 ",
,,,,,facility_financing,The Facility Was 100% Financed By The University.,
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium. The Stadium Was Named After Former Bobcat Head Coach Don Peden. A Coach And Director Of Athletics At Ohio For Twenty-seven Years, He Was One Of The Founders Of The Mid-american Conference And Was Monumental In The Development Of College Athletics.",
,,,,,team_name,Toledo Rockets,
,,,,,school_name,University Of Toledo,
,,,,,year_team_established,1917,
,,,,,stadium_name,Glass Bowl,
,,,,,principal_owner,University Of Toledo,
,,,,,stadium_date_built,1937,
,,,,,facility_cost,"$313,588 ",
,,,,,public_financing,81%,
,,,,,facility_financing,"The Project Was Paid For With $272,000 From The Federal Government And $41,558 From The City Of Toledo And The University.",
,,,,,naming_rights,"In 1946, Wayne Kohn, A Libby Owens Ford Engineer, Conceived The Idea Of Using Glass To Rebuild The Stadium. Glass Blocks Were Installed Throughout The Stadium And A Glass Electric Scoreboard Was Built In The South End Zone. A New Two-tier Press Box Of Blue Vitrolite And Glass Blocks Was Also Constructed. Lights Were Installed, Beginning A Tradition Of Night Football At Ut. It Is Now Known As The Glass Bowl.",
,,,,,team_name,Western Michigan Broncos,
,,,,,school_name,Western Michigan University,
,,,,,year_team_established,1906,
,,,,,stadium_name,Waldo Stadium,
,,,,,principal_owner,Western Michigan University,
,,,,,stadium_date_built,1939,
,,,,,facility_financing,The Facility Was 100% Financed Through Donations And Gifts To The University. The Donors Who Contributed Money For The Construction Of The Stadium Were Awarded Season Tickets By Wmu.,
,,,,,team_stadium_update,"In June 2013, Wmu Athletics Began Replacing The Turf In Waldo Stadium.",
,,,,,naming_rights,"Western Michigan Owns The Naming Rights And Dedicated The Stadium To Wmu President Emeritus Dwight B. Waldo, The Schoolâ€™s First President And A Strong Advocate Of Broncos Athletics.",
,,,,,cfb_conference,Mountain West Conference,
,,,,,team_name,Air Force Falcons,
,,,,,school_name,United States Air Force Academy,
,,,,,year_team_established,1955,
,,,,,stadium_name,Falcon Stadium,
,,,,,principal_owner,U.S. Air Force Academy,
,,,,,stadium_date_built,1962,
,,,,,facility_financing,The Stadium Was 100% Funded Through Donations By Air Force Personnel And Civilian Sources.,
,,,,,team_stadium_update,"In August 2012, Air Force Announced That They Hoped To Start Falcon Stadium Renovations After The 2012 Season. The Renovations Are Expected To Cost Around $20 Million. First, The Project Is Set To Remove The East Grandstand To Allow For An Open-air Concourse. Next, Air Force Wants To Add More Press Box Space, And Private Skyboxes. Lastly, The School Is Going To Add More Concession Areas And Restrooms.",
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium. There Are Currently Talks Among The Academy Administration About Changing The Name. Since Fisher Deberry Earned Election To The College Football Hall Of Fame, University Proponents Have Crusaded To Name The Stadium After Him Because Of His Coaching Success At The Afa. However, Opponents Feel It Should Remain Falcon Stadium.",
,,,,,team_name,Boise State Broncos,
,,,,,school_name,Boise State University,
,,,,,stadium_name,Bronco Stadium (the Blue),
,,,,,principal_owner,Boise State University,
,,,,,stadium_date_built,1970,
,,,,,team_stadium_update,"Prior To The 2012 Season, Boise State Added 3,500 Seats. Also, The Track Was Painted Grey In Order To Blend In More With The Surroundings; The Track Is No Longer In Use. The New 70,000 Square Foot Football Facility At The North End Of The Stadium, Which Includes Coaches' Offices, Meeting Rooms, A Player Lounge, Recruiting Lounge, Training Facility With Weight Room, An Academic And Computer Lab, And A Brand New Locker Room, Is Expected To Be Finished In Late 2013.",
,,,,,team_name,Colorado State Rams,
,,,,,school_name,Colorado State University,
,,,,,stadium_name,Sonny Lubick Field At Hughes Stadium,
,,,,,principal_owner,Colorado State University,
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium And It Is Named After Harry Hughes, A Former Head Coach At Csu For Thirty-one Years.",
,,,,,team_name,Fresno State Bulldogs,
,,,,,school_name,Fresno State University,
,,,,,year_team_established,1921,
,,,,,stadium_name,Bulldogs Stadium,
,,,,,principal_owner,Fresno State University,
,,,,,facility_cost,$7 Million,
,,,,,team_name,Hawaiâ€™i Warriors,
,,,,,school_name,University Of Hawaiâ€™i At Manoa,
,,,,,year_team_established,1909,
,,,,,stadium_name,Aloha Stadium,
,,,,,principal_owner,State Of Hawaiâ€™i,
,,,,,facility_cost,$37 Million,
,,,,,facility_financing,The Facility Was Paid For By The State Of Hawaiâ€™i Because It Is A Major Attraction That Hosts Various Events That Generate Money For The Hawaiian Economy.,
,,,,,team_stadium_update,"A Current Plan To Replace 3,000 Seats Per Year Continues In 2013.",
,,,,,naming_rights,The State Of Hawaiâ€™i Owns The Naming Rights To The Stadium.,
,,,,,team_name,Nevada Wolf Pack,
,,,,,school_name,University Of Nevada,
,,,,,stadium_name,Mackay Stadium,
,,,,,principal_owner,University Of Nevada,
,,,,,facility_cost,$6.5 Million,
,,,,,facility_financing,100% Privately Financed By The University Through Private Donations.,
,,,,,team_stadium_update,"In May 2013, A Plan To Pursue $6â€“$8 Million In Renovations To Mackay Stadium Was Introduced By The Athletics Department. The Plan Includes The Addition Of New Suites Ans A Club Seating Level, As Well As New Chairback In At Least Five Sections Of The Stadium.",
,,,,,naming_rights,"Since The Early 1900s, Nevadaâ€™s Football Team Has Played In Facilities Named After University Benefactor Clarence Mackay.",
,,,,,team_name,New Mexico Lobos,
,,,,,school_name,The University Of New Mexico,
,,,,,stadium_name,University Stadium (branch Field),
,,,,,principal_owner,The University Of New Mexico,
,,,,,facility_financing,The Project Was 100% Funded By The University.,
,,,,,team_stadium_update,"In 2012, Installation Of A New Artificial Turf Field Was Completed. The Field Was Also Renamed Branch Field After A $1.5 Million Donation From Margaret And Turner Branch.",
,,,,,naming_rights,The University Of New Mexico Owns The Naming Rights To The Stadium.,
,,,,,team_name,San Diego State Aztecs,
,,,,,school_name,San Diego State University,
,,,,,stadium_name,Qualcomm Stadium,
,,,,,principal_owner,City Of San Diego,
,,,,,facility_cost,$27 Million,
,,,,,facility_financing,The City Of San Diego Issued A $27 Million Bond To Finance Construction Of The Stadium.,
,,,,,team_stadium_update,Discussions About Renovating Qualcomm Stadium Continued In Late 2012; No Plans Have Been Finalized.,
,,,,,naming_rights,"Qualcomm Corporation Paid $18 Million Cash For Twenty-year Naming Rights In 1997. The Deal Expires In 2017 And Has An Average Annual Payout Of $900,000.",
,,,,,team_name,Sjsu Spartans,
,,,,,school_name,San Jose State University,
,,,,,principal_owner,San Jose State University,
,,,,,team_stadium_update,"The University Expects To Break Ground On Its Recently Approved $38.5 Million Renovation Plan By The End Of 2013. The Construction Calls For Improvements To To Vermeil Walsh Athletic Complex, Including New Locker Rooms, Coaches Offices, Meeting Rooms, Training Facilities, And A Hall Of Fame, And To The West West Side Of The Stadium, Which Will Receive A New Entry Plaza, Ticket Windows. The North Side Renovations Will Also Include New Consession Stands And Restrooms.",
,,,,,naming_rights,Sjsu Owns The Naming Rights To The Stadium.,
,,,,,team_name,Unlv Rebels,
,,,,,school_name,"University Of Nevada, Las Vegas",
,,,,,year_team_established,1968,
,,,,,stadium_name,Sam Boyd Stadium,
,,,,,principal_owner,"University Of Nevada, Las Vegas",
,,,,,public_financing,0%,
,,,,,facility_financing,The Facility Was Financed Through Private Donations.,
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium. When The $3.5 Million Stadium Was Built In 1971 It Was Originally Named Las Vegas Stadium. The Stadium Was Renamed The Las Vegas Silver Bowl In 1978, And In 1984 It Was Renamed Sam Boyd Stadium In Honor Of Local Gaming Pioneer Sam Boyd.",
,,,,,team_name,Utah State Aggies,
,,,,,school_name,Utah State University,
,,,,,stadium_name,Romney Stadium,
,,,,,principal_owner,Utah State University,
,,,,,team_stadium_update,"For The 2012 Season, Utah State Installed A New Field Turf.",
,,,,,naming_rights,"The Stadium Was Named After Dick Romney, Who Coached The Aggies To Four Conference Championships, Compiling A 128-91-16 Record In Twenty-nine Seasons.",
,,,,,team_name,Wyoming Cowboys,
,,,,,school_name,University Of Wyoming,
,,,,,stadium_name,Jonah Field At War Memorial Stadium,
,,,,,principal_owner,University Of Wyoming,
,,,,,facility_financing,100% Privately Financed Through Donations.,
,,,,,naming_rights,A $5 Million Gift Was Donated To The University And Matched By The State To Rename The Playing Surface Jonas Field. The Stadium Itself Is Named In Honor Of Those Who Have Served Our Country.,
,,,,,cfb_conference,Pac-12 Conference,
,,,,,team_name,Arizona Wildcats,
,,,,,school_name,University Of Arizona,
,,,,,stadium_name,Arizona Stadium,
,,,,,principal_owner,University Of Arizona,
,,,,,stadium_date_built,1928,
,,,,,facility_financing,N/a,
,,,,,team_stadium_update,"As Of June 2013, A Long-term Renovation Project Has Been Completed At Arizona Stadium. The Renovations Include The Enclosure Of The North End To Make A Stadium Bowl, New Seats, And A New Locker Room.",
,,,,,team_name,Arizona State Sun Devils,
,,,,,school_name,Arizona State University,
,,,,,year_team_established,1897,
,,,,,stadium_name,Sun Devil Stadium (frank Kush Field),
,,,,,stadium_nickname,Frank Kush Field,
,,,,,principal_owner,Arizona State University,
,,,,,stadium_date_built,1958,
,,,,,facility_cost,$1 Million,
,,,,,public_financing,100%,
,,,,,facility_financing,The City And State Paid For The Stadium.,
,,,,,team_stadium_update,"In April 2012, Renderings Were Released For Proposed Renovations To Sun Devil Stadium. The Renderings Are Very Modern And Include A Futuristic-looking Canopy. The New Stadium Could Cost As Much As $300 Million. In April 2013, The Asu Confirmed The Plan To Temporarily Move Asu Football To Chase Field, Home Of Mlbâ€™s Arizona Diamondbacks, Starting In 2015 To Make Way For The Renovations.",
,,,,,team_name,California Golden Bears,
,,,,,school_name,"University Of California, Berkeley",
,,,,,year_team_established,1886,
,,,,,principal_owner,"University Of California, Berkeley",
,,,,,facility_cost,$1.4 Million,
,,,,,facility_financing,"When The University Launched A Statewide Campaign In October 1921 To Build A Football Stadium On Campus In Honor Of The Wwi Participants Who Lost Their Lives, The Responses And Results Were Staggering. In Only One Month, Generous Supporters Of The University Pledged More Than $1 Million, And Just Two Years Later, The Stadium Was Built.",
,,,,,team_stadium_update,"After Twenty-one Months Of Construction, And Over $300 Million In Funding, The University Of California Reopened A Remodeled Memorial Stadium. New Seats Were Installed, And Concession Areas/restrooms Were Completely Redone.",
,,,,,naming_rights,The University Owns The Naming Rights And The Stadium Is Named After Those Who Served And Died In Service To Their Country In World War I.,
,,,,,team_name,Colorado Buffaloes,
,,,,,school_name,University Of Colorado At Boulder,
,,,,,stadium_name,Folsom Field,
,,,,,principal_owner,University Of Colorado,
,,,,,facility_cost,"$65,000 ",
,,,,,team_stadium_update,"In February 2013, Colorado Ad Mike Bohn Released Plans For A $170 Million Renovation To Folsom Field. The Most Significant Addition To The Stadium Will Be A New Student- Athlete Academic Center Located On The East Side Of The Stadium.",
,,,,,naming_rights,"The University Owns The Naming Rights And The Stadium Is Named After Legendary Coach Fred Folsom. However, In The Spring Of 2011, The Denver Post Reported That Frontier Airlines Is A Possible Front-runner To Purchase The Naming Rights To The Stadium. Other Companies Are In Consideration As Well. Keeping The Name Folsom Field Will Be A Priority, But The Stadium May Take On Any Name The Sponsor Deems Appropriate For Its Product. As Of June 2012, The Name Of The Stadium Has Not Changed.",
,,,,,team_name,Oregon Ducks,
,,,,,school_name,The University Of Oregon,
,,,,,stadium_name,Autzen Stadium,
,,,,,principal_owner,The University Of Oregon,
,,,,,facility_cost,$2.5 Million,
,,,,,facility_financing,The University Financed 100% Through Donations.,
,,,,,team_stadium_update,The Oregon Board Of Higher Education Approved A $5 Million Gift By Nike Co- Founder Phil Knight In January 2013. Knight Has Gifted The University With Various Amounts Over The Years To Help Fund Capital Projects On Campus. This Gift Will Go To The Improvement Of Foot Traffic At Autzen Stadium.,
,,,,,naming_rights,"The University Owns The Rights To The Facility And It Is Named After The Thomas J. Autzen Foundation, Which Contributed $250,000 Of The Original $2.5 Million Raised To Construct The Stadium.",
,,,,,team_name,Oregon State Beavers,
,,,,,school_name,Oregon State University,
,,,,,stadium_name,Reser Stadium,
,,,,,principal_owner,Oregon State University,
,,,,,stadium_date_built,1953,
,,,,,facility_financing,The Stadium Was 100% Privately Financed.,
,,,,,team_stadium_update,"Although No Renovation Plan Has Been Formally Announced, Ad Bob De Carolis Issued A Report In Late 2012 About A Possible Renovation. The Released Statement Noted That Osu Is Conducting A Study Into Expansion Of The Stadium. As Well, There Is A Plan To Add To The Valley Football Center Facilities. A Cost For A Proposed Renovation Has Not Been Figured Out Eithe.",
,,,,,naming_rights,"Formerly Known As Parker Stadium, Reser Got Its Name In 1999 When Pat Reser Of Beaverton, Oregon, Made A Personal Seven-figure Gift To Osu Athletics.",
,,,,,team_name,Stanford Cardinal,
,,,,,school_name,Stanford University,
,,,,,stadium_name,Stanford Stadium,
,,,,,principal_owner,Stanford University,
,,,,,facility_cost,"$200,000 ",
,,,,,facility_financing,100% Privately Financed Through Donations,
,,,,,team_name,Ucla Bruins,
,,,,,school_name,"University Of California, Los Angeles",
,,,,,stadium_name,The Rose Bowl,
,,,,,principal_owner,City Of Pasadena,
,,,,,public_financing,N/a,
,,,,,team_stadium_update,"Currently, The Rose Bowl Is Undergoing $180 Million In Renovations. As Of February 2013, The Project Was Still Focusing On Completing The Press Box And Pavilion Areas. In Addition, Foundations And Underground Utilities Have Been Added To The West Side Restrooms.",
,,,,,naming_rights,"The City Of Pasadena Owns The Naming Rights To The Stadium And It Was Named â€œrose Bowlâ€ù By Police Reporter Harlan W. Hall, Who Had The Yale Bowl In Mind When Thinking Of How An Expanded Structure Would Look.",
,,,,,team_name,Usc Trojans,
,,,,,school_name,University Of Southern California,
,,,,,stadium_name,Memorial Coliseum,
,,,,,principal_owner,University Of Southern California,
,,,,,facility_cost,"$800,000 ",
,,,,,team_stadium_update,"Usc Signed A New Lease With The Coliseum In 2012. The Deal Calls For Usc To Invest $70 Million To Renovate The Stadium, Take Over The Coliseum's $1-million Rent To The State, And Give The University Control Over Revenue. As Of 2013, No Renovation Plans Have Been Formally Announced.",
,,,,,naming_rights,Memorial Coliseum Was Commissioned In 1921 As A Memorial To The Veterans Of World War I. The City Owns The Naming Rights To The Stadium.,
,,,,,team_name,Utah Utes,
,,,,,school_name,University Of Utah,
,,,,,stadium_name,Rice-eccles Stadium,
,,,,,principal_owner,University Of Utah,
,,,,,facility_cost,"$133,000 ",
,,,,,team_stadium_update,"In February 2013, Dr. Chris Hill Announced Plans To Renovate Rice-eccles Stadium. The Renovation Will Add 10,000 Seats To The Stadium And Enclose The South End Zone.",
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium. It Is Named After Robert Rice, A Health Club Pioneer From The State Of Utah Who Funded The Original Renovation Project, And Spencer Eccles, A University Of Utah Alumnus Who Donated $10 Million Toward The Major Renovation Project.",
,,,,,team_name,Washington Huskies,
,,,,,school_name,The University Of Washington,
,,,,,stadium_name,Husky Stadium,
,,,,,principal_owner,University Of Washington,
,,,,,stadium_date_built,1920,
,,,,,facility_cost,"$600,000 ",
,,,,,facility_financing,"A Student Fund Drive, In Which Students And Businessmen Sold Plaques At $50 And $100 Levels, Provided The Capital Necessary To Get The Construction Project Off The Ground.",
,,,,,team_stadium_update,"In The Middle Of A Three-year Renovation Project, Ad Scott Woodward Announced In Early 2013 That The Project Was On Time And On Budget. The Goal Is Still To Finish The Renovations Before The 2013 Season With No Public Event Scheduled Until Uw Opens Their Season Against Boise State On August 31. In Addition, The Football Operations Facilities Has Been Finalized At 80,000 Square Feet.",
,,,,,naming_rights,The University Owns The Naming Rights To The Stadium But Is In The Market For A Sponsor To Collect Revenue For The Stadium Renovations.,
,,,,,team_name,Washington State Cougars,
,,,,,school_name,Washington State University,
,,,,,stadium_name,Martin Stadium,
,,,,,principal_owner,Washington State University,
,,,,,team_stadium_update,"Construction Continued In Early 2013 On The New Football Operations Building. Once The Building Is Complete, Construction Will Move To The Football Stadium. This Phase Will See Renovations To The Weight Rooms, Locker Rooms, And The Equipment Room. The School Also Announced That The Scoreboard Would Be Relocated To The East Side Of The Field.",
,,,,,naming_rights,"The Stadium, Which Has Had Several Different Names Throughout Its History, Is Now Named After Clarence Martin, Former Governor Of Washington State Because His Son, Dan Martin, Gave The Team $250,000 In A Funding Project. Washington State Owns The Naming Rights.",
,,,,,cfb_conference,Southeastern Conference,
,,,,,team_name,Alabama Crimson Tide,
,,,,,school_name,University Of Alabama,
,,,,,stadium_name,Bryant-denny Stadium,
,,,,,principal_owner,University Of Alabama,
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium And It Is Named After Two Alabama Greats. The First Is Paul W. Bryant, For His Winning Tradition As A Coach At Alabama. The Second Individual Is George Denny, Former University Of Alabama President.",
,,,,,team_name,Arkansas Razorbacks,
,,,,,school_name,University Of Arkansas,
,,,,,stadium_name,Donald W. Reynolds Razorback Stadium,
,,,,,principal_owner,University Of Arkansas,
,,,,,stadium_date_built,1938,
,,,,,facility_cost,"$492,000 ",
,,,,,facility_financing,The Stadium Was Financed Under President Rooseveltâ€™s New Deal.,
,,,,,team_stadium_update,"In November 2012, The School Announced That They Had Commissioned A Study Regarding The Expansion Of The North End Zone Seating Area. An Additional Concourse Behind The New Seating Is Also Planned. Early Estimates Have The Renovation Project Between $78 And $95 Million In Costs.",
,,,,,naming_rights,"The Stadium Is Named After The Donald Reynolds Foundation, Which Donated $20 Million For The 2001 Renovation That Added Roughly 20,000 Seats To The Stadium. The University Still Owns The Naming Rights.",
,,,,,team_name,Auburn Tigers,
,,,,,school_name,Auburn University,
,,,,,stadium_name,Jordan-hare Stadium,
,,,,,principal_owner,Auburn University,
,,,,,naming_rights,"The Stadium Is Named For James Ralph ""shug"" Jordan, Auburn's Winningest Football Coach, And Clifford Leroy Hare, A Member Of Auburn's First Football Team, President Of The Old Southern Conference, And Longtime Chairman Of Auburn's Faculty Athletic Committee. Legendary Coach Pat Dye Has Also Had His Name Forever Attached To Jordan-hare Stadium, As The Turf Officially Became Known As Pat Dye Field At Jordan-hare Stadium Prior To The 2005 Iron Bowl. Dye, Who Served As Head Coach And Athletics Director At Auburn From 1981-92 And Was Inducted Into The College Football Hall Of Fame In December 2005, Led Auburn To A 99-39-4 Record And Four Sec Championships In His Twelve Seasons.",
,,,,,team_name,Florida Gators,
,,,,,school_name,University Of Florida,
,,,,,stadium_name,Ben Hill Griffin Stadium (â€œthe Swampâ€ù),
,,,,,principal_owner,University Of Florida,
,,,,,facility_cost,"$118,000 ",
,,,,,facility_financing,"The University Committee Took Out $118,000 In Personal Loans To Cover The Costs Of The Original Building During The Great Depression. Initially They Had Hoped For All Public Funding, But The Funds Were Not Provided Because The Public Felt That A Stadium Was Unnecessary At That Time.",
,,,,,team_stadium_update,"Upgrades To West Concourse Were Completed In Late 2012. The Concourse And Concession Areas Were Widened, And New Concession Areas Were Set Up To Provide For More Food Options.",
,,,,,naming_rights,"The Stadium Was Renamed In 1930 In Honor Of Citrus Tycoon Ben Hill Griffin, Jr., An Alumnus And Major Benefactor Of The University And Its Sports Programs.",
,,,,,team_name,Georgia Bulldogs,
,,,,,school_name,University Of Georgia,
,,,,,stadium_name,Sanford Stadium,
,,,,,principal_owner,University Of Georgia,
,,,,,facility_cost,"$360,000 ",
,,,,,facility_financing,"Dr. Steadman Vincent Sanford Had An Idea To Have Members Of The Athletic Association Sign Notes Guaranteeing A Bank Loan To Fund The Stadium Construction. The Guarantors Would Be Granted Lifetime Seats. The Response Was Overwhelming, And In 1928 A Loan Of $150,000 Supported By Fans And Alumni Allowed Construction To Begin On A Stadium.",
,,,,,team_stadium_update,"In May 2013, The University Approved $2.18 Million In Renovations To Sanford Stadium. Previously, The Outgoing University President Michael Adams Stated That If Renovations Should Take Place In The Future, It Should Only Be Done To The East Grandstands. These Remarks Are Notable Because The West End Is Also Quite Open. The Former President Noted That The West Side Should Not Be Enclosed, As The View Into Campus Is A Powerful Statement About The University.",
,,,,,naming_rights,"Georgia Owns The Naming Rights To The Stadium And It Is Named After The Late Dr. Steadman Vincent Sanford, Former President Of The University And Chancellor Of The University System Of Georgia.",
,,,,,team_name,Kentucky Wildcats,
,,,,,school_name,University Of Kentucky,
,,,,,year_team_established,1881,
,,,,,stadium_name,Commonwealth Stadium,
,,,,,principal_owner,University Of Kentucky,
,,,,,stadium_date_built,1973,
,,,,,facility_cost,$12 Million,
,,,,,facility_financing,"The Facility Was Made Possible Thanks To A $12 Million Donation By The Construction Firm Of Huber, Hunt, And Nichols.",
,,,,,team_stadium_update,Kentucky Governor Steve Beshear Signed Into Law A Bill Approving Building Upgrades At State Universities In Early 2013. Included In The Bill Is An Earmarked $110 Million For Renovation To Commonwealth Stadium. There Are Still No Concrete Plans For The Future Renovations.,
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium, Which Is Named For The Commonwealth Of Kentucky.",
,,,,,team_name,Lsu Tigers,
,,,,,school_name,Louisiana State University,
,,,,,stadium_name,Tiger Stadium (â€œdeath Valleyâ€ù),
,,,,,principal_owner,Louisiana State University,
,,,,,team_stadium_update,"In September 2012, Lsu Replaced Lights On The Outside FaÃ§ade To Match The Scoreboard That Was Replaced In 2009. Instead Of White Lights, The Lights Alternate Between Purple And Gold (which Happen To Be The Teams Official Colors). Also In 2012, Plans For An Expansion To Tiger Stadium Continued As A State-financing Panel Approved The Addition Of New Seats To Tiger Stadium.",
,,,,,naming_rights,Lsu Owns The Naming Rights To The Stadium And It Is Named After The Team Nickname.,
,,,,,team_name,Mississippi State Bulldogs,
,,,,,school_name,Mississippi State University,
,,,,,stadium_name,Davis Wade Stadium At Scott Field,
,,,,,principal_owner,Mississippi State University,
,,,,,stadium_date_built,1914,
,,,,,facility_financing,"100% University Financed Through Student, Faculty, And Donor Gifts.",
,,,,,team_name,Missouri Tigers,
,,,,,school_name,University Of Missouri,
,,,,,stadium_name,Faurot Field At Memorial Stadium (â€œthe Zouâ€ù),
,,,,,principal_owner,University Of Missouri,
,,,,,facility_cost,"$350,000 ",
,,,,,facility_financing,"The Stadium Cost $350,000 And Was Financed Through Stadium Bonds That Were Paid Off From Revenues Generated From Don Faurotâ€™s Powerhouse Split â€œtâ€ù Teams Of The 1930â€™s And 1940â€™s.",
,,,,,team_stadium_update,"In 2012, Missouri Announced Renovations To Faurot Field. The Plan Is To Add 6,000 Seats And Renovate The Press Box. Future Plans Call For The Addition Of An Upper Bowl, And An Additional 5,000 Seats. Construction Began In January Of 2013 And Is Expected To Take Eighteen Months To Complete.",
,,,,,naming_rights,The University Of Missouri Owns The Naming Rights And The Playing Field Is Named After Legendary Coach Don Faurot.,
,,,,,team_name,Ole Miss Rebels,
,,,,,school_name,University Of Mississippi,
,,,,,stadium_name,Vaught-hemingway Stadium,
,,,,,principal_owner,University Of Mississippi,
,,,,,stadium_date_built,1915,
,,,,,facility_cost,N/a,
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium. When The Stadium Opened, It Was Named For Judge William Hemingway, A Professor Of Law And Chairman Of The Universityâ€™s Committee On Athletics. On October 12, 1982, Legendary Ole Miss Coach Johnny Vaughtâ€™s Name Was Added To The Stadium.",
,,,,,team_name,South Carolina Gamecocks,
,,,,,school_name,University Of South Carolina,
,,,,,stadium_name,Williams-brice Stadium (â€œthe Cockpitâ€ù),
,,,,,principal_owner,University Of South Carolina,
,,,,,stadium_date_built,1934,
,,,,,public_financing,100%,
,,,,,facility_financing,The Stadium Was Completely Funded Under President Rooseveltâ€™s New Deal.,
,,,,,team_stadium_update,"After Finishing A Major Renovation To Increase Seating In 2012, Usc Also Replaced The Video Board. The $6.5 Million Video Board Was Installed In September 2012.",
,,,,,naming_rights,"During The 1971 Stadium Expansion, A Significant Gift From The Estate Of Mrs. Martha Williams-brice Helped Increase The Capacity Of The Stadium From 43,000 To More Than 54,000. The Name Was Officially Changed From Carolina Stadium To Williams-brice Stadium During A Dedication Ceremony Before The September 9, 1972, Home Opener Against Virginia.",
,,,,,team_name,Tennessee Volunteers,
,,,,,school_name,"University Of Tennessee, Knoxville",
,,,,,stadium_name,Neyland Stadium,
,,,,,principal_owner,State Of Tennessee,
,,,,,facility_cost,"$430,000 ",
,,,,,facility_financing,The Funding For The Stadium Was Provided By The State Of Tennessee.,
,,,,,naming_rights,"The University Owns The Naming Rights To The Stadium And It Is Named For General Robert R. Neyland, The Man Most Responsible For The Growth And Development Of Tennesseeâ€™s Proud Football Tradition. Neyland Served As Head Coach From 1926 To 1952, With Two Interruptions For Military Service.",
,,,,,team_name,Texas A&m Aggies,
,,,,,school_name,Texas A&m University,
,,,,,stadium_name,Kyle Field,
,,,,,principal_owner,Texas A&m University,
,,,,,facility_cost,"$345,000 ",
,,,,,team_stadium_update,"In 2013, The Universityâ€™s Board Of Regents Approved A $450 Million Renovation Plan To Improve Kyle Field And Make It The Largest Capacity Stadium In The Sec, Seating Over 102,000. The Renovations Will Be Completed In Two Phases Beginning In November Of 2013 And 2014, Respectively, And Is Scheduled To Be Completed Before The 2015 Season Begins. The Renovations Will Not Displace The Aggies From Kyle Field During Construction.",
,,,,,naming_rights,"Texas A&m Owns The Naming Rights To The Stadium. The Stadium Was Named After Edwin James Kyle, Who Served As A Dean And Athletic Council President.",
,,,,,team_name,Vanderbilt Commodores,
,,,,,school_name,Vanderbilt University,
,,,,,stadium_name,Vanderbilt Stadium,
,,,,,principal_owner,Vanderbilt University,
,,,,,team_stadium_update,"In Early 2013, The Athletics Department Surveyed Fans To Gauge The Interest Of Stadium Renovations. The Survey Asked The Fans To â€œput A Price On Footballâ€ù In Order To Determine What Fans Care Most About In Their Stadium. This Survey Is The First Step In Seeking Massive Renovations Of Vanderbilt Stadium.",
,,,,,naming_rights,Vanderbilt Owns The Naming Rights To The Stadium.,
,,,,,cfb_conference,Sun Belt Conference,
,,,,,team_name,Arkansas State Red Wolves,
,,,,,school_name,Arkansas State University,
,,,,,stadium_name,Liberty Bank Stadium,
,,,,,principal_owner,Arkansas State University,
,,,,,stadium_date_built,1974,
,,,,,public_financing,44%,
,,,,,facility_financing,"The Original Cost Of The Stadium Was $2.5 Million, $1.4 Million Of Which Was Raised By Friends And Alumni. The State Provided The Rest Of The Money.",
,,,,,team_stadium_update,"In September 2012, Asu Officials Announced A $22 Million Renovation Project To The North End Zone. The Project Consists Of Building A New State-of-the-art Football Operations Facility. New Locker Rooms And A Training Field Will Be Located Inside The Building.",
,,,,,naming_rights,"In September 2012, Asu Announced A $5 Million Naming-rights Donation From Liberty Bank.",
,,,,,team_name,Louisianaâ€“lafayette Raginâ€™ Cajuns,
