id_sport,id_division,id_conference,team_name,,variable,value,Column
,,,,,naming_rights,H.J. Heinz Bought The Exclusive Naming Rights For The Steelersâ€™ Home Field For $57 Million. The Deal Expires In 2021 And Has An Average Annual Payout Of $2.9 Million.,
,,,,,team_name,Syracuse Orange,
,,,,,school_name,Syracuse University,
,,,,,stadium_name,Carrier Dome (â€œthe Loud Houseâ€ù),
,,,,,principal_owner,Syracuse University,
,,,,,stadium_date_built,1980,
,,,,,facility_cost,$28 Million,
,,,,,facility_financing,100% Private Donations And Contributions,
,,,,,team_stadium_update,"Syracuse University Completed Renovations To The Carrier Dome Before The Start Of The 2012 Football Season. Most Notably, The School Added Two Large Video Screens To Both Ends Of The Stadium. In Addition, Wireless Technology Was Added Throughout The Stadium. In April 2012, The School Announced That The Locker Rooms Would Be Upgraded And A Cafeteria Would Be Added. The Student-athlete Lounge Will Also Be Remodeled. In Totality, The Renovation Is Expected To Cost Around $5 Million.",
,,,,,naming_rights,The Carrier Corporation Made A $2.75 Million Naming Gift.,
,,,,,team_name,Virginia Cavaliers,
,,,,,school_name,The University Of Virginia,
,,,,,stadium_name,"Carl Smith Center, Home Of David A. Harrison Iii Field At Scott Stadium",
,,,,,principal_owner,The University Of Virginia,
,,,,,stadium_date_built,1931,
,,,,,facility_cost,"$300,000; $86 Million In Renovations",
,,,,,facility_financing,The University Of Virginia Completely Financed Scott Stadium.,
,,,,,naming_rights,"The Official Name Of The Field And Stadium Is The Carl Smith Center, Home Of David A. Harrison Iii Field At Scott Stadium. Scott Stadium Bears The Name Of The Donor And University Rector Frederic Scott. David A. Harrison Iii Provided A Gift Allowing Natural Grass To Be Reinstalled In The Stadium. The University Owns The Naming Rights To The Stadium.",
,,,,,team_name,Virginia Tech Hokies,
,,,,,school_name,Virginia Polytechnic Institute And State University,
,,,,,stadium_name,Lane Stadium,
,,,,,principal_owner,Virginia Tech,
,,,,,facility_cost,$3.5 Million,
