,Sport,School_ID,Year,Number,Player,Last_Name,First_Name,Position,Height,Weight,Class,Hometown,City,State,High_School,Prior_College,URL,Height_Inches
39,FBALL,OKState,2012-2013,13,David Glidden,Glidden,David,IR,5'7'',171,RS FR,"Mustang, OK",Mustang,OK,Mustang,,http://www.okstate.com/sports/m-footbl/mtt/david_glidden_761762.html,67
40,FBALL,OKState,2012-2013,64,Michael Glover,Glover,Michael,DE,6'3'',247,SO,"Oklahoma City, OK",Oklahoma City,OK,Westmoore,Colorado School of Mines,http://www.okstate.com/sports/m-footbl/mtt/michael_glover_796927.html,75
41,FBALL,OKState,2012-2013,15,John Goodlett,Goodlett,John,IR,5'10'',185,JR,"Tulsa, OK",Tulsa,OK,Owasso,Indiana State,http://www.okstate.com/sports/m-footbl/mtt/john_goodlett_797954.html,70
42,FBALL,OKState,2012-2013,71,Parker Graham,Graham,Parker,OL,6'7'',315,JR,"Webb City, MO",Webb City,MO,Webb City,,http://www.okstate.com/sports/m-footbl/mtt/parker_graham_440414.html,79
43,FBALL,OKState,2012-2013,29,Cameron Gravelle,Gravelle,Cameron,WR,6'1'',185,SO,"Austin, TX",Austin,TX,Anderson,,http://www.okstate.com/sports/m-footbl/mtt/cameron_gravelle_748354.html,73
44,FBALL,OKState,2012-2013,49,Matt Green,Green,Matt,K,6'1'',233,RS FR,"Lexington, KY",Lexington,KY,Lafayette,,http://www.okstate.com/sports/m-footbl/mtt/matt_green_761768.html,73
45,FBALL,OKState,2012-2013,75,Chris Grisbhy,Grisbhy,Chris,OL,6'5'',315,SO,"Clute, TX",Clute,TX,Brazoswood,Blinn CC,http://www.okstate.com/sports/m-footbl/mtt/chris_grisbhy_804117.html,77
46,FBALL,OKState,2012-2013,39,Wes Harlan,Harlan,Wes,K,5'7'',178,SR,"Houston, TX",Houston,TX,Langham Creek,,http://www.okstate.com/sports/m-footbl/mtt/wes_harlan_423517.html,67
47,FBALL,OKState,2012-2013,40,Beniah Harrigan,Harrigan,Beniah,FB,6'1'',225,FR,"Piscataway, NJ",Piscataway,NJ,Piscataway,,http://www.okstate.com/sports/m-footbl/mtt/beniah_harrigan_819723.html,73
48,FBALL,OKState,2012-2013,93,Maurice Hayes,Hayes,Maurice,DT,6'3'',305,SR,"Rome, GA",Rome,GA,Pepperell,Bakersfield CC,http://www.okstate.com/sports/m-footbl/mtt/maurice_hayes_748356.html,75
49,FBALL,OKState,2012-2013,84,Austin Hays,Hays,Austin,WR,6'2'',170,FR,"San Antonio, TX",San Antonio,TX,Ronald Reagan,,http://www.okstate.com/sports/m-footbl/mtt/austin_hays_804120.html,74
50,FBALL,OKState,2012-2013,18,Devin Hedgepeth,Hedgepeth,Devin,CB,5'11'',185,JR,"Derby, KS",Derby,KS,Derby,,http://www.okstate.com/sports/m-footbl/mtt/devin_hedgepeth_601865.html,71
51,FBALL,OKState,2012-2013,63,Hunter Higgins,Higgins,Hunter,OL,6'2'',280,FR,"Amarillo, TX",Amarillo,TX,Tascosa,,http://www.okstate.com/sports/m-footbl/mtt/hunter_higgins_804201.html,74
52,FBALL,OKState,2012-2013,14,Justin Horton,Horton,Justin,TE,6'3'',254,SR,"Henderson, TX",Henderson,TX,Henderson,,http://www.okstate.com/sports/m-footbl/mtt/justin_horton_410837.html,75
53,FBALL,OKState,2012-2013,62,Orlando Hudson,Hudson,Orlando,OL,6'4'',319,SR,"Purcell, OK",Purcell,OK,Purcell,Central Oklahoma,http://www.okstate.com/sports/m-footbl/mtt/orlando_hudson_775610.html,76
54,FBALL,OKState,2012-2013,28,Deion Imade,Imade,Deion,S,5'11'',200,JR,"Rowlett, TX",Rowlett,TX,Rowlett,,http://www.okstate.com/sports/m-footbl/mtt/deion_imade_652805.html,71
55,FBALL,OKState,2012-2013,87,Victor Irokansi,Irokansi,Victor,DE,6'3'',240,FR,"Pflugerville, TX",Pflugerville,TX,Hendrickson,,http://www.okstate.com/sports/m-footbl/mtt/victor_irokansi_804124.html,75
56,FBALL,OKState,2012-2013,18,Blake Jackson,Jackson,Blake,TE,6'3'',235,JR,"Gilbert, AZ",Gilbert,AZ,Gilbert,Scottsdale CC,http://www.okstate.com/sports/m-footbl/mtt/blake_jackson_796936.html,75
57,FBALL,OKState,2012-2013,10,Seth Jacobs,Jacobs,Seth,LB,6'2'',215,FR,"Arroyo Grande, CA",Arroyo Grande,CA,Arroyo Grande,,http://www.okstate.com/sports/m-footbl/mtt/seth_jacobs_804127.html,74
58,FBALL,OKState,2012-2013,47,Blake Jarwin,Jarwin,Blake,TE,6'5'',225,FR,"Tuttle, OK",Tuttle,OK,Tuttle,,http://www.okstate.com/sports/m-footbl/mtt/blake_jarwin_819728.html,77
59,FBALL,OKState,2012-2013,12,Elliott Jeffcoat,Jeffcoat,Elliott,S,5'10'',176,SO,"Batesburg-Leesville, SC",Batesburg-Leesville,SC,High,,http://www.okstate.com/sports/m-footbl/mtt/elliott_jeffcoat_748358.html,70
60,FBALL,OKState,2012-2013,54,Jake Jenkins,Jenkins,Jake,OL,6'3'',290,SO,"Gilmer, TX",Gilmer,TX,Gilmer,,http://www.okstate.com/sports/m-footbl/mtt/jake_jenkins_725669.html,75
61,FBALL,OKState,2012-2013,27,Lyndell Johnson,Johnson,Lyndell,LB,6'3'',210,SO,"Plano, TX",Plano,TX,East,,http://www.okstate.com/sports/m-footbl/mtt/lyndell_johnson_761775.html,75
62,FBALL,OKState,2012-2013,39,Teddy Johnson,Johnson,Teddy,FB,5'11'',220,SO,"Coppell, TX",Coppell,TX,Coppell,,http://www.okstate.com/sports/m-footbl/mtt/teddy_johnson_713805.html,71
63,FBALL,OKState,2012-2013,19,Trey Johnson,Johnson,Trey,WR,5'8'',167,FR,"Garland, TX",Garland,TX,Naaman Forest,,http://www.okstate.com/sports/m-footbl/mtt/trey_johnson_819704.html,68
64,FBALL,OKState,2012-2013,40,Tyler Johnson,Johnson,Tyler,DE,6'1'',240,JR,"Haskell, OK",Haskell,OK,Haskell,,http://www.okstate.com/sports/m-footbl/mtt/tyler_johnson_716163.html,73
65,FBALL,OKState,2012-2013,24,Miketavius Jones,Jones,Miketavius,CB,5'10'',170,RS FR,"Houston, TX",Houston,TX,North Shore,,http://www.okstate.com/sports/m-footbl/mtt/miketavius_jones_767806.html,70
66,FBALL,OKState,2012-2013,58,Jarid King,King,Jarid,DT,6'1'',250,SR,"Dallas, TX",Dallas,TX,Plano West,,http://www.okstate.com/sports/m-footbl/mtt/jarid_king_423397.html,73
67,FBALL,OKState,2012-2013,27,Michael Knight,Knight,Michael,WR,6'1'',175,FR,"Fort Smith, AR",Fort Smith,AR,Southside,,http://www.okstate.com/sports/m-footbl/mtt/michael_knight_819709.html,73
68,FBALL,OKState,2012-2013,58,Daniel Koenig,Koenig,Daniel,OL,6'6'',310,SO,"Cape Coral, FL",Cape Coral,FL,Cape Coral,,http://www.okstate.com/sports/m-footbl/mtt/daniel_koenig_652845.html,78
69,FBALL,OKState,2012-2013,6,Ashton Lampkin,Lampkin,Ashton,S,5'11'',175,FR,"Arlington, TX",Arlington,TX,Dunbar,,http://www.okstate.com/sports/m-footbl/mtt/ashton_lampkin_804165.html,71
70,FBALL,OKState,2012-2013,45,Caleb Lavey,Lavey,Caleb,LB,6'3'',240,JR,"Celina, TX",Celina,TX,Celina,,http://www.okstate.com/sports/m-footbl/mtt/caleb_lavey_601885.html,75
71,FBALL,OKState,2012-2013,49,Ryan Lester,Lester,Ryan,LB,5'10'',215,RS FR,"Muskogee, OK",Muskogee,OK,Muskogee,,http://www.okstate.com/sports/m-footbl/mtt/ryan_lester_819730.html,70
72,FBALL,OKState,2012-2013,57,Paul Lewis,Lewis,Paul,OL,6'3'',290,FR,"Houston, TX",Houston,TX,North Shore,,http://www.okstate.com/sports/m-footbl/mtt/paul_lewis_804167.html,75
73,FBALL,OKState,2012-2013,11,Shaun Lewis,Lewis,Shaun,LB,5'11'',225,JR,"Missouri City, TX",Missouri City,TX,Hightower,,http://www.okstate.com/sports/m-footbl/mtt/shaun_lewis_652846.html,71
74,FBALL,OKState,2012-2013,72,Christian Littlehead,Littlehead,Christian,DT,6'2'',305,SO,"Broken Arrow, OK",Broken Arrow,OK,Sequoyah,,http://www.okstate.com/sports/m-footbl/mtt/christian_littlehead_652865.html,74
75,FBALL,OKState,2012-2013,8,Daytawion Lowe,Lowe,Daytawion,S,5'11'',205,JR,"Midwest City, OK",Midwest City,OK,Carl Albert,,http://www.okstate.com/sports/m-footbl/mtt/daytawion_lowe_440449.html,71
76,FBALL,OKState,2012-2013,11,Wes Lunt,Lunt,Wes,QB,6'4'',211,FR,"Rochester, IL",Rochester,IL,Rochester,,http://www.okstate.com/sports/m-footbl/mtt/wes_lunt_796929.html,76
77,FBALL,OKState,2012-2013,16,Andrae May,May,Andrae,CB,6'1'',195,SR,"Houston, TX",Houston,TX,North Shore,,http://www.okstate.com/sports/m-footbl/mtt/andrae_may_440454.html,73
78,FBALL,OKState,2012-2013,88,Taylor May,May,Taylor,DE,6'2'',240,RS FR,"Plano, TX",Plano,TX,Plano,,http://www.okstate.com/sports/m-footbl/mtt/taylor_may_764706.html,74
79,FBALL,OKState,2012-2013,36,Nate Miller,Miller,Nate,IR,5'10'',175,RS FR,"Lawton, OK",Lawton,OK,MacArthur,,http://www.okstate.com/sports/m-footbl/mtt/nate_miller_796931.html,70
80,FBALL,OKState,2012-2013,29,Joe Mitchell,Mitchell,Joe,LB,6'3'',225,JR,"Katy, TX",Katy,TX,Morton Ranch,,http://www.okstate.com/sports/m-footbl/mtt/joe_mitchell_601905.html,75
81,FBALL,OKState,2012-2013,17,Charlie Moore,Moore,Charlie,WR,6'2'',202,JR,"Bullard, TX",Bullard,TX,Bullard,,http://www.okstate.com/sports/m-footbl/mtt/charlie_moore_440479.html,74
82,FBALL,OKState,2012-2013,87,Tracy Moore,Moore,Tracy,WR,6'2'',215,SR,"Tulsa, OK",Tulsa,OK,Union,,http://www.okstate.com/sports/m-footbl/mtt/tracy_moore_440482.html,74
