"","League","Season","GameDate","GameID","BoxScoreURL","PlayByPlayURL","HomeNameFull","HomeName3","AwayNameFull","AwayName3","HaveBoxScore","HavePlayByPlay","AnalyzedPlayByPlay","Source","Season.Type"
"15","NBA","2007 playoffs",2007-04-25,"20070425WASCLE","http://www.nba.com/games/20070425/WASCLE/boxscore.html","http://www.nba.com/games/20070425/WASCLE/playbyplay.html","Cleveland Cavaliers","CLE","Washington Wizards","WAS","NULL",2007-09-12,2008-12-09,"Basketball Value","Playoffs"
"16","NBA","2007 playoffs",2007-04-25,"20070425GSWDAL","http://www.nba.com/games/20070425/GSWDAL/boxscore.html","http://www.nba.com/games/20070425/GSWDAL/playbyplay.html","Dallas Maverics","DAL","Golden State Warriors","GSW","NULL",2007-09-12,2008-12-09,"Basketball Value","Playoffs"
"17","NBA","2007 playoffs",2007-04-26,"20070426DETORL","http://www.nba.com/games/20070426/DETORL/boxscore.html","http://www.nba.com/games/20070426/DETORL/playbyplay.html","Orlando Magic","ORL","Detroit Pistons","DET","NULL",2007-10-25,2008-12-09,"Basketball Value","Playoffs"
"18","NBA","2007 playoffs",2007-04-26,"20070426HOUUTA","http://www.nba.com/games/20070426/HOUUTA/boxscore.html","http://www.nba.com/games/20070426/HOUUTA/playbyplay.html","Utah Jazz","UTA","Houston Rockets","HOU","NULL",2007-10-25,2008-12-09,"Basketball Value","Playoffs"
"19","NBA","2007 playoffs",2007-04-26,"20070426PHXLAL","http://www.nba.com/games/20070426/PHXLAL/boxscore.html","http://www.nba.com/games/20070426/PHXLAL/playbyplay.html","Los Angeles Lakers","LAL","Phoenix Suns","PHX","NULL",2007-10-25,2008-12-09,"Basketball Value","Playoffs"
"20","NBA","2007 playoffs",2007-04-27,"20070427TORNJN","http://www.nba.com/games/20070427/TORNJN/boxscore.html","http://www.nba.com/games/20070427/TORNJN/playbyplay.html","New Jersey Nets","NJN","Toronto Raptors","TOR","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"21","NBA","2007 playoffs",2007-04-27,"20070427CHIMIA","http://www.nba.com/games/20070427/CHIMIA/boxscore.html","http://www.nba.com/games/20070427/CHIMIA/playbyplay.html","Miami Heat","MIA","Chicago Bulls","CHI","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"22","NBA","2007 playoffs",2007-04-27,"20070427DALGSW","http://www.nba.com/games/20070427/DALGSW/boxscore.html","http://www.nba.com/games/20070427/DALGSW/playbyplay.html","Golden State Warriors","GSW","Dallas Maverics","DAL","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"23","NBA","2007 playoffs",2007-04-28,"20070428DETORL","http://www.nba.com/games/20070428/DETORL/boxscore.html","http://www.nba.com/games/20070428/DETORL/playbyplay.html","Orlando Magic","ORL","Detroit Pistons","DET","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"24","NBA","2007 playoffs",2007-04-28,"20070428CLEWAS","http://www.nba.com/games/20070428/CLEWAS/boxscore.html","http://www.nba.com/games/20070428/CLEWAS/playbyplay.html","Washington Wizards","WAS","Cleveland Cavaliers","CLE","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"25","NBA","2007 playoffs",2007-04-28,"20070428SASDEN","http://www.nba.com/games/20070428/SASDEN/boxscore.html","http://www.nba.com/games/20070428/SASDEN/playbyplay.html","Denver Nuggets","DEN","San Antonio Spurs","SAS","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"26","NBA","2007 playoffs",2007-04-28,"20070428HOUUTA","http://www.nba.com/games/20070428/HOUUTA/boxscore.html","http://www.nba.com/games/20070428/HOUUTA/playbyplay.html","Utah Jazz","UTA","Houston Rockets","HOU","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"27","NBA","2007 playoffs",2007-04-29,"20070429CHIMIA","http://www.nba.com/games/20070429/CHIMIA/boxscore.html","http://www.nba.com/games/20070429/CHIMIA/playbyplay.html","Miami Heat","MIA","Chicago Bulls","CHI","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"28","NBA","2007 playoffs",2007-04-29,"20070429PHXLAL","http://www.nba.com/games/20070429/PHXLAL/boxscore.html","http://www.nba.com/games/20070429/PHXLAL/playbyplay.html","Los Angeles Lakers","LAL","Phoenix Suns","PHX","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"29","NBA","2007 playoffs",2007-04-29,"20070429TORNJN","http://www.nba.com/games/20070429/TORNJN/boxscore.html","http://www.nba.com/games/20070429/TORNJN/playbyplay.html","New Jersey Nets","NJN","Toronto Raptors","TOR","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"30","NBA","2007 playoffs",2007-04-29,"20070429DALGSW","http://www.nba.com/games/20070429/DALGSW/boxscore.html","http://www.nba.com/games/20070429/DALGSW/playbyplay.html","Golden State Warriors","GSW","Dallas Maverics","DAL","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"31","NBA","2007 playoffs",2007-04-30,"20070430CLEWAS","http://www.nba.com/games/20070430/CLEWAS/boxscore.html","http://www.nba.com/games/20070430/CLEWAS/playbyplay.html","Washington Wizards","WAS","Cleveland Cavaliers","CLE","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"32","NBA","2007 playoffs",2007-04-30,"20070430UTAHOU","http://www.nba.com/games/20070430/UTAHOU/boxscore.html","http://www.nba.com/games/20070430/UTAHOU/playbyplay.html","Houston Rockets","HOU","Utah Jazz","UTA","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"33","NBA","2007 playoffs",2007-04-30,"20070430SASDEN","http://www.nba.com/games/20070430/SASDEN/boxscore.html","http://www.nba.com/games/20070430/SASDEN/playbyplay.html","Denver Nuggets","DEN","San Antonio Spurs","SAS","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"34","NBA","2007 playoffs",2007-05-01,"20070501NJNTOR","http://www.nba.com/games/20070501/NJNTOR/boxscore.html","http://www.nba.com/games/20070501/NJNTOR/playbyplay.html","Toronto Raptors","TOR","New Jersey Nets","NJN","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"35","NBA","2007 playoffs",2007-05-01,"20070501GSWDAL","http://www.nba.com/games/20070501/GSWDAL/boxscore.html","http://www.nba.com/games/20070501/GSWDAL/playbyplay.html","Dallas Maverics","DAL","Golden State Warriors","GSW","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"36","NBA","2007 playoffs",2007-05-02,"20070502DENSAS","http://www.nba.com/games/20070502/DENSAS/boxscore.html","http://www.nba.com/games/20070502/DENSAS/playbyplay.html","San Antonio Spurs","SAS","Denver Nuggets","DEN","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
"37","NBA","2007 playoffs",2007-05-02,"20070502LALPHX","http://www.nba.com/games/20070502/LALPHX/boxscore.html","http://www.nba.com/games/20070502/LALPHX/playbyplay.html","Phoenix Suns","PHX","Los Angeles Lakers","LAL","NULL",2007-10-26,2008-12-09,"Basketball Value","Playoffs"
