id,university,season,school_year,sport,revenue_thousands,expense_thousands,profit_thousands,athletes,revenue_athlete,expense_athlete,profit_athlete
564,Stephen F Austin State University,2000,2000-2001,Football,1405.29,1405.29,0,108,13011.94,13011.94,0
565,Sterling College,2000,2000-2001,Football,14.41,112.72,-98.32,67,215.07,1682.39,-1467.46
566,Stonehill College,2000,2000-2001,Football,181.05,173.2,7.85,39,4642.31,4441.03,201.28
567,Sul Ross State University,2000,2000-2001,Football,77.42,72.39,5.04,90,860.22,804.33,56
568,Suny at Albany,2000,2000-2001,Football,178.73,117.85,60.88,82,2179.63,1437.2,742.44
569,Suny at Buffalo,2000,2000-2001,Football,771.1,2459.56,-1688.46,104,7414.42,23649.62,-16235.19
570,Suny at Stony Brook,2000,2000-2001,Football,199.56,524.2,-324.65,82,2433.66,6392.68,-3959.15
571,Suny College at Brockport,2000,2000-2001,Football,95.47,173.73,-78.25,109,875.87,1593.85,-717.89
572,Suny College at Buffalo,2000,2000-2001,Football,214.98,238.01,-23.03,92,2336.74,2587.07,-250.33
573,Suny College at Cortland,2000,2000-2001,Football,90.95,84.52,6.44,65,1399.23,1300.31,99.08
574,Suny College of Agric And Techn at Morrisville,2000,2000-2001,Football,0,52.32,-52.32,90,0,581.33,-581.33
575,Suny College of Technology at Alfred,2000,2000-2001,Football,88.16,130.48,-42.33,72,1224.44,1812.22,-587.92
576,Suny College of Technology at Canton,2000,2000-2001,Football,43.29,43.77,-0.48,61,709.67,717.54,-7.87
577,Susquehanna University,2000,2000-2001,Football,183.44,142.22,41.23,68,2697.65,2091.47,606.32
578,Swarthmore College,2000,2000-2001,Football,220.41,179.8,40.61,53,4158.68,3392.45,766.23
579,Syracuse University,2000,2000-2001,Football,14537.7,12753.73,1783.97,100,145377,127537.3,17839.7
580,Tabor College,2000,2000-2001,Football,18.81,338.94,-320.13,69,272.61,4912.17,-4639.57
581,Tarleton State University,2000,2000-2001,Football,448.65,452.76,-4.11,91,4930.22,4975.38,-45.16
582,Taylor University-Upland,2000,2000-2001,Football,27.82,403.76,-375.94,64,434.69,6308.75,-5874.06
583,Temple University,2000,2000-2001,Football,3714.33,6042.2,-2327.87,108,34391.94,55946.3,-21554.35
584,Tennessee State University,2000,2000-2001,Football,2933.78,2655.16,278.62,108,27164.63,24584.81,2579.81
585,Tennessee Technological University,2000,2000-2001,Football,323.75,908.11,-584.36,101,3205.45,8991.19,-5785.74
586,Texas A & M University,2000,2000-2001,Football,21372.95,10144.89,11228.06,125,170983.6,81159.12,89824.48
587,Texas A & M University-Commerce,2000,2000-2001,Football,148.4,570.69,-422.3,130,1141.54,4389.92,-3248.46
588,Texas A & M University-Kingsville,2000,2000-2001,Football,481.22,487.64,-6.41,85,5661.41,5736.94,-75.41
589,Texas Christian University,2000,2000-2001,Football,2237.38,5349.43,-3112.06,124,18043.39,43140.56,-25097.26
590,Texas Lutheran University,2000,2000-2001,Football,19.36,207.55,-188.2,93,208.17,2231.72,-2023.66
591,Texas Tech University,2000,2000-2001,Football,11205.44,7478.48,3726.96,135,83003.26,55396.15,27607.11
592,Thaddeus Stevens College of Technology,2000,2000-2001,Football,64.35,63.55,0.81,65,990,977.69,12.46
593,The College of New Jersey,2000,2000-2001,Football,13.14,181.83,-168.69,74,177.57,2457.16,-2279.59
594,The University of Findlay,2000,2000-2001,Football,14.96,925.23,-910.27,101,148.12,9160.69,-9012.57
595,The University of Montana-Missoula,2000,2000-2001,Football,2669.11,1841.74,827.37,112,23831.34,16444.11,7387.23
596,The University of Tennessee,2000,2000-2001,Football,35080,9965.96,25114.05,134,261791.04,74372.84,187418.28
597,The University of Tennessee-Chattanooga,2000,2000-2001,Football,363.42,1507.75,-1144.33,102,3562.94,14781.86,-11218.92
598,The University of Tennessee-Martin,2000,2000-2001,Football,85.25,849.3,-764.05,69,1235.51,12308.7,-11073.19
599,The University of Texas at Austin,2000,2000-2001,Football,25605.29,10291.09,15314.2,111,230678.29,92712.52,137965.77
600,The University of Texas at El Paso,2000,2000-2001,Football,3193.92,3391.93,-198.01,110,29035.64,30835.73,-1800.09
601,Thiel College,2000,2000-2001,Football,134.37,144.27,-9.9,84,1599.64,1717.5,-117.86
602,Thomas More College,2000,2000-2001,Football,48.35,173.63,-125.28,97,498.45,1790,-1291.55
603,Tiffin University,2000,2000-2001,Football,3.79,636.8,-633.01,121,31.32,5262.81,-5231.49
604,Towson University,2000,2000-2001,Football,110.16,1112.3,-1002.15,118,933.56,9426.27,-8492.8
605,Tri-State University,2000,2000-2001,Football,8,53.47,-45.47,96,83.33,556.98,-473.65
606,Trinity Bible College,2000,2000-2001,Football,0,34.76,-34.76,44,0,790,-790
607,Trinity College,2000,2000-2001,Football,242.31,227.73,14.58,79,3067.22,2882.66,184.56
608,Trinity University,2000,2000-2001,Football,325.71,312.21,13.5,110,2961,2838.27,122.73
609,Trinity Valley Community College,2000,2000-2001,Football,12.72,300.93,-288.21,61,208.52,4933.28,-4724.75
610,Troy State University-Main Campus,2000,2000-2001,Football,562.71,1773.68,-1210.97,130,4328.54,13643.69,-9315.15
611,Truman State University,2000,2000-2001,Football,47.1,665.27,-618.18,106,444.34,6276.13,-5831.89
612,Tufts University,2000,2000-2001,Football,148.33,148.33,0,81,1831.23,1831.23,0
613,Tulane University of Louisiana,2000,2000-2001,Football,2075.22,5698.08,-3622.86,106,19577.55,53755.47,-34177.92
614,Tusculum College,2000,2000-2001,Football,825.47,825.47,0,73,11307.81,11307.81,0
615,Tuskegee University,2000,2000-2001,Football,1090.3,1101.49,-11.18,102,10689.22,10798.92,-109.61
616,Tyler Junior College,2000,2000-2001,Football,14.77,319.78,-305.01,77,191.82,4152.99,-3961.17
617,Union College,2000,2000-2001,Football,1.25,70,-68.75,82,15.24,853.66,-838.41
618,Union College,2000,2000-2001,Football,345.75,279.97,65.78,98,3528.06,2856.84,671.22
619,United States Air Force Academy,2000,2000-2001,Football,4766.76,2685.36,2081.4,256,18620.16,10489.69,8130.47
620,United States Merchant Marine Academy,2000,2000-2001,Football,150.51,222.44,-71.93,83,1813.37,2680,-866.63
621,United States Military Academy,2000,2000-2001,Football,7026.32,3728.69,3297.63,110,63875.64,33897.18,29978.45
622,University of Akron Main Campus,2000,2000-2001,Football,356.69,2807.84,-2451.15,109,3272.39,25760,-22487.61
623,University of Alabama,2000,2000-2001,Football,28908.28,1495.15,27413.13,176,164251.59,8495.17,155756.42
624,University of Alabama at Birmingham,2000,2000-2001,Football,4552.94,4552.94,0,111,41017.48,41017.48,0
625,University of Arizona,2000,2000-2001,Football,12881.05,8236.06,4644.99,113,113991.59,72885.49,41106.11
626,University of Arkansas at Monticello,2000,2000-2001,Football,17.24,418.03,-400.79,74,232.97,5649.05,-5416.08
627,University of Arkansas Main Campus,2000,2000-2001,Football,66289.84,7613.45,58676.39,125,530318.72,60907.6,469411.12
628,University of California-Berkeley,2000,2000-2001,Football,10018.08,5939.32,4078.76,118,84898.98,50333.22,34565.76
629,University of California-Davis,2000,2000-2001,Football,376.25,508.81,-132.56,117,3215.81,4348.8,-1132.99
630,University of California-Los Angeles,2000,2000-2001,Football,19785.96,14681.6,5104.35,106,186660,138505.66,48154.25
631,University of Central Arkansas,2000,2000-2001,Football,739.05,559.65,179.4,83,8904.22,6742.77,2161.45
632,University of Central Florida,2000,2000-2001,Football,1931.24,3170.11,-1238.87,131,14742.29,24199.31,-9457.02
633,University of Central Oklahoma,2000,2000-2001,Football,13.5,125,-111.5,87,155.17,1436.78,-1281.61
634,University of Chicago,2000,2000-2001,Football,312.27,312.27,0,61,5119.18,5119.18,0
635,University of Cincinnati-Main Campus,2000,2000-2001,Football,4851.2,5561.69,-710.5,104,46646.15,53477.79,-6831.73
636,University of Colorado at Boulder,2000,2000-2001,Football,14981.28,7622.36,7358.92,120,124844,63519.67,61324.33
637,University of Connecticut,2000,2000-2001,Football,1202.36,4154.81,-2952.45,99,12145.05,41967.78,-29822.73
638,University of Dayton,2000,2000-2001,Football,190.01,535.43,-345.43,114,1666.75,4696.75,-3030.09
639,University of Delaware,2000,2000-2001,Football,3747.05,2205.88,1541.17,91,41176.37,24240.44,16935.93
640,University of Dubuque,2000,2000-2001,Football,70.1,219.95,-149.85,52,1348.08,4229.81,-2881.73
641,University of Florida,2000,2000-2001,Football,30095.38,10032.04,20063.33,104,289378.65,96461.92,192916.63
642,University of Georgia,2000,2000-2001,Football,28268.22,7866.91,20401.31,121,233621.65,65015.79,168605.87
643,University of Hawaii System Office,2000,2000-2001,Football,4070.04,3345.13,724.91,120,33917,27876.08,6040.92
644,University of Houston-University Park,2000,2000-2001,Football,1949.6,4946.53,-2996.93,155,12578.06,31913.1,-19335.03
645,University of Idaho,2000,2000-2001,Football,4054.04,3140.51,913.54,115,35252.52,27308.78,7943.83
646,University of Illinois at Urbana-Champaign,2000,2000-2001,Football,13199.31,5894.72,7304.59,106,124521.79,55610.57,68911.23
647,University of Indianapolis,2000,2000-2001,Football,935.16,947.42,-12.26,86,10873.95,11016.51,-142.56
648,University of Iowa,2000,2000-2001,Football,12667.45,6278.9,6388.54,118,107351.27,53211.02,54140.17
649,University of Kansas Main Campus,2000,2000-2001,Football,7710.14,4803.33,2906.81,152,50724.61,31600.86,19123.75
650,University of Kentucky,2000,2000-2001,Football,19462.48,10392.87,9069.61,156,124759.49,66620.96,58138.53
651,University of La Verne,2000,2000-2001,Football,174.79,152.64,22.15,72,2427.64,2120,307.64
652,University of Louisiana at Lafayette,2000,2000-2001,Football,1128.41,2351.62,-1223.21,108,10448.24,21774.26,-11326.02
653,University of Louisiana at Monroe,2000,2000-2001,Football,1456.83,2130.87,-674.04,112,13007.41,19025.63,-6018.21
654,University of Louisville,2000,2000-2001,Football,13108.35,6427.77,6680.59,113,116003.1,56882.92,59120.27
655,University of Maine,2000,2000-2001,Football,947.95,1760.45,-812.5,85,11152.35,20711.18,-9558.82
656,University of Mary,2000,2000-2001,Football,7.17,40.02,-32.85,101,70.99,396.24,-325.25
657,University of Mary Hardin-Baylor,2000,2000-2001,Football,17.08,91.12,-74.03,139,122.88,655.54,-532.59
658,University of Maryland-College Park,2000,2000-2001,Football,7120.22,6809.69,310.54,112,63573.39,60800.8,2772.68
659,University of Massachusetts-Amherst,2000,2000-2001,Football,3027.09,2870.78,156.31,91,33264.73,31547.03,1717.69
660,University of Massachusetts-Boston,2000,2000-2001,Football,0.3,108.8,-108.5,44,6.82,2472.73,-2465.91
661,University of Massachusetts-Dartmouth,2000,2000-2001,Football,78.42,78.42,0,64,1225.31,1225.31,0
662,University of Massachusetts-Lowell,2000,2000-2001,Football,190.23,178.09,12.15,58,3279.83,3070.52,209.48
663,University of Memphis,2000,2000-2001,Football,4386.15,5382.48,-996.33,123,35659.76,43760,-8100.24
664,University of Miami,2000,2000-2001,Football,17146.19,12620.23,4525.96,107,160244.77,117946.07,42298.69
665,University of Michigan-Ann Arbor,2000,2000-2001,Football,22064.63,8783.59,13281.03,122,180857.62,71996.64,108860.9
666,University of Minnesota-Crookston,2000,2000-2001,Football,111.03,326.28,-215.25,86,1291.05,3793.95,-2502.91
667,University of Minnesota-Duluth,2000,2000-2001,Football,32.88,449.09,-416.22,92,357.39,4881.41,-4524.13
668,University of Minnesota-Morris,2000,2000-2001,Football,159.26,174.8,-15.54,71,2243.1,2461.97,-218.87
669,University of Minnesota-Twin Cities,2000,2000-2001,Football,10252.97,7236.99,3015.98,116,88387.67,62387.84,25999.83
670,University of Mississippi Main Campus,2000,2000-2001,Football,11416.01,6784.94,4631.07,165,69187.94,41120.85,28067.09
671,University of Missouri-Columbia,2000,2000-2001,Football,9527.39,4178.17,5349.22,114,83573.6,36650.61,46922.98
672,University of Missouri-Rolla,2000,2000-2001,Football,582.51,651.74,-69.24,99,5883.94,6583.23,-699.39
673,University of Nebraska at Kearney,2000,2000-2001,Football,176.29,481.53,-305.25,101,1745.45,4767.62,-3022.28
674,University of Nebraska at Lincoln,2000,2000-2001,Football,23492.06,7111.77,16380.29,202,116297.33,35206.78,81090.54
675,University of Nebraska at Omaha,2000,2000-2001,Football,268.44,743.25,-474.81,119,2255.8,6245.8,-3990
676,University of Nevada-Las Vegas,2000,2000-2001,Football,3158.57,4408.88,-1250.31,107,29519.35,41204.49,-11685.14
677,University of Nevada-Reno,2000,2000-2001,Football,2253.9,2808.21,-554.31,109,20677.98,25763.39,-5085.41
678,University of New Hampshire-Main Campus,2000,2000-2001,Football,1320.06,2062.05,-741.99,86,15349.53,23977.33,-8627.79
679,University of New Haven,2000,2000-2001,Football,791.16,760.52,30.64,138,5733.04,5511.01,222.03
680,University of New Mexico-Main Campus,2000,2000-2001,Football,2511.3,3459.03,-947.73,140,17937.86,24707.36,-6769.5
681,University of North Alabama,2000,2000-2001,Football,824.11,824.11,0,123,6700.08,6700.08,0
682,University of North Carolina at Chapel Hill,2000,2000-2001,Football,12243.61,8190.71,4052.9,125,97948.88,65525.68,32423.2
683,University of North Dakota-Main Campus,2000,2000-2001,Football,125.88,742.97,-617.09,94,1339.15,7903.94,-6564.79
684,University of North Texas,2000,2000-2001,Football,1409.63,2583.02,-1173.39,105,13425.05,24600.19,-11175.14
685,University of Northern Colorado,2000,2000-2001,Football,156.44,816.35,-659.91,110,1422.18,7421.36,-5999.18
686,University of Northern Iowa,2000,2000-2001,Football,929.32,288.6,640.71,92,10101.3,3136.96,6964.24
687,University of Notre Dame,2000,2000-2001,Football,43519.22,11884.95,31634.27,111,392065.05,107071.62,284993.42
688,University of Oklahoma Norman Campus,2000,2000-2001,Football,16981.19,7872.18,9109,127,133710.16,61985.67,71724.41
689,University of Oregon,2000,2000-2001,Football,14740.14,7942.89,6797.24,127,116064.09,62542.44,53521.57
690,University of Pennsylvania,2000,2000-2001,Football,678.55,1287.37,-608.82,102,6652.45,12621.27,-5968.82
691,University of Pittsburgh-Main Campus,2000,2000-2001,Football,12291.38,4886.16,7405.23,100,122913.8,48861.6,74052.3
692,University of Puget Sound,2000,2000-2001,Football,75.51,194.22,-118.71,65,1161.69,2988,-1826.31
693,University of Redlands,2000,2000-2001,Football,248.92,277.33,-28.41,102,2440.39,2718.92,-278.53
694,University of Rhode Island,2000,2000-2001,Football,1152.69,2172.94,-1020.25,88,13098.75,24692.5,-11593.75
695,University of Richmond,2000,2000-2001,Football,1603.27,2601.92,-998.66,90,17814.11,28910.22,-11096.22
696,University of Rochester,2000,2000-2001,Football,330.21,266.54,63.68,76,4344.87,3507.11,837.89
697,University of Saint Francis,2000,2000-2001,Football,NA,73.96,NA,156,0,474.1,0
698,University of San Diego,2000,2000-2001,Football,538.58,538.58,0,118,4564.24,4564.24,0
699,University of Sioux Falls,2000,2000-2001,Football,15.45,410.8,-395.35,120,128.75,3423.33,-3294.58
700,University of South Carolina at Columbia,2000,2000-2001,Football,17726.03,6291.37,11434.66,115,154139.39,54707.57,99431.83
701,University of South Dakota,2000,2000-2001,Football,598.94,806.7,-207.76,109,5494.86,7400.92,-1906.06
702,University of South Florida,2000,2000-2001,Football,3216.24,2821.48,394.76,115,27967.3,24534.61,3432.7
703,University of Southern California,2000,2000-2001,Football,21475.06,10896.88,10578.18,118,181992.03,92346.44,89645.59
704,University of Southern Mississippi,2000,2000-2001,Football,4181.56,3468.56,713,135,30974.52,25693.04,5281.48
705,University of St Francis,2000,2000-2001,Football,7.43,940.31,-932.89,72,103.19,13059.86,-12956.81
706,University of St Thomas,2000,2000-2001,Football,208.02,208.02,0,98,2122.65,2122.65,0
707,University of The South,2000,2000-2001,Football,10.5,302.11,-291.61,65,161.54,4647.85,-4486.31
708,University of Toledo,2000,2000-2001,Football,1367.03,2584.27,-1217.24,104,13144.52,24848.75,-11704.23
709,University of Tulsa,2000,2000-2001,Football,3667.98,3966.05,-298.06,92,39869.35,43109.24,-3239.78
710,University of Utah,2000,2000-2001,Football,5897.65,689.32,5208.33,119,49560.08,5792.61,43767.48
711,University of Virginia-Main Campus,2000,2000-2001,Football,11053.46,8962.27,2091.19,105,105271.05,85354.95,19916.1
712,University of Virginia's College at Wise,2000,2000-2001,Football,13.05,274.26,-261.21,69,189.13,3974.78,-3785.65
713,University of Washington-Seattle Campus,2000,2000-2001,Football,26592.29,16022.5,10569.79,103,258177.57,155558.25,102619.32
714,University of West Alabama,2000,2000-2001,Football,596.1,585.26,10.84,110,5419.09,5320.55,98.55
715,University of Wisconsin-Eau Claire,2000,2000-2001,Football,128.85,169.06,-40.22,100,1288.5,1690.6,-402.2
716,University of Wisconsin-La Crosse,2000,2000-2001,Football,157.72,179.5,-21.78,100,1577.2,1795,-217.8
717,University of Wisconsin-Madison,2000,2000-2001,Football,21624.47,8500.84,13123.63,120,180203.92,70840.33,109363.58
718,University of Wisconsin-Oshkosh,2000,2000-2001,Football,119.52,245.73,-126.22,90,1328,2730.33,-1402.44
719,University of Wisconsin-Platteville,2000,2000-2001,Football,255.88,269.38,-13.5,99,2584.65,2721.01,-136.36
720,University of Wisconsin-River Falls,2000,2000-2001,Football,305.86,249.74,56.13,98,3121.02,2548.37,572.76
721,University of Wisconsin-Stevens Point,2000,2000-2001,Football,92.68,150.27,-57.59,91,1018.46,1651.32,-632.86
722,University of Wisconsin-Stout,2000,2000-2001,Football,203.45,235.38,-31.93,84,2422.02,2802.14,-380.12
723,University of Wisconsin-Whitewater,2000,2000-2001,Football,212.5,175.67,36.83,98,2168.37,1792.55,375.82
724,University of Wyoming,2000,2000-2001,Football,2429.96,2616.3,-186.34,100,24299.6,26163,-1863.4
725,Upper Iowa University,2000,2000-2001,Football,3.48,249.3,-245.82,91,38.24,2739.56,-2701.32
726,Urbana University,2000,2000-2001,Football,3.5,2.6,0.9,64,54.69,40.63,14.06
727,Ursinus College,2000,2000-2001,Football,139.17,132.6,6.57,85,1637.29,1560,77.29
728,Utah State University,2000,2000-2001,Football,1705.03,2424.32,-719.29,91,18736.59,26640.88,-7904.29
729,Utica College of Syracuse University,2000,2000-2001,Football,NA,191,NA,63,0,3031.75,0
730,Valdosta State University,2000,2000-2001,Football,1091.4,921.53,169.87,92,11863.04,10016.63,1846.41
731,Valley City State University,2000,2000-2001,Football,15.51,62.69,-47.18,76,204.08,824.87,-620.79
732,Valparaiso University,2000,2000-2001,Football,368.91,256.86,112.05,86,4289.65,2986.74,1302.91
733,Vanderbilt University,2000,2000-2001,Football,14642.06,8191.99,6450.07,94,155766.6,87148.83,68617.77
734,Ventura College,2000,2000-2001,Football,25.01,97.06,-72.05,67,373.28,1448.66,-1075.37
735,Vermilion Community College,2000,2000-2001,Football,1.67,21,-19.33,65,25.69,323.08,-297.38
736,Victor Valley College,2000,2000-2001,Football,102.58,102.58,0,47,2182.55,2182.55,0
737,Villanova University,2000,2000-2001,Football,436.57,2916.48,-2479.91,89,4905.28,32769.44,-27864.16
738,Virginia Military Institute,2000,2000-2001,Football,979.1,1581.71,-602.61,95,10306.32,16649.58,-6343.26
739,Virginia Polytechnic Institute And State Univ,2000,2000-2001,Football,14611.62,1267.55,13344.07,114,128172.11,11118.86,117053.25
740,Virginia State University,2000,2000-2001,Football,83.87,509.54,-425.68,75,1118.27,6793.87,-5675.73
741,Virginia Union University,2000,2000-2001,Football,81.61,811.36,-729.76,64,1275.16,12677.5,-11402.5
742,Wagner College,2000,2000-2001,Football,298.77,737.73,-438.97,93,3212.58,7932.58,-4720.11
743,Wake Forest University,2000,2000-2001,Football,5031.44,4753.37,278.07,99,50822.63,48013.84,2808.79
744,Walsh University,2000,2000-2001,Football,10.6,383.58,-372.98,99,107.07,3874.55,-3767.47
745,Wartburg College,2000,2000-2001,Football,130.24,151.44,-21.21,127,1025.51,1192.44,-167.01
746,Washburn University of Topeka,2000,2000-2001,Football,589.8,584.84,4.96,80,7372.5,7310.5,62
747,Washington & Jefferson College,2000,2000-2001,Football,8.13,219.94,-211.81,125,65.04,1759.52,-1694.48
748,Washington And Lee University,2000,2000-2001,Football,5.61,152.18,-146.57,67,83.73,2271.34,-2187.61
749,Washington State University,2000,2000-2001,Football,7101.7,5197.05,1904.65,114,62295.61,45588.16,16707.46
750,Washington University,2000,2000-2001,Football,18.89,293.78,-274.89,87,217.13,3376.78,-3159.66
751,Wayne State College,2000,2000-2001,Football,37.53,53.82,-16.29,77,487.4,698.96,-211.56
752,Wayne State University,2000,2000-2001,Football,603.58,438.42,165.16,109,5537.43,4022.2,1515.23
753,Waynesburg College,2000,2000-2001,Football,3.87,123.41,-119.54,104,37.21,1186.63,-1149.42
754,Weber State University,2000,2000-2001,Football,955.1,1405.22,-450.12,84,11370.24,16728.81,-5358.57
755,Wesley College,2000,2000-2001,Football,0,152,-152,88,0,1727.27,-1727.27
756,Wesleyan University,2000,2000-2001,Football,71.14,170.27,-99.12,79,900.51,2155.32,-1254.68
757,West Chester University of Pennsylvania,2000,2000-2001,Football,194.72,330.92,-136.21,89,2187.87,3718.2,-1530.45
758,West Hills Community College,2000,2000-2001,Football,3.99,77.43,-73.44,76,52.5,1018.82,-966.32
759,West Liberty State College,2000,2000-2001,Football,228.7,306.55,-77.85,93,2459.14,3296.24,-837.1
760,West Los Angeles College,2000,2000-2001,Football,1.67,47.82,-46.16,60,27.83,797,-769.33
761,West Texas A & M University,2000,2000-2001,Football,167.61,452.81,-285.2,97,1727.94,4668.14,-2940.21
762,West Valley College,2000,2000-2001,Football,0,70.4,-70.4,62,0,1135.48,-1135.48
763,West Virginia State College,2000,2000-2001,Football,55.63,291.62,-235.99,89,625.06,3276.63,-2651.57
764,West Virginia University,2000,2000-2001,Football,14642.07,6197.21,8444.86,130,112631.31,47670.85,64960.46
765,West Virginia University Institute of Technology,2000,2000-2001,Football,109.72,52.95,56.78,71,1545.35,745.77,799.72
766,West Virginia Wesleyan College,2000,2000-2001,Football,608.2,184.12,424.08,68,8944.12,2707.65,6236.47
767,Western Carolina University,2000,2000-2001,Football,576.66,1101.67,-525.01,88,6552.95,12518.98,-5966.02
768,Western Connecticut State University,2000,2000-2001,Football,222.33,216.68,5.65,85,2615.65,2549.18,66.47
769,Western Illinois University,2000,2000-2001,Football,736.7,1037.09,-300.38,94,7837.23,11032.87,-3195.53
770,Western Kentucky University,2000,2000-2001,Football,1432.72,1322.35,110.37,91,15744.18,14531.32,1212.86
771,Western Maryland College,2000,2000-2001,Football,0,254.76,-254.76,106,0,2403.4,-2403.4
772,Western Michigan University,2000,2000-2001,Football,1615.4,2613.82,-998.42,103,15683.5,25376.89,-9693.4
773,Western Montana College-University of Montana,2000,2000-2001,Football,230.62,230.62,0,64,3603.44,3603.44,0
774,Western New England College,2000,2000-2001,Football,0,50.8,-50.8,75,0,677.33,-677.33
775,Western New Mexico University,2000,2000-2001,Football,1.94,337.71,-335.76,75,25.87,4502.8,-4476.8
776,Western Oregon University,2000,2000-2001,Football,382.69,375.97,6.71,82,4666.95,4585,81.83
777,Western State College Colorado,2000,2000-2001,Football,336.52,367.82,-31.3,130,2588.62,2829.38,-240.77
778,Western Washington University,2000,2000-2001,Football,524.14,561.49,-37.35,72,7279.72,7798.47,-518.75
779,Westfield State College,2000,2000-2001,Football,43.83,41.18,2.65,55,796.91,748.73,48.18
780,Westminster College,2000,2000-2001,Football,2,166.96,-164.96,54,37.04,3091.85,-3054.81
781,Westminster College,2000,2000-2001,Football,31.13,111.56,-80.43,73,426.44,1528.22,-1101.78
782,Wheaton College,2000,2000-2001,Football,252.32,257.13,-4.81,86,2933.95,2989.88,-55.93
783,Whittier College,2000,2000-2001,Football,133.33,120.99,12.35,61,2185.74,1983.44,202.46
784,Whitworth College,2000,2000-2001,Football,278.9,280.39,-1.48,85,3281.18,3298.71,-17.41
785,Widener University-Main Campus,2000,2000-2001,Football,11.43,75.17,-63.75,127,90,591.89,-501.97
786,Wilkes University,2000,2000-2001,Football,11.99,197.98,-185.99,100,119.9,1979.8,-1859.9
787,Willamette University,2000,2000-2001,Football,252.64,244.3,8.34,107,2361.12,2283.18,77.94
788,William Jewell College,2000,2000-2001,Football,40.45,86.5,-46.05,85,475.88,1017.65,-541.76
789,William Paterson University of New Jersey,2000,2000-2001,Football,199.77,174.55,25.22,71,2813.66,2458.45,355.21
790,William Penn University,2000,2000-2001,Football,58.73,56.73,2,84,699.17,675.36,23.81
791,William Rainey Harper College,2000,2000-2001,Football,90.62,90.62,0,60,1510.33,1510.33,0
792,Williams College,2000,2000-2001,Football,254.03,222.75,31.28,93,2731.51,2395.16,336.34
793,Wilmington College,2000,2000-2001,Football,NA,198.4,NA,88,0,2254.55,0
794,Wingate University,2000,2000-2001,Football,69.89,791.21,-721.32,96,728.02,8241.77,-7513.75
795,Winona State University,2000,2000-2001,Football,219.67,283.43,-63.76,108,2033.98,2624.35,-590.37
796,Winston-Salem State University,2000,2000-2001,Football,20,273,-253,90,222.22,3033.33,-2811.11
797,Wisconsin Lutheran College,2000,2000-2001,Football,271.42,304.7,-33.28,43,6312.09,7086.05,-773.95
798,Wittenberg University,2000,2000-2001,Football,176.68,148.2,28.49,113,1563.54,1311.5,252.12
799,Wofford College,2000,2000-2001,Football,251.94,1557.22,-1305.29,90,2799.33,17302.44,-14503.22
800,Worcester Polytechnic Institute,2000,2000-2001,Football,6.25,42.33,-36.07,77,81.17,549.74,-468.44
801,Worcester State College,2000,2000-2001,Football,11.06,55.65,-44.6,52,212.69,1070.19,-857.69
802,Yale University,2000,2000-2001,Football,902.06,230.23,671.83,105,8591.05,2192.67,6398.38
803,Youngstown State University,2000,2000-2001,Football,1300.98,1583.86,-282.88,107,12158.69,14802.43,-2643.74
804,Yuba College,2000,2000-2001,Football,42,41.05,0.95,44,954.55,932.95,21.59
805,Abilene Christian University,2001,2001-2002,Football,1193.03,1212.64,-19.6,119,10025.46,10190.25,-164.71
806,Adams State College,2001,2001-2002,Football,381.75,398.82,-17.08,153,2495.1,2606.67,-111.63
807,Adrian College,2001,2001-2002,Football,147.5,170.85,-23.35,114,1293.86,1498.68,-204.82
808,Albany State University,2001,2001-2002,Football,158.45,403.96,-245.51,71,2231.69,5689.58,-3457.89
809,Albion College,2001,2001-2002,Football,347.97,312.96,35,119,2924.12,2629.92,294.12
810,Albright College,2001,2001-2002,Football,238.27,253.72,-15.45,79,3016.08,3211.65,-195.57
811,Alcorn State University,2001,2001-2002,Football,722.62,127.58,595.04,94,7687.45,1357.23,6330.21
812,Alfred University,2001,2001-2002,Football,278.44,275.74,2.7,87,3200.46,3169.43,31.03
813,Allan Hancock College,2001,2001-2002,Football,15.03,142.27,-127.24,74,203.11,1922.57,-1719.46
814,Allegheny College,2001,2001-2002,Football,0,47.71,-47.71,85,0,561.29,-561.29
815,Alma College,2001,2001-2002,Football,198.81,210.73,-11.91,100,1988.1,2107.3,-119.1
816,American River College,2001,2001-2002,Football,35.09,24.32,10.76,60,584.83,405.33,179.33
817,Amherst College,2001,2001-2002,Football,68.95,264.93,-195.98,75,919.33,3532.4,-2613.07
818,Anderson University,2001,2001-2002,Football,154.66,154.66,0,84,1841.19,1841.19,0
819,Angelo State University,2001,2001-2002,Football,76.04,477.65,-401.61,121,628.43,3947.52,-3319.09
820,Appalachian State University,2001,2001-2002,Football,703.59,1489.96,-786.37,117,6013.59,12734.7,-6721.11
821,Arizona State University-Main Campus,2001,2001-2002,Football,20160.27,8891.05,11269.22,105,192002.57,84676.67,107325.9
822,Arizona Western College,2001,2001-2002,Football,5.96,293.31,-287.35,65,91.69,4512.46,-4420.77
823,Arkansas State University-Main Campus,2001,2001-2002,Football,1249.51,3305,-2055.49,97,12881.55,34072.16,-21190.62
824,Arkansas Tech University,2001,2001-2002,Football,599.87,599.87,0,136,4410.81,4410.81,0
825,Ashland University,2001,2001-2002,Football,1200.5,1110.4,90.1,101,11886.14,10994.06,892.08
826,Assumption College,2001,2001-2002,Football,148.56,190.8,-42.24,79,1880.51,2415.19,-534.68
