,unitid,DOE.Institution_Name,Year,ID_School,ID_Conference,Sport,ID_Variable,Variable,Total,M,W,C,C.M,C.W,AA,AA.M,AA.W,H,H.M,H.W,AS.PI,AS.PI.M,AS.PI.W,AI,AI.M,AI.W,UNK,UNK.M,UNK.W,NON,NON.M,NON.W,fname
434,123961,University of Southern California,1996-1997,USC,PAC12,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,3,3,2,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Sports.csv
435,123961,University of Southern California,1996-1997,USC,PAC12,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),3,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
436,123961,University of Southern California,1996-1997,USC,PAC12,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
444,123961,University of Southern California,1996-1997,USC,PAC12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
445,123961,University of Southern California,1996-1997,USC,PAC12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1997Sports.csv
446,123961,University of Southern California,1996-1997,USC,PAC12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1997Sports.csv
466,123961,University of Southern California,1996-1997,USC,PAC12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
467,123961,University of Southern California,1996-1997,USC,PAC12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
472,123961,University of Southern California,1996-1997,USC,PAC12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
524,131496,Georgetown University,1996-1997,GTOWN,BIGEAST,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,14,3,16,13,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
526,131496,Georgetown University,1996-1997,GTOWN,BIGEAST,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),16,13,3,15,12,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
