,unitid,DOE.Institution_Name,Year,ID_School,ID_Conference,Sport,ID_Variable,Variable,Total,M,W,C,C.M,C.W,AA,AA.M,AA.W,H,H.M,H.W,AS.PI,AS.PI.M,AS.PI.W,AI,AI.M,AI.W,UNK,UNK.M,UNK.W,NON,NON.M,NON.W,fname
1861,181464,University of Nebraska-Lincoln,2001-2002,NEB,BIG10,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,17,0,6,6,0,9,9,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2002Sports.csv
1863,181464,University of Nebraska-Lincoln,2001-2002,NEB,BIG10,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,1,4,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2002Sports.csv
1865,181464,University of Nebraska-Lincoln,2001-2002,NEB,BIG10,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,9,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2002Sports.csv
1868,181464,University of Nebraska-Lincoln,2001-2002,NEB,BIG10,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,6,0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
1869,181464,University of Nebraska-Lincoln,2001-2002,NEB,BIG10,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),42,14,28,29,11,18,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,10,2,8,2002Sports.csv
1873,181464,University of Nebraska-Lincoln,2001-2002,NEB,BIG10,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
1900,186380,Rutgers University-New Brunswick,2001-2002,RUT,BIGEAST,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
1918,186380,Rutgers University-New Brunswick,2001-2002,RUT,BIGEAST,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
1923,186380,Rutgers University-New Brunswick,2001-2002,RUT,BIGEAST,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),9,9,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2002Sports.csv
1926,186380,Rutgers University-New Brunswick,2001-2002,RUT,BIGEAST,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,42,13,29,36,11,25,3,1,2,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,2002Sports.csv
1927,186380,Rutgers University-New Brunswick,2001-2002,RUT,BIGEAST,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,6,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2002Sports.csv
1930,186380,Rutgers University-New Brunswick,2001-2002,RUT,BIGEAST,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
1936,186380,Rutgers University-New Brunswick,2001-2002,RUT,BIGEAST,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
1937,186380,Rutgers University-New Brunswick,2001-2002,RUT,BIGEAST,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
1949,186380,Rutgers University-New Brunswick,2001-2002,RUT,BIGEAST,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),53,18,35,46,16,30,3,1,2,0,0,0,2,0,2,0,0,0,1,0,1,1,1,0,2002Sports.csv
1952,186380,Rutgers University-New Brunswick,2001-2002,RUT,BIGEAST,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,4,4,5,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
1968,186380,Rutgers University-New Brunswick,2001-2002,RUT,BIGEAST,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),14,8,6,9,5,4,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
1978,186380,Rutgers University-New Brunswick,2001-2002,RUT,BIGEAST,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,3,5,1,1,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2024,198419,Duke University,2001-2002,DUKE,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,19,19,0,12,12,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2025,198419,Duke University,2001-2002,DUKE,ACC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2027,198419,Duke University,2001-2002,DUKE,ACC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2039,198419,Duke University,2001-2002,DUKE,ACC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,3,4,2,0,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2040,198419,Duke University,2001-2002,DUKE,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),23,23,0,15,15,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2041,198419,Duke University,2001-2002,DUKE,ACC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,1,4,2,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2052,198419,Duke University,2001-2002,DUKE,ACC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),30,11,19,28,9,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2002Sports.csv
2054,198419,Duke University,2001-2002,DUKE,ACC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,26,11,15,24,9,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2002Sports.csv
2121,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),64,29,35,61,26,35,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2141,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2142,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2154,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,6,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2166,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,1,5,3,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2170,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2185,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,17,0,5,5,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2193,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2202,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2209,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,53,20,33,50,17,33,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2218,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2231,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2232,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,6,6,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2235,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,3,1,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2236,199120,University of North Carolina at Chapel Hill,2001-2002,UNC,ACC,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),13,3,10,6,0,6,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2273,204796,Ohio State University-Main Campus,2001-2002,OSU,BIG10,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2002Sports.csv
2287,204796,Ohio State University-Main Campus,2001-2002,OSU,BIG10,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2301,204796,Ohio State University-Main Campus,2001-2002,OSU,BIG10,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,11,11,0,7,7,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2303,204796,Ohio State University-Main Campus,2001-2002,OSU,BIG10,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2002Sports.csv
2316,204796,Ohio State University-Main Campus,2001-2002,OSU,BIG10,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,43,19,24,37,14,23,3,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2337,204796,Ohio State University-Main Campus,2001-2002,OSU,BIG10,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2002Sports.csv
2338,204796,Ohio State University-Main Campus,2001-2002,OSU,BIG10,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,4,2,4,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2340,204796,Ohio State University-Main Campus,2001-2002,OSU,BIG10,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),66,28,38,54,19,35,4,3,1,5,4,1,0,0,0,0,0,0,3,2,1,0,0,0,2002Sports.csv
2343,204796,Ohio State University-Main Campus,2001-2002,OSU,BIG10,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),22,22,0,10,10,0,11,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2345,204796,Ohio State University-Main Campus,2001-2002,OSU,BIG10,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,2,3,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2002Sports.csv
2348,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2002Sports.csv
2355,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,6,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2357,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2358,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2361,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2363,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2373,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2002Sports.csv
2382,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,5,5,6,4,2,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,2002Sports.csv
2389,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,1,2,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2002Sports.csv
2392,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,17,0,3,3,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2405,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,3,5,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2002Sports.csv
2421,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),11,5,6,4,2,2,6,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2002Sports.csv
2433,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,5,5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2002Sports.csv
2437,207388,Oklahoma State University-Main Campus,2001-2002,OKSTATE,BIG12,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,8,12,13,5,8,1,1,0,2,0,2,1,1,0,1,0,1,0,0,0,2,1,1,2002Sports.csv
2502,207500,University of Oklahoma Norman Campus,2001-2002,OK,BIG12,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),28,15,13,21,10,11,1,1,0,1,1,0,3,1,2,1,1,0,0,0,0,1,1,0,2002Sports.csv
2506,207500,University of Oklahoma Norman Campus,2001-2002,OK,BIG12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,3,3,3,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2002Sports.csv
2509,207500,University of Oklahoma Norman Campus,2001-2002,OK,BIG12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2518,207500,University of Oklahoma Norman Campus,2001-2002,OK,BIG12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,6,0,4,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2002Sports.csv
2524,207500,University of Oklahoma Norman Campus,2001-2002,OK,BIG12,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,22,10,12,17,6,11,1,1,0,0,0,0,2,1,1,1,1,0,0,0,0,1,1,0,2002Sports.csv
2534,207500,University of Oklahoma Norman Campus,2001-2002,OK,BIG12,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),12,4,8,10,3,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2548,207500,University of Oklahoma Norman Campus,2001-2002,OK,BIG12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,11,11,0,6,6,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2554,207500,University of Oklahoma Norman Campus,2001-2002,OK,BIG12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,3,3,3,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2002Sports.csv
2561,207500,University of Oklahoma Norman Campus,2001-2002,OK,BIG12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,17,0,10,10,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2568,207500,University of Oklahoma Norman Campus,2001-2002,OK,BIG12,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,2,7,7,1,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2576,207500,University of Oklahoma Norman Campus,2001-2002,OK,BIG12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2635,209542,Oregon State University,2001-2002,ORE.ST,PAC12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2638,209542,Oregon State University,2001-2002,ORE.ST,PAC12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,10,0,8,8,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2639,209542,Oregon State University,2001-2002,ORE.ST,PAC12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,6,4,8,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2646,209542,Oregon State University,2001-2002,ORE.ST,PAC12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2649,209542,Oregon State University,2001-2002,ORE.ST,PAC12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2651,209542,Oregon State University,2001-2002,ORE.ST,PAC12,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),35,12,23,28,9,19,0,0,0,1,0,1,0,0,0,1,0,1,2,2,0,3,1,2,2002Sports.csv
2661,209542,Oregon State University,2001-2002,ORE.ST,PAC12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2675,209542,Oregon State University,2001-2002,ORE.ST,PAC12,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2684,209542,Oregon State University,2001-2002,ORE.ST,PAC12,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,23,4,19,19,3,16,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,2,2002Sports.csv
2694,209542,Oregon State University,2001-2002,ORE.ST,PAC12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),14,14,0,4,4,0,7,7,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,2002Sports.csv
2702,209542,Oregon State University,2001-2002,ORE.ST,PAC12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,1,1,0,4,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2002Sports.csv
2707,209551,University of Oregon,2001-2002,ORE,PAC12,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,3,4,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2002Sports.csv
2708,209551,University of Oregon,2001-2002,ORE,PAC12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,5,0,3,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2713,209551,University of Oregon,2001-2002,ORE,PAC12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2756,209551,University of Oregon,2001-2002,ORE,PAC12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2759,209551,University of Oregon,2001-2002,ORE,PAC12,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,17,5,12,13,3,10,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,0,1,2002Sports.csv
2771,209551,University of Oregon,2001-2002,ORE,PAC12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,10,0,4,4,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2785,209551,University of Oregon,2001-2002,ORE,PAC12,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),9,3,6,6,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2002Sports.csv
2795,209551,University of Oregon,2001-2002,ORE,PAC12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,2,3,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2002Sports.csv
2799,209551,University of Oregon,2001-2002,ORE,PAC12,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),25,9,16,18,5,13,0,0,0,0,0,0,3,2,1,0,0,0,1,0,1,3,2,1,2002Sports.csv
2810,217882,Clemson University,2001-2002,CLEM,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,14,14,0,6,6,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2811,217882,Clemson University,2001-2002,CLEM,ACC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
2812,217882,Clemson University,2001-2002,CLEM,ACC,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,2,5,4,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2002Sports.csv
2819,217882,Clemson University,2001-2002,CLEM,ACC,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,3,7,4,0,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2002Sports.csv
2821,217882,Clemson University,2001-2002,CLEM,ACC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Sports.csv
