"","games_name","rk","flag.bearer","participants","men","women","sports","gold","silver","bronze","total","top.medalist.s.","country_url","country","table_name","country_games_url","year","games"
"85","1998 Winter","8","Vladimir Smirnov","60","45","15","8",NA,NA,"2","2","Lyudmila Prokashova and Vladimir Smirnov (1 medal)","http://www.sports-reference.com/olympics/countries/KAZ/","Kazakhstan","country_medals","http://www.sports-reference.com/olympics/countries/KAZ/winter/1998/",1998,"Winter"
"86","1998 Winter","8","Yuliya Vorobyova","4","2","2","1",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/AZE/","Azerbaijan","country_medals","http://www.sports-reference.com/olympics/countries/AZE/winter/1998/",1998,"Winter"
"87","2000 Summer","4","Chary Mamedov","8","4","4","6",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/TKM/","Turkmenistan","country_medals","http://www.sports-reference.com/olympics/countries/TKM/summer/2000/",2000,"Summer"
"88","2000 Summer","7","Andrey Lavrov","435","241","194","30","32","28","29","89","Aleksey Nemov (6 medals)","http://www.sports-reference.com/olympics/countries/RUS/","Russia","country_medals","http://www.sports-reference.com/olympics/countries/RUS/summer/2000/",2000,"Summer"
"89","2000 Summer","7","Giorgi Asanidze","36","27","9","12",NA,NA,"6","6","6 athletes with 1 medal","http://www.sports-reference.com/olympics/countries/GEO/","Georgia","country_medals","http://www.sports-reference.com/olympics/countries/GEO/summer/2000/",2000,"Summer"
"90","2000 Summer","7","Haykaz Galstyan","25","23","2","10",NA,NA,"1","1","Arsen Melikyan (1 medal)","http://www.sports-reference.com/olympics/countries/ARM/","Armenia","country_medals","http://www.sports-reference.com/olympics/countries/ARM/summer/2000/",2000,"Summer"
"91","2000 Summer","7","Khurshed Khasanov","4","2","2","2",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/TJK/","Tajikistan","country_medals","http://www.sports-reference.com/olympics/countries/TJK/summer/2000/",2000,"Summer"
"92","2000 Summer","7","Mukhammad Kadyr Abdullayev","70","52","18","12","1","1","2","4","4 athletes with 1 medal","http://www.sports-reference.com/olympics/countries/UZB/","Uzbekistan","country_medals","http://www.sports-reference.com/olympics/countries/UZB/summer/2000/",2000,"Summer"
"93","2000 Summer","7","Namiq Abdullayev","31","25","6","8","2",NA,"1","3","3 athletes with 1 medal","http://www.sports-reference.com/olympics/countries/AZE/","Azerbaijan","country_medals","http://www.sports-reference.com/olympics/countries/AZE/summer/2000/",2000,"Summer"
"94","2000 Summer","7","Raatbek Sanatbayev","48","35","13","9",NA,NA,"1","1","Aydyn Smagulov (1 medal)","http://www.sports-reference.com/olympics/countries/KGZ/","Kyrgyzstan","country_medals","http://www.sports-reference.com/olympics/countries/KGZ/summer/2000/",2000,"Summer"
