,DOE.Institution_Name,Year,SportName,Total.Revenue,Total.Expense,Total.Profit,Men.Revenue,Men.Expense,Men.Profit,Women.Revenue,Women.Expense,Women.Profit,Male.Athletes,Female.Athletes,Men.Team.Expense,Women.Team.Expense,SportCode,Coed.Athletes,Total.Women.Including.Coed.Expense,Total.Men.Including.Coed.Expense,Coed.Expense,Women.Coed.Expense,Men.Coed.Expense,Women.Men.Expense,Women.Including.Coed.Revenue,Men.Including.Coed.Revenue,Coed.Revenue,Women.Coed.Revenue,Men.Coed.Revenue,Total.Men.Women.Revenue,Total.Team.Expense,Total.Women.Team.Expense.Including.Coed,Total.Men.Team.Expense.Including.Coed,Total.Coed.Team.Expense,Total.Women.Coed.Team.Expense,Total.Men.Coed.Team.Expense,Total.Men.Women.Team.Expense,Total.Female.Including.Coed,Total.Male.Including.Coed,Female.Coed.Athletes,Male.Coed.Athletes
87265,University Of Kansas Main Campus                            ,2003-2004,Football,9361531,7723233,1638298,9361531,7723233,1638298,0,0,0,138,.,1986845,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87277,University Of Kentucky                                      ,2003-2004,Football,19779329,8201781,11577548,19779329,8201781,11577548,0,0,0,138,.,4201657,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87289,University Of La Verne                                      ,2003-2004,Football,201860,211279,-9419,201860,211279,-9419,0,0,0,71,.,39767,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87302,University Of Louisiana At Lafayette                        ,2003-2004,Football,1574181,2585509,-1011328,1574181,2585509,-1011328,0,0,0,71,.,511514,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87312,University Of Louisiana At Monroe                           ,2003-2004,Football,1796303,2096641,-300338,1796303,2096641,-300338,0,0,0,86,.,425195,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87323,University Of Louisville                                    ,2003-2004,Football,9771414,7115857,2655557,9771414,7115857,2655557,0,0,0,110,.,1507595,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87336,University Of Maine                                         ,2003-2004,Football,2021917,2151661,-129744,2021917,2151661,-129744,0,0,0,84,.,217712,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87376,University Of Mary                                          ,2003-2004,Football,504242,504242,0,504242,504242,0,0,0,0,103,.,91979,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87386,University Of Mary Hardin-Baylor                            ,2003-2004,Football,450838,450838,0,450838,450838,0,0,0,0,123,.,93017,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87407,University Of Maryland-College Park                         ,2003-2004,Football,8941831,8736751,205080,8941831,8736751,205080,0,0,0,119,.,1366441,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87431,University Of Massachusetts-Amherst                         ,2003-2004,Football,745038,3806154,-3061116,745038,3806154,-3061116,0,0,0,90,.,677656,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87456,University Of Massachusetts-Dartmouth                       ,2003-2004,Football,89867,89867,0,89867,89867,0,0,0,0,70,.,38762,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87481,University Of Memphis                                       ,2003-2004,Football,4878352,6201964,-1323612,4878352,6201964,-1323612,0,0,0,101,.,1404616,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87491,University Of Miami                                         ,2003-2004,Football,23679096,14079192,9599904,23679096,14079192,9599904,0,0,0,106,.,1898720,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87501,University Of Michigan-Ann Arbor                            ,2003-2004,Football,"38,547,937.00",10638824,27909113,38547937,10638824,27909113,0,0,0,118,.,1879792,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87522,University Of Minnesota-Crookston                           ,2003-2004,Football,273652,282430,-8778,273652,282430,-8778,0,0,0,83,.,88075,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87531,University Of Minnesota-Duluth                              ,2003-2004,Football,226590,631080,-404490,226590,631080,-404490,0,0,0,98,.,88243,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87541,University Of Minnesota-Morris                              ,2003-2004,Football,76795,181110,-104315,76795,181110,-104315,0,0,0,50,.,44292,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87553,University Of Minnesota-Twin Cities                         ,2003-2004,Football,14484196,7466184,7018012,14484196,7466184,7018012,0,0,0,126,.,1150470,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87570,University Of Mississippi Main Campus                       ,2003-2004,Football,16770707,7519496,9251211,16770707,7519496,9251211,0,0,0,153,.,1931141,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87584,University Of Missouri-Columbia                             ,2003-2004,Football,15062869,6884992,8177877,15062869,6884992,8177877,0,0,0,128,.,1516843,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87606,University Of Missouri-Rolla                                ,2003-2004,Football,708427,708012,415,708427,708012,415,0,0,0,97,.,83048,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87637,University Of Nebraska At Kearney                           ,2003-2004,Football,115031,591210,-476179,115031,591210,-476179,0,0,0,117,.,83671,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87649,University Of Nebraska At Lincoln                           ,2003-2004,Football,30231643,12954126,17277517,30231643,12954126,17277517,0,0,0,179,.,1861902,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87662,University Of Nebraska At Omaha                             ,2003-2004,Football,203961,1137872,-933911,203961,1137872,-933911,0,0,0,110,.,298982,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87677,University Of Nevada-Las Vegas                              ,2003-2004,Football,3358038,5084874,-1726836,3358038,5084874,-1726836,0,0,0,109,.,1158656,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87687,University Of Nevada-Reno                                   ,2003-2004,Football,4164850,3334135,830715,4164850,3334135,830715,0,0,0,108,.,475960,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87709,University Of New Hampshire-Main Campus                     ,2003-2004,Football,1399952,2528401,-1128449,1399952,2528401,-1128449,0,0,0,100,.,377174,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87723,University Of New Haven                                     ,2003-2004,Football,732430,699666,32764,732430,699666,32764,0,0,0,75,.,140633,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87735,University Of New Mexico-Main Campus                        ,2003-2004,Football,6728270,4230436,2497834,6728270,4230436,2497834,0,0,0,145,.,951044,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87753,University Of North Alabama                                 ,2003-2004,Football,973141,973141,0,973141,973141,0,0,0,0,121,.,163760,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87772,University Of North Carolina At Chapel Hill                 ,2003-2004,Football,15120192,9482795,5637397,15120192,9482795,5637397,0,0,0,135,.,1387057,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87827,University Of North Dakota-Main Campus                      ,2003-2004,Football,1316666,1485800,-169134,1316666,1485800,-169134,0,0,0,109,.,134600,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87851,University Of North Texas                                   ,2003-2004,Football,1514116,3131213,-1617097,1514116,3131213,-1617097,0,0,0,109,.,642478,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87861,University Of Northern Colorado                             ,2003-2004,Football,304153,1052003,-747850,304153,1052003,-747850,0,0,0,96,.,277201,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87875,University Of Northern Iowa                                 ,2003-2004,Football,1054967,1888145,-833178,1054967,1888145,-833178,0,0,0,107,.,228282,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87888,University Of Notre Dame                                    ,2003-2004,Football,38596090,11393367,27202723,38596090,11393367,27202723,0,0,0,109,.,1708119,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87901,University Of Oklahoma Norman Campus                        ,2003-2004,Football,34293061,13728435,20564626,34293061,13728435,20564626,0,0,0,128,.,868608,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87915,University Of Oregon                                        ,2003-2004,Football,18070390,10822601,7247789,18070390,10822601,7247789,0,0,0,105,.,1151690,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87927,University Of Pennsylvania                                  ,2003-2004,Football,1665470,1341174,324296,1665470,1341174,324296,0,0,0,111,.,350371,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87969,University Of Pittsburgh-Main Campus                        ,2003-2004,Football,19351753,11736579,7615174,19351753,11736579,7615174,0,0,0,103,.,2571495,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88101,University Of Puget Sound                                   ,2003-2004,Football,26658,116035,-89377,26658,116035,-89377,0,0,0,69,.,84360,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88116,University Of Redlands                                      ,2003-2004,Football,348725,338080,10645,348725,338080,10645,0,0,0,115,.,74780,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88130,University Of Rhode Island                                  ,2003-2004,Football,2733091,2901917,-168826,2733091,2901917,-168826,0,0,0,75,.,339329,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88144,University Of Richmond                                      ,2003-2004,Football,1521805,2961700,-1439895,1521805,2961700,-1439895,0,0,0,81,.,390368,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88162,University Of Rochester                                     ,2003-2004,Football,119513,299835,-180322,119513,299835,-180322,0,0,0,91,.,82395,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88184,University Of Saint Francis-Ft Wayne                        ,2003-2004,Football,117000,464106,-347106,117000,464106,-347106,0,0,0,142,.,141110,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88194,University Of Saint Mary                                    ,2003-2004,Football,66696,61898,4798,66696,61898,4798,0,0,0,51,.,35980,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88201,University Of San Diego                                     ,2003-2004,Football,638234,638234,0,638234,638234,0,0,0,0,91,.,327341,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88241,University Of Sioux Falls                                   ,2003-2004,Football,60596,666475,-605879,60596,666475,-605879,0,0,0,97,.,53689,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88270,University Of South Carolina-Columbia                       ,2003-2004,Football,14292557,7933179,6359378,14292557,7933179,6359378,0,0,0,125,.,993274,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88289,University Of South Dakota                                  ,2003-2004,Football,675263,1193438,-518175,675263,1193438,-518175,0,0,0,102,.,91518,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88299,University Of South Florida                                 ,2003-2004,Football,5189338,5022753,166585,5189338,5022753,166585,0,0,0,110,.,963901,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88312,University Of Southern California                           ,2003-2004,Football,26244364,15377942,10866422,26244364,15377942,10866422,0,0,0,116,.,3798426,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88347,University Of Southern Mississippi                          ,2003-2004,Football,4846178,5639258,-793080,4846178,5639258,-793080,0,0,0,121,.,1296731,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88356,University Of St Francis                                    ,2003-2004,Football,622661,619612,3049,622661,619612,3049,0,0,0,62,.,88339,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88366,University Of St Thomas                                     ,2003-2004,Football,275033,275033,0,275033,275033,0,0,0,0,98,.,107198,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88432,University Of Toledo                                        ,2003-2004,Football,1343825,4492495,-3148670,1343825,4492495,-3148670,0,0,0,113,.,806109,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88445,University Of Tulsa                                         ,2003-2004,Football,5027052,5113700,-86648,5027052,5113700,-86648,0,0,0,91,.,828153,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88456,University Of Utah                                          ,2003-2004,Football,4726994,5781984,-1054990,4726994,5781984,-1054990,0,0,0,115,.,1138007,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88484,University Of Virginia-Main Campus                          ,2003-2004,Football,14740242,10785474,3954768,14740242,10785474,3954768,0,0,0,104,.,1309465,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88499,University Of Washington-Seattle Campus                     ,2003-2004,Football,28569263,12640090,15929173,28569263,12640090,15929173,0,0,0,104,.,2983085,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88511,University Of West Alabama                                  ,2003-2004,Football,618946,578946,40000,618946,578946,40000,0,0,0,94,.,126293,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88524,University Of Wisconsin-Eau Claire                          ,2003-2004,Football,257460,209151,48309,257460,209151,48309,0,0,0,100,.,47309,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88551,University Of Wisconsin-La Crosse                           ,2003-2004,Football,216475,132715,83760,216475,132715,83760,0,0,0,99,.,85231,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88561,University Of Wisconsin-Madison                             ,2003-2004,Football,23271101,10806874,12464227,23271101,10806874,12464227,0,0,0,117,.,2571562,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88583,University Of Wisconsin-Oshkosh                             ,2003-2004,Football,129432,126405,3027,129432,126405,3027,0,0,0,98,.,73600,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88608,University Of Wisconsin-Platteville                         ,2003-2004,Football,194786,296481,-101695,194786,296481,-101695,0,0,0,100,.,105978,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88618,University Of Wisconsin-River Falls                         ,2003-2004,Football,287653,277289,10364,287653,277289,10364,0,0,0,98,.,47021,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88629,University Of Wisconsin-Stevens Point                       ,2003-2004,Football,123888,163684,-39796,123888,163684,-39796,0,0,0,100,.,50607,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88642,University Of Wisconsin-Stout                               ,2003-2004,Football,226955,250252,-23297,226955,250252,-23297,0,0,0,100,.,77300,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88665,University Of Wisconsin-Whitewater                          ,2003-2004,Football,180039,524490,-344451,180039,524490,-344451,0,0,0,100,.,70118,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88680,University Of Wyoming                                       ,2003-2004,Football,5545301,3490464,2054837,5545301,3490464,2054837,0,0,0,103,.,524253,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88690,Upper Iowa University                                       ,2003-2004,Football,389032,389032,0,389032,389032,0,0,0,0,113,.,88559,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88701,Urbana University                                           ,2003-2004,Football,15994,207504,-191510,15994,207504,-191510,0,0,0,103,.,80257,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88710,Ursinus College                                             ,2003-2004,Football,161220,165968,-4748,161220,165968,-4748,0,0,0,71,.,75220,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88724,Utah State University                                       ,2003-2004,Football,3362886,2697959,664927,3362886,2697959,664927,0,0,0,101,.,695158,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88743,Utica College                                               ,2003-2004,Football,234900,234800,100,234900,234800,100,0,0,0,78,.,55500,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88757,Valdosta State University                                   ,2003-2004,Football,294327,1091597,-797270,294327,1091597,-797270,0,0,0,120,.,184778,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88766,Valley City State University                                ,2003-2004,Football,116175,116175,0,116175,116175,0,0,0,0,88,.,35176,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88778,Valparaiso University                                       ,2003-2004,Football,583186,492009,91177,583186,492009,91177,0,0,0,110,.,15192,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88787,Vanderbilt University                                       ,2003-2004,Football,13431804,12297865,1133939,13431804,12297865,1133939,0,0,0,102,.,854713,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88822,Ventura College                                             ,2003-2004,Football,179529,154173,25356,179529,154173,25356,0,0,0,71,.,26439,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88835,Vermilion Community College                                 ,2003-2004,Football,49173,47030,2143,49173,47030,2143,0,0,0,56,.,8452,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88852,Victor Valley College                                       ,2003-2004,Football,77372,77372,0,77372,77372,0,0,0,0,59,.,20472,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88876,Villanova University                                        ,2003-2004,Football,656432,3285166,-2628734,656432,3285166,-2628734,0,0,0,90,.,411516,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88918,Virginia Military Institute                                 ,2003-2004,Football,1464830,2091151,-626321,1464830,2091151,-626321,0,0,0,83,.,234741,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88929,Virginia Polytechnic Institute And State Univ               ,2003-2004,Football,24138543,13496687,10641856,24138543,13496687,10641856,0,0,0,124,.,2102569,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88943,Virginia State University                                   ,2003-2004,Football,672692,569387,103305,672692,569387,103305,0,0,0,107,.,79132,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88951,Virginia Union University                                   ,2003-2004,Football,553148,890291,-337143,553148,890291,-337143,0,0,0,70,.,46902,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88988,Wagner College                                              ,2003-2004,Football,468596,655249,-186653,468596,655249,-186653,0,0,0,126,.,152420,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89005,Wake Forest University                                      ,2003-2004,Football,7134512,7714751,-580239,7134512,7714751,-580239,0,0,0,101,.,416410,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89014,Waldorf College                                             ,2003-2004,Football,44384,194146,-149762,44384,194146,-149762,0,0,0,44,.,43000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89038,Walsh University                                            ,2003-2004,Football,415659,409885,5774,415659,409885,5774,0,0,0,96,.,225060,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89074,Wartburg College                                            ,2003-2004,Football,70895,231671,-160776,70895,231671,-160776,0,0,0,129,.,48684,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89085,Washburn University Of Topeka                               ,2003-2004,Football,135974,135974,0,135974,135974,0,0,0,0,94,.,99102,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89094,Washington &Amp; Jefferson College                              ,2003-2004,Football,322013,580260,-258247,322013,580260,-258247,0,0,0,129,.,105046,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89110,Washington And Lee University                               ,2003-2004,Football,19195,220712,-201517,19195,220712,-201517,0,0,0,65,.,37721,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
