,DOE.Institution_Name,Year,SportName,Total.Revenue,Total.Expense,Total.Profit,Men.Revenue,Men.Expense,Men.Profit,Women.Revenue,Women.Expense,Women.Profit,Male.Athletes,Female.Athletes,Men.Team.Expense,Women.Team.Expense,SportCode,Coed.Athletes,Total.Women.Including.Coed.Expense,Total.Men.Including.Coed.Expense,Coed.Expense,Women.Coed.Expense,Men.Coed.Expense,Women.Men.Expense,Women.Including.Coed.Revenue,Men.Including.Coed.Revenue,Coed.Revenue,Women.Coed.Revenue,Men.Coed.Revenue,Total.Men.Women.Revenue,Total.Team.Expense,Total.Women.Team.Expense.Including.Coed,Total.Men.Team.Expense.Including.Coed,Total.Coed.Team.Expense,Total.Women.Coed.Team.Expense,Total.Men.Coed.Team.Expense,Total.Men.Women.Team.Expense,Total.Female.Including.Coed,Total.Male.Including.Coed,Female.Coed.Athletes,Male.Coed.Athletes
806,Appalachian State University                      ,2000-2001,Football,680904,1483180,-802276,680904,1483180,-802276,NA,NA,NA,110,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
821,Appalachian State University                      ,2001-2002,Football,703594,1489961,-786367,703594,1489961,-786367,NA,NA,NA,117,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
864,Arizona State University-Main Campus              ,2000-2001,Football,20048107,11798447,8249660,20048107,11798447,8249660,NA,NA,NA,107,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
879,Arizona State University-Main Campus              ,2001-2002,Football,20160272,8891053,11269219,20160272,8891053,11269219,NA,NA,NA,105,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
897,Arizona Western College                           ,2000-2001,Football,5402,308003,-302601,5402,308003,-302601,NA,NA,NA,69,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
906,Arizona Western College                           ,2001-2002,Football,5962,293313,-287351,5962,293313,-287351,NA,NA,NA,65,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
915,Arkansas State University-Main Campus             ,2000-2001,Football,1364584,2769276,-1404692,1364584,2769276,-1404692,NA,NA,NA,87,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
928,Arkansas State University-Main Campus             ,2001-2002,Football,1249514,3305003,-2055489,1249514,3305003,-2055489,NA,NA,NA,97,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
942,Arkansas Tech University                          ,2000-2001,Football,295652,541915,-246263,295652,541915,-246263,NA,NA,NA,89,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
951,Arkansas Tech University                          ,2001-2002,Football,599866,599866,0,599866,599866,0,NA,NA,NA,136,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,Ashland University                                ,2000-2001,Football,8000,884000,-876000,8000,884000,-876000,NA,NA,NA,104,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,Ashland University                                ,2001-2002,Football,1200500,1110400,90100,1200500,1110400,90100,NA,NA,NA,101,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1046,Assumption College                                ,2000-2001,Football,95909,153868,-57959,95909,153868,-57959,NA,NA,NA,78,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1061,Assumption College                                ,2001-2002,Football,148557,190798,-42241,148557,190798,-42241,NA,NA,NA,79,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1089,Auburn University Main Campus                     ,2000-2001,Football,28802492,10348882,18453610,28802492,10348882,18453610,NA,NA,NA,102,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1102,Auburn University Main Campus                     ,2001-2002,Football,31205035,10255248,20949787,31205035,10255248,20949787,NA,NA,NA,107,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1130,Augsburg College                                  ,2000-2001,Football,188584,160438,28146,188584,160438,28146,NA,NA,NA,88,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1143,Augsburg College                                  ,2001-2002,Football,179009,166525,12484,179009,166525,12484,NA,NA,NA,82,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1181,Augustana College                                 ,2000-2001,Football,17669,322246,-304577,17669,322246,-304577,NA,NA,NA,117,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182,Augustana College                                 ,2000-2001,Football,292816,893689,-600873,292816,893689,-600873,NA,NA,NA,80,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,Augustana College                                 ,2001-2002,Football,44250,370124,-325874,44250,370124,-325874,NA,NA,NA,113,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1208,Augustana College                                 ,2001-2002,Football,261720,261720,0,261720,261720,0,NA,NA,NA,82,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1233,Aurora University                                 ,2000-2001,Football,15448,40807,-25359,15448,40807,-25359,NA,NA,NA,99,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1243,Aurora University                                 ,2001-2002,Football,5228,183555,-178327,5228,183555,-178327,NA,NA,NA,83,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
