Year,unitid,Institution_Name,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2002-2003,135726,University of Miami,Baseball,22,22,0,14,14,0,0,0,0,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0
2002-2003,135726,University of Miami,Basketball,25,12,13,4,0,4,13,8,5,1,1,0,0,0,0,0,0,0,1,0,1,6,3,3
2002-2003,135726,University of Miami,Cross-country and/or track,28,9,19,6,4,2,18,3,15,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0
2002-2003,135726,University of Miami,Football,74,74,0,20,20,0,47,47,0,3,3,0,0,0,0,0,0,0,3,3,0,1,1,0
2002-2003,139959,University of Georgia,All other sports combined,137,34,103,113,25,88,9,1,8,3,1,2,2,1,1,0,0,0,0,0,0,10,6,4
2002-2003,139959,University of Georgia,Baseball,44,44,0,43,43,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,139959,University of Georgia,Basketball,24,11,13,4,1,3,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,139959,University of Georgia,Cross-country and/or track,59,31,28,30,16,14,20,10,10,1,1,0,0,0,0,0,0,0,0,0,0,8,4,4
2002-2003,139959,University of Georgia,Football,86,86,0,26,26,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,142115,Boise State University,All other sports combined,126,43,83,93,28,65,1,0,1,3,3,0,2,2,0,4,0,4,1,1,0,22,9,13
2002-2003,142115,Boise State University,Basketball,28,12,16,10,1,9,9,7,2,2,0,2,1,0,1,1,0,1,0,0,0,5,4,1
2002-2003,142115,Boise State University,Cross-country and/or track,66,21,45,50,13,37,6,5,1,0,0,0,1,0,1,0,0,0,0,0,0,9,3,6
2002-2003,142115,Boise State University,Football,97,97,0,58,58,0,22,22,0,7,7,0,6,6,0,1,1,0,1,1,0,2,2,0
2002-2003,147767,Northwestern University,All other sports combined,204,53,151,175,45,130,5,1,4,4,2,2,4,0,4,0,0,0,7,3,4,9,2,7
2002-2003,147767,Northwestern University,Baseball,20,20,0,18,18,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,147767,Northwestern University,Basketball,28,14,14,11,0,11,5,2,3,5,5,0,0,0,0,0,0,0,2,2,0,5,5,0
2002-2003,147767,Northwestern University,Cross-country and/or track,11,0,11,7,0,7,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0
2002-2003,147767,Northwestern University,Football,87,87,0,39,39,0,40,40,0,3,3,0,0,0,0,0,0,0,2,2,0,3,3,0
2002-2003,152080,University of Notre Dame,All other sports combined,244,98,146,212,82,130,3,1,2,7,3,4,4,2,2,0,0,0,0,0,0,18,10,8
2002-2003,152080,University of Notre Dame,Baseball,20,20,0,16,16,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0
2002-2003,152080,University of Notre Dame,Basketball,23,12,11,11,3,8,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2002-2003,152080,University of Notre Dame,Cross-country and/or track,37,15,22,19,8,11,10,3,7,2,1,1,0,0,0,0,0,0,0,0,0,6,3,3
2002-2003,152080,University of Notre Dame,Football,78,78,0,40,40,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2002-2003,155399,Kansas State University,All other sports combined,150,11,139,132,11,121,0,0,0,0,0,0,1,0,1,0,0,0,5,0,5,12,0,12
2002-2003,155399,Kansas State University,Baseball,33,33,0,26,26,0,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0,2,2,0
2002-2003,155399,Kansas State University,Basketball,23,12,11,12,4,8,9,7,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
2002-2003,155399,Kansas State University,Cross-country and/or track,74,39,35,39,17,22,17,8,9,3,2,1,0,0,0,0,0,0,2,1,1,13,11,2
2002-2003,155399,Kansas State University,Football,93,93,0,36,36,0,46,46,0,2,2,0,1,1,0,2,2,0,6,6,0,0,0,0
2002-2003,157289,University of Louisville,All other sports combined,157,42,115,110,23,87,5,0,5,7,1,6,1,0,1,0,0,0,0,0,0,34,18,16
2002-2003,157289,University of Louisville,Baseball,28,28,0,23,23,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0
2002-2003,157289,University of Louisville,Basketball,31,15,16,7,1,6,20,11,9,0,0,0,1,0,1,0,0,0,0,0,0,3,3,0
2002-2003,157289,University of Louisville,Cross-country and/or track,48,22,26,33,17,16,10,2,8,1,0,1,0,0,0,0,0,0,0,0,0,4,3,1
2002-2003,157289,University of Louisville,Football,80,80,0,25,25,0,53,53,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,All other sports combined,132,37,95,99,24,75,6,1,5,2,1,1,1,0,1,0,0,0,0,0,0,24,11,13
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Baseball,30,30,0,28,28,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Basketball,28,14,14,2,1,1,23,11,12,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Cross-country and/or track,37,14,23,6,2,4,22,7,15,0,0,0,0,0,0,0,0,0,2,1,1,7,4,3
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Football,84,84,0,27,27,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2002-2003,170976,University of Michigan-Ann Arbor,All other sports combined,276,102,174,212,74,138,16,9,7,11,5,6,6,1,5,1,0,1,5,3,2,25,10,15
2002-2003,170976,University of Michigan-Ann Arbor,Baseball,27,27,0,23,23,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0
2002-2003,170976,University of Michigan-Ann Arbor,Basketball,29,14,15,9,2,7,16,11,5,1,0,1,0,0,0,0,0,0,1,0,1,2,1,1
2002-2003,170976,University of Michigan-Ann Arbor,Cross-country and/or track,49,19,30,32,11,21,9,3,6,0,0,0,2,1,1,0,0,0,0,0,0,6,4,2
2002-2003,170976,University of Michigan-Ann Arbor,Football,90,90,0,40,40,0,45,45,0,1,1,0,0,0,0,0,0,0,1,1,0,3,3,0
2002-2003,181464,University of Nebraska-Lincoln,All other sports combined,184,56,128,139,46,93,4,0,4,8,2,6,5,0,5,2,1,1,0,0,0,26,7,19
2002-2003,181464,University of Nebraska-Lincoln,Baseball,41,41,0,38,38,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,181464,University of Nebraska-Lincoln,Basketball,28,14,14,14,7,7,12,6,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2002-2003,181464,University of Nebraska-Lincoln,Cross-country and/or track,76,41,35,46,22,24,16,14,2,1,0,1,0,0,0,0,0,0,0,0,0,13,5,8
2002-2003,181464,University of Nebraska-Lincoln,Football,103,103,0,59,59,0,40,40,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0
2002-2003,186380,Rutgers University-New Brunswick,All other sports combined,265,103,162,219,84,135,11,4,7,8,6,2,9,1,8,1,1,0,8,2,6,9,5,4
2002-2003,186380,Rutgers University-New Brunswick,Baseball,33,33,0,28,28,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,186380,Rutgers University-New Brunswick,Basketball,27,14,13,3,1,2,19,10,9,0,0,0,0,0,0,0,0,0,1,1,0,4,2,2
2002-2003,186380,Rutgers University-New Brunswick,Cross-country and/or track,54,25,29,28,15,13,20,9,11,3,1,2,0,0,0,1,0,1,1,0,1,1,0,1
2002-2003,186380,Rutgers University-New Brunswick,Football,92,92,0,38,38,0,48,48,0,2,2,0,0,0,0,0,0,0,2,2,0,2,2,0
2002-2003,198419,Duke University,All other sports combined,223,79,144,174,62,112,6,2,4,7,4,3,8,3,5,0,0,0,11,2,9,17,6,11
2002-2003,198419,Duke University,Baseball,29,29,0,26,26,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
2002-2003,198419,Duke University,Basketball,24,11,13,9,3,6,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2002-2003,198419,Duke University,Football,81,81,0,44,44,0,35,35,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
2002-2003,199120,University of North Carolina at Chapel Hill,All other sports combined,255,107,148,209,89,120,19,6,13,7,5,2,5,1,4,0,0,0,5,1,4,10,5,5
2002-2003,199120,University of North Carolina at Chapel Hill,Baseball,30,30,0,29,29,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,199120,University of North Carolina at Chapel Hill,Basketball,26,12,14,7,3,4,17,8,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2002-2003,199120,University of North Carolina at Chapel Hill,Cross-country and/or track,45,20,25,24,10,14,14,5,9,1,1,0,1,1,0,0,0,0,0,0,0,5,3,2
2002-2003,199120,University of North Carolina at Chapel Hill,Football,86,86,0,23,23,0,62,62,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2002-2003,204796,Ohio State University-Main Campus,All other sports combined,419,182,237,312,140,172,16,10,6,11,4,7,7,2,5,2,1,1,6,1,5,65,24,41
2002-2003,204796,Ohio State University-Main Campus,Baseball,27,27,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,204796,Ohio State University-Main Campus,Basketball,27,13,14,9,3,6,16,9,7,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2002-2003,204796,Ohio State University-Main Campus,Cross-country and/or track,39,16,23,19,11,8,17,4,13,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
2002-2003,204796,Ohio State University-Main Campus,Football,87,87,0,43,43,0,42,42,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
2002-2003,207388,Oklahoma State University-Main Campus,All other sports combined,131,42,89,83,23,60,7,4,3,4,0,4,0,0,0,11,7,4,0,0,0,26,8,18
2002-2003,207388,Oklahoma State University-Main Campus,Baseball,36,36,0,31,31,0,1,1,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0
2002-2003,207388,Oklahoma State University-Main Campus,Basketball,32,13,19,11,1,10,18,10,8,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1
2002-2003,207388,Oklahoma State University-Main Campus,Cross-country and/or track,38,16,22,21,10,11,8,1,7,0,0,0,0,0,0,1,1,0,0,0,0,8,4,4
2002-2003,207388,Oklahoma State University-Main Campus,Football,87,87,0,35,35,0,48,48,0,1,1,0,1,1,0,2,2,0,0,0,0,0,0,0
2002-2003,207500,University of Oklahoma Norman Campus,All other sports combined,146,56,90,106,37,69,10,8,2,6,3,3,1,0,1,2,1,1,10,2,8,11,5,6
2002-2003,207500,University of Oklahoma Norman Campus,Baseball,38,38,0,29,29,0,2,2,0,2,2,0,1,1,0,3,3,0,1,1,0,0,0,0
2002-2003,207500,University of Oklahoma Norman Campus,Basketball,35,16,19,13,3,10,15,10,5,1,1,0,0,0,0,1,0,1,0,0,0,5,2,3
2002-2003,207500,University of Oklahoma Norman Campus,Cross-country and/or track,61,27,34,24,10,14,27,11,16,0,0,0,0,0,0,1,1,0,2,1,1,7,4,3
2002-2003,207500,University of Oklahoma Norman Campus,Football,86,86,0,23,23,0,59,59,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
2002-2003,209542,Oregon State University,All other sports combined,159,59,100,120,45,75,3,3,0,7,3,4,5,1,4,0,0,0,8,3,5,16,4,12
2002-2003,209542,Oregon State University,Baseball,36,36,0,25,25,0,0,0,0,2,2,0,3,3,0,3,3,0,1,1,0,2,2,0
2002-2003,209542,Oregon State University,Basketball,30,13,17,13,4,9,12,7,5,2,1,1,1,0,1,0,0,0,0,0,0,2,1,1
2002-2003,209542,Oregon State University,Football,83,83,0,40,40,0,32,32,0,2,2,0,3,3,0,0,0,0,6,6,0,0,0,0
2002-2003,209551,University of Oregon,All other sports combined,116,37,79,77,27,50,2,0,2,5,1,4,6,0,6,1,0,1,9,3,6,16,6,10
2002-2003,209551,University of Oregon,Basketball,28,13,15,15,7,8,9,5,4,0,0,0,1,0,1,0,0,0,1,1,0,2,0,2
2002-2003,209551,University of Oregon,Cross-country and/or track,56,30,26,39,20,19,6,3,3,4,2,2,1,1,0,1,1,0,1,1,0,4,2,2
2002-2003,209551,University of Oregon,Football,84,84,0,29,29,0,39,39,0,3,3,0,6,6,0,1,1,0,5,5,0,1,1,0
2002-2003,217882,Clemson University,All other sports combined,177,68,109,131,45,86,8,5,3,2,0,2,0,0,0,1,1,0,14,8,6,21,9,12
2002-2003,217882,Clemson University,Baseball,42,42,0,32,32,0,1,1,0,1,1,0,0,0,0,0,0,0,8,8,0,0,0,0
2002-2003,217882,Clemson University,Basketball,27,11,16,7,0,7,15,7,8,0,0,0,0,0,0,0,0,0,2,1,1,3,3,0
2002-2003,217882,Clemson University,Cross-country and/or track,61,35,26,27,19,8,23,11,12,0,0,0,0,0,0,0,0,0,5,2,3,6,3,3
2002-2003,217882,Clemson University,Football,90,90,0,14,14,0,69,69,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0
2002-2003,218663,University of South Carolina-Columbia,All other sports combined,145,55,90,110,40,70,8,4,4,2,1,1,3,1,2,0,0,0,0,0,0,22,9,13
2002-2003,218663,University of South Carolina-Columbia,Baseball,36,36,0,32,32,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,218663,University of South Carolina-Columbia,Basketball,25,13,12,4,2,2,15,10,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5
2002-2003,218663,University of South Carolina-Columbia,Cross-country and/or track,43,18,25,11,7,4,30,10,20,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2002-2003,218663,University of South Carolina-Columbia,Football,84,84,0,22,22,0,61,61,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2002-2003,221999,Vanderbilt University,All other sports combined,88,40,48,77,35,42,1,0,1,1,0,1,2,1,1,0,0,0,6,3,3,1,1,0
2002-2003,221999,Vanderbilt University,Baseball,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,221999,Vanderbilt University,Basketball,24,13,11,9,4,5,10,6,4,0,0,0,0,0,0,0,0,0,2,1,1,3,2,1
2002-2003,221999,Vanderbilt University,Cross-country and/or track,19,0,19,9,0,9,5,0,5,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1
2002-2003,221999,Vanderbilt University,Football,84,84,0,42,42,0,36,36,0,0,0,0,0,0,0,2,2,0,4,4,0,0,0,0
2002-2003,228246,Southern Methodist University,All other sports combined,140,47,93,97,26,71,2,0,2,3,2,1,2,1,1,2,1,1,0,0,0,34,17,17
2002-2003,228246,Southern Methodist University,Basketball,33,16,17,14,5,9,17,10,7,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
2002-2003,228246,Southern Methodist University,Cross-country and/or track,28,15,13,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,13,11
2002-2003,228246,Southern Methodist University,Football,87,87,0,45,45,0,40,40,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
2002-2003,228723,Texas A & M University-College Station,All other sports combined,239,45,194,197,30,167,4,1,3,9,2,7,2,2,0,2,0,2,6,1,5,19,9,10
2002-2003,228723,Texas A & M University-College Station,Baseball,43,43,0,41,41,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,228723,Texas A & M University-College Station,Basketball,30,14,16,7,2,5,19,8,11,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
2002-2003,228723,Texas A & M University-College Station,Cross-country and/or track,57,29,28,40,19,21,8,5,3,1,0,1,1,0,1,0,0,0,1,0,1,6,5,1
2002-2003,228723,Texas A & M University-College Station,Football,88,88,0,30,30,0,56,56,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,228778,The University of Texas at Austin,All other sports combined,209,72,137,169,61,108,6,2,4,8,2,6,6,0,6,0,0,0,3,1,2,17,6,11
2002-2003,228778,The University of Texas at Austin,Baseball,41,41,0,30,30,0,1,1,0,6,6,0,2,2,0,1,1,0,1,1,0,0,0,0
2002-2003,228778,The University of Texas at Austin,Basketball,31,16,15,12,5,7,16,9,7,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2002-2003,228778,The University of Texas at Austin,Cross-country and/or track,65,40,25,28,22,6,31,16,15,1,0,1,1,0,1,0,0,0,0,0,0,4,2,2
2002-2003,228778,The University of Texas at Austin,Football,94,94,0,35,35,0,54,54,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0
2002-2003,230728,Utah State University,All other sports combined,91,19,72,82,17,65,0,0,0,3,0,3,1,0,1,0,0,0,1,0,1,4,2,2
2002-2003,230728,Utah State University,Basketball,18,13,5,10,5,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,230728,Utah State University,Cross-country and/or track,56,30,26,46,24,22,2,2,0,2,1,1,0,0,0,0,0,0,3,1,2,3,2,1
2002-2003,230728,Utah State University,Football,73,73,0,35,35,0,24,24,0,6,6,0,3,3,0,0,0,0,4,4,0,1,1,0
2002-2003,243744,Stanford University,All other sports combined,245,98,147,192,76,116,14,9,5,6,2,4,22,4,18,2,1,1,1,1,0,8,5,3
2002-2003,243744,Stanford University,Baseball,21,21,0,18,18,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2002-2003,243744,Stanford University,Basketball,25,11,14,15,4,11,8,5,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2002-2003,243744,Stanford University,Cross-country and/or track,41,16,25,28,15,13,9,1,8,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
2002-2003,243744,Stanford University,Football,82,82,0,38,38,0,37,37,0,1,1,0,2,2,0,0,0,0,1,1,0,3,3,0
