"","A","B","C","D","Season","F","G","H","I","J","Source","Season.Type"
"320",581,"Quinn","Quinn, Chris","NBA","NJN","2009-2010","1","20100106NJNATL","2010-01-05","2010-07-01","Basketball Value","Regular Season"
"321",581,"Quinn","Quinn, Chris","NBA","MIA","2009-2010","1","SeasonStart","2009-10-26","2010-01-05","Basketball Value","Regular Season"
"322",588,"Foye","Foye, Randy","NBA","WAS","2009-2010","1.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"323",589,"Smith","Smith, Craig","NBA","LAC","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"324",592,"Williams","Williams, Marcus","NBA","MEM","2009-2010","1.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"325",593,"Boone","Boone, Josh","NBA","NJN","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"326",594,"Armstrong","Armstrong, Hilton","NBA","SAC","2009-2010","4.8","20100118SACCHA","2010-01-11","2010-02-18","Basketball Value","Regular Season"
"327",594,"Armstrong","Armstrong, Hilton","NBA","HOU","2009-2010","4.8","20100224ORLHOU","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"328",594,"Armstrong","Armstrong, Hilton","NBA","NOH","2009-2010","4.8","SeasonStart","2009-10-26","2010-01-11","Basketball Value","Regular Season"
"329",597,"Balkman","Balkman, Renaldo","NBA","DEN","2009-2010","3.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"330",598,"Collins","Collins, Mardy","NBA","LAC","2009-2010","1.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"331",599,"Redick","Redick, J.J.","NBA","ORL","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"332",601,"Carney","Carney, Rodney","NBA","PHI","2009-2010","2.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"333",605,"Rodriguez","Rodriguez, Sergio","NBA","NYK","2009-2010","1","20100220OKCNYK","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"334",605,"Rodriguez","Rodriguez, Sergio","NBA","SAC","2009-2010","1","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"335",606,"Roy","Roy, Brandon","NBA","POR","2009-2010","2.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"336",607,"Aldridge","Aldridge, LaMarcus","NBA","POR","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"337",608,"Douby","Douby, Quincy","NBA","TOR","2009-2010","1.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"338",612,"Bargnani","Bargnani, Andrea","NBA","TOR","2009-2010","4.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"339",614,"Parker","Parker, Anthony","NBA","CLE","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"340",617,"Brewer","Brewer, Ronnie","NBA","MEM","2009-2010","2.8","20100219MIAMEM","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"341",617,"Brewer","Brewer, Ronnie","NBA","UTA","2009-2010","2.8","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"342",622,"Mason","Mason, Roger","NBA","SAS","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
