"","PlayerName","PlayerTrueName","League","TeamName3","Season","Comment","StartDate","EndDate","Source","Season.Type"
"280","Maxiell","Maxiell, Jason","NBA","DET","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"281","L. Williams","Williams, Louis","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"281","Williams","Williams, Louis","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"284","Przybilla","Przybilla, Joel","NBA","POR","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"285","Garnett","Garnett, Kevin","NBA","BOS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"288","Szczerbiak","Szczerbiak, Wally","NBA","CLE","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"297","Ratliff","Ratliff, Theo","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"298","Carter","Carter, Anthony","NBA","DEN","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"302","Ming","Ming, Yao","NBA","HOU","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"302","Yao","Ming, Yao","NBA","HOU","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"305","McGrady","McGrady, Tracy","NBA","HOU","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"308","Alston","Alston, Rafer","NBA","ORL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"311","R. Bowen","Bowen, Ryan","NBA","NOH","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"311","Bowen","Bowen, Ryan","NBA","NOH","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"312","Mutombo","Mutombo, Dikembe","NBA","HOU","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"321","Daniels","Daniels, Antonio","NBA","NOH","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"326","Peterson","Peterson, Morris","NBA","NOH","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"329","Ruffin","Ruffin, Michael","NBA","POR","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"330","Bonner","Bonner, Matt","NBA","SAS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"337","Johnson","Johnson, Anthony","NBA","ORL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"354","Outlaw","Outlaw, Travis","NBA","POR","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"354","T. Outlaw","Outlaw, Travis","NBA","POR","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"355","Blake","Blake, Steve","NBA","POR","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"356","Webster","Webster, Martell","NBA","POR","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"362","Frye","Frye, Channing","NBA","POR","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"372","Head","Head, Luther","NBA","MIA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"383","Smith","Smith, Joe","NBA","CLE","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"401","Posey","Posey, James","NBA","NOH","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"408","Johnson","Johnson, Linton","NBA","CHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"410","Marks","Marks, Sean","NBA","NOH","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"411","Moore","Moore, Mikki","NBA","BOS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"426","Miles","Miles, C.J.","NBA","UTA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"430","Powell","Powell, Josh","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"433","S. Randolph","Randolph, Shavlik","NBA","POR","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"433","Randolph","Randolph, Shavlik","NBA","POR","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"439","Mbenga","Mbenga, DJ","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"444","Wright","Wright, Antoine","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"454","Wafer","Wafer, Von","NBA","HOU","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"457","Roberson","Roberson, Anthony","NBA","CHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"458","Dalembert","Dalembert, Samuel","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"459","Walton","Walton, Luke","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"492","Stackhouse","Stackhouse, Jerry","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"501","T. Allen","Allen, Tony","NBA","BOS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"501","A. Allen","Allen, Tony","NBA","BOS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"505","Varejao","Varejao, Anderson","NBA","CLE","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"508","Hayes","Hayes, Chuck","NBA","HOU","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"508","C. Hayes","Hayes, Chuck","NBA","HOU","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"510","Johnson","Johnson, Amir","NBA","DET","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"510","A. Johnson","Johnson, Amir","NBA","DET","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"514","Green","Green, Gerald","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"515","Hunter","Hunter, Lindsey","NBA","CHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"518","Boozer","Boozer, Carlos","NBA","UTA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"532","Bynum","Bynum, Will","NBA","DET","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"541","Green","Green, Willie","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"541","W. Green","Green, Willie","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"544","Udoka","Udoka, Ime","NBA","SAS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"550","S. Jones","Jones, Solomon","NBA","ATL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"550","Jones","Jones, Solomon","NBA","ATL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"552","Powe","Powe, Leon","NBA","BOS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"553","Rondo","Rondo, Rajon","NBA","BOS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"555","Morrison","Morrison, Adam","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"556","Herrmann","Herrmann, Walter","NBA","DET","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"557","Hollins","Hollins, Ryan","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"559","Ty. Thomas","Thomas, Tyrus","NBA","CHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"560","Brown","Brown, Shannon","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"561","Gibson","Gibson, Daniel","NBA","CLE","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"563","Barea","Barea, Jose","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"565","Diawara","Diawara, Yakhouba","NBA","MIA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"573","Williams","Williams, Shawne","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
