Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1997-1998,157289,University of Louisville,Baseball,Scholarship Awards,27,27,0,24,24,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,157289,University of Louisville,Basketball,Scholarship Awards,24,12,12,10,3,7,14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,157289,University of Louisville,Cross-country and/or track,Scholarship Awards,31,13,18,22,10,12,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1997-1998,157289,University of Louisville,Football,Scholarship Awards,76,76,0,24,24,0,51,51,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,135726,University of Miami,All other sports combined,Scholarship Awards,42,11,31,23,6,17,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,15,4,11
1997-1998,135726,University of Miami,Baseball,Scholarship Awards,7,7,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,135726,University of Miami,Basketball,Scholarship Awards,23,12,11,3,0,3,17,11,6,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1
1997-1998,135726,University of Miami,Cross-country and/or track,Scholarship Awards,29,10,19,7,5,2,13,2,11,4,2,2,0,0,0,0,0,0,0,0,0,5,1,4
1997-1998,135726,University of Miami,Football,Scholarship Awards,69,69,0,16,16,0,48,48,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0
1997-1998,170976,University of Michigan-Ann Arbor,All other sports combined,Scholarship Awards,204,78,126,170,61,109,5,3,2,2,0,2,6,1,5,0,0,0,6,2,4,15,11,4
