Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1991-1992,142115,Boise State University,Bachelor's degree,Visual and Performing Arts,'50.0000',55,11,44,47,8,39,1,1,0,0,0,0,0,0,0,0,0,0,6,1,5,1,1,0
1991-1992,217882,Clemson University,Bachelor's degree,Agricultural Business and Production,'01.0000',33,28,5,30,25,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
1991-1992,217882,Clemson University,Bachelor's degree,Agricultural Sciences,'02.0000',58,33,25,58,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,217882,Clemson University,Bachelor's degree,Architecture and Related Programs,'04.0000',119,90,29,115,87,28,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
1991-1992,217882,Clemson University,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',91,46,45,80,43,37,7,1,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0
1991-1992,217882,Clemson University,Bachelor's degree,Business Management and Admin. Services,'52.0000',782,475,307,738,450,288,30,18,12,5,3,2,3,0,3,0,0,0,0,0,0,6,4,2
1991-1992,217882,Clemson University,Bachelor's degree,Computer and Information Sciences,'11.0000',54,36,18,48,35,13,4,0,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1991-1992,217882,Clemson University,Bachelor's degree,Conservation and Renewable Natural Resources,'03.0000',15,15,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,217882,Clemson University,Bachelor's degree,Education,'13.0000',280,51,229,268,48,220,11,2,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,217882,Clemson University,Bachelor's degree,Engineering,'14.0000',523,424,99,484,403,81,27,12,15,2,1,1,5,4,1,0,0,0,0,0,0,5,4,1
1991-1992,217882,Clemson University,Bachelor's degree,English Language and Literature/Letters,'23.0000',64,20,44,62,20,42,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,217882,Clemson University,Bachelor's degree,Foreign Languages and Literatures,'16.0000',66,17,49,61,15,46,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,2,1,1
1991-1992,217882,Clemson University,Bachelor's degree,Health Professions and Related Sciences,'51.0000',61,4,57,57,4,53,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1991-1992,217882,Clemson University,Bachelor's degree,Mathematics,'27.0000',30,13,17,29,13,16,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1991-1992,217882,Clemson University,Bachelor's degree,Parks- Recreation- Leisure and Fitness,'31.0000',94,35,59,90,35,55,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1991-1992,217882,Clemson University,Bachelor's degree,Philosophy and Religion,'38.0000',2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,217882,Clemson University,Bachelor's degree,Physical Sciences,'40.0000',31,20,11,28,18,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1991-1992,217882,Clemson University,Bachelor's degree,Psychology,'42.0000',76,25,51,72,24,48,2,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1991-1992,217882,Clemson University,Bachelor's degree,Social Sciences and History,'45.0000',195,113,82,179,107,72,10,2,8,3,1,2,0,0,0,0,0,0,0,0,0,3,3,0
1991-1992,217882,Clemson University,Bachelor's degree,Visual and Performing Arts,'50.0000',28,13,15,25,12,13,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1991-1992,198419,Duke University,Bachelor's degree,Area- Ethnic and Cultural Studies,'05.0000',55,11,44,44,7,37,5,2,3,4,1,3,0,0,0,0,0,0,0,0,0,2,1,1
1991-1992,198419,Duke University,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',144,70,74,113,55,58,5,2,3,1,0,1,22,11,11,0,0,0,0,0,0,3,2,1
1991-1992,198419,Duke University,Bachelor's degree,Computer and Information Sciences,'11.0000',15,13,2,10,8,2,1,1,0,1,1,0,2,2,0,0,0,0,0,0,0,1,1,0
1991-1992,198419,Duke University,Bachelor's degree,Engineering,'14.0000',194,152,42,161,129,32,15,8,7,1,1,0,10,8,2,0,0,0,0,0,0,7,6,1
1991-1992,198419,Duke University,Bachelor's degree,English Language and Literature/Letters,'23.0000',159,84,75,134,76,58,12,3,9,5,2,3,8,3,5,0,0,0,0,0,0,0,0,0
1991-1992,198419,Duke University,Bachelor's degree,Foreign Languages and Literatures,'16.0000',42,23,19,35,23,12,1,0,1,4,0,4,1,0,1,1,0,1,0,0,0,0,0,0
1991-1992,198419,Duke University,Bachelor's degree,Mathematics,'27.0000',31,18,13,29,18,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
