Year,unitid,Institution_Name,Major,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',116,29,87,59,19,40,9,2,7,35,6,29,7,1,6,0,0,0,5,1,4,1,0,1
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Psychology.,'42',595,142,453,368,91,277,44,8,36,56,17,39,85,21,64,1,0,1,36,3,33,5,2,3
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Visual and performing arts.,'50',236,62,174,164,43,121,16,3,13,11,3,8,28,10,18,1,0,1,13,2,11,3,1,2
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',452,137,315,286,91,195,45,10,35,35,8,27,62,21,41,1,0,1,21,7,14,2,0,2
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',49,6,43,11,1,10,19,3,16,5,1,4,11,1,10,1,0,1,2,0,2,0,0,0
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Mathematics and statistics.,'27',68,42,26,43,29,14,1,0,1,3,1,2,15,10,5,1,1,0,2,1,1,3,0,3
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Physical sciences.,'40',79,50,29,45,33,12,2,1,1,1,1,0,21,11,10,0,0,0,4,3,1,6,1,5
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Public administration and social service professions.,'44',17,0,17,11,0,11,1,0,1,3,0,3,0,0,0,0,0,0,1,0,1,1,0,1
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',1250,562,688,241,119,122,29,18,11,136,64,72,581,246,335,5,3,2,181,91,90,77,21,56
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',281,26,255,74,8,66,11,1,10,46,7,39,107,8,99,0,0,0,41,2,39,2,0,2
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',206,73,133,75,26,49,12,4,8,44,15,29,33,12,21,1,1,0,30,12,18,11,3,8
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Computer and information sciences and support services.,'11',272,171,101,31,22,9,3,3,0,6,5,1,166,107,59,0,0,0,23,15,8,43,19,24
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Engineering.,'14',362,284,78,56,47,9,11,8,3,31,25,6,185,141,44,1,1,0,45,36,9,33,26,7
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Psychology.,'42',127,31,96,46,13,33,7,1,6,25,4,21,23,6,17,0,0,0,24,7,17,2,0,2
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Visual and performing arts.,'50',282,111,171,86,32,54,6,3,3,23,8,15,87,44,43,0,0,0,57,19,38,23,5,18
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',6,4,2,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Biological and biomedical sciences.,'26',65,15,50,20,6,14,0,0,0,10,4,6,19,3,16,0,0,0,14,2,12,2,0,2
2003-2004,122755,San Jose State University,First major,Bachelor's degree,History,'54',31,21,10,18,10,8,0,0,0,3,3,0,3,2,1,0,0,0,7,6,1,0,0,0
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Mathematics and statistics.,'27',22,15,7,11,6,5,0,0,0,0,0,0,7,6,1,0,0,0,1,1,0,3,2,1
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',48,13,35,22,3,19,2,2,0,12,3,9,2,2,0,1,0,1,9,3,6,0,0,0
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',70,27,43,20,5,15,3,2,1,16,8,8,13,6,7,2,0,2,14,5,9,2,1,1
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Physical sciences.,'40',33,17,16,16,9,7,0,0,0,6,4,2,6,1,5,0,0,0,5,3,2,0,0,0
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Social sciences.,'45',223,92,131,70,30,40,22,13,9,50,19,31,32,13,19,1,0,1,45,16,29,3,1,2
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Transportation and materials moving.,'49',38,34,4,16,13,3,0,0,0,9,8,1,6,6,0,0,0,0,5,5,0,2,2,0
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Education.,'13',124,7,117,55,4,51,2,0,2,20,0,20,29,2,27,2,0,2,12,0,12,4,1,3
2003-2004,122755,San Jose State University,First major,Bachelor's degree,English language and literature/letters.,'23',138,48,90,56,13,43,4,1,3,22,11,11,21,10,11,1,1,0,34,12,22,0,0,0
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',26,9,17,6,1,5,2,0,2,5,2,3,4,3,1,0,0,0,6,3,3,3,0,3
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',62,10,52,19,3,16,2,0,2,22,5,17,9,2,7,0,0,0,10,0,10,0,0,0
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Natural resources and conservation.,'03',26,15,11,12,8,4,1,1,0,3,2,1,3,1,2,1,1,0,5,2,3,1,0,1
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Philosophy and religious studies.,'38',18,11,7,6,3,3,1,0,1,3,2,1,4,2,2,0,0,0,3,3,0,1,1,0
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Public administration and social service professions.,'44',50,5,45,9,1,8,3,0,3,25,3,22,3,0,3,1,0,1,5,1,4,4,0,4
2003-2004,122755,San Jose State University,First major,Bachelor's degree,Security and protective services.,'43',94,29,65,22,7,15,7,2,5,31,6,25,16,8,8,0,0,0,18,6,12,0,0,0
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',406,219,187,296,169,127,15,7,8,29,15,14,35,12,23,3,0,3,0,0,0,28,16,12
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Engineering technologies/technicians.,'15',16,8,8,8,3,5,3,1,2,1,1,0,3,2,1,0,0,0,0,0,0,1,1,0
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',11,4,7,8,4,4,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Biological and biomedical sciences.,'26',44,21,23,30,11,19,4,3,1,2,2,0,7,4,3,1,1,0,0,0,0,0,0,0
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Computer and information sciences and support services.,'11',23,12,11,11,7,4,0,0,0,0,0,0,7,2,5,0,0,0,0,0,0,5,3,2
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,English language and literature/letters.,'23',48,19,29,41,15,26,1,0,1,5,3,2,0,0,0,1,1,0,0,0,0,0,0,0
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',16,2,14,9,1,8,1,0,1,2,0,2,2,1,1,1,0,1,0,0,0,1,0,1
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Public administration and social service professions.,'44',5,2,3,3,2,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Engineering.,'14',83,61,22,48,39,9,6,1,5,9,7,2,14,11,3,1,0,1,0,0,0,5,3,2
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Mathematics and statistics.,'27',32,22,10,23,17,6,0,0,0,5,3,2,2,2,0,0,0,0,0,0,0,2,0,2
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Physical sciences.,'40',19,8,11,14,5,9,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,1,1,0
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Psychology.,'42',131,25,106,105,22,83,13,2,11,4,0,4,6,1,5,0,0,0,0,0,0,3,0,3
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Social sciences.,'45',182,104,78,119,71,48,18,10,8,18,6,12,15,7,8,2,1,1,0,0,0,10,9,1
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',174,34,140,142,26,116,13,2,11,10,3,7,5,1,4,1,1,0,0,0,0,3,1,2
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Education.,'13',1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',36,8,28,24,5,19,1,1,0,9,2,7,1,0,1,0,0,0,0,0,0,1,0,1
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',4,1,3,3,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Philosophy and religious studies.,'38',17,10,7,14,8,6,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,Visual and performing arts.,'50',119,48,71,96,37,59,10,3,7,5,4,1,6,4,2,1,0,1,0,0,0,1,0,1
2003-2004,228246,Southern Methodist University,First major,Bachelor's degree,History,'54',29,18,11,27,17,10,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2003-2004,243744,Stanford University,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',33,14,19,10,3,7,4,3,1,9,4,5,10,4,6,0,0,0,0,0,0,0,0,0
2003-2004,243744,Stanford University,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',238,87,151,117,42,75,19,6,13,26,10,16,61,22,39,5,4,1,1,1,0,9,2,7
2003-2004,243744,Stanford University,First major,Bachelor's degree,Philosophy and religious studies.,'38',26,16,10,21,13,8,1,1,0,1,1,0,2,0,2,1,1,0,0,0,0,0,0,0
2003-2004,243744,Stanford University,First major,Bachelor's degree,Physical sciences.,'40',68,40,28,46,27,19,0,0,0,4,2,2,12,7,5,3,1,2,2,2,0,1,1,0
2003-2004,243744,Stanford University,First major,Bachelor's degree,Biological and biomedical sciences.,'26',131,58,73,48,24,24,4,0,4,10,6,4,65,25,40,1,1,0,0,0,0,3,2,1
2003-2004,243744,Stanford University,First major,Bachelor's degree,Engineering technologies/technicians.,'15',63,37,26,12,10,2,5,3,2,9,6,3,27,11,16,1,1,0,0,0,0,9,6,3
2003-2004,243744,Stanford University,First major,Bachelor's degree,Engineering.,'14',196,131,65,88,63,25,13,9,4,13,8,5,70,42,28,1,0,1,1,1,0,10,8,2
2003-2004,243744,Stanford University,First major,Bachelor's degree,History,'54',77,40,37,48,29,19,2,1,1,10,3,7,11,5,6,1,1,0,1,1,0,4,0,4
2003-2004,243744,Stanford University,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',8,4,4,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,243744,Stanford University,First major,Bachelor's degree,Psychology.,'42',79,20,59,34,9,25,7,2,5,19,4,15,13,3,10,2,1,1,1,0,1,3,1,2
2003-2004,243744,Stanford University,First major,Bachelor's degree,Computer and information sciences and support services.,'11',108,87,21,47,40,7,3,2,1,5,4,1,42,33,9,1,1,0,1,1,0,9,6,3
2003-2004,243744,Stanford University,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',47,16,31,27,12,15,4,0,4,8,1,7,7,3,4,0,0,0,1,0,1,0,0,0
2003-2004,243744,Stanford University,First major,Bachelor's degree,Mathematics and statistics.,'27',38,30,8,24,18,6,3,2,1,2,2,0,7,6,1,0,0,0,0,0,0,2,2,0
2003-2004,243744,Stanford University,First major,Bachelor's degree,Social sciences.,'45',389,207,182,193,106,87,36,20,16,47,26,21,81,36,45,5,4,1,2,2,0,25,13,12
2003-2004,243744,Stanford University,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',65,20,45,34,10,24,7,3,4,10,1,9,11,4,7,1,1,0,0,0,0,2,1,1
2003-2004,243744,Stanford University,First major,Bachelor's degree,English language and literature/letters.,'23',84,25,59,45,14,31,6,1,5,10,2,8,18,6,12,4,1,3,1,1,0,0,0,0
2003-2004,243744,Stanford University,First major,Bachelor's degree,Public administration and social service professions.,'44',21,10,11,9,5,4,1,1,0,5,2,3,6,2,4,0,0,0,0,0,0,0,0,0
2003-2004,243744,Stanford University,First major,Bachelor's degree,Visual and performing arts.,'50',42,14,28,28,10,18,4,1,3,3,1,2,6,2,4,0,0,0,0,0,0,1,0,1
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Architecture and related services.,'04',147,77,70,130,68,62,3,3,0,5,3,2,4,0,4,1,1,0,4,2,2,0,0,0
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',6,3,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Biological and biomedical sciences.,'26',738,272,466,564,203,361,21,6,15,81,31,50,52,23,29,1,0,1,12,6,6,7,3,4
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',177,44,133,159,39,120,5,1,4,6,1,5,3,2,1,1,0,1,2,1,1,1,0,1
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',88,6,82,75,5,70,4,0,4,7,0,7,1,0,1,0,0,0,1,1,0,0,0,0
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Physical sciences.,'40',119,63,56,107,59,48,4,0,4,6,3,3,1,0,1,0,0,0,1,1,0,0,0,0
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Social sciences.,'45',698,397,301,578,333,245,16,8,8,63,34,29,23,14,9,1,1,0,8,3,5,9,4,5
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Mathematics and statistics.,'27',73,29,44,68,27,41,0,0,0,0,0,0,3,2,1,0,0,0,2,0,2,0,0,0
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Philosophy and religious studies.,'38',26,20,6,20,16,4,1,1,0,1,1,0,0,0,0,0,0,0,4,2,2,0,0,0
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Psychology.,'42',404,88,316,336,74,262,13,0,13,33,6,27,11,5,6,2,0,2,7,3,4,2,0,2
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Visual and performing arts.,'50',21,12,9,16,8,8,0,0,0,4,3,1,0,0,0,0,0,0,1,1,0,0,0,0
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',1389,682,707,1185,584,601,20,9,11,92,42,50,46,22,24,9,6,3,13,7,6,24,12,12
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Engineering technologies/technicians.,'15',254,217,37,198,175,23,9,6,3,31,24,7,10,6,4,2,2,0,1,1,0,3,3,0
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',77,9,68,69,8,61,0,0,0,7,1,6,0,0,0,1,0,1,0,0,0,0,0,0
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,History,'54',153,96,57,131,84,47,1,1,0,16,7,9,1,0,1,1,1,0,3,3,0,0,0,0
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',574,57,517,500,41,459,9,3,6,44,6,38,8,3,5,5,1,4,6,3,3,2,0,2
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Natural resources and conservation.,'03',156,86,70,139,75,64,3,1,2,10,7,3,1,1,0,1,1,0,0,0,0,2,1,1
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',268,121,147,238,102,136,8,4,4,16,11,5,2,1,1,1,0,1,3,3,0,0,0,0
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Agriculture- agriculture operations- and related sciences.,'01',991,566,425,886,504,382,26,20,6,57,29,28,2,2,0,2,0,2,6,2,4,12,9,3
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Computer and information sciences and support services.,'11',116,90,26,87,73,14,2,0,2,7,4,3,10,7,3,0,0,0,1,1,0,9,5,4
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Engineering.,'14',972,759,213,755,612,143,31,14,17,83,53,30,51,39,12,0,0,0,16,13,3,36,28,8
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,English language and literature/letters.,'23',437,111,326,371,88,283,9,4,5,43,17,26,4,1,3,4,0,4,6,1,5,0,0,0
2003-2004,228723,Texas A & M University-College Station,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',30,7,23,21,5,16,0,0,0,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',12,3,9,8,2,6,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',399,141,258,347,125,222,38,10,28,5,4,1,3,0,3,4,2,2,0,0,0,2,0,2
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',27,12,15,24,12,12,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',199,43,156,160,34,126,32,5,27,2,0,2,1,0,1,0,0,0,0,0,0,4,4,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Mathematics and statistics.,'27',7,5,2,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Public administration and social service professions.,'44',35,2,33,29,2,27,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Security and protective services.,'43',78,42,36,50,30,20,25,11,14,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,English language and literature/letters.,'23',60,12,48,47,8,39,9,4,5,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,History,'54',73,44,29,64,42,22,6,1,5,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',97,50,47,88,48,40,8,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Physical sciences.,'40',23,17,6,20,16,4,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',905,529,376,735,452,283,119,48,71,10,5,5,10,4,6,4,3,1,0,0,0,27,17,10
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Computer and information sciences and support services.,'11',27,21,6,21,19,2,3,1,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',240,48,192,183,35,148,49,12,37,1,0,1,3,0,3,0,0,0,0,0,0,4,1,3
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Social sciences.,'45',113,64,49,95,58,37,15,6,9,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Biological and biomedical sciences.,'26',82,42,40,72,41,31,7,1,6,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Education.,'13',209,42,167,189,38,151,19,4,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Engineering.,'14',177,139,38,147,116,31,18,12,6,2,2,0,4,3,1,0,0,0,0,0,0,6,6,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Philosophy and religious studies.,'38',12,8,4,11,8,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Psychology.,'42',118,21,97,92,20,72,22,1,21,1,0,1,2,0,2,1,0,1,0,0,0,0,0,0
2003-2004,100751,The University of Alabama,First major,Bachelor's degree,Visual and performing arts.,'50',131,32,99,122,28,94,4,2,2,1,0,1,3,1,2,0,0,0,0,0,0,1,1,0
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Biological and biomedical sciences.,'26',623,243,380,338,126,212,23,6,17,70,36,34,177,72,105,2,0,2,4,1,3,9,2,7
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',1210,600,610,716,371,345,35,11,24,142,80,62,278,119,159,2,0,2,6,1,5,31,18,13
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Engineering.,'14',912,697,215,450,358,92,28,21,7,114,77,37,226,164,62,3,1,2,2,2,0,89,74,15
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',190,14,176,113,5,108,11,1,10,24,2,22,35,6,29,1,0,1,1,0,1,5,0,5
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',220,23,197,152,12,140,11,1,10,35,7,28,14,3,11,1,0,1,3,0,3,4,0,4
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',340,36,304,218,15,203,24,7,17,57,9,48,36,3,33,1,1,0,1,1,0,3,0,3
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Philosophy and religious studies.,'38',82,62,20,67,51,16,0,0,0,9,7,2,5,4,1,0,0,0,0,0,0,1,0,1
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Architecture and related services.,'04',52,30,22,40,24,16,1,1,0,5,4,1,6,1,5,0,0,0,0,0,0,0,0,0
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',124,51,73,72,34,38,5,2,3,25,8,17,19,6,13,0,0,0,1,0,1,2,1,1
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Mathematics and statistics.,'27',190,122,68,103,70,33,6,4,2,26,17,9,37,23,14,0,0,0,2,2,0,16,6,10
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Public administration and social service professions.,'44',46,4,42,30,2,28,4,0,4,10,2,8,1,0,1,0,0,0,0,0,0,1,0,1
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Social sciences.,'45',1310,743,567,836,477,359,47,20,27,181,104,77,171,98,73,8,2,6,7,3,4,60,39,21
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Visual and performing arts.,'50',349,118,231,249,79,170,13,4,9,45,21,24,34,9,25,1,1,0,2,1,1,5,3,2
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',1187,397,790,868,295,573,36,12,24,155,53,102,99,26,73,5,3,2,4,3,1,20,5,15
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Computer and information sciences and support services.,'11',367,309,58,158,144,14,3,3,0,22,21,1,112,85,27,1,1,0,2,2,0,69,53,16
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',245,88,157,168,64,104,7,1,6,42,13,29,24,8,16,0,0,0,2,2,0,2,0,2
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Physical sciences.,'40',132,94,38,91,63,28,0,0,0,19,14,5,14,10,4,0,0,0,2,1,1,6,6,0
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,English language and literature/letters.,'23',342,118,224,254,90,164,12,2,10,47,18,29,25,7,18,1,1,0,2,0,2,1,0,1
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,History,'54',277,166,111,226,138,88,4,1,3,22,13,9,17,11,6,1,0,1,4,1,3,3,2,1
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',181,82,99,131,64,67,5,1,4,8,3,5,35,13,22,1,0,1,1,1,0,0,0,0
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',147,79,68,96,49,47,12,5,7,27,19,8,11,6,5,0,0,0,0,0,0,1,0,1
2003-2004,228778,The University of Texas at Austin,First major,Bachelor's degree,Psychology.,'42',391,92,299,268,60,208,11,3,8,61,21,40,42,8,34,0,0,0,1,0,1,8,0,8
2003-2004,134130,University of Florida,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',1715,978,737,1267,734,533,81,35,46,192,104,88,122,67,55,10,5,5,11,10,1,32,23,9
2003-2004,134130,University of Florida,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',844,228,616,634,184,450,57,13,44,104,24,80,32,5,27,5,1,4,8,0,8,4,1,3
2003-2004,134130,University of Florida,First major,Bachelor's degree,Mathematics and statistics.,'27',60,31,29,45,26,19,3,1,2,4,1,3,6,1,5,0,0,0,0,0,0,2,2,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,Natural resources and conservation.,'03',94,29,65,81,25,56,4,2,2,5,1,4,2,0,2,1,1,0,1,0,1,0,0,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,Psychology.,'42',460,91,369,312,67,245,33,3,30,69,13,56,30,6,24,6,0,6,7,2,5,3,0,3
2003-2004,134130,University of Florida,First major,Bachelor's degree,Agriculture- agriculture operations- and related sciences.,'01',383,142,241,275,106,169,26,8,18,47,19,28,26,6,20,1,0,1,3,1,2,5,2,3
2003-2004,134130,University of Florida,First major,Bachelor's degree,Biological and biomedical sciences.,'26',277,136,141,179,89,90,15,4,11,32,22,10,39,15,24,2,1,1,5,3,2,5,2,3
2003-2004,134130,University of Florida,First major,Bachelor's degree,Engineering.,'14',928,735,193,629,515,114,34,22,12,116,92,24,113,79,34,2,2,0,9,5,4,25,20,5
2003-2004,134130,University of Florida,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',63,19,44,40,11,29,13,6,7,6,1,5,3,1,2,0,0,0,1,0,1,0,0,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',583,63,520,389,48,341,103,6,97,52,5,47,32,4,28,1,0,1,6,0,6,0,0,0
2003-2004,134130,University of Florida,First major,Bachelor's degree,Visual and performing arts.,'50',278,105,173,186,69,117,15,4,11,49,23,26,16,7,9,0,0,0,0,0,0,12,2,10
