Year,unitid,Institution_Name,Major,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2003-2004,198419,Duke University,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',27,6,21,12,3,9,4,2,2,5,1,4,0,0,0,0,0,0,5,0,5,1,0,1
2003-2004,198419,Duke University,First major,Bachelor's degree,Biological and biomedical sciences.,'26',101,41,60,58,27,31,6,1,5,5,2,3,22,11,11,0,0,0,8,0,8,2,0,2
2003-2004,198419,Duke University,First major,Bachelor's degree,Computer and information sciences and support services.,'11',43,34,9,27,22,5,4,2,2,1,1,0,7,5,2,0,0,0,3,3,0,1,1,0
2003-2004,198419,Duke University,First major,Bachelor's degree,Engineering.,'14',221,161,60,145,105,40,6,3,3,5,5,0,47,33,14,1,1,0,9,8,1,8,6,2
2003-2004,198419,Duke University,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',39,12,27,29,9,20,4,0,4,2,1,1,0,0,0,0,0,0,4,2,2,0,0,0
2003-2004,198419,Duke University,First major,Bachelor's degree,Mathematics and statistics.,'27',26,14,12,19,10,9,1,1,0,0,0,0,1,0,1,1,1,0,4,2,2,0,0,0
2003-2004,198419,Duke University,First major,Bachelor's degree,Natural resources and conservation.,'03',19,7,12,18,7,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,198419,Duke University,First major,Bachelor's degree,Philosophy and religious studies.,'38',26,16,10,17,13,4,2,1,1,1,0,1,3,2,1,0,0,0,3,0,3,0,0,0
2003-2004,198419,Duke University,First major,Bachelor's degree,Physical sciences.,'40',53,38,15,34,26,8,2,1,1,1,1,0,9,6,3,0,0,0,6,3,3,1,1,0
2003-2004,198419,Duke University,First major,Bachelor's degree,Public administration and social service professions.,'44',153,56,97,109,41,68,20,6,14,8,3,5,9,3,6,0,0,0,5,2,3,2,1,1
2003-2004,198419,Duke University,First major,Bachelor's degree,Social sciences.,'45',433,269,164,272,183,89,49,24,25,26,14,12,44,24,20,2,1,1,32,21,11,8,2,6
2003-2004,198419,Duke University,First major,Bachelor's degree,Visual and performing arts.,'50',28,6,22,23,2,21,2,2,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
2003-2004,198419,Duke University,First major,Bachelor's degree,History,'54',84,49,35,65,44,21,5,2,3,5,0,5,0,0,0,1,1,0,7,2,5,1,0,1
2003-2004,134097,Florida State University,First major,Bachelor's degree,Biological and biomedical sciences.,'26',171,65,106,117,52,65,20,3,17,22,6,16,10,4,6,0,0,0,1,0,1,1,0,1
2003-2004,134097,Florida State University,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',301,77,224,245,67,178,26,4,22,19,2,17,7,2,5,1,0,1,1,1,0,2,1,1
2003-2004,134097,Florida State University,First major,Bachelor's degree,Engineering.,'14',187,143,44,122,89,33,24,19,5,22,19,3,14,11,3,0,0,0,0,0,0,5,5,0
2003-2004,134097,Florida State University,First major,Bachelor's degree,English language and literature/letters.,'23',310,116,194,245,96,149,44,10,34,18,7,11,2,2,0,0,0,0,1,1,0,0,0,0
2003-2004,134097,Florida State University,First major,Bachelor's degree,Mathematics and statistics.,'27',18,12,6,14,9,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2003-2004,134097,Florida State University,First major,Bachelor's degree,Public administration and social service professions.,'44',124,11,113,84,7,77,33,4,29,4,0,4,2,0,2,0,0,0,0,0,0,1,0,1
2003-2004,134097,Florida State University,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',12,4,8,10,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2003-2004,134097,Florida State University,First major,Bachelor's degree,Education.,'13',524,152,372,426,113,313,49,24,25,30,10,20,7,1,6,6,1,5,5,3,2,1,0,1
2003-2004,134097,Florida State University,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',37,9,28,29,6,23,1,0,1,3,0,3,2,2,0,0,0,0,2,1,1,0,0,0
2003-2004,134097,Florida State University,First major,Bachelor's degree,Philosophy and religious studies.,'38',50,29,21,38,24,14,5,2,3,4,2,2,1,0,1,0,0,0,2,1,1,0,0,0
2003-2004,134097,Florida State University,First major,Bachelor's degree,Psychology.,'42',327,78,249,230,54,176,45,7,38,37,15,22,8,1,7,3,1,2,2,0,2,2,0,2
2003-2004,134097,Florida State University,First major,Bachelor's degree,Social sciences.,'45',978,508,470,728,401,327,108,45,63,88,40,48,19,7,12,8,2,6,9,4,5,18,9,9
2003-2004,134097,Florida State University,First major,Bachelor's degree,Visual and performing arts.,'50',426,134,292,342,106,236,25,13,12,43,8,35,12,6,6,1,1,0,2,0,2,1,0,1
2003-2004,134097,Florida State University,First major,Bachelor's degree,Computer and information sciences and support services.,'11',271,198,73,191,146,45,39,21,18,20,17,3,16,10,6,1,1,0,0,0,0,4,3,1
