Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Major,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2005-2006,198419,Duke University,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,First major,20,4,16,16,4,12,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0
2005-2006,198419,Duke University,Mathematics and statistics.,'27',Bachelor's degree,First major,16,14,2,11,10,1,1,1,0,0,0,0,3,2,1,0,0,0,0,0,0,1,1,0
2005-2006,198419,Duke University,Visual and performing arts.,'50',Bachelor's degree,First major,29,7,22,21,6,15,1,0,1,3,0,3,1,0,1,0,0,0,3,1,2,0,0,0
2005-2006,134097,Florida State University,Biological and biomedical sciences.,'26',Bachelor's degree,First major,234,87,147,159,64,95,31,7,24,26,11,15,13,4,9,3,0,3,2,1,1,0,0,0
2005-2006,134097,Florida State University,Business- management- marketing- and related support services.,'52',Bachelor's degree,First major,1454,790,664,1059,594,465,137,59,78,166,92,74,56,28,28,4,1,3,12,7,5,20,9,11
2005-2006,134097,Florida State University,Computer and information sciences and support services.,'11',Bachelor's degree,First major,225,170,55,156,121,35,32,22,10,23,18,5,10,6,4,0,0,0,2,2,0,2,1,1
2005-2006,134097,Florida State University,English language and literature/letters.,'23',Bachelor's degree,First major,337,124,213,245,93,152,41,9,32,36,16,20,10,3,7,1,0,1,3,2,1,1,1,0
2005-2006,134097,Florida State University,Health professions and related clinical sciences.,'51',Bachelor's degree,First major,274,26,248,214,22,192,31,4,27,19,0,19,7,0,7,2,0,2,1,0,1,0,0,0
2005-2006,134097,Florida State University,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,First major,56,29,27,47,22,25,4,4,0,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0
2005-2006,134097,Florida State University,Psychology.,'42',Bachelor's degree,First major,348,72,276,247,55,192,51,6,45,40,8,32,8,2,6,0,0,0,2,1,1,0,0,0
2005-2006,134097,Florida State University,Public administration and social service professions.,'44',Bachelor's degree,First major,123,16,107,77,10,67,33,5,28,13,1,12,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,134097,Florida State University,Visual and performing arts.,'50',Bachelor's degree,First major,426,139,287,322,98,224,32,10,22,42,20,22,13,2,11,3,0,3,6,4,2,8,5,3
2005-2006,134097,Florida State University,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,First major,27,9,18,18,6,12,2,0,2,4,2,2,0,0,0,0,0,0,1,1,0,2,0,2
2005-2006,134097,Florida State University,Education.,'13',Bachelor's degree,First major,409,93,316,325,71,254,37,9,28,34,9,25,6,1,5,2,0,2,4,2,2,1,1,0
2005-2006,134097,Florida State University,Engineering.,'14',Bachelor's degree,First major,240,182,58,138,107,31,41,30,11,36,25,11,9,7,2,1,1,0,0,0,0,15,12,3
2005-2006,134097,Florida State University,Security and protective services.,'43',Bachelor's degree,First major,392,197,195,273,147,126,70,24,46,35,19,16,8,4,4,0,0,0,6,3,3,0,0,0
2005-2006,134097,Florida State University,Family and consumer sciences/human sciences.,'19',Bachelor's degree,First major,627,110,517,429,72,357,120,22,98,58,11,47,13,5,8,1,0,1,5,0,5,1,0,1
2005-2006,134097,Florida State University,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,First major,52,22,30,41,20,21,2,1,1,8,1,7,0,0,0,0,0,0,1,0,1,0,0,0
2005-2006,134097,Florida State University,Philosophy and religious studies.,'38',Bachelor's degree,First major,55,39,16,43,30,13,3,2,1,6,4,2,2,2,0,0,0,0,1,1,0,0,0,0
2005-2006,134097,Florida State University,Physical sciences.,'40',Bachelor's degree,First major,92,59,33,73,52,21,10,2,8,4,3,1,2,1,1,0,0,0,3,1,2,0,0,0
2005-2006,134097,Florida State University,Social sciences.,'45',Bachelor's degree,First major,1088,586,502,774,425,349,135,52,83,105,62,43,34,21,13,2,1,1,14,7,7,24,18,6
2005-2006,134097,Florida State University,Communication- journalism- and related programs.,'09',Bachelor's degree,First major,304,77,227,231,64,167,34,5,29,29,8,21,5,0,5,1,0,1,4,0,4,0,0,0
2005-2006,134097,Florida State University,History,'54',Bachelor's degree,First major,103,60,43,90,52,38,4,2,2,5,3,2,1,0,1,0,0,0,3,3,0,0,0,0
2005-2006,134097,Florida State University,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,First major,51,17,34,40,13,27,4,1,3,4,3,1,2,0,2,0,0,0,1,0,1,0,0,0
2005-2006,134097,Florida State University,Mathematics and statistics.,'27',Bachelor's degree,First major,21,18,3,16,14,2,3,3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2005-2006,131496,Georgetown University,Biological and biomedical sciences.,'26',Bachelor's degree,First major,55,20,35,39,14,25,3,1,2,3,0,3,8,3,5,0,0,0,2,2,0,0,0,0
2005-2006,131496,Georgetown University,Business- management- marketing- and related support services.,'52',Bachelor's degree,First major,325,206,119,221,143,78,19,11,8,13,8,5,45,29,16,0,0,0,6,5,1,21,10,11
2005-2006,131496,Georgetown University,Computer and information sciences and support services.,'11',Bachelor's degree,First major,5,5,0,3,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2005-2006,131496,Georgetown University,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,First major,111,28,83,85,20,65,4,2,2,6,0,6,10,5,5,0,0,0,4,0,4,2,1,1
2005-2006,131496,Georgetown University,Mathematics and statistics.,'27',Bachelor's degree,First major,24,16,8,17,12,5,2,1,1,1,0,1,2,2,0,0,0,0,1,0,1,1,1,0
2005-2006,131496,Georgetown University,Visual and performing arts.,'50',Bachelor's degree,First major,27,4,23,21,3,18,0,0,0,1,0,1,3,1,2,0,0,0,2,0,2,0,0,0
2005-2006,131496,Georgetown University,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,First major,16,4,12,14,3,11,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,131496,Georgetown University,Health professions and related clinical sciences.,'51',Bachelor's degree,First major,134,16,118,93,6,87,11,2,9,7,3,4,11,2,9,0,0,0,7,2,5,5,1,4
2005-2006,131496,Georgetown University,English language and literature/letters.,'23',Bachelor's degree,First major,133,58,75,102,38,64,6,4,2,5,4,1,6,4,2,0,0,0,10,7,3,4,1,3
2005-2006,131496,Georgetown University,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,First major,31,7,24,19,4,15,4,0,4,2,1,1,0,0,0,0,0,0,5,2,3,1,0,1
2005-2006,131496,Georgetown University,Philosophy and religious studies.,'38',Bachelor's degree,First major,27,14,13,19,9,10,2,1,1,1,0,1,1,1,0,0,0,0,1,1,0,3,2,1
2005-2006,131496,Georgetown University,Psychology.,'42',Bachelor's degree,First major,91,26,65,64,16,48,10,4,6,1,0,1,10,5,5,0,0,0,3,0,3,3,1,2
2005-2006,131496,Georgetown University,History,'54',Bachelor's degree,First major,55,31,24,42,24,18,3,2,1,1,1,0,3,1,2,0,0,0,5,3,2,1,0,1
2005-2006,131496,Georgetown University,Multi/interdisciplinary studies.,'30',Bachelor's degree,First major,55,24,31,33,19,14,2,0,2,3,1,2,7,0,7,0,0,0,3,2,1,7,2,5
2005-2006,131496,Georgetown University,Physical sciences.,'40',Bachelor's degree,First major,22,11,11,20,9,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
2005-2006,131496,Georgetown University,Social sciences.,'45',Bachelor's degree,First major,594,320,274,380,225,155,31,11,20,35,17,18,56,27,29,0,0,0,38,19,19,54,21,33
2005-2006,155399,Kansas State University,Education.,'13',Bachelor's degree,First major,362,80,282,338,77,261,1,0,1,11,1,10,1,0,1,1,0,1,10,2,8,0,0,0
2005-2006,155399,Kansas State University,English language and literature/letters.,'23',Bachelor's degree,First major,40,14,26,35,13,22,0,0,0,1,0,1,0,0,0,0,0,0,4,1,3,0,0,0
2005-2006,155399,Kansas State University,Family and consumer sciences/human sciences.,'19',Bachelor's degree,First major,246,14,232,223,14,209,10,0,10,2,0,2,2,0,2,2,0,2,7,0,7,0,0,0
2005-2006,155399,Kansas State University,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,First major,138,69,69,130,64,66,5,4,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0
2005-2006,155399,Kansas State University,Architecture and related services.,'04',Bachelor's degree,First major,151,101,50,134,88,46,6,5,1,1,1,0,0,0,0,1,1,0,7,4,3,2,2,0
2005-2006,155399,Kansas State University,Biological and biomedical sciences.,'26',Bachelor's degree,First major,176,84,92,156,74,82,2,1,1,4,3,1,3,1,2,0,0,0,6,3,3,5,2,3
2005-2006,155399,Kansas State University,Computer and information sciences and support services.,'11',Bachelor's degree,First major,82,70,12,68,60,8,4,3,1,4,3,1,2,1,1,0,0,0,2,2,0,2,1,1
2005-2006,155399,Kansas State University,Engineering technologies/technicians.,'15',Bachelor's degree,First major,122,111,11,109,100,9,1,1,0,5,3,2,1,1,0,1,1,0,5,5,0,0,0,0
2005-2006,155399,Kansas State University,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,First major,22,4,18,15,2,13,1,0,1,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,155399,Kansas State University,Mathematics and statistics.,'27',Bachelor's degree,First major,19,13,6,18,13,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2005-2006,155399,Kansas State University,Physical sciences.,'40',Bachelor's degree,First major,27,19,8,26,18,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2005-2006,155399,Kansas State University,Transportation and materials moving.,'49',Bachelor's degree,First major,28,23,5,28,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,155399,Kansas State University,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,First major,321,195,126,311,190,121,2,1,1,1,1,0,0,0,0,0,0,0,2,1,1,5,2,3
2005-2006,155399,Kansas State University,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,First major,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,155399,Kansas State University,Business- management- marketing- and related support services.,'52',Bachelor's degree,First major,522,291,231,474,263,211,9,4,5,13,8,5,3,1,2,0,0,0,13,6,7,10,9,1
2005-2006,155399,Kansas State University,Communication- journalism- and related programs.,'09',Bachelor's degree,First major,152,62,90,127,50,77,5,4,1,7,2,5,3,1,2,0,0,0,10,5,5,0,0,0
2005-2006,155399,Kansas State University,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,First major,6,3,3,5,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,155399,Kansas State University,Mechanic and repair technologies/technicians.,'47',Bachelor's degree,First major,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,155399,Kansas State University,Philosophy and religious studies.,'38',Bachelor's degree,First major,7,5,2,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,155399,Kansas State University,Psychology.,'42',Bachelor's degree,First major,99,32,67,86,27,59,1,0,1,3,2,1,2,0,2,0,0,0,6,3,3,1,0,1
2005-2006,155399,Kansas State University,Visual and performing arts.,'50',Bachelor's degree,First major,129,29,100,110,25,85,4,1,3,6,1,5,3,0,3,0,0,0,4,2,2,2,0,2
2005-2006,155399,Kansas State University,Engineering.,'14',Bachelor's degree,First major,304,257,47,266,226,40,7,7,0,5,4,1,5,3,2,0,0,0,14,12,2,7,5,2
2005-2006,155399,Kansas State University,Health professions and related clinical sciences.,'51',Bachelor's degree,First major,94,16,78,87,14,73,1,1,0,1,1,0,1,0,1,0,0,0,2,0,2,2,0,2
2005-2006,155399,Kansas State University,History,'54',Bachelor's degree,First major,30,18,12,28,17,11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
2005-2006,155399,Kansas State University,Public administration and social service professions.,'44',Bachelor's degree,First major,36,4,32,30,4,26,1,0,1,1,0,1,0,0,0,0,0,0,4,0,4,0,0,0
2005-2006,155399,Kansas State University,Social sciences.,'45',Bachelor's degree,First major,321,183,138,263,150,113,24,14,10,9,5,4,5,3,2,5,2,3,12,7,5,3,2,1
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,First major,111,51,60,89,40,49,10,4,6,2,0,2,2,1,1,2,1,1,0,0,0,6,5,1
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Business- management- marketing- and related support services.,'52',Bachelor's degree,First major,924,489,435,776,430,346,55,21,34,23,8,15,28,10,18,4,1,3,13,5,8,25,14,11
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Family and consumer sciences/human sciences.,'19',Bachelor's degree,First major,36,1,35,33,1,32,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,History,'54',Bachelor's degree,First major,97,66,31,84,56,28,5,4,1,0,0,0,1,1,0,0,0,0,6,4,2,1,1,0
