CIP_Classificaiton,Award_Level,Year,unitid,Institution_Name,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS.PI,T.AS.PI.M,T.AS.PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F,cipcode
Architecture and Environmental Design,Bachelor's degree,1989-1990,170976,University of Michigan-Ann Arbor,111,66,45,96,57,39,2,1,1,1,1,0,10,6,4,0,0,0,0,0,0,2,1,1,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,152080,University of Notre Dame,53,39,14,40,31,9,2,1,1,5,1,4,2,2,0,1,1,0,0,0,0,3,3,0,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,181464,University of Nebraska-Lincoln,61,51,10,49,41,8,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,10,9,1,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,139959,University of Georgia,46,34,12,42,32,10,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,207500,University of Oklahoma Norman Campus,5,3,2,4,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,209542,Oregon State University,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,186380,Rutgers University-New Brunswick,40,13,27,10,3,7,22,7,15,4,2,2,1,0,1,2,1,1,1,0,1,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,147767,Northwestern University,10,6,4,9,6,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,134130,University of Florida,10,4,6,6,2,4,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,204796,Ohio State University-Main Campus,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,134097,Florida State University,8,3,5,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,199120,University of North Carolina at Chapel Hill,114,29,85,104,29,75,5,0,5,2,0,2,2,0,2,0,0,0,0,0,0,1,0,1,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,243744,Stanford University,54,20,34,42,15,27,2,1,1,4,1,3,4,1,3,0,0,0,1,1,0,1,1,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,131496,Georgetown University,46,23,23,34,19,15,3,1,2,2,1,1,3,0,3,1,0,1,0,0,0,3,2,1,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,228778,The University of Texas at Austin,62,23,39,49,17,32,2,1,1,8,4,4,2,0,2,1,1,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,122755,San Jose State University,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,123961,University of Southern California,9,4,5,5,3,2,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,228246,Southern Methodist University,11,3,8,10,3,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,152080,University of Notre Dame,82,47,35,75,46,29,3,1,2,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,218663,University of South Carolina-Columbia,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,135726,University of Miami,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,157289,University of Louisville,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,221999,Vanderbilt University,27,10,17,26,9,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,170976,University of Michigan-Ann Arbor,75,29,46,61,24,37,1,0,1,1,0,1,11,5,6,0,0,0,0,0,0,1,0,1,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,230728,Utah State University,7,4,3,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,100751,The University of Alabama,21,7,14,19,6,13,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,209551,University of Oregon,32,18,14,19,12,7,0,0,0,0,0,0,3,3,0,0,0,0,5,2,3,5,1,4,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,181464,University of Nebraska-Lincoln,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,139959,University of Georgia,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Business (Administrative Support),Bachelor's degree,1989-1990,142115,Boise State University,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Business (Administrative Support),Bachelor's degree,1989-1990,204796,Ohio State University-Main Campus,77,56,21,60,44,16,5,3,2,0,0,0,7,5,2,0,0,0,1,1,0,4,3,1,NA
Business (Administrative Support),Bachelor's degree,1989-1990,228778,The University of Texas at Austin,11,5,6,7,3,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,NA
Business (Administrative Support),Bachelor's degree,1989-1990,207388,Oklahoma State University-Main Campus,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Business (Administrative Support),Bachelor's degree,1989-1990,181464,University of Nebraska-Lincoln,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Business (Administrative Support),Bachelor's degree,1989-1990,218663,University of South Carolina-Columbia,33,0,33,18,0,18,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Business and Management,Bachelor's degree,1989-1990,230728,Utah State University,242,170,72,183,126,57,0,0,0,2,2,0,3,2,1,0,0,0,33,27,6,21,13,8,'06.0000'
Business and Management,Bachelor's degree,1989-1990,139959,University of Georgia,973,535,438,907,503,404,37,15,22,5,3,2,13,6,7,2,0,2,0,0,0,9,8,1,'06.0000'
Business and Management,Bachelor's degree,1989-1990,209542,Oregon State University,507,315,192,399,249,150,2,0,2,8,5,3,21,14,7,8,5,3,17,10,7,52,32,20,'06.0000'
Business and Management,Bachelor's degree,1989-1990,142115,Boise State University,267,141,126,255,134,121,3,3,0,5,3,2,3,1,2,1,0,1,0,0,0,0,0,0,'06.0000'
Business and Management,Bachelor's degree,1989-1990,209551,University of Oregon,485,277,208,316,172,144,3,2,1,3,2,1,24,12,12,2,1,1,27,19,8,110,69,41,'06.0000'
Business and Management,Bachelor's degree,1989-1990,217882,Clemson University,473,283,190,437,263,174,33,17,16,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,'06.0000'
Business and Management,Bachelor's degree,1989-1990,134130,University of Florida,1011,608,403,888,541,347,32,19,13,54,31,23,27,11,16,0,0,0,0,0,0,10,6,4,'06.0000'
Business and Management,Bachelor's degree,1989-1990,155399,Kansas State University,526,286,240,499,270,229,6,3,3,7,5,2,5,4,1,0,0,0,0,0,0,9,4,5,'06.0000'
Business and Management,Bachelor's degree,1989-1990,100858,Auburn University,940,547,393,905,529,376,27,13,14,5,2,3,3,3,0,0,0,0,0,0,0,0,0,0,'06.0000'
Business and Management,Bachelor's degree,1989-1990,218663,University of South Carolina-Columbia,660,366,294,565,316,249,58,26,32,4,1,3,8,5,3,0,0,0,0,0,0,25,18,7,'06.0000'
Business and Management,Bachelor's degree,1989-1990,123961,University of Southern California,1008,609,399,618,404,214,29,14,15,62,41,21,186,87,99,1,1,0,0,0,0,112,62,50,'06.0000'
Business and Management,Bachelor's degree,1989-1990,228778,The University of Texas at Austin,1539,933,606,1238,769,469,28,10,18,94,57,37,95,44,51,2,2,0,0,0,0,82,51,31,'06.0000'
Business and Management,Bachelor's degree,1989-1990,207500,University of Oklahoma Norman Campus,456,292,164,408,260,148,13,9,4,1,0,1,9,4,5,5,2,3,0,0,0,20,17,3,'06.0000'
Business and Management,Bachelor's degree,1989-1990,135726,University of Miami,387,228,159,199,130,69,15,10,5,88,38,50,14,9,5,0,0,0,0,0,0,71,41,30,'06.0000'
Business and Management,Bachelor's degree,1989-1990,204796,Ohio State University-Main Campus,1033,662,371,914,599,315,19,5,14,6,3,3,31,16,15,0,0,0,36,20,16,27,19,8,'06.0000'
Business and Management,Bachelor's degree,1989-1990,207388,Oklahoma State University-Main Campus,916,525,391,791,451,340,16,7,9,10,6,4,9,6,3,31,17,14,0,0,0,59,38,21,'06.0000'
Business and Management,Bachelor's degree,1989-1990,152080,University of Notre Dame,478,383,95,431,350,81,11,4,7,16,11,5,4,4,0,0,0,0,0,0,0,16,14,2,'06.0000'
Business and Management,Bachelor's degree,1989-1990,134097,Florida State University,1205,730,475,1085,661,424,48,18,30,47,38,9,10,4,6,0,0,0,0,0,0,15,9,6,'06.0000'
Business and Management,Bachelor's degree,1989-1990,199120,University of North Carolina at Chapel Hill,598,275,323,548,262,286,34,8,26,2,1,1,7,2,5,3,1,2,0,0,0,4,1,3,'06.0000'
Business and Management,Bachelor's degree,1989-1990,122755,San Jose State University,932,390,542,562,254,308,17,7,10,46,23,23,205,65,140,9,6,3,52,22,30,41,13,28,'06.0000'
Business and Management,Bachelor's degree,1989-1990,147767,Northwestern University,29,11,18,25,9,16,1,0,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,'06.0000'
Business and Management,Bachelor's degree,1989-1990,186380,Rutgers University-New Brunswick,438,189,249,377,167,210,23,6,17,11,5,6,14,4,10,0,0,0,5,3,2,8,4,4,'06.0000'
Business and Management,Bachelor's degree,1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,584,323,261,515,294,221,24,6,18,9,8,1,10,6,4,1,0,1,0,0,0,25,9,16,'06.0000'
Business and Management,Bachelor's degree,1989-1990,228723,Texas A & M University-College Station,1274,708,566,1167,658,509,16,8,8,65,34,31,18,7,11,1,0,1,0,0,0,7,1,6,'06.0000'
Business and Management,Bachelor's degree,1989-1990,131496,Georgetown University,247,154,93,183,117,66,16,7,9,10,8,2,11,6,5,1,0,1,0,0,0,26,16,10,'06.0000'
Business and Management,Bachelor's degree,1989-1990,228246,Southern Methodist University,268,153,115,245,143,102,2,1,1,9,5,4,4,1,3,0,0,0,0,0,0,8,3,5,'06.0000'
Business and Management,Bachelor's degree,1989-1990,100751,The University of Alabama,640,381,259,566,352,214,56,17,39,3,1,2,3,1,2,1,1,0,1,1,0,10,8,2,'06.0000'
Business and Management,Bachelor's degree,1989-1990,170976,University of Michigan-Ann Arbor,311,175,136,253,147,106,25,11,14,8,5,3,12,3,9,0,0,0,0,0,0,13,9,4,'06.0000'
Business and Management,Bachelor's degree,1989-1990,181464,University of Nebraska-Lincoln,559,338,221,526,315,211,4,2,2,2,1,1,5,4,1,2,2,0,0,0,0,20,14,6,'06.0000'
Business and Management,Bachelor's degree,1989-1990,157289,University of Louisville,421,223,198,374,205,169,31,9,22,4,2,2,5,1,4,0,0,0,0,0,0,7,6,1,'06.0000'
Communications,Bachelor's degree,1989-1990,142115,Boise State University,37,15,22,36,15,21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'09.0000'
Communications,Bachelor's degree,1989-1990,228723,Texas A & M University-College Station,195,67,128,188,66,122,5,0,5,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,'09.0000'
Communications,Bachelor's degree,1989-1990,207388,Oklahoma State University-Main Campus,122,60,62,119,59,60,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,'09.0000'
Communications,Bachelor's degree,1989-1990,207500,University of Oklahoma Norman Campus,243,94,149,225,88,137,9,2,7,1,0,1,1,1,0,3,2,1,0,0,0,4,1,3,'09.0000'
Communications,Bachelor's degree,1989-1990,186380,Rutgers University-New Brunswick,398,108,290,331,92,239,28,10,18,13,3,10,19,2,17,0,0,0,3,1,2,4,0,4,'09.0000'
Communications,Bachelor's degree,1989-1990,230728,Utah State University,28,14,14,17,6,11,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,5,4,1,'09.0000'
Communications,Bachelor's degree,1989-1990,228778,The University of Texas at Austin,756,288,468,634,242,392,31,11,20,59,27,32,17,2,15,4,2,2,0,0,0,11,4,7,'09.0000'
Communications,Bachelor's degree,1989-1990,209542,Oregon State University,72,35,37,64,29,35,0,0,0,1,1,0,2,1,1,2,1,1,1,1,0,2,2,0,'09.0000'
Communications,Bachelor's degree,1989-1990,218663,University of South Carolina-Columbia,217,80,137,184,68,116,23,7,16,3,1,2,3,1,2,0,0,0,0,0,0,4,3,1,'09.0000'
Communications,Bachelor's degree,1989-1990,122755,San Jose State University,275,102,173,189,72,117,6,2,4,27,10,17,25,6,19,1,1,0,21,9,12,6,2,4,'09.0000'
Communications,Bachelor's degree,1989-1990,135726,University of Miami,146,47,99,106,36,70,8,0,8,26,8,18,3,1,2,0,0,0,0,0,0,3,2,1,'09.0000'
Communications,Bachelor's degree,1989-1990,134097,Florida State University,329,106,223,292,97,195,21,4,17,13,4,9,1,0,1,0,0,0,0,0,0,2,1,1,'09.0000'
Communications,Bachelor's degree,1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,184,70,114,171,66,105,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,'09.0000'
Communications,Bachelor's degree,1989-1990,100751,The University of Alabama,310,118,192,288,111,177,18,6,12,2,0,2,0,0,0,0,0,0,0,0,0,2,1,1,'09.0000'
Communications,Bachelor's degree,1989-1990,100858,Auburn University,125,40,85,118,36,82,5,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,'09.0000'
