"","Year","Sport","ID_School","Males","Females","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females"
"776","2000-2001","Football","UTA.ST",67,0,35,0,19,0,4,0
"777","2000-2001","All other sports combined","VANDY",41,51,37,44,0,1,2,2
"778","2000-2001","Baseball","VANDY",17,0,16,0,0,0,0,0
"779","2000-2001","Basketball","VANDY",12,13,4,8,5,2,0,0
"780","2000-2001","Cross-country and/or track","VANDY",0,22,0,11,0,5,0,0
"781","2000-2001","Football","VANDY",85,0,58,0,26,0,0,0
"782","2001-2002","All other sports combined","AUB",54,115,41,95,0,2,1,4
"783","2001-2002","Baseball","AUB",26,0,24,0,2,0,0,0
"784","2001-2002","Basketball","AUB",14,19,2,2,10,14,0,0
"785","2001-2002","Cross-country and/or track","AUB",26,22,10,8,6,7,0,0
"786","2001-2002","Football","AUB",84,0,29,0,55,0,0,0
"787","2001-2002","All other sports combined","BAMA",36,105,13,80,0,4,2,2
"788","2001-2002","Baseball","BAMA",39,0,38,0,0,0,0,0
"789","2001-2002","Basketball","BAMA",12,15,1,5,10,9,0,0
"790","2001-2002","Cross-country and/or track","BAMA",23,23,6,9,10,8,0,0
"791","2001-2002","Football","BAMA",89,0,28,0,61,0,0,0
"792","2001-2002","All other sports combined","BOS.ST",37,66,28,52,0,0,1,0
"793","2001-2002","Basketball","BOS.ST",11,13,1,8,7,1,0,1
"794","2001-2002","Cross-country and/or track","BOS.ST",25,26,13,18,5,2,0,1
"795","2001-2002","Football","BOS.ST",89,0,57,0,23,0,3,0
"796","2001-2002","All other sports combined","CLEM",15,21,13,18,0,0,1,0
"797","2001-2002","Baseball","CLEM",21,0,20,0,1,0,0,0
"798","2001-2002","Basketball","CLEM",2,0,0,0,1,0,0,0
"799","2001-2002","Cross-country and/or track","CLEM",3,7,0,4,2,1,0,0
"800","2001-2002","Football","CLEM",18,0,9,0,9,0,0,0
"801","2001-2002","All other sports combined","DUKE",63,122,47,93,1,2,5,3
"802","2001-2002","Baseball","DUKE",27,0,24,0,1,0,0,0
"803","2001-2002","Basketball","DUKE",10,13,3,5,7,8,0,0
"804","2001-2002","Football","DUKE",78,0,49,0,27,0,0,0
"805","2001-2002","All other sports combined","FLA",52,106,32,82,1,12,3,2
"806","2001-2002","Baseball","FLA",37,0,32,0,0,0,1,0
"807","2001-2002","Basketball","FLA",11,11,4,3,7,7,0,0
"808","2001-2002","Cross-country and/or track","FLA",34,26,16,8,14,14,2,0
"809","2001-2002","Football","FLA",80,0,24,0,52,0,2,0
"810","2001-2002","All other sports combined","FSU",47,96,42,73,2,11,3,9
"811","2001-2002","Baseball","FSU",34,0,33,0,0,0,0,0
"812","2001-2002","Basketball","FSU",13,13,3,6,10,7,0,0
"813","2001-2002","Cross-country and/or track","FSU",31,30,16,17,14,10,0,1
"814","2001-2002","Football","FSU",87,0,17,0,67,0,2,0
"815","2001-2002","All other sports combined","GTOWN",55,65,47,57,1,3,1,2
"816","2001-2002","Baseball","GTOWN",10,0,6,0,0,0,4,0
"817","2001-2002","Basketball","GTOWN",17,14,4,2,11,8,0,0
"818","2001-2002","Cross-country and/or track","GTOWN",17,21,10,15,4,6,1,0
"819","2001-2002","Football","GTOWN",16,0,6,0,10,0,0,0
"820","2001-2002","All other sports combined","KAN.ST",9,106,9,94,0,0,0,0
"821","2001-2002","Baseball","KAN.ST",35,0,28,0,0,0,3,0
"822","2001-2002","Basketball","KAN.ST",11,15,1,11,7,3,0,0
"823","2001-2002","Cross-country and/or track","KAN.ST",26,27,11,16,6,9,0,0
"824","2001-2002","Football","KAN.ST",92,0,40,0,45,0,0,0
"825","2001-2002","All other sports combined","LOUIS",37,106,17,83,0,4,1,3
"826","2001-2002","Baseball","LOUIS",26,0,19,0,1,0,4,0
"827","2001-2002","Basketball","LOUIS",13,14,0,6,10,6,0,0
"828","2001-2002","Cross-country and/or track","LOUIS",17,24,12,13,4,8,0,1
"829","2001-2002","Football","LOUIS",85,0,28,0,54,0,3,0
"830","2001-2002","All other sports combined","LSU",41,109,30,87,0,3,1,2
"831","2001-2002","Baseball","LSU",35,0,34,0,0,0,1,0
"832","2001-2002","Basketball","LSU",10,12,0,1,10,11,0,0
"833","2001-2002","Cross-country and/or track","LSU",21,28,5,6,8,18,0,0
"834","2001-2002","Football","LSU",87,0,22,0,64,0,0,0
"835","2001-2002","All other sports combined","ND",78,141,63,126,0,1,3,6
"836","2001-2002","Baseball","ND",25,0,22,0,0,0,2,0
"837","2001-2002","Basketball","ND",12,12,3,6,7,5,0,1
"838","2001-2002","Cross-country and/or track","ND",19,22,11,9,4,9,1,1
"839","2001-2002","Football","ND",83,0,34,0,46,0,0,0
"840","2001-2002","All other sports combined","NEB",71,128,53,90,0,3,3,3
"841","2001-2002","Baseball","NEB",42,0,40,0,1,0,0,0
"842","2001-2002","Basketball","NEB",14,15,8,8,6,6,0,0
"843","2001-2002","Cross-country and/or track","NEB",48,36,26,25,16,3,1,0
"844","2001-2002","Football","NEB",112,0,66,0,30,0,0,0
"845","2001-2002","All other sports combined","NWST",62,128,54,106,1,5,2,2
"846","2001-2002","Baseball","NWST",23,0,20,0,0,0,3,0
"847","2001-2002","Basketball","NWST",12,14,3,11,5,3,0,0
"848","2001-2002","Cross-country and/or track","NWST",0,9,0,9,0,0,0,0
"849","2001-2002","Football","NWST",89,0,41,0,38,0,4,0
"850","2001-2002","All other sports combined","OK",52,73,34,56,4,1,3,2
"851","2001-2002","Baseball","OK",32,0,24,0,0,0,3,0
"852","2001-2002","Basketball","OK",13,13,2,4,8,5,1,0
"853","2001-2002","Cross-country and/or track","OK",21,23,8,12,7,9,0,0
"854","2001-2002","Football","OK",82,0,24,0,50,0,1,0
"855","2001-2002","All other sports combined","OKSTATE",38,89,20,65,3,1,1,3
"856","2001-2002","Baseball","OKSTATE",38,0,32,0,1,0,3,0
"857","2001-2002","Basketball","OKSTATE",13,17,2,8,8,7,0,0
"858","2001-2002","Cross-country and/or track","OKSTATE",20,25,11,11,0,4,2,1
"859","2001-2002","Football","OKSTATE",84,0,38,0,40,0,2,0
"860","2001-2002","All other sports combined","ORE",33,64,26,45,2,2,1,2
"861","2001-2002","Basketball","ORE",13,16,8,8,3,7,0,0
"862","2001-2002","Cross-country and/or track","ORE",25,26,17,17,4,3,0,2
"863","2001-2002","Football","ORE",87,0,34,0,38,0,4,0
"864","2001-2002","All other sports combined","ORE.ST",62,106,48,81,2,0,5,4
"865","2001-2002","Baseball","ORE.ST",33,0,26,0,0,0,1,0
"866","2001-2002","Basketball","ORE.ST",12,13,5,6,5,4,1,0
"867","2001-2002","Football","ORE.ST",87,0,37,0,38,0,2,0
"868","2001-2002","All other sports combined","OSU",155,231,120,173,8,7,5,6
"869","2001-2002","Baseball","OSU",30,0,30,0,0,0,0,0
"870","2001-2002","Basketball","OSU",12,14,3,7,8,7,0,0
"871","2001-2002","Cross-country and/or track","OSU",22,21,13,7,6,12,0,0
"872","2001-2002","Football","OSU",81,0,36,0,44,0,1,0
"873","2001-2002","All other sports combined","RUT",109,150,83,119,5,6,6,5
"874","2001-2002","Baseball","RUT",32,0,27,0,1,0,4,0
"875","2001-2002","Basketball","RUT",14,14,2,3,10,10,0,0
"876","2001-2002","Cross-country and/or track","RUT",30,33,18,17,9,15,2,0
"877","2001-2002","Football","RUT",87,0,34,0,50,0,1,0
"878","2001-2002","All other sports combined","SCAR",51,86,39,65,1,3,0,1
"879","2001-2002","Baseball","SCAR",33,0,31,0,0,0,2,0
"880","2001-2002","Basketball","SCAR",13,12,4,1,7,6,0,0
"881","2001-2002","Cross-country and/or track","SCAR",17,21,5,4,11,16,0,0
"882","2001-2002","Football","SCAR",87,0,17,0,70,0,0,0
"883","2001-2002","All other sports combined","SJ.ST",27,102,14,70,0,5,9,11
"884","2001-2002","Baseball","SJ.ST",31,0,19,0,2,0,5,0
"885","2001-2002","Basketball","SJ.ST",11,14,3,3,7,9,0,0
"886","2001-2002","Cross-country and/or track","SJ.ST",5,12,2,7,0,0,1,3
"887","2001-2002","Football","SJ.ST",70,0,19,0,36,0,2,0
"888","2001-2002","All other sports combined","SMU",51,99,29,85,1,1,3,0
"889","2001-2002","Basketball","SMU",13,14,6,6,7,7,0,0
"890","2001-2002","Cross-country and/or track","SMU",10,18,1,2,0,2,0,0
"891","2001-2002","Football","SMU",85,0,50,0,33,0,0,0
"892","2001-2002","All other sports combined","STAN",99,138,76,111,9,4,3,8
"893","2001-2002","Baseball","STAN",21,0,17,0,0,0,1,0
"894","2001-2002","Basketball","STAN",12,16,5,11,6,3,1,0
"895","2001-2002","Cross-country and/or track","STAN",22,25,17,16,2,5,1,2
"896","2001-2002","Football","STAN",78,0,38,0,36,0,0,0
"897","2001-2002","All other sports combined","TAM",44,162,31,138,3,3,2,3
"898","2001-2002","Baseball","TAM",38,0,36,0,1,0,0,0
"899","2001-2002","Basketball","TAM",13,19,3,8,7,11,0,0
"900","2001-2002","Cross-country and/or track","TAM",28,36,13,24,7,5,1,1
"901","2001-2002","Football","TAM",83,0,28,0,53,0,1,0
"902","2001-2002","All other sports combined","UGA",34,103,25,88,1,8,1,2
"903","2001-2002","Baseball","UGA",44,0,43,0,1,0,0,0
"904","2001-2002","Basketball","UGA",11,13,1,3,10,10,0,0
"905","2001-2002","Cross-country and/or track","UGA",31,28,16,14,10,10,1,0
"906","2001-2002","Football","UGA",86,0,26,0,60,0,0,0
"907","2001-2002","All other sports combined","UM",101,182,77,146,6,6,5,5
"908","2001-2002","Baseball","UM",27,0,24,0,0,0,1,0
"909","2001-2002","Basketball","UM",13,12,3,5,10,6,0,1
"910","2001-2002","Cross-country and/or track","UM",26,22,18,10,6,10,0,0
"911","2001-2002","Football","UM",93,0,52,0,36,0,0,0
"912","2001-2002","All other sports combined","UNC",106,161,93,140,7,12,4,5
"913","2001-2002","Baseball","UNC",28,0,28,0,0,0,0,0
"914","2001-2002","Basketball","UNC",12,13,6,4,5,9,1,0
"915","2001-2002","Cross-country and/or track","UNC",19,22,14,12,4,10,0,0
"916","2001-2002","Football","UNC",84,0,24,0,59,0,0,0
"917","2001-2002","All other sports combined","UOFM",13,82,6,52,0,1,3,10
"918","2001-2002","Baseball","UOFM",24,0,15,0,1,0,7,0
"919","2001-2002","Basketball","UOFM",11,14,0,3,8,8,1,0
"920","2001-2002","Cross-country and/or track","UOFM",10,23,6,3,2,18,0,1
"921","2001-2002","Football","UOFM",77,0,15,0,54,0,3,0
"922","2001-2002","All other sports combined","USC",5,10,5,8,0,0,0,1
"923","2001-2002","Baseball","USC",1,0,0,0,0,0,1,0
"924","2001-2002","Basketball","USC",3,3,0,0,3,2,0,0
"925","2001-2002","Cross-country and/or track","USC",2,3,0,0,0,1,0,0
"926","2001-2002","Football","USC",20,0,8,0,10,0,1,0
"927","2001-2002","All other sports combined","UT",65,140,55,110,2,6,1,7
"928","2001-2002","Baseball","UT",42,0,32,0,2,0,4,0
"929","2001-2002","Basketball","UT",16,18,5,9,10,8,0,0
"930","2001-2002","Cross-country and/or track","UT",42,22,22,7,17,10,0,2
"931","2001-2002","Football","UT",89,0,34,0,53,0,2,0
"932","2001-2002","All other sports combined","UTA.ST",14,70,13,61,0,1,0,5
"933","2001-2002","Basketball","UTA.ST",11,0,7,0,4,0,0,0
"934","2001-2002","Cross-country and/or track","UTA.ST",27,24,20,19,3,0,1,1
"935","2001-2002","Football","UTA.ST",74,0,39,0,20,0,7,0
"936","2001-2002","All other sports combined","VANDY",40,50,36,42,0,1,0,2
"937","2001-2002","Baseball","VANDY",18,0,17,0,0,0,0,0
"938","2001-2002","Basketball","VANDY",13,14,4,8,5,4,0,0
"939","2001-2002","Cross-country and/or track","VANDY",0,21,0,9,0,6,0,0
"940","2001-2002","Football","VANDY",90,0,52,0,36,0,0,0
"941","2002-2003","All other sports combined","AUB",55,118,43,94,0,5,0,7
"942","2002-2003","Baseball","AUB",27,0,23,0,3,0,0,0
"943","2002-2003","Basketball","AUB",12,15,1,2,10,8,0,1
"944","2002-2003","Cross-country and/or track","AUB",25,23,13,7,4,6,0,0
"945","2002-2003","Football","AUB",92,0,29,0,63,0,0,0
"946","2002-2003","All other sports combined","BAMA",37,107,19,88,0,3,1,2
"947","2002-2003","Baseball","BAMA",36,0,35,0,0,0,0,0
"948","2002-2003","Basketball","BAMA",13,16,0,6,12,9,0,0
"949","2002-2003","Cross-country and/or track","BAMA",16,23,5,10,4,8,0,0
"950","2002-2003","Football","BAMA",88,0,28,0,60,0,0,0
"951","2002-2003","All other sports combined","BOS.ST",43,83,28,65,0,1,3,0
"952","2002-2003","Basketball","BOS.ST",12,16,1,9,7,2,0,2
"953","2002-2003","Cross-country and/or track","BOS.ST",21,45,13,37,5,1,0,0
"954","2002-2003","Football","BOS.ST",97,0,58,0,22,0,7,0
"955","2002-2003","All other sports combined","CLEM",68,109,45,86,5,3,0,2
"956","2002-2003","Baseball","CLEM",42,0,32,0,1,0,1,0
"957","2002-2003","Basketball","CLEM",11,16,0,7,7,8,0,0
"958","2002-2003","Cross-country and/or track","CLEM",35,26,19,8,11,12,0,0
"959","2002-2003","Football","CLEM",90,0,14,0,69,0,0,0
"960","2002-2003","All other sports combined","DUKE",79,144,62,112,2,4,4,3
"961","2002-2003","Baseball","DUKE",29,0,26,0,0,0,2,0
"962","2002-2003","Basketball","DUKE",11,13,3,6,8,6,0,0
"963","2002-2003","Football","DUKE",81,0,44,0,35,0,0,0
"964","2002-2003","All other sports combined","FLA",57,114,35,84,2,12,4,3
"965","2002-2003","Baseball","FLA",39,0,32,0,0,0,3,0
"966","2002-2003","Basketball","FLA",13,14,4,3,8,10,0,0
"967","2002-2003","Cross-country and/or track","FLA",38,33,22,13,12,13,2,0
"968","2002-2003","Football","FLA",84,0,20,0,59,0,2,0
"969","2002-2003","All other sports combined","FSU",48,97,35,64,1,9,3,9
"970","2002-2003","Baseball","FSU",40,0,39,0,0,0,1,0
"971","2002-2003","Basketball","FSU",12,14,1,5,7,7,0,0
"972","2002-2003","Cross-country and/or track","FSU",38,29,17,12,14,13,0,1
"973","2002-2003","Football","FSU",89,0,15,0,67,0,2,0
"974","2002-2003","All other sports combined","GTOWN",62,64,56,57,1,4,1,1
"975","2002-2003","Baseball","GTOWN",15,0,11,0,1,0,3,0
"976","2002-2003","Basketball","GTOWN",13,14,1,3,11,7,0,0
"977","2002-2003","Cross-country and/or track","GTOWN",15,24,9,17,4,6,1,0
"978","2002-2003","Football","GTOWN",29,0,10,0,15,0,1,0
"979","2002-2003","All other sports combined","KAN.ST",11,139,11,121,0,0,0,0
"980","2002-2003","Baseball","KAN.ST",33,0,26,0,0,0,2,0
"981","2002-2003","Basketball","KAN.ST",12,11,4,8,7,2,0,0
"982","2002-2003","Cross-country and/or track","KAN.ST",39,35,17,22,8,9,2,1
"983","2002-2003","Football","KAN.ST",93,0,36,0,46,0,2,0
"984","2002-2003","All other sports combined","LOUIS",42,115,23,87,0,5,1,6
"985","2002-2003","Baseball","LOUIS",28,0,23,0,1,0,3,0
"986","2002-2003","Basketball","LOUIS",15,16,1,6,11,9,0,0
"987","2002-2003","Cross-country and/or track","LOUIS",22,26,17,16,2,8,0,1
"988","2002-2003","Football","LOUIS",80,0,25,0,53,0,1,0
"989","2002-2003","All other sports combined","LSU",37,95,24,75,1,5,1,1
"990","2002-2003","Baseball","LSU",30,0,28,0,1,0,0,0
"991","2002-2003","Basketball","LSU",14,14,1,1,11,12,0,0
"992","2002-2003","Cross-country and/or track","LSU",14,23,2,4,7,15,0,0
"993","2002-2003","Football","LSU",84,0,27,0,55,0,0,0
"994","2002-2003","All other sports combined","ND",98,146,82,130,1,2,3,4
"995","2002-2003","Baseball","ND",20,0,16,0,0,0,3,0
"996","2002-2003","Basketball","ND",12,11,3,8,7,3,0,0
"997","2002-2003","Cross-country and/or track","ND",15,22,8,11,3,7,1,1
"998","2002-2003","Football","ND",78,0,40,0,37,0,0,0
"999","2002-2003","All other sports combined","NEB",56,128,46,93,0,4,2,6
"1000","2002-2003","Baseball","NEB",41,0,38,0,3,0,0,0
"1001","2002-2003","Basketball","NEB",14,14,7,7,6,6,0,1
"1002","2002-2003","Cross-country and/or track","NEB",41,35,22,24,14,2,0,1
"1003","2002-2003","Football","NEB",103,0,59,0,40,0,0,0
"1004","2002-2003","All other sports combined","NWST",53,151,45,130,1,4,2,2
"1005","2002-2003","Baseball","NWST",20,0,18,0,0,0,2,0
"1006","2002-2003","Basketball","NWST",14,14,0,11,2,3,5,0
"1007","2002-2003","Cross-country and/or track","NWST",0,11,0,7,0,0,0,0
"1008","2002-2003","Football","NWST",87,0,39,0,40,0,3,0
"1009","2002-2003","All other sports combined","OK",56,90,37,69,8,2,3,3
"1010","2002-2003","Baseball","OK",38,0,29,0,2,0,2,0
"1011","2002-2003","Basketball","OK",16,19,3,10,10,5,1,0
"1012","2002-2003","Cross-country and/or track","OK",27,34,10,14,11,16,0,0
"1013","2002-2003","Football","OK",86,0,23,0,59,0,2,0
"1014","2002-2003","All other sports combined","OKSTATE",42,89,23,60,4,3,0,4
"1015","2002-2003","Baseball","OKSTATE",36,0,31,0,1,0,3,0
"1016","2002-2003","Basketball","OKSTATE",13,19,1,10,10,8,0,0
"1017","2002-2003","Cross-country and/or track","OKSTATE",16,22,10,11,1,7,0,0
"1018","2002-2003","Football","OKSTATE",87,0,35,0,48,0,1,0
"1019","2002-2003","All other sports combined","ORE",37,79,27,50,0,2,1,4
"1020","2002-2003","Basketball","ORE",13,15,7,8,5,4,0,0
"1021","2002-2003","Cross-country and/or track","ORE",30,26,20,19,3,3,2,2
"1022","2002-2003","Football","ORE",84,0,29,0,39,0,3,0
"1023","2002-2003","All other sports combined","ORE.ST",59,100,45,75,3,0,3,4
"1024","2002-2003","Baseball","ORE.ST",36,0,25,0,0,0,2,0
"1025","2002-2003","Basketball","ORE.ST",13,17,4,9,7,5,1,1
"1026","2002-2003","Football","ORE.ST",83,0,40,0,32,0,2,0
"1027","2002-2003","All other sports combined","OSU",182,237,140,172,10,6,4,7
"1028","2002-2003","Baseball","OSU",27,0,27,0,0,0,0,0
"1029","2002-2003","Basketball","OSU",13,14,3,6,9,7,0,1
"1030","2002-2003","Cross-country and/or track","OSU",16,23,11,8,4,13,0,0
"1031","2002-2003","Football","OSU",87,0,43,0,42,0,0,0
"1032","2002-2003","All other sports combined","RUT",103,162,84,135,4,7,6,2
"1033","2002-2003","Baseball","RUT",33,0,28,0,1,0,4,0
"1034","2002-2003","Basketball","RUT",14,13,1,2,10,9,0,0
"1035","2002-2003","Cross-country and/or track","RUT",25,29,15,13,9,11,1,2
"1036","2002-2003","Football","RUT",92,0,38,0,48,0,2,0
"1037","2002-2003","All other sports combined","SCAR",55,90,40,70,4,4,1,1
"1038","2002-2003","Baseball","SCAR",36,0,32,0,1,0,3,0
"1039","2002-2003","Basketball","SCAR",13,12,2,2,10,5,0,0
"1040","2002-2003","Cross-country and/or track","SCAR",18,25,7,4,10,20,0,0
"1041","2002-2003","Football","SCAR",84,0,22,0,61,0,0,0
"1042","2002-2003","All other sports combined","SJ.ST",28,108,12,65,0,2,8,14
"1043","2002-2003","Baseball","SJ.ST",35,0,20,0,1,0,7,0
"1044","2002-2003","Basketball","SJ.ST",12,17,2,4,8,8,1,0
"1045","2002-2003","Cross-country and/or track","SJ.ST",5,11,2,5,0,0,1,2
"1046","2002-2003","Football","SJ.ST",70,0,19,0,39,0,3,0
"1047","2002-2003","All other sports combined","SMU",47,93,26,71,0,2,2,1
"1048","2002-2003","Basketball","SMU",16,17,5,9,10,7,0,0
"1049","2002-2003","Cross-country and/or track","SMU",15,13,2,1,0,1,0,0
"1050","2002-2003","Football","SMU",87,0,45,0,40,0,0,0
"1051","2002-2003","All other sports combined","STAN",98,147,76,116,9,5,2,4
"1052","2002-2003","Baseball","STAN",21,0,18,0,1,0,1,0
"1053","2002-2003","Basketball","STAN",11,14,4,11,5,3,1,0
"1054","2002-2003","Cross-country and/or track","STAN",16,25,15,13,1,8,0,2
"1055","2002-2003","Football","STAN",82,0,38,0,37,0,1,0
"1056","2002-2003","All other sports combined","TAM",45,194,30,167,1,3,2,7
"1057","2002-2003","Baseball","TAM",43,0,41,0,1,0,1,0
"1058","2002-2003","Basketball","TAM",14,16,2,5,8,11,0,0
"1059","2002-2003","Cross-country and/or track","TAM",29,28,19,21,5,3,0,1
"1060","2002-2003","Football","TAM",88,0,30,0,56,0,2,0
"1061","2002-2003","All other sports combined","UGA",34,103,25,88,1,8,1,2
"1062","2002-2003","Baseball","UGA",44,0,43,0,1,0,0,0
"1063","2002-2003","Basketball","UGA",11,13,1,3,10,10,0,0
"1064","2002-2003","Cross-country and/or track","UGA",31,28,16,14,10,10,1,0
"1065","2002-2003","Football","UGA",86,0,26,0,60,0,0,0
"1066","2002-2003","All other sports combined","UM",102,174,74,138,9,7,5,6
"1067","2002-2003","Baseball","UM",27,0,23,0,0,0,2,0
"1068","2002-2003","Basketball","UM",14,15,2,7,11,5,0,1
"1069","2002-2003","Cross-country and/or track","UM",19,30,11,21,3,6,0,0
"1070","2002-2003","Football","UM",90,0,40,0,45,0,1,0
"1071","2002-2003","All other sports combined","UNC",107,148,89,120,6,13,5,2
"1072","2002-2003","Baseball","UNC",30,0,29,0,1,0,0,0
"1073","2002-2003","Basketball","UNC",12,14,3,4,8,9,0,0
"1074","2002-2003","Cross-country and/or track","UNC",20,25,10,14,5,9,1,0
"1075","2002-2003","Football","UNC",86,0,23,0,62,0,0,0
"1076","2002-2003","All other sports combined","UOFM",10,80,5,46,0,3,1,9
"1077","2002-2003","Baseball","UOFM",22,0,14,0,0,0,7,0
"1078","2002-2003","Basketball","UOFM",12,13,0,4,8,5,1,0
"1079","2002-2003","Cross-country and/or track","UOFM",9,19,4,2,3,15,1,1
"1080","2002-2003","Football","UOFM",74,0,20,0,47,0,3,0
"1081","2002-2003","All other sports combined","USC",56,102,33,58,3,6,2,2
"1082","2002-2003","Baseball","USC",19,0,14,0,0,0,3,0
"1083","2002-2003","Basketball","USC",12,10,1,3,7,7,0,0
"1084","2002-2003","Cross-country and/or track","USC",14,20,3,5,7,10,0,1
"1085","2002-2003","Football","USC",86,0,28,0,42,0,5,0
"1086","2002-2003","All other sports combined","UT",72,137,61,108,2,4,2,6
"1087","2002-2003","Baseball","UT",41,0,30,0,1,0,6,0
"1088","2002-2003","Basketball","UT",16,15,5,7,9,7,0,0
"1089","2002-2003","Cross-country and/or track","UT",40,25,22,6,16,15,0,1
"1090","2002-2003","Football","UT",94,0,35,0,54,0,3,0
"1091","2002-2003","All other sports combined","UTA.ST",19,72,17,65,0,0,0,3
"1092","2002-2003","Basketball","UTA.ST",13,5,5,5,8,0,0,0
"1093","2002-2003","Cross-country and/or track","UTA.ST",30,26,24,22,2,0,1,1
"1094","2002-2003","Football","UTA.ST",73,0,35,0,24,0,6,0
"1095","2002-2003","All other sports combined","VANDY",40,48,35,42,0,1,0,1
"1096","2002-2003","Baseball","VANDY",14,0,14,0,0,0,0,0
"1097","2002-2003","Basketball","VANDY",13,11,4,5,6,4,0,0
"1098","2002-2003","Cross-country and/or track","VANDY",0,19,0,9,0,5,0,0
"1099","2002-2003","Football","VANDY",84,0,42,0,36,0,0,0
"1100","2003-2004","All other sports combined","AUB",52,126,41,96,0,8,0,5
"1101","2003-2004","Baseball","AUB",29,0,23,0,3,0,1,0
"1102","2003-2004","Basketball","AUB",9,17,0,2,9,9,0,1
"1103","2003-2004","Cross-country and/or track","AUB",24,22,13,9,1,5,0,0
"1104","2003-2004","Football","AUB",82,0,29,0,53,0,0,0
"1105","2003-2004","All other sports combined","BAMA",38,111,21,90,1,3,1,1
"1106","2003-2004","Baseball","BAMA",32,0,31,0,0,0,0,0
"1107","2003-2004","Basketball","BAMA",12,15,0,3,10,12,0,0
"1108","2003-2004","Cross-country and/or track","BAMA",30,24,11,11,10,10,0,0
"1109","2003-2004","Football","BAMA",83,0,27,0,55,0,0,0
"1110","2003-2004","All other sports combined","BOS.ST",35,64,26,47,0,1,1,0
"1111","2003-2004","Basketball","BOS.ST",13,13,1,9,7,0,0,2
"1112","2003-2004","Cross-country and/or track","BOS.ST",19,28,6,23,7,1,0,0
"1113","2003-2004","Football","BOS.ST",87,0,50,0,26,0,4,0
"1114","2003-2004","All other sports combined","CLEM",67,115,45,90,7,3,1,1
"1115","2003-2004","Baseball","CLEM",37,0,26,0,2,0,0,0
"1116","2003-2004","Basketball","CLEM",10,16,0,7,7,7,0,0
"1117","2003-2004","Cross-country and/or track","CLEM",38,28,17,13,12,9,0,0
"1118","2003-2004","Football","CLEM",85,0,13,0,60,0,2,0
"1119","2003-2004","All other sports combined","DUKE",58,128,48,101,1,2,3,2
"1120","2003-2004","Baseball","DUKE",29,0,23,0,0,0,4,0
"1121","2003-2004","Basketball","DUKE",9,11,3,3,5,7,0,0
"1122","2003-2004","Football","DUKE",77,0,39,0,35,0,1,0
"1123","2003-2004","All other sports combined","FLA",50,138,34,102,0,14,2,9
"1124","2003-2004","Baseball","FLA",42,0,38,0,0,0,2,0
"1125","2003-2004","Basketball","FLA",13,16,5,4,6,11,0,0
"1126","2003-2004","Cross-country and/or track","FLA",63,59,41,30,18,20,3,1
"1127","2003-2004","Football","FLA",88,0,18,0,64,0,3,0
"1128","2003-2004","All other sports combined","FSU",39,74,28,49,1,7,4,6
"1129","2003-2004","Baseball","FSU",31,0,26,0,1,0,4,0
"1130","2003-2004","Basketball","FSU",14,15,1,4,10,8,0,0
"1131","2003-2004","Cross-country and/or track","FSU",33,38,14,17,10,13,1,2
"1132","2003-2004","Football","FSU",82,0,14,0,59,0,2,0
"1133","2003-2004","All other sports combined","GTOWN",66,68,58,59,0,4,1,2
"1134","2003-2004","Baseball","GTOWN",14,0,10,0,1,0,3,0
"1135","2003-2004","Basketball","GTOWN",10,12,1,4,8,6,0,0
"1136","2003-2004","Cross-country and/or track","GTOWN",16,21,11,14,3,5,0,0
"1137","2003-2004","Football","GTOWN",40,0,16,0,18,0,0,0
"1138","2003-2004","All other sports combined","KAN.ST",10,146,10,130,0,0,0,2
"1139","2003-2004","Baseball","KAN.ST",38,0,26,0,1,0,4,0
"1140","2003-2004","Basketball","KAN.ST",10,15,3,10,6,4,0,0
"1141","2003-2004","Cross-country and/or track","KAN.ST",32,33,13,19,6,8,1,1
"1142","2003-2004","Football","KAN.ST",92,0,34,0,46,0,2,0
"1143","2003-2004","All other sports combined","LOUIS",41,120,20,87,5,5,0,4
"1144","2003-2004","Baseball","LOUIS",29,0,24,0,0,0,3,0
"1145","2003-2004","Basketball","LOUIS",12,12,0,5,9,5,0,0
"1146","2003-2004","Cross-country and/or track","LOUIS",23,28,19,18,2,8,0,1
"1147","2003-2004","Football","LOUIS",89,0,31,0,55,0,1,0
"1148","2003-2004","All other sports combined","LSU",41,100,30,72,0,7,0,4
"1149","2003-2004","Baseball","LSU",36,0,33,0,1,0,1,0
"1150","2003-2004","Basketball","LSU",12,13,2,0,8,11,0,0
"1151","2003-2004","Cross-country and/or track","LSU",22,29,7,6,11,20,0,0
"1152","2003-2004","Football","LSU",88,0,31,0,54,0,0,0
"1153","2003-2004","All other sports combined","ND",102,154,87,139,1,1,3,2
"1154","2003-2004","Baseball","ND",21,0,18,0,0,0,2,0
"1155","2003-2004","Basketball","ND",12,12,2,7,9,5,0,0
"1156","2003-2004","Cross-country and/or track","ND",20,20,10,10,4,7,1,0
"1157","2003-2004","Football","ND",79,0,34,0,44,0,0,0
"1158","2003-2004","All other sports combined","NEB",57,143,45,106,0,4,1,5
"1159","2003-2004","Baseball","NEB",35,0,33,0,1,0,0,0
"1160","2003-2004","Basketball","NEB",14,12,5,5,9,6,0,0
"1161","2003-2004","Cross-country and/or track","NEB",38,38,20,24,10,1,0,1
