"","Year","Sport","ID_School","Males","Females","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females"
"169","1997-1998","Cross-country and/or track","BOS.ST",16,23,10,19,0,2,0,0
"170","1997-1998","Football","BOS.ST",80,0,41,0,31,0,5,0
"171","1997-1998","All other sports combined","CLEM",56,70,48,60,1,1,1,1
"172","1997-1998","Baseball","CLEM",31,0,30,0,1,0,0,0
"173","1997-1998","Basketball","CLEM",13,13,3,3,7,7,0,0
"174","1997-1998","Cross-country and/or track","CLEM",28,34,13,18,10,9,0,0
"175","1997-1998","Football","CLEM",81,0,34,0,47,0,0,0
"176","1997-1998","All other sports combined","DUKE",51,73,42,68,4,3,0,0
"177","1997-1998","Baseball","DUKE",20,0,19,0,0,0,1,0
"178","1997-1998","Basketball","DUKE",12,14,4,7,6,5,0,0
"179","1997-1998","Football","DUKE",81,0,50,0,30,0,0,0
"180","1997-1998","All other sports combined","FLA",34,97,25,80,2,6,1,4
"181","1997-1998","Baseball","FLA",34,0,26,0,1,0,5,0
"182","1997-1998","Basketball","FLA",12,13,5,3,7,9,0,0
"183","1997-1998","Cross-country and/or track","FLA",39,29,22,17,14,10,3,0
"184","1997-1998","Football","FLA",83,0,23,0,57,0,0,0
"185","1997-1998","All other sports combined","FSU",32,75,18,55,2,4,0,6
"186","1997-1998","Baseball","FSU",26,0,23,0,0,0,3,0
"187","1997-1998","Basketball","FSU",9,13,1,7,8,6,0,0
"188","1997-1998","Cross-country and/or track","FSU",20,27,13,12,5,10,0,0
"189","1997-1998","Football","FSU",78,0,19,0,58,0,0,0
"190","1997-1998","All other sports combined","GTOWN",51,36,49,33,1,1,1,2
"191","1997-1998","Baseball","GTOWN",1,0,1,0,0,0,0,0
"192","1997-1998","Basketball","GTOWN",12,14,0,6,9,7,0,0
"193","1997-1998","Cross-country and/or track","GTOWN",17,24,9,16,7,6,0,0
"194","1997-1998","All other sports combined","KAN.ST",10,60,10,54,0,2,0,2
"195","1997-1998","Baseball","KAN.ST",34,0,31,0,2,0,1,0
"196","1997-1998","Basketball","KAN.ST",13,14,5,11,7,3,1,0
"197","1997-1998","Cross-country and/or track","KAN.ST",29,26,22,19,6,7,1,0
"198","1997-1998","Football","KAN.ST",87,0,38,0,45,0,2,0
"199","1997-1998","All other sports combined","LOUIS",48,62,39,55,2,1,0,0
"200","1997-1998","Baseball","LOUIS",27,0,24,0,1,0,2,0
"201","1997-1998","Basketball","LOUIS",12,12,3,7,9,5,0,0
"202","1997-1998","Cross-country and/or track","LOUIS",13,18,10,12,3,5,0,0
"203","1997-1998","Football","LOUIS",76,0,24,0,51,0,1,0
"204","1997-1998","All other sports combined","LSU",36,82,24,66,1,2,1,2
"205","1997-1998","Baseball","LSU",25,0,23,0,2,0,0,0
"206","1997-1998","Basketball","LSU",12,14,1,3,11,9,0,0
"207","1997-1998","Cross-country and/or track","LSU",15,19,4,1,3,13,0,0
"208","1997-1998","Football","LSU",86,0,24,0,60,0,0,0
"209","1997-1998","All other sports combined","ND",69,94,58,88,1,1,1,3
"210","1997-1998","Baseball","ND",23,0,20,0,1,0,1,0
"211","1997-1998","Basketball","ND",13,12,9,8,3,4,0,0
"212","1997-1998","Cross-country and/or track","ND",22,14,16,10,5,1,1,0
"213","1997-1998","Football","ND",79,0,27,0,48,0,0,0
"214","1997-1998","All other sports combined","NEB",75,119,46,88,2,2,4,0
"215","1997-1998","Baseball","NEB",32,0,24,0,4,0,2,0
"216","1997-1998","Basketball","NEB",13,17,6,13,6,4,0,0
"217","1997-1998","Cross-country and/or track","NEB",29,31,16,22,7,6,0,0
"218","1997-1998","Football","NEB",99,0,59,0,34,0,1,0
"219","1997-1998","All other sports combined","NWST",44,100,38,88,1,4,0,1
"220","1997-1998","Baseball","NWST",29,0,27,0,0,0,0,0
"221","1997-1998","Basketball","NWST",12,15,5,12,3,2,0,1
"222","1997-1998","Football","NWST",90,0,48,0,38,0,0,0
"223","1997-1998","All other sports combined","OK",144,99,83,66,36,11,6,5
"224","1997-1998","Baseball","OK",6,0,5,0,1,0,0,0
"225","1997-1998","Basketball","OK",5,6,2,3,2,3,0,0
"226","1997-1998","Cross-country and/or track","OK",6,14,1,8,1,4,0,0
"227","1997-1998","Football","OK",53,0,22,0,31,0,0,0
"228","1997-1998","All other sports combined","OKSTATE",31,49,21,34,2,1,1,4
"229","1997-1998","Baseball","OKSTATE",34,0,29,0,0,0,1,0
"230","1997-1998","Basketball","OKSTATE",12,14,7,6,5,6,0,1
"231","1997-1998","Cross-country and/or track","OKSTATE",10,23,5,8,0,9,0,0
"232","1997-1998","Football","OKSTATE",71,0,24,0,44,0,2,0
"233","1997-1998","All other sports combined","ORE",40,59,31,43,0,2,0,1
"234","1997-1998","Basketball","ORE",11,16,2,10,7,0,0,1
"235","1997-1998","Cross-country and/or track","ORE",26,29,19,24,2,3,0,1
"236","1997-1998","Football","ORE",85,0,44,0,31,0,2,0
"237","1997-1998","All other sports combined","ORE.ST",51,83,43,63,0,1,2,5
"238","1997-1998","Baseball","ORE.ST",33,0,29,0,1,0,0,0
"239","1997-1998","Basketball","ORE.ST",13,15,3,8,8,4,0,0
"240","1997-1998","Football","ORE.ST",84,0,33,0,36,0,6,0
"241","1997-1998","All other sports combined","OSU",120,177,84,138,5,3,6,6
"242","1997-1998","Baseball","OSU",24,0,24,0,0,0,0,0
"243","1997-1998","Basketball","OSU",14,12,3,7,11,4,0,0
"244","1997-1998","Cross-country and/or track","OSU",12,14,3,2,5,11,1,0
"245","1997-1998","Football","OSU",84,0,35,0,45,0,1,0
"246","1997-1998","All other sports combined","RUT",105,155,84,134,5,6,3,3
"247","1997-1998","Baseball","RUT",30,0,27,0,1,0,2,0
"248","1997-1998","Basketball","RUT",12,14,3,3,6,8,1,0
"249","1997-1998","Cross-country and/or track","RUT",28,39,17,19,6,15,1,3
"250","1997-1998","Football","RUT",86,0,31,0,48,0,1,0
"251","1997-1998","All other sports combined","SCAR",49,70,33,57,0,2,0,0
"252","1997-1998","Baseball","SCAR",30,0,29,0,0,0,0,0
"253","1997-1998","Basketball","SCAR",13,10,3,4,9,6,0,0
"254","1997-1998","Cross-country and/or track","SCAR",16,21,6,7,5,9,0,0
"255","1997-1998","Football","SCAR",76,0,25,0,50,0,1,0
"256","1997-1998","All other sports combined","SJ.ST",23,94,15,60,1,3,5,10
"257","1997-1998","Baseball","SJ.ST",27,0,22,0,1,0,3,0
"258","1997-1998","Basketball","SJ.ST",12,14,4,6,8,5,0,1
"259","1997-1998","Cross-country and/or track","SJ.ST",6,18,2,9,0,0,0,3
"260","1997-1998","Football","SJ.ST",65,0,27,0,22,0,5,0
"261","1997-1998","All other sports combined","SMU",40,59,37,57,0,0,3,1
"262","1997-1998","Basketball","SMU",14,14,6,10,8,4,0,0
"263","1997-1998","Cross-country and/or track","SMU",12,14,11,12,1,2,0,0
"264","1997-1998","Football","SMU",82,0,37,0,41,0,3,0
"265","1997-1998","All other sports combined","STAN",74,122,57,96,2,5,5,4
"266","1997-1998","Baseball","STAN",23,0,18,0,1,0,2,0
"267","1997-1998","Basketball","STAN",13,15,4,7,7,6,1,1
"268","1997-1998","Cross-country and/or track","STAN",13,23,12,15,0,5,1,1
"269","1997-1998","Football","STAN",81,0,43,0,33,0,1,0
"270","1997-1998","All other sports combined","TAM",44,98,34,85,0,0,3,5
"271","1997-1998","Baseball","TAM",37,0,35,0,1,0,1,0
"272","1997-1998","Basketball","TAM",13,15,3,9,8,6,0,0
"273","1997-1998","Cross-country and/or track","TAM",35,33,19,20,11,10,0,1
"274","1997-1998","Football","TAM",90,0,32,0,52,0,1,0
"275","1997-1998","All other sports combined","UGA",33,97,26,84,2,3,0,0
"276","1997-1998","Baseball","UGA",35,0,33,0,2,0,0,0
"277","1997-1998","Basketball","UGA",12,11,3,3,9,6,0,0
"278","1997-1998","Cross-country and/or track","UGA",15,24,6,9,6,10,0,0
"279","1997-1998","Football","UGA",81,0,32,0,49,0,0,0
"280","1997-1998","All other sports combined","UM",78,126,61,109,3,2,0,2
"281","1997-1998","Baseball","UM",20,0,19,0,0,0,1,0
"282","1997-1998","Basketball","UM",11,12,4,5,6,5,0,1
"283","1997-1998","Cross-country and/or track","UM",22,29,9,16,7,8,0,0
"284","1997-1998","Football","UM",91,0,48,0,40,0,0,0
"285","1997-1998","All other sports combined","UNC",113,129,107,126,4,2,1,0
