"","Year","Sport","ID_School","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females","Other.Males","Other.Females"
"76","1998-1999","Basketball","LOUIS",4,7,9,5,0,0,0,1
"77","1998-1999","Basketball","LSU",2,2,11,10,0,0,0,1
"78","1998-1999","Basketball","ND",8,5,3,6,0,0,1,0
"79","1998-1999","Basketball","NEB",6,11,9,4,0,0,0,1
"80","1998-1999","Basketball","NWST",8,10,3,2,0,1,2,0
"81","1998-1999","Basketball","OK",2,4,8,6,0,0,3,5
"82","1998-1999","Basketball","OKSTATE",4,9,6,6,0,1,0,2
"83","1998-1999","Basketball","ORE",2,8,7,3,0,0,4,3
"84","1998-1999","Basketball","ORE.ST",4,9,2,3,0,0,4,3
"85","1998-1999","Basketball","OSU",0,0,9,5,1,8,2,1
"86","1998-1999","Basketball","SCAR",2,2,11,8,0,0,0,0
"87","1998-1999","Basketball","SJ.ST",3,4,8,7,0,0,2,3
"88","1998-1999","Basketball","SMU",4,9,8,6,0,0,0,0
"89","1998-1999","Basketball","STAN",5,5,7,6,1,1,0,1
"90","1998-1999","Basketball","TAM",3,6,9,8,0,0,1,0
"91","1998-1999","Basketball","UGA",3,4,9,6,0,0,0,2
"92","1998-1999","Basketball","UM",3,5,7,8,0,1,0,2
"93","1998-1999","Basketball","UNC",5,4,7,8,2,0,2,0
"94","1998-1999","Basketball","UOFM",0,3,7,3,0,0,1,2
"95","1998-1999","Basketball","USC",3,4,9,8,1,0,0,3
"96","1998-1999","Basketball","UT",2,6,8,10,0,0,2,0
"97","1998-1999","Basketball","UTA.ST",7,0,5,0,0,0,1,0
"98","1998-1999","Basketball","VANDY",3,7,7,4,0,0,2,1
"99","1999-2000","Basketball","AUB",3,1,9,14,0,0,1,1
"100","1999-2000","Basketball","BAMA",3,5,9,8,0,0,0,1
"101","1999-2000","Basketball","BOS.ST",4,10,6,5,0,1,3,0
"102","1999-2000","Basketball","CLEM",4,4,5,11,0,0,4,1
"103","1999-2000","Basketball","DUKE",3,7,5,6,0,0,2,0
"104","1999-2000","Basketball","FLA",4,2,7,11,0,0,0,2
"105","1999-2000","Basketball","FSU",3,7,7,4,0,0,0,0
"106","1999-2000","Basketball","GTOWN",4,4,10,7,0,0,2,3
"107","1999-2000","Basketball","KAN.ST",6,10,7,3,0,0,0,1
"108","1999-2000","Basketball","LOUIS",2,11,9,8,0,0,0,0
"109","1999-2000","Basketball","LSU",2,2,8,12,0,0,0,1
"110","1999-2000","Basketball","ND",7,4,4,5,0,1,2,0
"111","1999-2000","Basketball","NEB",3,11,9,8,0,0,0,0
"112","1999-2000","Basketball","NWST",6,11,3,3,0,1,4,0
"113","1999-2000","Basketball","OK",2,5,7,5,0,0,3,5
"114","1999-2000","Basketball","OKSTATE",3,12,9,7,0,0,2,2
"115","1999-2000","Basketball","ORE",3,9,6,4,0,0,3,3
"116","1999-2000","Basketball","ORE.ST",5,8,5,4,0,0,3,5
"117","1999-2000","Basketball","OSU",2,7,11,7,0,0,2,1
"118","1999-2000","Basketball","RUT",3,2,7,11,1,0,3,3
"119","1999-2000","Basketball","SCAR",3,2,8,9,0,0,1,3
"120","1999-2000","Basketball","SJ.ST",2,1,5,7,0,1,2,2
"121","1999-2000","Basketball","SMU",3,6,10,7,0,0,0,0
"122","1999-2000","Basketball","STAN",5,5,7,5,1,1,0,1
"123","1999-2000","Basketball","TAM",3,8,12,8,0,0,2,0
"124","1999-2000","Basketball","UGA",2,5,9,8,0,0,0,1
"125","1999-2000","Basketball","UM",5,5,8,5,0,1,0,2
"126","1999-2000","Basketball","UNC",4,4,6,9,2,0,0,0
"127","1999-2000","Basketball","UOFM",0,5,9,4,0,1,1,3
"128","1999-2000","Basketball","USC",4,4,7,9,0,0,1,0
"129","1999-2000","Basketball","UT",3,9,8,8,0,0,3,0
"130","1999-2000","Basketball","UTA.ST",6,0,5,0,0,0,2,0
"131","1999-2000","Basketball","VANDY",4,6,5,5,0,0,1,2
"132","2000-2001","Basketball","AUB",3,3,6,11,0,0,2,1
"133","2000-2001","Basketball","BAMA",3,5,10,10,0,0,0,1
"134","2000-2001","Basketball","BOS.ST",2,0,8,0,0,0,3,0
"135","2000-2001","Basketball","CLEM",4,2,3,4,0,0,0,0
"136","2000-2001","Basketball","DUKE",3,7,8,7,0,0,1,0
"137","2000-2001","Basketball","FLA",3,1,7,9,0,0,0,0
"138","2000-2001","Basketball","FSU",2,7,10,5,0,0,0,2
"139","2000-2001","Basketball","GTOWN",1,3,10,8,0,0,2,4
"140","2000-2001","Basketball","KAN.ST",3,7,6,5,0,0,2,0
"141","2000-2001","Basketball","LOUIS",1,5,9,7,0,1,4,2
"142","2000-2001","Basketball","LSU",2,2,7,8,0,0,0,1
"143","2000-2001","Basketball","ND",5,5,4,5,0,1,3,0
"144","2000-2001","Basketball","NEB",3,8,9,7,0,1,2,1
"145","2000-2001","Basketball","NWST",4,3,1,0,0,0,0,0
"146","2000-2001","Basketball","OK",2,4,9,4,0,0,1,4
"147","2000-2001","Basketball","OKSTATE",2,7,9,6,1,0,2,2
