"","Year","Sport","ID_School","White.Males","Black.Males","Hispanic.Males","Other.Males"
"220","2002-2003","Football","UM",40,45,1,4
"221","2002-2003","Football","UNC",23,62,0,1
"222","2002-2003","Football","UOFM",20,47,3,4
"223","2002-2003","Football","USC",28,42,5,11
"224","2002-2003","Football","UT",35,54,3,2
"225","2002-2003","Football","UTA.ST",35,24,6,8
"226","2002-2003","Football","VANDY",42,36,0,6
"227","2003-2004","Football","AUB",29,53,0,0
"228","2003-2004","Football","BAMA",27,55,0,1
"229","2003-2004","Football","BOS.ST",50,26,4,7
"230","2003-2004","Football","CLEM",13,60,2,10
"231","2003-2004","Football","DUKE",39,35,1,2
"232","2003-2004","Football","FLA",18,64,3,3
"233","2003-2004","Football","FSU",14,59,2,7
"234","2003-2004","Football","GTOWN",16,18,0,6
"235","2003-2004","Football","KAN.ST",34,46,2,10
"236","2003-2004","Football","LOUIS",31,55,1,2
"237","2003-2004","Football","LSU",31,54,0,3
"238","2003-2004","Football","ND",34,44,0,1
"239","2003-2004","Football","NEB",50,33,0,9
"240","2003-2004","Football","NWST",38,44,1,5
"241","2003-2004","Football","OK",27,62,1,3
"242","2003-2004","Football","OKSTATE",27,55,1,5
"243","2003-2004","Football","ORE",23,40,3,10
"244","2003-2004","Football","ORE.ST",38,29,2,7
"245","2003-2004","Football","OSU",42,45,2,3
"246","2003-2004","Football","RUT",29,54,4,4
"247","2003-2004","Football","SCAR",20,67,0,3
"248","2003-2004","Football","SJ.ST",23,54,3,7
"249","2003-2004","Football","SMU",37,50,1,2
"250","2003-2004","Football","STAN",38,34,6,6
"251","2003-2004","Football","TAM",36,54,1,0
"252","2003-2004","Football","UGA",24,52,0,0
"253","2003-2004","Football","UM",48,46,2,3
"254","2003-2004","Football","UNC",26,64,0,1
"255","2003-2004","Football","UOFM",16,45,2,3
"256","2003-2004","Football","USC",26,51,5,12
"257","2003-2004","Football","UT",29,58,3,0
"258","2003-2004","Football","UTA.ST",39,23,2,9
"259","2003-2004","Football","VANDY",40,39,0,5
"260","2004-2005","Football","AUB",25,62,0,2
"261","2004-2005","Football","BAMA",26,53,0,0
"262","2004-2005","Football","BOS.ST",47,29,5,8
"263","2004-2005","Football","CLEM",18,55,1,15
"264","2004-2005","Football","DUKE",36,38,1,2
"265","2004-2005","Football","FLA",21,66,3,2
"266","2004-2005","Football","FSU",16,61,2,6
"267","2004-2005","Football","KAN.ST",35,40,1,8
"268","2004-2005","Football","LOUIS",26,58,1,3
"269","2004-2005","Football","LSU",29,58,0,4
"270","2004-2005","Football","ND",36,42,0,1
"271","2004-2005","Football","NEB",51,34,0,6
"272","2004-2005","Football","NWST",48,45,2,5
"273","2004-2005","Football","OK",27,64,1,1
"274","2004-2005","Football","OKSTATE",22,62,1,5
"275","2004-2005","Football","ORE",26,41,3,10
"276","2004-2005","Football","ORE.ST",26,18,0,6
"277","2004-2005","Football","OSU",37,43,1,4
"278","2004-2005","Football","RUT",26,59,3,7
"279","2004-2005","Football","SCAR",18,64,0,7
"280","2004-2005","Football","SJ.ST",23,45,5,5
"281","2004-2005","Football","SMU",13,9,0,0
"282","2004-2005","Football","STAN",34,37,5,7
"283","2004-2005","Football","TAM",37,54,1,2
"284","2004-2005","Football","UGA",24,66,0,0
"285","2004-2005","Football","UM",40,49,2,1
"286","2004-2005","Football","UNC",25,62,0,1
"287","2004-2005","Football","UOFM",18,49,3,2
"288","2004-2005","Football","USC",28,45,4,12
"289","2004-2005","Football","UT",28,56,2,0
"290","2004-2005","Football","UTA.ST",36,28,2,12
"291","2004-2005","Football","VANDY",34,46,0,4
"292","2005-2006","Football","AUB",23,58,1,3
"293","2005-2006","Football","BAMA",30,56,0,0
"294","2005-2006","Football","BOS.ST",48,25,4,11
"295","2005-2006","Football","CLEM",2,10,0,0
"296","2005-2006","Football","DUKE",36,44,1,1
"297","2005-2006","Football","FLA",21,59,3,6
"298","2005-2006","Football","FSU",20,69,1,2
"299","2005-2006","Football","GTOWN",18,21,1,2
"300","2005-2006","Football","KAN.ST",35,35,2,9
"301","2005-2006","Football","LOUIS",23,65,2,2
"302","2005-2006","Football","LSU",27,56,0,4
"303","2005-2006","Football","ND",36,41,0,0
"304","2005-2006","Football","NEB",48,34,0,6
"305","2005-2006","Football","NWST",40,38,2,4
"306","2005-2006","Football","OK",27,58,2,1
"307","2005-2006","Football","OKSTATE",8,13,0,1
"308","2005-2006","Football","ORE",27,38,2,11
"309","2005-2006","Football","ORE.ST",20,16,0,8
"310","2005-2006","Football","OSU",41,41,1,5
"311","2005-2006","Football","RUT",22,60,5,6
"312","2005-2006","Football","SCAR",18,59,0,7
"313","2005-2006","Football","SJ.ST",25,46,6,4
"314","2005-2006","Football","SMU",9,7,0,1
"315","2005-2006","Football","STAN",44,39,5,13
"316","2005-2006","Football","TAM",37,59,2,2
"317","2005-2006","Football","UGA",25,61,0,0
"318","2005-2006","Football","UM",39,55,2,0
"319","2005-2006","Football","UNC",34,60,2,2
"320","2005-2006","Football","UOFM",14,62,1,4
"321","2005-2006","Football","USC",25,47,5,15
"322","2005-2006","Football","UT",31,52,3,0
"323","2005-2006","Football","UTA.ST",30,23,0,10
"324","2005-2006","Football","VANDY",32,49,0,3
