ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Last_School,Player_URL,
ORE,MBBALL,2007-2008,10,Maarty Leunen,Maarty,Leunen,F,6/9/13,220,Sr.,"Redmond, Ore. (Redmond HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=76404,
ORE,MBBALL,2007-2008,11,Frantz Dorsainvil,Frantz,Dorsainvil,F,6/8/13,260,Jr.,"Montreal, Quebec (Elizabeth HS/Vincennes Univ.)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623240,
ORE,MBBALL,2007-2008,12,Tajuan Porter,Tajuan,Porter,G,5/6/13,150,So.,"Detroit, Mich. (Renaissance HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623242,
ORE,MBBALL,2007-2008,13,Churchill Odia,Churchill,Odia,G,6/6/13,210,Jr.,"Lagos, Nigeria (Montrose Christian HS/Xavier)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=201195,
ORE,MBBALL,2007-2008,15,John Elorriaga,John,Elorriaga,G,6/2/13,170,Fr.,"Portland, Ore. (Jesuit HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1320689,
ORE,MBBALL,2007-2008,21,Nicholas Fearn,Nicholas,Fearn,G,6/1/13,175,Fr.,"Seattle, Wash. (Seattle Prep)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1320690,
ORE,MBBALL,2007-2008,24,LeKendric Longmire,LeKendric,Longmire,G,6/5/13,200,RFr.,"Pascagoula, Miss. (Pascagoula HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623241,
ORE,MBBALL,2007-2008,33,Drew Viney,Drew,Viney,F,6/7/13,210,Fr.,"Villa Park, Calif. (Villa Park HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1211782,
ORE,MBBALL,2007-2008,34,Kamyron Brown,Kamyron,Brown,G,6/2/13,170,Fr.,"Anaheim, Calif. (Mater Dei HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1211779,
ORE,MBBALL,2007-2008,45,Ray Schafer,Ray,Schafer,C,7/1/00,245,Sr.,"Wasilla, Alaska (Wasilla HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=22292,
ORE,MBBALL,2007-2008,50,Joevan Catron,Joevan,Catron,F,6/6/13,235,So.,"Phoenix, Ill. (Thornton Township HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623238,
ORE,MBBALL,2006-2007,0,Aaron Brooks,Aaron,Brooks,G,6/1/00,160,Sr.,"Seattle, Wash. (Franklin)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=22260,
ORE,MBBALL,2006-2007,1,Malik Hairston,Malik,Hairston,G,6/6/13,200,Jr.,"Detroit, Mich. (Renaissance HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=76402,
ORE,MBBALL,2006-2007,3,Mitch Platt,Mitch,Platt,F,6/10/13,275,Jr.,"Henderson, Nev. (Green Valley HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=22286,
ORE,MBBALL,2006-2007,4,Bryce Taylor,Bryce,Taylor,G,6/5/13,205,Jr.,"Encino, Calif. (Harvard-Westlake HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=76408,
ORE,MBBALL,2006-2007,10,Maarty Leunen,Maarty,Leunen,F,6/9/13,215,Jr.,"Redmond, Ore. (Redmond HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=76404,
ORE,MBBALL,2006-2007,12,Tajuan Porter,Tajuan,Porter,G,5/6/13,160,Fr.,"Detroit, Mich. (Renaissance HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623242,
ORE,MBBALL,2006-2007,13,Churchill Odia,Churchill,Odia,G,6/6/13,205,So.,"Lagos, Nigeria (Montrose Christian HS/Xavier)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=201195,
ORE,MBBALL,2006-2007,21,Adrian Stelly,Adrian,Stelly,G,6/3/13,185,Sr.,"Portland, Ore. (Benson)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=29329,
ORE,MBBALL,2006-2007,24,LeKendric Longmire,LeKendric,Longmire,G,6/5/13,200,Fr.,"Pascagoula, Miss. (Pascagoula HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623241,
ORE,MBBALL,2006-2007,25,Chamberlain Oguchi,Chamberlain,Oguchi,G,6/5/13,195,Jr.,"Houston, Texas (George W. Bush HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=76406,
ORE,MBBALL,2006-2007,42,Adam Zahn,Adam,Zahn,F,6/8/13,230,Sr.,"Redondo Beach, Calif. (Redondo Union)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=22318,
ORE,MBBALL,2006-2007,45,Ray Schafer,Ray,Schafer,C,7/1/00,235,Jr.,"Wasilla, Alaska (Wasilla HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=22292,
ORE,MBBALL,2006-2007,50,Joevan Catron,Joevan,Catron,F,6/6/13,225,Fr.,"Phoenix, Ill. (Thornton Township HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623238,
ORE,MBBALL,2005-2006,0,Aaron Brooks,Aaron,Brooks,G,6/1/00,165,Jr.,"Seattle, Wash. (Franklin)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=22260,
ORE,MBBALL,2005-2006,1,Malik Hairston,Malik,Hairston,G,6/6/13,200,So.,"Detroit, Mich. (Renaissance HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=76402,
ORE,MBBALL,2005-2006,2,Jordan Kent,Jordan,Kent,G,6/5/13,205,Jr.,"Eugene, Ore (Churchill HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=22277,
ORE,MBBALL,2005-2006,3,Mitch Platt,Mitch,Platt,F,6/10/13,275,Jr.,"Henderson, Nev. (Green Valley HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=22286,
ORE,MBBALL,2005-2006,4,Bryce Taylor,Bryce,Taylor,G,6/5/13,205,So.,"Encino, Calif. (Harvard-Westlake HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=76408,
ORE,MBBALL,2005-2006,5,Matt Short,Matt,Short,C,7/1/00,235,Sr.,"Yreka, Calif. (Yreka)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=22296,
ORE,MBBALL,2005-2006,10,Maarty Leunen,Maarty,Leunen,F,6/9/13,215,So.,"Redmond, Ore. (Redmond HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=76404,
ORE,MBBALL,2005-2006,12,Kenny Love,Kenny,Love,G,6/2/13,165,Jr.,"South Bend, Ind. (Casper College) (John Adams)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=76401,
ORE,MBBALL,2005-2006,13,Churchill Odia,Churchill,Odia,G,6/6/13,205,So.,"Lagos, Nigeria (Montrose Christian HS/Xavier)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=201195,
ORE,MBBALL,2005-2006,14,Brandon Lincoln,Brandon,Lincoln,G,6/4/13,195,Sr.,"Portland, Ore. (Jefferson)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=22281,
ORE,MBBALL,2005-2006,21,Adrian Stelly,Adrian,Stelly,G,6/3/13,185,Jr.,"Portland, Ore. (Benson)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=29329,
