ID_Sport,ID_School,Season,Number,Player,Player,First_Name,Last_Name,Position,Height,Weight,Class,Experience,Hometown/Prior_School,Player_URL
MBBALL,UF,2008-2009,40,Hudson Fricke,Hudson Fricke,Hudson,Fricke,G,6/1/13,193,So.,1L,"Greenville, S.C./ Southside Christian",http://gatorzone.com/basketball/men/bios.php?player_id=17
MBBALL,UF,2008-2009,15,Walter Hodge,Walter Hodge,Walter,Hodge,G,6/1/00,170,Sr.,3L,"Guaynabo, Puerto Rico/Florida Air Academy",http://gatorzone.com/basketball/men/bios.php?player_id=4
MBBALL,UF,2008-2009,30,Kenny Kadji,Kenny Kadji,Kenny,Kadji,F/C,6/10/13,245,Fr.,HS,"Pendleton/IMG Academy/Douala, Cameroon",http://gatorzone.com/basketball/men/bios.php?player_id=24
MBBALL,UF,2008-2009,32,Vernon Macklin,Vernon Macklin,Vernon,Macklin,F,6/10/13,240,R-Jr.,TR,"Portsmouth, Va./Georgetown",http://gatorzone.com/basketball/men/bios.php?player_id=25
MBBALL,UF,2008-2009,4,Kyle McClanahan,Kyle McClanahan,Kyle,McClanahan,G,6/1/13,185,Fr.,HS,"Maitland, Fla./Winter Park",http://gatorzone.com/basketball/men/bios.php?player_id=26
MBBALL,UF,2008-2009,25,Chandler Parsons,Chandler Parsons,Chandler,Parsons,F,6/9/13,213,So.,1L,"Casselberry, Fla./Lake Howell",http://gatorzone.com/basketball/men/bios.php?player_id=19
MBBALL,UF,2008-2009,3,Ray Shipman,Ray Shipman,Ray,Shipman,G/F,6/5/13,212,Fr.,HS,"Miramar, Fla./Monsignor Pace",http://gatorzone.com/basketball/men/bios.php?player_id=27
MBBALL,UF,2008-2009,23,Alex Tyus,Alex Tyus,Alex,Tyus,F,6/8/13,220,So.,1L,"St. Louis, Mo./Harmony Community",http://gatorzone.com/basketball/men/bios.php?player_id=21
MBBALL,UF,2008-2009,1,Eloy Vargas,Eloy Vargas,Eloy,Vargas,F/C,6/10/13,215,Fr.,HS,"Moca, Dominican Republic/ American Heritage (Fla.)",http://gatorzone.com/basketball/men/bios.php?player_id=28
MBBALL,UF,2008-2009,11,Erving Walker,Erving Walker,Erving,Walker,G,5/8/13,161,Fr.,HS,"Brooklyn, N.Y./Christ the King",http://gatorzone.com/basketball/men/bios.php?player_id=29
