ID_Sport,ID_School,Season,Number,Player,Last_Name,First_Name,Height,Weight,Position,Year,Hometown/Prior_School,Player_URL
ND,MBBALL,2009-2010,5,Tom Kopko,Kopko,Tom,6/2/13,183,Guard,JR,"Chicago, IL/St. Laurence",http://www.und.com/sports/m-baskbl/mtt/kopko_tom00.html
ND,MBBALL,2009-2010,14,Scott Martin,Martin,Scott,6/8/13,219,Guard,JR,"Valparaiso, IN/Valparaiso",http://www.und.com/sports/m-baskbl/mtt/martin_scott00.html
ND,MBBALL,2009-2010,1,Tyrone Nash,Nash,Tyrone,6/8/13,232,Forward,JR,"Queens, NY/Lawrence Woodmere Academy & Northfield Mt. Hermon",http://www.und.com/sports/m-baskbl/mtt/nash_tyrone00.html
ND,MBBALL,2009-2010,20,Jonathan Peoples,Peoples,Jonathan,6/3/13,207,Guard,SR,"Bellwood, IL/St. Joseph",http://www.und.com/sports/m-baskbl/mtt/peoples_jonathan00.html
ND,MBBALL,2009-2010,34,Carleton Scott,Scott,Carleton,6/7/13,217,Forward,JR,"San Antonio, TX/James Madison",http://www.und.com/sports/m-baskbl/mtt/scott_carleton00.html
ND,MBBALL,2010-2011,0,Eric Atkins,Atkins,Eric,6/2/13,173,Guard,FR,"Columbia, MD/Mount Saint Joseph",http://www.und.com/sports/m-baskbl/mtt/atkins_eric00.html
ND,MBBALL,2010-2011,1,Tyrone Nash,Nash,Tyrone,6/8/13,232,Forward,SR,"Queens, NY/Lawrence Woodmere Academy & Northfield Mt. Hermon",http://www.und.com/sports/m-baskbl/mtt/nash_tyrone00.html
ND,MBBALL,2010-2011,5,Tom Kopko,Kopko,Tom,6/2/13,187,Guard,SR,"Chicago, IL/St. Laurence",http://www.und.com/sports/m-baskbl/mtt/kopko_tom00.html
ND,MBBALL,2010-2011,12,Alex Dragicevich,Dragicevich,Alex,6/8/13,215,Guard,FR,"Northbrook, IL/Glenbrook North",http://www.und.com/sports/m-baskbl/mtt/dragicevich_alex00.html
ND,MBBALL,2010-2011,14,Scott Martin,Martin,Scott,6/8/13,219,Guard,SR,"Valparaiso, IN/Valparaiso",http://www.und.com/sports/m-baskbl/mtt/martin_scott00.html
ND,MBBALL,2010-2011,21,Tim Abromaitis,Abromaitis,Tim,6/8/13,235,Forward,GS,"Unionville, CT/Farmington",http://www.und.com/sports/m-baskbl/mtt/abromaitis_tim00.html
ND,MBBALL,2010-2011,22,Jerian Grant,Grant,Jerian,6/5/13,185,Guard,FR,"Bowie, MD/DeMatha",http://www.und.com/sports/m-baskbl/mtt/grant_jerian00.html
ND,MBBALL,2010-2011,23,Ben Hansbrough,Hansbrough,Ben,6/3/13,203,Guard,SR,"Poplar Bluff, MO/Poplar Bluff",http://www.und.com/sports/m-baskbl/mtt/hansbrough_ben00.html
ND,MBBALL,2010-2011,25,Tom Knight,Knight,Tom,6/10/13,253,Forward,SO,"Dixfield, ME/Dirigo",http://www.und.com/sports/m-baskbl/mtt/knight_tom00.html
ND,MBBALL,2010-2011,32,Joey Brooks,Brooks,Joey,6/6/13,215,Guard,SO,"Houston, TX/Strake Jesuit College Prep",http://www.und.com/sports/m-baskbl/mtt/brooks_joey00.html
ND,MBBALL,2010-2011,33,Mike Broghammer,Broghammer,Mike,6/9/13,248,Forward,SO,"Orono, MN/Hopkins",http://www.und.com/sports/m-baskbl/mtt/broghammer_mike00.html
ND,MBBALL,2010-2011,34,Carleton Scott,Scott,Carleton,6/8/13,218,Forward,SR,"San Antonio, TX/James Madison",http://www.und.com/sports/m-baskbl/mtt/scott_carleton00.html
ND,MBBALL,2010-2011,45,Jack Cooley,Cooley,Jack,6/9/13,244,Forward,SO,"Glenview, IL/Glenbrook Sout",http://www.und.com/sports/m-baskbl/mtt/cooley_jack00.html
ND,MBBALL,2011-2012,0,Eric Atkins,Atkins,Eric,6/1/13,173,Guard,JR,"Columbia, MD/Mount Saint Joseph",http://www.und.com/sports/m-baskbl/mtt/atkins_eric00.html
ND,MBBALL,2011-2012,1,Cameron Biedscheid,Biedscheid,Cameron,6/7/13,174,Forward,FR,"St. Louis, MO/Cardinal Ritter College Prep",http://www.und.com/sports/m-baskbl/mtt/biedscheid_cameron00.html
ND,MBBALL,2011-2012,2,Zach Auguste,Auguste,Zach,6/10/13,220,Forward,FR,"Marlborough, MA/New Hampton School",http://www.und.com/sports/m-baskbl/mtt/auguste_zach00.html
ND,MBBALL,2011-2012,4,Patrick Crowley,Crowley,Patrick,6/3/13,190,Guard,JR,"Los Gatos, CA/St. Francis",http://www.und.com/sports/m-baskbl/mtt/crowley_patrick00.html
ND,MBBALL,2011-2012,11,Garrick Sherman,Sherman,Garrick,6/10/13,240,Center,SR,"Kenton, OH/Kenton/Michigan State",http://www.und.com/sports/m-baskbl/mtt/sherman_garrick00.html
ND,MBBALL,2011-2012,14,Scott Martin,Martin,Scott,6/8/13,219,Guard,GS,"Valparaiso, IN/Valparaiso/Purdue",http://www.und.com/sports/m-baskbl/mtt/martin_scott00.html
ND,MBBALL,2011-2012,15,Eric Katenda,Katenda,Eric,6/8/13,220,Forward,FR,"Paris, France/Sunrise Christian Academy (KS)",http://www.und.com/sports/m-baskbl/mtt/katenda_eric00.html
ND,MBBALL,2011-2012,20,Austin Burgett,Burgett,Austin,6/9/13,220,Forward,FR,"Avon, IN/Avon",http://www.und.com/sports/m-baskbl/mtt/burgett_austin00.html
ND,MBBALL,2011-2012,22,Jerian Grant,Grant,Jerian,6/5/13,185,Guard,JR,"Bowie, MD/DeMatha",http://www.und.com/sports/m-baskbl/mtt/grant_jerian00.html
ND,MBBALL,2011-2012,24,Pat Connaughton,Connaughton,Pat,6/5/13,205,Guard/Forward,SO,"Arlington, MA/St. John's Prep",http://www.und.com/sports/m-baskbl/mtt/connaughton_pat00.html
ND,MBBALL,2011-2012,25,Tom Knight,Knight,Tom,6/9/13,253,Forward,SR,"Dixfield, ME/Dirigo",http://www.und.com/sports/m-baskbl/mtt/knight_tom00.html
ND,MBBALL,2011-2012,32,Joey Brooks,Brooks,Joey,6/6/13,215,Guard,SR,"Houston, TX/Strake Jesuit College Prep",http://www.und.com/sports/m-baskbl/mtt/brooks_joey00.html
