Player,Draft Year,Height Without Shoes,Height Without Shoes (inches),Height,Height (inches),Weight (lbs),Wingspan,Wingspan (inches),Reach,Reach (inches),Body Fat (%),Hand Length (inches),Hand Width (inches),No Step Verticle (inches),No Step Verticle Reach,No Step Verticle Reach (inches),Max Verticle (Inches),Max Verticle Reach,Max Verticle Reach (inches),Bench Press (reps of 185lbs.),Lane Agility Drill ,Sprint (3 Quarter Court in seconds),Predraft Rank,Draft Number,Draftexpress_Player_URL,Source,ID.Date
Julian Royal,2010,NA,NA,"6' 8""",80,219,"6' 9.5""",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Julian-Royal-41295/,Draftexpress,5/1/10
Julian Royal,2010,NA,NA,"6' 8""",80,219,"6' 9.5""",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Julian-Royal-41295/,Draftexpress,5/1/10
Julian Royal,2010,"6' 7""",79,NA,NA,225,"7' 0""",84,"8' 8""",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Julian-Royal-41295/,Draftexpress,5/1/10
Julian Mavunga,2012,"6' 7""",79,NA,NA,254,"7' 1.5""",85.5,NA,NA,NA,NA,NA,27.8,NA,NA,NA,NA,NA,NA,11.89,3.53,NA,NA,http://draftexpress.com/profile/Julian-Mavunga-18821/,Draftexpress,5/1/12
Juan Mendez,2005,"6' 5.25""",77.25,"6' 6.75""",78.75,231,"7' 0""",NA,"8' 10.5""",106.5,NA,NA,NA,29,"11' 3.5""",135.5,33,"11' 7.5""",139.5,14,11.7,3.24,29,NA,http://draftexpress.com/profile/Juan-Mendez-93/,Draftexpress,5/1/05
Juan Fernandez,2012,"6' 3""",75,NA,NA,194,"6' 3.5""",75.5,NA,NA,NA,NA,NA,26.3,NA,NA,NA,NA,NA,NA,11.23,3.49,NA,NA,http://draftexpress.com/profile/Juan-Fernandez-5840/,Draftexpress,5/1/12
Jrue Holiday,2009,"6' 3.25""",75.25,"6' 4.25""",76.25,199,"6' 7""",79,"8' 4.5""",100.5,6.30%,NA,NA,28.5,"10' 9""",129,34,"11' 2.5""",134.5,6,10.64,3.21,NA,13,http://draftexpress.com/profile/Jrue-HolidayNA8/,Draftexpress,5/1/09
J.P. Tokoto,2011,NA,NA,"6' 7""",79,185,"6' 9""",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/JP-Tokoto-6285/,Draftexpress,5/1/11
JP Tokoto,2011,NA,NA,"6' 6.5""",78.5,185,"6' 9""",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/JP-Tokoto-6285/,Draftexpress,5/1/11
J.P. Tokoto,2010,"6' 5""",77,NA,NA,178,"6' 10""",82,"8' 4""",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/JP-Tokoto-6285/,Draftexpress,5/1/10
Joston Thomas,2012,"6' 5""",77,"6' 6""",78,227,"6' 8.25""",80.25,"8' 7""",103,12.80%,9,NA,29,"11' 0""",132,32.5,"11' 3.5""",135.5,12,11.15,3.26,NA,NA,http://draftexpress.com/profile/Joston-Thomas-19632/,Draftexpress,5/1/12
Josiah Turner,2011,NA,NA,"6' 4""",76,187,"6' 3""",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Josiah-Turner-6260/,Draftexpress,5/1/11
Josiah Turner,2010,NA,NA,"6' 3""",75,185,"6' 3""",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Josiah-Turner-6260/,Draftexpress,5/1/10
Josiah Turner,2010,"6' 3""",75,NA,NA,174,"6' 4""",76,"8' 0.5""",96.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Josiah-Turner-6260/,Draftexpress,5/1/10
Josh Smith,2004,"6' 7""",79,"6' 8.25""",80.25,221,"7' 0""",NA,"8' 10.5""",106.5,NA,NA,NA,32.5,"11' 7""",139,39.5,"12' 2""",146,12,11.43,3.24,19,17,http://draftexpress.com/profile/Josh-Smith-4421/,Draftexpress,5/1/04
Josh Selby,2011,"6' 1.75""",73.75,"6' 3""",75,195,"6' 5.25""",77.25,"8' 2""",98,7.90%,8.5,9,29.5,"10' 7.5""",127.5,42,"11' 8""",140,5,11.13,3.2,NA,27,http://draftexpress.com/profile/Josh-Selby-5682/,Draftexpress,5/1/11
Josh Selby,2009,NA,NA,"6' 3""",75,183,"6' 4""",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,http://draftexpress.com/profile/Josh-Selby-5682/,Draftexpress,5/1/09
Josh Selby,2009,NA,NA,"6' 3""",75,183,"6' 4""",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,http://draftexpress.com/profile/Josh-Selby-5682/,Draftexpress,5/1/09
Josh Powell,2003,"6' 8""",80,"6' 9.5""",81.5,227,"7' 1""",NA,"8' 11.5""",107.5,8.00%,NA,NA,32.5,"11' 8""",140,38.5,"12' 2""",146,15,11.72,3.2,16,NA,http://draftexpress.com/profile/Josh-Powell-5190/,Draftexpress,5/1/03
Josh Owens,2012,"6' 7.75""",79.75,"6' 8.75""",80.75,230,"7' 0.5""",84.5,"8' 9.75""",105.75,8.60%,10.25,NA,34.8,"11' 8.55""",140.55,40.8,"12' 2.55""",146.55,21,11.72,3.29,NA,NA,http://draftexpress.com/profile/Josh-Owens-17124/,Draftexpress,5/1/12
Josh McRoberts,2007,"6' 8.75""",80.75,"6' 10""",82,240,"7' 1""",NA,"8' 10.5""",106.5,13.70%,NA,NA,27.5,"11' 2""",134,31.5,"11' 6""",138,12,11.7,3.47,58,37,http://draftexpress.com/profile/Josh-McRoberts-227/,Draftexpress,5/1/07
Josh Howard,2003,"6' 5.25""",77.25,"6' 6.5""",78.5,202,"7' 2""",NA,"8' 9.5""",105.5,6.00%,NA,NA,33,"11' 6.5""",138.5,36.5,"11' 10""",142,4,10.89,3.09,22,29,http://draftexpress.com/profile/Josh-Howard-2887/,Draftexpress,5/1/03
Josh Heytvelt,2009,"6' 10""",82,"6' 11""",83,246,"7' 1.25""",85.25,"9' 0""",108,10.80%,NA,NA,28.5,"11' 4.5""",136.5,34,"11' 10""",142,15,11.67,3.38,NA,50,http://draftexpress.com/profile/Josh-Heytvelt-549/,Draftexpress,5/1/09
Josh Harrellson,2011,"6' 8.5""",80.5,"6' 9.5""",81.5,279,"6' 11.25""",83.25,"8' 8.5""",104.5,15.20%,10.25,NA,30,"11' 2.5""",134.5,31,"11' 3.5""",135.5,NA,9.2,4.04,NA,45,http://draftexpress.com/profile/Josh-Harrellson-6381/,Draftexpress,5/1/11
Josh Duncan,2008,"6' 8""",80,"6' 9""",81,230,"6' 11.5""",NA,"8' 8.5""",104.5,5.40%,NA,NA,28,"11' 0.5""",132.5,32,"11' 4.5""",136.5,26,12.47,3.26,NA,NA,http://draftexpress.com/profile/Josh-Duncan-5162/,Draftexpress,5/1/08
Josh Duncan,2008,"6' 8.5""",80.5,"6' 9.5""",81.5,240,"6' 11.75""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Josh-Duncan-5162/,Draftexpress,5/1/08
Josh Childress,2004,"6' 5.75""",77.75,"6' 7.25""",79.25,196,"6' 11""",NA,"8' 9""",105,NA,NA,NA,29,"11' 2""",134,36,"11' 9""",141,11,11.95,3.38,42,6,http://draftexpress.com/profile/Josh-Childress-1988/,Draftexpress,5/1/04
Josh Carter,2009,"6' 6.25""",78.25,"6' 7""",79,195,"6' 11.5""",83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Josh-Carter-1251/,Draftexpress,5/1/09
Josh Bostic,2009,"6' 4.5""",76.5,"6' 4.75""",76.75,227,"6' 11.75""",83.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Josh-Bostic-39901/,Draftexpress,5/1/09
Josh Akognon,2009,"5' 10""",70,"5' 11""",71,188,"6' 6.5""",78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Josh-Akognon-24047/,Draftexpress,5/1/09
Joseph Jones,2008,"6' 7.5""",79.5,"6' 8.5""",80.5,240,"7' 0.25""",NA,"8' 11""",107,12.20%,NA,NA,25.5,"11' 0.5""",132.5,31,"11' 6""",138,16,11.61,3.33,NA,NA,http://draftexpress.com/profile/Joseph-Jones-521/,Draftexpress,5/1/08
Joseph Jones,2008,"6' 7.75""",79.75,"6' 3.75""",75.75,262,"6' 11.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Joseph-Jones-521/,Draftexpress,5/1/08
Joseph Jones,2007,"6' 6.75""",78.75,"6' 8.75""",80.75,241,"6' 11.75""",NA,"8' 10.5""",106.5,11.90%,NA,NA,27,"11' 1.5""",133.5,31.5,"11' 6""",138,18,11.4,3.34,28,NA,http://draftexpress.com/profile/Joseph-Jones-521/,Draftexpress,5/1/07
Joseph Forte,2001,"6' 3.5""",75.5,"6' 4.5""",76.5,193,"6' 6.5""",NA,"8' 4.5""",100.5,NA,NA,NA,26.5,"10' 7""",127,33,"11' 1.5""",133.5,10,11.51,3.19,40,21,http://draftexpress.com/profile/Joseph-Forte-2449/,Draftexpress,5/1/01
Joseph Blair,1996,"6' 8.25""",80.25,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,http://draftexpress.com/profile/Joseph-Blair-5625/,Draftexpress,5/1/96
Josep Franch,2012,"6' 2.75""",74.75,"6' 3.5""",75.5,186,"6' 5.5""",77.5,"8' 3.5""",99.5,NA,NA,NA,24,"10' 3.5""",123.5,30,"10' 9.5""",129.5,NA,11.67,3.4,NA,NA,http://draftexpress.com/profile/Josep-Franch-5132/,Draftexpress,5/1/12
Josep Franch,2011,"6' 2.80""",74.8,"6' 3.98""",75.98,186,"6' 5.17""",77.17,"8' 1.24""",97.24,3.60%,NA,NA,20.5,"9' 9.74""",117.74,31.6,"10' 8.84""",128.84,NA,NA,3.25,NA,NA,http://draftexpress.com/profile/Josep-Franch-5132/,Draftexpress,5/1/11
Josep Franch,2010,"6' 2.41""",74.41,"6' 3.59""",75.59,190,"6' 5.17""",77.17,"8' 3.61""",99.61,NA,NA,NA,24,"10' 3.61""",123.61,34.3,"11' 1.91""",133.91,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Josep-Franch-5132/,Draftexpress,5/1/10
Jose Juan Barea,2006,"5' 10""",70,"5' 10.75""",70.75,176,"5' 10.75""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Jose-Juan-Barea-171/,Draftexpress,5/1/06
Jorge Gutierrez,2012,"6' 2""",74,"6' 3""",75,193,"6' 5.5""",77.5,"8' 1.5""",97.5,6.90%,9.13,NA,28.5,"10' 6""",126,32,"10' 9.5""",129.5,8,11.69,3.21,NA,NA,http://draftexpress.com/profile/Jorge-Gutierrez-20736/,Draftexpress,5/1/12
Jorge Gutierrez,2012,"6' 2""",74,NA,NA,194,"6' 6""",78,NA,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA,NA,11.1,3.39,NA,NA,http://draftexpress.com/profile/Jorge-Gutierrez-20736/,Draftexpress,5/1/12
Jordan Williams,2011,"6' 7.75""",79.75,"6' 9""",81,247,"7' 0.25""",84.25,"8' 10.5""",106.5,12.10%,9.25,10,25,"10' 11.5""",131.5,30.5,"11' 5""",137,10,12.74,3.45,NA,45,http://draftexpress.com/profile/Jordan-Williams-5864/,Draftexpress,5/1/11
Jordan Theodore,2012,"5' 10.5""",70.5,NA,NA,177,"6' 4""",76,NA,NA,NA,NA,NA,27.3,NA,NA,NA,NA,NA,NA,11.15,3.47,NA,NA,http://draftexpress.com/profile/Jordan-Theodore-17426/,Draftexpress,5/1/12
Jordan Taylor,2012,"6' 1""",73,"6' 2""",74,193,"6' 3""",75,"7' 8.5""",92.5,5.50%,8.25,9.5,33,"10' 5.5""",125.5,36.5,"10' 9""",129,14,10.57,3.19,NA,NA,http://draftexpress.com/profile/Jordan-Taylor-6358/,Draftexpress,5/1/12
Jordan Taylor,2012,"6' 0.75""",72.75,NA,NA,191,"6' 3.25""",75.25,NA,NA,NA,NA,NA,30.3,NA,NA,NA,NA,NA,NA,10.72,3.26,NA,NA,http://draftexpress.com/profile/Jordan-Taylor-6358/,Draftexpress,5/1/12
Jordan Taylor,2011,NA,NA,"6' 1.5""",73.5,193,"6' 1""",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Jordan-Taylor-6358/,Draftexpress,5/1/11
Jordan Price,2011,NA,NA,"6' 6""",78,221,"6' 7""",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Jordan-Price-7076/,Draftexpress,5/1/11
Jodan Price,2011,NA,NA,"6' 7""",79,165,"6' 8""",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Jordan-Price-7076/,Draftexpress,5/1/11
Jordan Price,2010,"6' 4.5""",76.5,NA,NA,238,"6' 9""",81,"8' 3.5""",99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Jordan-Price-7076/,Draftexpress,5/1/10
Jordan Hill,2009,"6' 9.25""",81.25,"6' 10.25""",82.25,232,"7' 1.5""",85.5,"9' 0""",108,6.00%,NA,NA,31,"11' 7""",139,35,"11' 11""",143,11,12.23,3.3,NA,5,http://draftexpress.com/profile/Jordan-Hill-1222/,Draftexpress,5/1/09
Jordan Hamilton,2011,"6' 6.75""",78.75,"6' 8.5""",80.5,228,"6' 9.5""",81.5,"8' 8""",104,9.80%,9,9.25,25,"10' 9""",129,32,"11' 4""",136,7,11.47,3.3,NA,18,http://draftexpress.com/profile/Jordan-Hamilton-1321/,Draftexpress,5/1/11
Jordan Farmar,2006,"6' 0.75""",72.75,"6' 2""",74,171,"6' 3""",NA,"7' 10.5""",94.5,4.40%,NA,NA,33.5,"10' 8""",128,42,"11' 4.5""",136.5,11,11.07,3.17,12,26,http://draftexpress.com/profile/Jordan-Farmar-221/,Draftexpress,5/1/06
Jordan Eglseder,2010,"6' 10.5""",82.5,NA,NA,285,"7' 2.75""",86.75,"9' 2""",110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Jordan-Eglseder-5843/,Draftexpress,5/1/10
Jordan Crawford,2010,"6' 3""",75,"6' 4.5""",76.5,198,"6' 7""",79,"8' 5""",101,4.90%,8,9,31.5,"11' 0.5""",132.5,34.5,"11' 3.5""",135.5,7,11.03,3.37,NA,32,http://draftexpress.com/profile/Jordan-Crawford-5732/,Draftexpress,5/1/10
Jordan Crawford,2009,NA,NA,"6' 4""",76,195,"6' 5.5""",77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,http://draftexpress.com/profile/Jordan-Crawford-5732/,Draftexpress,5/1/09
Jordan Crawford,2009,NA,NA,"6' 4""",76,195,"6' 5.5""",77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,http://draftexpress.com/profile/Jordan-Crawford-5732/,Draftexpress,5/1/09
Jonte Flowers,2008,"6' 4.25""",76.25,"6' 5""",77,286,"6' 10""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Jonte-Flowers-5176/,Draftexpress,5/1/08
Jon Scheyer,2010,"6' 4.75""",76.75,"6' 6""",78,180,"6' 3.25""",75.25,"8' 3""",99,5.40%,7.75,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Jon-Scheyer-1043/,Draftexpress,5/1/10
Jon Scheyer,2009,NA,NA,"6' 5.5""",77.5,211,"6' 9""",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Jon-Scheyer-1043/,Draftexpress,5/1/09
Jon Scheyer,2006,"6' 4.25""",76.25,NA,NA,NA,"6' 4.25""",NA,"8' 2.5""",98.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Jon-Scheyer-1043/,Draftexpress,5/1/06
Jonny Flynn,2009,"5' 11.25""",71.25,"6' 0.75""",72.75,196,"6' 4""",76,"7' 11.5""",95.5,6.30%,NA,NA,33,"10' 8.5""",128.5,40,"11' 3.5""",135.5,10,10.86,3.23,NA,10,http://draftexpress.com/profile/Jonny-Flynn-1245/,Draftexpress,5/1/09
Jonny Flynn,2007,NA,NA,"6' 0""",72,NA,"6' 2.5""",NA,"7' 11""",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,http://draftexpress.com/profile/Jonny-Flynn-1245/,Draftexpress,5/1/07
Jon Leuer,2011,"6' 10""",82,"6' 11.5""",83.5,223,"7' 0""",84,"8' 9.5""",105.5,5.40%,8.75,9.75,29.5,"11' 3""",135,36.5,"11' 10""",142,17,10.82,3.36,NA,46,http://draftexpress.com/profile/Jon-Leuer-5854/,Draftexpress,5/1/11
Jon Diebler,2011,"6' 5.25""",77.25,"6' 6.5""",78.5,197,"6' 6""",78,"8' 3""",99,8.50%,8.25,8.25,28,"10' 7""",127,35,"11' 2""",134,2,10.94,3.37,NA,51,http://draftexpress.com/profile/Jon-Diebler-1410/,Draftexpress,5/1/11
Jon Diebler,2011,"6' 5.5""",77.5,"6' 6.5""",78.5,200,"6' 6.5""",78.5,"8' 4""",100,10.20%,8,NA,26.5,"10' 6.5""",126.5,35,"11' 3""",135,NA,9.11,4.1,NA,51,http://draftexpress.com/profile/Jon-Diebler-1410/,Draftexpress,5/1/11
Jon Brockman,2009,"6' 7""",79,"6' 8""",80,252,"6' 7.75""",79.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,http://draftexpress.com/profile/Jon-Brockman-1168/,Draftexpress,5/1/09
Jonathan Wallace,2008,"6' 0.5""",72.5,"6' 1.5""",73.5,185,"6' 5.25""",77.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Jonathan-Wallace-5088/,Draftexpress,5/1/08
Jonathan Tavernari,2010,"6' 3.98""",75.98,"6' 4.77""",76.77,228,"6' 7.53""",79.53,"8' 5.97""",101.97,NA,NA,NA,23.2,"10' 5.17""",125.17,28.7,"10' 10.67""",130.67,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Jonathan-Tavernari-1257/,Draftexpress,5/1/10
Jon Dunn,2012,"6' 1""",73,"6' 2""",74,191,"6' 6.25""",78.25,"8' 2""",98,9.60%,8.88,NA,32,"10' 10""",130,36,"11' 2""",134,16,12.2,3.23,NA,NA,http://draftexpress.com/profile/Jonathan-Dunn-24812/,Draftexpress,5/1/12
Jonathan Cox,2009,"6' 9""",81,"6' 10.5""",82.5,227,"6' 11""",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Jonathan-Cox-23877/,Draftexpress,5/1/09
Jonas Bergstedt,2012,"6' 9""",81,"6' 10""",82,234,"7' 0""",84,"8' 10.5""",106.5,NA,NA,NA,25,"10' 11.5""",131.5,31,"11' 5.5""",137.5,NA,12.42,3.44,NA,NA,http://draftexpress.com/profile/Jonas-Bergstedt-47487/,Draftexpress,5/1/12
John Williams,2006,"5' 9.25""",69.25,"5' 10.5""",70.5,162,"6' 3.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/John-Williams-18594/,Draftexpress,5/1/06
John Wall,2010,"6' 2.75""",74.75,"6' 4""",76,196,"6' 9.25""",81.25,"8' 5.5""",101.5,5.60%,8.25,9.5,30,"10' 11.5""",131.5,39,"11' 8.5""",140.5,NA,10.84,3.14,NA,1,http://draftexpress.com/profile/John-Wall-1339/,Draftexpress,5/1/10
John Turner,1991,"6' 5.5""",77.5,NA,NA,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,http://draftexpress.com/profile/John-Turner-4666/,Draftexpress,5/1/91
John Thomas,1997,"6' 7.5""",79.5,NA,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,http://draftexpress.com/profile/John-Thomas-4579/,Draftexpress,5/1/97
John Shurna,2011,"6' 8.5""",80.5,"6' 10""",82,212,"6' 8.5""",80.5,"8' 7.5""",103.5,8.70%,10,NA,29,"11' 0.5""",132.5,34.5,"11' 6""",138,NA,9.62,4.08,NA,NA,http://draftexpress.com/profile/John-Shurna-5726/,Draftexpress,5/1/11
John Salmons,2002,"6' 5.5""",77.5,"6' 7""",79,207,"6' 10.25""",NA,"8' 8""",104,NA,NA,NA,30.5,"11' 2.5""",134.5,34.5,"11' 6.5""",138.5,12,11.35,3.25,19,26,http://draftexpress.com/profile/John-Salmons-4214/,Draftexpress,5/1/02
John Riek,2008,"6' 10.5""",82.5,"7' 0""",84,237,"7' 8.75""",NA,NA,NA,11.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/John-Riek-1317/,Draftexpress,5/1/08
Johnny O'Bryant,2009,NA,NA,"6' 8""",80,218,"7' 2""",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Johnny-O-Bryant-6238/,Draftexpress,5/1/09
Johnny O'Bryant,2009,NA,NA,"6' 8""",80,218,"7' 2""",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Johnny-O-Bryant-6238/,Draftexpress,5/1/09
Johnny Hemsley,2000,"6' 2.75""",74.75,"6' 4""",76,200,"6' 8""",NA,"8' 4.5""",100.5,NA,NA,NA,31.5,"11' 0""",132,35,"11' 3.5""",135.5,5,11.5,3.19,22,NA,http://draftexpress.com/profile/Johnny-Hemsley-36106/,Draftexpress,5/1/00
John Lucas,2005,"5' 9.25""",69.25,"5' 10.5""",70.5,154,"6' 0""",NA,"7' 8""",92,NA,NA,NA,29,"10' 1""",121,34,"10' 6""",126,4,10.44,3.14,28,1,http://draftexpress.com/profile/John-Lucas-98/,Draftexpress,5/1/05
John Jenkins,2012,"6' 3.25""",75.25,"6' 4.25""",76.25,212,"6' 8.5""",80.5,"8' 2""",98,7.10%,9,9,30.5,"10' 8.5""",128.5,36.5,"11' 2.5""",134.5,10,11.36,3.37,NA,23,http://draftexpress.com/profile/John-Jenkins-5826/,Draftexpress,5/1/12
John Holland,2011,"6' 4""",76,NA,NA,209,"6' 8.5""",80.5,"8' 5.5""",101.5,NA,NA,NA,28.5,"10' 10""",130,NA,NA,NA,NA,12.33,3.3,NA,NA,http://draftexpress.com/profile/John-Holland-6330/,Draftexpress,5/1/11
John Henson,2012,"6' 9""",81,"6' 10.5""",82.5,216,"7' 5""",89,"9' 4""",112,8.60%,9.25,10,25.5,"11' 5.5""",137.5,30,"11' 10""",142,5,NA,NA,NA,14,http://draftexpress.com/profile/John-Henson-5236/,Draftexpress,5/1/12
John Gilchrist,2005,"6' 1.25""",73.25,"6' 2.5""",74.5,195,"6' 9.25""",NA,"8' 0.5""",96.5,NA,NA,NA,30.5,"10' 7""",127,36.5,"11' 1""",133,12,11.48,3.15,14,NA,http://draftexpress.com/profile/John-Gilchrist-6/,Draftexpress,5/1/05
John Edwards,2004,"6' 11.25""",83.25,"7' 1""",85,264,"7' 4.5""",NA,"9' 5""",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,75,NA,http://draftexpress.com/profile/John-Edwards-2331/,Draftexpress,5/1/04
John Bryant,2009,"6' 11.25""",83.25,"7' 0.25""",84.25,286,"7' 4.75""",88.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/John-Bryant-5317/,Draftexpress,5/1/09
John Bowler,2006,"6' 7""",79,"6' 8.25""",80.25,264,"6' 10.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/John-Bowler-28437/,Draftexpress,5/1/06
John Amaechi,1995,"6' 8.25""",80.25,NA,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/John-Amaechi-1493/,Draftexpress,5/1/95
Johannes Lischka,2009,"6' 6.25""",78.25,"6' 7.5""",79.5,241,"6' 9""",81,"8' 7""",103,NA,NA,NA,24,"10' 7""",127,27,"10' 10""",130,NA,NA,3.87,NA,NA,http://draftexpress.com/profile/Johannes-Lischka-45009/,Draftexpress,5/1/09
Joffrey Lauvergne,2011,"6' 9.89""",81.89,"6' 11.07""",83.07,225,"6' 9.5""",81.5,"8' 7.54""",103.54,3.20%,NA,NA,23.8,"10' 7.34""",127.34,31.6,"11' 3.14""",135.14,NA,NA,3.24,NA,NA,http://draftexpress.com/profile/Joffrey-Lauvergne-6304/,Draftexpress,5/1/11
Joey Graham,2005,"6' 5.25""",77.25,"6' 6.5""",78.5,217,"6' 8""",NA,"8' 8""",104,NA,NA,NA,30,"11' 2""",134,36,"11' 8""",140,26,10.62,3.05,1,16,http://draftexpress.com/profile/Joey-Graham-88/,Draftexpress,5/1/05
Joey Dorsey,2008,"6' 6.25""",78.25,"6' 7.25""",79.25,265,"7' 1.75""",NA,"8' 11""",107,9.00%,NA,NA,27.5,"11' 2.5""",134.5,33,"11' 8""",140,19,11.84,3.2,NA,33,http://draftexpress.com/profile/Joey-Dorsey-456/,Draftexpress,5/1/08
Joe Trapani,2011,"6' 6.75""",78.75,NA,NA,223,"6' 11""",83,"8' 7.5""",103.5,NA,NA,NA,32.5,"11' 4""",136,NA,NA,NA,NA,0,3.36,NA,NA,http://draftexpress.com/profile/Joe-Trapani-6386/,Draftexpress,5/1/11
Joe Smith,1995,"6' 9.5""",81.5,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,http://draftexpress.com/profile/Joe-Smith-4393/,Draftexpress,5/1/95
Joe Shipp,2003,"6' 4""",76,"6' 5.25""",77.25,224,"6' 10""",NA,"8' 7""",103,11.70%,NA,NA,29,"11' 0""",132,34.5,"11' 5.5""",137.5,17,11.75,3.2,19,NA,http://draftexpress.com/profile/Joe-Shipp-5450/,Draftexpress,5/1/03
