Player,Draft Year,Height Without Shoes,Height Without Shoes (inches),Height,Height (inches),Weight (lbs),Wingspan,Wingspan (inches),Reach,Reach (inches),Body Fat (%),Hand Length (inches),Hand Width (inches),No Step Verticle (inches),No Step Verticle Reach,No Step Verticle Reach (inches),Max Verticle (Inches),Max Verticle Reach,Max Verticle Reach (inches),Bench Press (reps of 185lbs.),Lane Agility Drill ,Sprint (3 Quarter Court in seconds),Predraft Rank,Draft Number,Draftexpress_Player_URL,Source,ID.Date
DeMarcus Minor,2001,"6' 3.25""",75.25,"6' 4.5""",76.5,207,"6' 8.25""",NA,"8' 3.5""",99.5,NA,NA,NA,29,"10' 8.5""",128.5,41,"11' 8.5""",140.5,9,10.57,3.15,16,NA,NA,Draftexpress,5/1/01
Charles Hathaway,2001,"6' 8""",80,"6' 9.5""",81.5,274,"7' 2""",NA,"8' 11.5""",107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,Draftexpress,5/1/01
Michael Hermon,2000,"6' 2.75""",74.75,"6' 3.5""",75.5,195,"6' 6.25""",NA,"8' 2.5""",98.5,NA,NA,NA,29,"10' 7.5""",127.5,33,"10' 11.5""",131.5,,11.79,3.25,36,NA,NA,Draftexpress,5/1/00
Jarrett Stephens,2000,"6' 5.25""",77.25,"6' 6.25""",78.25,258,"6' 9.25""",NA,"8' 7""",103,NA,NA,NA,27,"10' 10""",130,29,"11' 0""",132,13,11.98,3.46,44,NA,NA,Draftexpress,5/1/00
Julius Doc Robinson,2000,"6' 0""",72,NA,NA,184,"6' 3.75""",NA,"7' 11.5""",95.5,NA,NA,NA,30,"10' 5.5""",125.5,37.5,"11' 1""",133,,12.54,3.41,54,NA,NA,Draftexpress,5/1/00
Brian Montonati,2000,"6' 8.75""",80.75,"6' 9.75""",81.75,215,"6' 10.5""",NA,"8' 10""",106,NA,NA,NA,25,"10' 11""",131,29,"11' 3""",135,5,11.85,3.53,57,NA,NA,Draftexpress,5/1/00
Damon Reed,2000,"6' 8.5""",80.5,"6' 9.5""",81.5,228,"6' 9.5""",NA,"8' 8.5""",104.5,NA,NA,NA,27.5,"11' 0""",132,31.5,"11' 4""",136,4,11.21,3.31,32,NA,NA,Draftexpress,5/1/00
Schea Cotton,2000,"6' 4.25""",76.25,"6' 5.38""",77.38,220,"6' 7""",NA,"8' 4""",100,NA,NA,NA,34,"11' 2""",134,38,"11' 6""",138,19,11.55,3,2,NA,NA,Draftexpress,5/1/00
Ndongo N'diaye,2000,"6' 11.5""",83.5,"7' 0.25""",84.25,208,"7' 3.5""",NA,"9' 4.5""",112.5,NA,NA,NA,24.5,"11' 5""",137,27.5,"11' 8""",140,4,13.16,3.69,60,26,NA,Draftexpress,5/1/00
Caswell Cyrus,2000,"6' 7.75""",79.75,"6' 9""",81,221,"7' 2""",NA,"8' 11.5""",107.5,NA,NA,NA,33.5,"11' 9""",141,37.5,"12' 1""",145,18,12.12,3.16,12,NA,NA,Draftexpress,5/1/00
Shaheen Holloway,2000,"5' 9.5""",69.5,"5' 10.38""",70.38,174,"5' 10""",NA,"7' 7""",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11.22,3.32,40,NA,NA,Draftexpress,5/1/00
Ceedric Goodwyn,2000,"6' 6""",78,"6' 7.25""",79.25,238,"6' 10""",NA,"8' 8.5""",104.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,Draftexpress,5/1/00
Melvin Watson,1998,"6' 0""",72,NA,NA,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Nathan West,1998,"6' 1.5""",73.5,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Mitch Henderson,1998,"6' 2""",74,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Marcus Saxon,1998,"6' 2""",74,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Malcom Johnson,1998,"6' 3""",75,NA,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Ishua Benjamin,1998,"6' 3.5""",75.5,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Dew Maddox,1998,"6' 3.5""",75.5,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Mike Campbell,1998,"6' 5""",77,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Paul Culbertson,1998,"6' 5.5""",77.5,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Josh Pittman,1998,"6' 5.5""",77.5,NA,NA,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Clayton Shields,1998,"6' 7""",79,NA,NA,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Bobby Brannen,1998,"6' 7.5""",79.5,NA,NA,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Winfred Walton,1998,"6' 8""",80,NA,NA,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Mickey Curley,1998,"6' 9.5""",81.5,NA,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Evan Wiley,1998,"6' 9.5""",81.5,NA,NA,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Brett Robisch,1998,"6' 10""",82,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/98
Dion Cross,1996,"6' 1""",73,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/96
Brandon Jessie,1996,"6' 3""",75,NA,NA,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/96
Johnny Rodes,1996,"6' 3.25""",75.25,NA,NA,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/96
Donta Bright,1996,"6' 4.25""",76.25,NA,NA,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/96
Jaron Boone,1996,"6' 4.75""",76.75,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/96
Ryan Minor,1996,"6' 5.25""",77.25,NA,NA,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,Draftexpress,5/1/96
Russ Millard,1996,"6' 7.75""",79.75,NA,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,Draftexpress,5/1/96
Erwin Claggett,1995,"5' 11.75""",71.75,NA,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/95
Terrance Rencher,1995,"6' 0.75""",72.75,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,Draftexpress,5/1/95
Randy Rutherford,1995,"6' 0.75""",72.75,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/95
Donald Williams,1995,"6' 1.75""",73.75,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/95
Jimmy Kind,1995,"6' 3.75""",75.75,NA,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/95
Petey Sessoms,1995,"6' 6""",78,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/95
Sherrell Ford,1995,"6' 6.25""",78.25,NA,NA,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,Draftexpress,5/1/95
Russell Larson,1995,"6' 9.75""",81.75,NA,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/95
Julius Michalik,1995,"6' 10""",82,NA,NA,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/95
Dickie Simpkins,1994,"6' 8.5""",80.5,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,Draftexpress,5/1/94
Brett Roberts,1992,"6' 6""",78,NA,NA,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,Draftexpress,5/1/92
Steve Hood,1991,"6' 4.5""",76.5,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,Draftexpress,5/1/91
George Ackles,1991,"6' 8.5""",80.5,NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,Draftexpress,5/1/91
Michael Cutright,1989,"6' 2.5""",74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,Draftexpress,5/1/89
Zydrunas Ilgauskas,1996,"7' 2""",86,NA,NA,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,http://draftexpress.com/profile/Zydrunas-Ilgauskas-2919/,Draftexpress,5/1/96
Zach Rosen,2012,"5' 11.5""",71.5,"6' 0.5""",72.5,177,"6' 0""",72,"7' 9""",93,5.70%,8.63,NA,29,"10' 2""",122,33,"10' 6""",126,14,11.68,3.06,NA,NA,http://draftexpress.com/profile/Zack-Rosen-17930/,Draftexpress,5/1/12
Zack Rosen,2012,"5' 11.75""",71.75,NA,NA,170,"6' 1""",73,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,11.1,3.18,NA,NA,http://draftexpress.com/profile/Zack-Rosen-17930/,Draftexpress,5/1/12
Zach Price,2010,NA,NA,"6' 11""",83,233,"7' 1""",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Zach-Price-6531/,Draftexpress,5/1/10
Zach Price,2010,NA,NA,"6' 11""",83,233,"7' 1""",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Zach-Price-6531/,Draftexpress,5/1/10
Zach Price,2010,"6' 10""",82,NA,NA,232,"7' 1""",85,"9' 1""",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Zach-Price-6531/,Draftexpress,5/1/10
Zach Peters,2010,NA,NA,"6' 9""",81,232,"6' 8""",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Zach-Peters-7072/,Draftexpress,5/1/10
Zach Peters,2010,NA,NA,"6' 9""",81,232,"6' 8""",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Zach-Peters-7072/,Draftexpress,5/1/10
Zach Peacock,2010,"6' 6.75""",78.75,NA,NA,237,"7' 1""",85,"9' 0""",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Zachery-Peacock-22117/,Draftexpress,5/1/10
Zabian Dowdell,2007,"6' 1.5""",73.5,"6' 3""",75,191,"6' 10""",NA,"8' 4""",100,5.10%,NA,NA,30,"10' 10""",130,33.5,"11' 1.5""",133.5,3,11.13,3.29,55,NA,http://draftexpress.com/profile/Zabian-Dowdell-472/,Draftexpress,5/1/07
Zabian Dowdell,2007,"6' 2""",74,"6' 3""",75,190,"6' 9.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Zabian-Dowdell-472/,Draftexpress,5/1/07
